time,Cleveland,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Collins vs. K. Love (L. Babbitt gains possession),,,,Jump ball: J. Collins vs. K. Love (L. Babbitt gains possession)
11:44.0,,,0-0,,Offensive charge foul by K. Bazemore (drawn by K. Love)
11:44.0,,,0-0,,Turnover by K. Bazemore (offensive foul)
11:29.0,Turnover by K. Love (lost ball; steal by K. Bazemore),,0-0,,
11:24.0,,,0-2,2,T. Waller-Prince makes 2-pt shot from 1 ft (assist by K. Bazemore)
11:04.0,K. Love misses 2-pt shot from 14 ft,,0-2,,
11:01.0,,,0-2,,Defensive rebound by J. Collins
10:50.0,,,0-2,,K. Bazemore misses 2-pt shot from 16 ft
10:46.0,Defensive rebound by K. Love,,0-2,,
10:41.0,J. Crowder misses 3-pt shot from 25 ft,,0-2,,
10:39.0,Offensive rebound by K. Love,,0-2,,
10:39.0,K. Love makes 2-pt shot from 1 ft,2,2-2,,
10:39.0,Shooting foul by L. Babbitt (drawn by K. Love),,2-2,,
10:39.0,K. Love makes free throw 1 of 1,1,3-2,,
10:24.0,Shooting block foul by K. Love (drawn by T. Waller-Prince),,3-2,,
10:24.0,,,3-3,1,T. Waller-Prince makes free throw 1 of 2
10:24.0,,,3-4,1,T. Waller-Prince makes free throw 2 of 2
10:11.0,K. Love makes 3-pt shot from 25 ft (assist by L. James),3,6-4,,
9:51.0,,,6-4,,T. Waller-Prince misses 2-pt shot from 5 ft
9:49.0,Defensive rebound by K. Love,,6-4,,
9:43.0,J. Smith makes 3-pt shot from 24 ft (assist by J. Calderon),3,9-4,,
9:29.0,Personal foul by J. Calderon (drawn by D. Schroder),,9-4,,
9:22.0,,,9-6,2,K. Bazemore makes 2-pt shot from 1 ft (assist by D. Schroder)
9:06.0,L. James makes 2-pt shot from 2 ft,2,11-6,,
9:04.0,,,11-6,,Atlanta full timeout
8:52.0,,,11-8,2,D. Schroder makes 2-pt shot at rim
8:37.0,L. James makes 2-pt shot from 1 ft (assist by J. Calderon),2,13-8,,
8:24.0,,,13-8,,Shooting foul by L. James (drawn by L. Babbitt)
8:24.0,,,13-9,1,L. Babbitt makes free throw 1 of 2
8:24.0,,,13-10,1,L. Babbitt makes free throw 2 of 2
8:13.0,J. Crowder misses 3-pt shot from 25 ft,,13-10,,
8:09.0,Offensive rebound by K. Love,,13-10,,
8:05.0,J. Crowder makes 2-pt shot from 1 ft (assist by J. Smith),2,15-10,,
7:53.0,,,15-12,2,D. Schroder makes 2-pt shot from 1 ft
7:44.0,J. Crowder makes 3-pt shot from 23 ft (assist by J. Smith),3,18-12,,
7:28.0,,,18-14,2,J. Collins makes 2-pt shot from 15 ft (assist by D. Schroder)
7:17.0,J. Calderon misses 2-pt shot from 19 ft,,18-14,,
7:14.0,,,18-14,,Defensive rebound by T. Waller-Prince
7:02.0,,,18-16,2,J. Collins makes 2-pt shot from 4 ft (assist by T. Waller-Prince)
7:02.0,,,18-16,,Shooting foul by J. Smith (drawn by J. Collins)
7:02.0,,,18-17,1,J. Collins makes free throw 1 of 1
6:48.0,Turnover by J. Smith (bad pass; steal by J. Collins),,18-17,,
6:27.0,,,18-17,,K. Bazemore misses 2-pt shot from 9 ft
6:19.0,,,18-17,,Offensive rebound by J. Collins
6:19.0,,,18-17,,J. Collins misses 2-pt shot at rim
6:19.0,,,18-17,,Offensive rebound by J. Collins
6:16.0,,,18-19,2,J. Collins makes 2-pt shot at rim
6:03.0,J. Calderon makes 3-pt shot from 25 ft (assist by J. Crowder),3,21-19,,
5:52.0,,,21-19,,Turnover by D. Schroder (bad pass; steal by L. James)
5:43.0,J. Crowder makes 2-pt shot from 2 ft (assist by L. James),2,23-19,,
5:20.0,,,23-22,3,T. Waller-Prince makes 3-pt shot from 26 ft (assist by L. Babbitt)
5:01.0,Turnover by K. Love (traveling),,23-22,,
5:01.0,,,23-22,,M. Belinelli enters the game for L. Babbitt
5:01.0,,,23-22,,E. Ilyasova enters the game for K. Bazemore
4:50.0,,,23-24,2,D. Schroder makes 2-pt shot from 1 ft
4:31.0,J. Crowder misses 2-pt shot from 21 ft,,23-24,,
4:28.0,Offensive rebound by K. Love,,23-24,,
4:26.0,K. Love misses 2-pt shot from 1 ft (block by J. Collins),,23-24,,
4:26.0,,,23-24,,Defensive rebound by D. Schroder
4:21.0,,,23-24,,D. Schroder misses 3-pt shot from 24 ft
4:21.0,,,23-24,,Offensive rebound by J. Collins
4:17.0,,,23-26,2,J. Collins makes 2-pt shot at rim
4:17.0,Cleveland full timeout,,23-26,,
4:07.0,Turnover by K. Love (bad pass; steal by E. Ilyasova),,23-26,,
4:02.0,,,23-26,,T. Waller-Prince misses 2-pt shot from 2 ft
3:58.0,Defensive rebound by L. James,,23-26,,
3:55.0,Shooting foul by J. Collins (drawn by L. James),,23-26,,
3:55.0,L. James makes free throw 1 of 2,1,24-26,,
3:55.0,,,24-26,,D. Bembry enters the game for T. Waller-Prince
3:55.0,D. Wade enters the game for J. Calderon,,24-26,,
3:55.0,L. James makes free throw 2 of 2,1,25-26,,
3:47.0,,,25-26,,D. Schroder misses 3-pt shot from 26 ft
3:40.0,,,25-26,,Offensive rebound by J. Collins
3:37.0,,,25-29,3,E. Ilyasova makes 3-pt shot from 25 ft (assist by D. Bembry)
3:21.0,D. Wade misses 2-pt shot from 11 ft,,25-29,,
3:19.0,Offensive rebound by K. Love,,25-29,,
3:19.0,,,25-29,,Personal foul by J. Collins (drawn by K. Love)
3:19.0,,,25-29,,I. Taylor enters the game for D. Schroder
3:09.0,,,25-29,,Def 3 sec tech foul by J. Collins
3:09.0,K. Love makes technical free throw,1,26-29,,
3:09.0,,,26-29,,T. Cavanaugh enters the game for J. Collins
3:01.0,D. Wade makes 2-pt shot from 1 ft (assist by L. James),2,28-29,,
2:48.0,,,28-29,,E. Ilyasova misses 3-pt shot from 22 ft
2:48.0,Defensive rebound by L. James,,28-29,,
2:40.0,L. James makes 2-pt shot from 2 ft (assist by J. Smith),2,30-29,,
2:40.0,Shooting foul by D. Bembry (drawn by L. James),,30-29,,
2:40.0,L. James makes free throw 1 of 1,1,31-29,,
2:28.0,,,31-31,2,D. Bembry makes 2-pt shot from 1 ft
2:10.0,Shooting foul by I. Taylor (drawn by J. Crowder),,31-31,,
2:10.0,J. Crowder misses free throw 1 of 2,,31-31,,
2:10.0,Offensive rebound by Team,,31-31,,
2:10.0,K. Korver enters the game for K. Love,,31-31,,
2:10.0,C. Frye enters the game for J. Smith,,31-31,,
2:10.0,J. Crowder makes free throw 2 of 2,1,32-31,,
1:57.0,,,32-31,,T. Cavanaugh misses 3-pt shot from 23 ft
1:54.0,Defensive rebound by D. Wade,,32-31,,
1:49.0,L. James makes 2-pt shot from 1 ft,2,34-31,,
1:34.0,Personal foul by J. Crowder (drawn by M. Belinelli),,34-31,,
