time,New Orleans,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Adebayo vs. A. Davis (D. Cousins gains possession),,,,Jump ball: B. Adebayo vs. A. Davis (D. Cousins gains possession)
11:38.0,D. Cousins misses 2-pt shot from 14 ft,,0-0,,
11:34.0,Offensive rebound by D. Cousins,,0-0,,
11:32.0,D. Cousins makes 2-pt shot from 3 ft,2,2-0,,
11:15.0,,,2-2,2,T. Johnson makes 2-pt shot from 12 ft
11:04.0,Turnover by D. Cousins (bad pass; steal by T. Johnson),,2-2,,
10:54.0,,,2-2,,T. Johnson misses 3-pt shot from 26 ft
10:49.0,Defensive rebound by R. Rondo,,2-2,,
10:42.0,A. Davis makes 2-pt shot from 2 ft (assist by D. Cousins),2,4-2,,
10:20.0,,,4-2,,K. Olynyk misses 2-pt shot from 14 ft
10:17.0,Defensive rebound by D. Cousins,,4-2,,
10:05.0,Turnover by J. Holiday (bad pass),,4-2,,
9:55.0,,,4-4,2,G. Dragic makes 2-pt shot from 16 ft
9:42.0,J. Holiday makes 2-pt shot from 15 ft (assist by R. Rondo),2,6-4,,
9:29.0,,,6-6,2,J. Richardson makes 2-pt shot from 1 ft
9:20.0,E. Moore makes 2-pt shot from 1 ft (assist by R. Rondo),2,8-6,,
9:01.0,,,8-6,,Turnover by T. Johnson (out of bounds lost ball)
8:46.0,E. Moore makes 2-pt shot from 5 ft,2,10-6,,
8:25.0,,,10-8,2,B. Adebayo makes 2-pt shot from 12 ft (assist by K. Olynyk)
8:12.0,E. Moore misses 2-pt shot from 8 ft,,10-8,,
8:10.0,,,10-8,,Defensive rebound by K. Olynyk
7:59.0,,,10-8,,Shooting foul by A. Davis (drawn by B. Adebayo)
7:59.0,,,10-8,,B. Adebayo misses free throw 1 of 2
7:59.0,,,10-8,,Offensive rebound by Team
7:59.0,,,10-9,1,B. Adebayo makes free throw 2 of 2
7:49.0,D. Cousins makes 2-pt shot from 2 ft (assist by J. Holiday),2,12-9,,
7:36.0,,,12-11,2,J. Richardson makes 2-pt shot from 16 ft
7:28.0,Offensive charge foul by D. Cousins (drawn by K. Olynyk),,12-11,,
7:28.0,Turnover by D. Cousins (offensive foul),,12-11,,
7:18.0,,,12-14,3,K. Olynyk makes 3-pt shot from 25 ft (assist by T. Johnson)
7:10.0,Turnover by A. Davis (out of bounds lost ball),,12-14,,
