time,Boston,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: H. Whiteside vs. A. Horford (G. Dragic gains possession),,,,Jump ball: H. Whiteside vs. A. Horford (G. Dragic gains possession)
11:34.0,,,0-0,,H. Whiteside misses 2-pt shot from 1 ft
11:31.0,Defensive rebound by A. Horford,,0-0,,
11:29.0,K. Irving makes 2-pt shot from 1 ft,2,2-0,,
11:11.0,,,2-0,,G. Dragic misses 2-pt shot from 10 ft
11:07.0,Defensive rebound by A. Horford,,2-0,,
10:55.0,J. Brown misses 2-pt shot from 17 ft,,2-0,,
10:53.0,,,2-0,,Defensive rebound by J. Winslow
10:48.0,,,2-0,,J. Richardson misses 3-pt shot from 23 ft
10:45.0,Defensive rebound by J. Tatum,,2-0,,
10:42.0,K. Irving makes 2-pt shot from 1 ft (assist by J. Tatum),2,4-0,,
10:16.0,,,4-0,,Turnover by J. Richardson (turnover)
10:04.0,J. Tatum misses 2-pt shot from 16 ft,,4-0,,
10:00.0,Offensive rebound by A. Horford,,4-0,,
9:59.0,Turnover by A. Baynes (traveling),,4-0,,
9:45.0,,,4-2,2,D. Waiters makes 2-pt shot from 1 ft
9:27.0,A. Horford misses 2-pt shot from 6 ft,,4-2,,
9:19.0,,,4-2,,Defensive rebound by H. Whiteside
9:17.0,,,4-4,2,G. Dragic makes 2-pt shot from 8 ft
9:01.0,J. Tatum misses 2-pt shot from 1 ft (block by H. Whiteside),,4-4,,
9:01.0,,,4-4,,Defensive rebound by D. Waiters
8:59.0,,,4-4,,Shooting foul by J. Brown (drawn by G. Dragic)
8:59.0,,,4-5,1,G. Dragic makes free throw 1 of 2
8:59.0,,,4-6,1,G. Dragic makes free throw 2 of 2
8:40.0,A. Horford misses 2-pt shot from 6 ft,,4-6,,
8:36.0,Offensive rebound by A. Horford,,4-6,,
8:32.0,J. Brown misses 2-pt shot from 1 ft,,4-6,,
8:29.0,,,4-6,,Defensive rebound by H. Whiteside
8:23.0,,,4-9,3,D. Waiters makes 3-pt shot from 23 ft (assist by G. Dragic)
8:12.0,K. Irving misses 3-pt shot from 26 ft,,4-9,,
8:12.0,Offensive rebound by Team,,4-9,,
8:08.0,A. Baynes misses 2-pt shot from 14 ft,,4-9,,
8:05.0,,,4-9,,Defensive rebound by J. Winslow
7:56.0,,,4-11,2,G. Dragic makes 2-pt shot from 14 ft
7:37.0,J. Brown makes 2-pt shot from 1 ft (assist by J. Tatum),2,6-11,,
7:14.0,,,6-11,,Turnover by J. Winslow (bad pass; steal by K. Irving)
7:10.0,,,6-11,,T. Johnson enters the game for G. Dragic
6:59.0,J. Tatum misses 2-pt shot from 5 ft,,6-11,,
6:56.0,,,6-11,,Defensive rebound by J. Richardson
6:45.0,,,6-11,,J. Richardson misses 3-pt shot from 26 ft
6:41.0,Defensive rebound by A. Horford,,6-11,,
6:34.0,A. Baynes makes 2-pt shot from 17 ft (assist by K. Irving),2,8-11,,
6:22.0,Personal foul by A. Baynes (drawn by D. Waiters),,8-11,,
6:22.0,,,8-11,,Miami full timeout
6:22.0,M. Morris enters the game for J. Tatum,,8-11,,
6:22.0,M. Smart enters the game for A. Baynes,,8-11,,
6:05.0,,,8-11,,T. Johnson misses 2-pt shot from 12 ft
6:05.0,Defensive rebound by Team,,8-11,,
6:05.0,,,8-11,,Loose ball foul by H. Whiteside (drawn by A. Horford)
5:54.0,Turnover by K. Irving (bad pass),,8-11,,
5:37.0,,,8-13,2,J. Winslow makes 2-pt shot from 2 ft
5:18.0,A. Horford misses 3-pt shot from 25 ft,,8-13,,
5:15.0,,,8-13,,Defensive rebound by D. Waiters
5:03.0,,,8-15,2,H. Whiteside makes 2-pt shot from 9 ft
4:47.0,K. Irving makes 2-pt shot from 18 ft,2,10-15,,
4:34.0,,,10-17,2,J. Winslow makes 2-pt shot from 2 ft (assist by D. Waiters)
4:24.0,A. Horford misses 3-pt shot from 24 ft,,10-17,,
4:21.0,,,10-17,,Defensive rebound by H. Whiteside
4:11.0,,,10-19,2,H. Whiteside makes 2-pt shot from 1 ft (assist by D. Waiters)
3:56.0,M. Morris makes 3-pt shot from 25 ft (assist by A. Horford),3,13-19,,
3:40.0,,,13-19,,D. Waiters misses 2-pt shot from 1 ft
3:37.0,Defensive rebound by M. Morris,,13-19,,
3:30.0,J. Brown misses 3-pt shot from 23 ft,,13-19,,
3:27.0,,,13-19,,Defensive rebound by T. Johnson
3:07.0,,,13-19,,D. Waiters misses 3-pt shot from 26 ft
3:01.0,,,13-19,,Offensive rebound by J. Richardson
2:56.0,,,13-19,,J. Winslow misses 3-pt shot from 24 ft
2:55.0,Defensive rebound by M. Morris,,13-19,,
2:55.0,Boston full timeout,,13-19,,
2:55.0,,,13-19,,K. Olynyk enters the game for J. Richardson
2:55.0,,,13-19,,J. Johnson enters the game for J. Winslow
2:55.0,,,13-19,,W. Ellington enters the game for H. Whiteside
2:55.0,T. Rozier enters the game for K. Irving,,13-19,,
2:38.0,M. Morris misses 2-pt shot from 7 ft,,13-19,,
2:35.0,,,13-19,,Defensive rebound by T. Johnson
2:16.0,,,13-19,,K. Olynyk misses 2-pt shot from 2 ft (block by A. Horford)
2:12.0,Defensive rebound by T. Rozier,,13-19,,
2:08.0,J. Brown makes 3-pt shot from 24 ft (assist by T. Rozier),3,16-19,,
1:52.0,,,16-21,2,J. Johnson makes 2-pt shot at rim (assist by D. Waiters)
1:44.0,Turnover by A. Horford (bad pass),,16-21,,
1:44.0,D. Theis enters the game for A. Horford,,16-21,,
1:25.0,,,16-21,,Turnover by D. Waiters (lost ball; steal by T. Rozier)
1:18.0,Turnover by D. Theis (bad pass; steal by K. Olynyk),,16-21,,
1:06.0,,,16-24,3,W. Ellington makes 3-pt shot from 26 ft (assist by J. Johnson)
0:56.0,M. Morris misses 3-pt shot from 25 ft,,16-24,,
0:51.0,,,16-24,,Defensive rebound by W. Ellington
0:38.0,,,16-27,3,T. Johnson makes 3-pt shot from 25 ft (assist by D. Waiters)
0:20.0,M. Smart misses 3-pt shot from 22 ft,,16-27,,
0:17.0,,,16-27,,Defensive rebound by T. Johnson
0:00.0,,,16-27,,D. Waiters misses 2-pt shot from 1 ft
0:00.0,,,16-27,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,T. Rozier makes 3-pt shot from 25 ft (assist by M. Morris),3,19-27,,
11:25.0,,,19-29,2,T. Johnson makes 2-pt shot at rim (assist by J. Johnson)
