time,Chicago,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:57.0,Jump ball: J. Valanciunas vs. R. Lopez (L. Markkanen gains possession),,,,Jump ball: J. Valanciunas vs. R. Lopez (L. Markkanen gains possession)
11:41.0,R. Lopez misses 2-pt shot from 10 ft,,0-0,,
11:37.0,,,0-0,,Defensive rebound by J. Valanciunas
11:22.0,,,0-0,,D. DeRozan misses 2-pt shot from 7 ft
11:20.0,Defensive rebound by R. Lopez,,0-0,,
11:12.0,R. Lopez makes 2-pt shot from 8 ft (assist by J. Grant),2,2-0,,
10:55.0,,,2-0,,Turnover by K. Lowry (bad pass)
10:38.0,J. Holiday misses 3-pt shot from 25 ft,,2-0,,
10:38.0,,,2-0,,Defensive rebound by J. Valanciunas
10:26.0,,,2-2,2,J. Valanciunas makes 2-pt shot from 3 ft (assist by K. Lowry)
10:07.0,L. Markkanen misses 3-pt shot from 25 ft,,2-2,,
10:07.0,,,2-2,,Defensive rebound by K. Lowry
9:52.0,,,2-4,2,J. Valanciunas makes 2-pt shot from 17 ft (assist by D. DeRozan)
9:39.0,P. Zipser makes 2-pt shot from 2 ft,2,4-4,,
9:29.0,,,4-4,,D. DeRozan misses 2-pt shot from 1 ft
9:22.0,,,4-4,,Offensive rebound by J. Valanciunas
9:22.0,,,4-6,2,J. Valanciunas makes 2-pt shot at rim
9:15.0,Turnover by P. Zipser (bad pass),,4-6,,
9:03.0,,,4-6,,Turnover by D. DeRozan (bad pass; steal by R. Lopez)
8:57.0,,,4-6,,Personal foul by S. Ibaka (drawn by J. Holiday)
8:55.0,J. Grant misses 2-pt shot from 13 ft,,4-6,,
8:52.0,,,4-6,,Defensive rebound by N. Powell
8:50.0,,,4-6,,Turnover by N. Powell (out of bounds lost ball)
8:39.0,Turnover by L. Markkanen (lost ball; steal by N. Powell),,4-6,,
8:36.0,,,4-8,2,N. Powell makes 2-pt shot from 1 ft
8:15.0,L. Markkanen misses 2-pt shot from 5 ft,,4-8,,
8:13.0,,,4-8,,Defensive rebound by J. Valanciunas
8:09.0,,,4-11,3,N. Powell makes 3-pt shot from 26 ft (assist by J. Valanciunas)
7:58.0,J. Holiday makes 3-pt shot from 22 ft (assist by P. Zipser),3,7-11,,
7:43.0,,,7-11,,J. Valanciunas misses 3-pt shot from 26 ft
7:40.0,Defensive rebound by J. Grant,,7-11,,
7:26.0,P. Zipser misses 2-pt shot from 5 ft (block by S. Ibaka),,7-11,,
7:26.0,Offensive rebound by Team,,7-11,,
7:24.0,J. Holiday misses 2-pt shot from 14 ft,,7-11,,
7:21.0,,,7-11,,Defensive rebound by J. Valanciunas
7:08.0,,,7-13,2,N. Powell makes 2-pt shot from 2 ft (assist by D. DeRozan)
6:47.0,R. Lopez makes 2-pt shot from 15 ft (assist by J. Holiday),2,9-13,,
6:33.0,,,9-13,,S. Ibaka misses 3-pt shot from 25 ft
6:30.0,Defensive rebound by P. Zipser,,9-13,,
6:18.0,R. Lopez misses 2-pt shot from 19 ft,,9-13,,
6:11.0,Offensive rebound by J. Grant,,9-13,,
5:56.0,J. Grant misses 2-pt shot from 18 ft,,9-13,,
5:54.0,,,9-13,,Defensive rebound by K. Lowry
5:44.0,Shooting block foul by P. Zipser (drawn by D. DeRozan),,9-13,,
5:44.0,,,9-13,,Toronto full timeout
5:44.0,D. Valentine enters the game for P. Zipser,,9-13,,
5:44.0,,,9-13,,D. DeRozan misses free throw 1 of 2
5:44.0,,,9-13,,Offensive rebound by Team
5:44.0,,,9-14,1,D. DeRozan makes free throw 2 of 2
5:33.0,J. Grant makes 2-pt shot from 16 ft,2,11-14,,
5:21.0,,,11-14,,Turnover by N. Powell (turnover)
5:13.0,J. Holiday makes 2-pt shot from 21 ft (assist by R. Lopez),2,13-14,,
5:01.0,,,13-14,,K. Lowry misses 3-pt shot from 27 ft
4:57.0,Defensive rebound by R. Lopez,,13-14,,
4:51.0,J. Holiday misses 3-pt shot from 25 ft,,13-14,,
4:48.0,,,13-14,,Defensive rebound by D. DeRozan
4:40.0,,,13-14,,S. Ibaka misses 2-pt shot from 16 ft
4:36.0,Defensive rebound by L. Markkanen,,13-14,,
4:27.0,J. Holiday misses 2-pt shot from 14 ft,,13-14,,
4:25.0,,,13-14,,Defensive rebound by N. Powell
4:09.0,,,13-16,2,K. Lowry makes 2-pt shot from 13 ft
3:57.0,L. Markkanen makes 2-pt shot from 18 ft (assist by J. Grant),2,15-16,,
3:45.0,,,15-19,3,S. Ibaka makes 3-pt shot from 24 ft (assist by K. Lowry)
3:23.0,R. Lopez misses 2-pt shot from 15 ft,,15-19,,
3:20.0,Offensive rebound by L. Markkanen,,15-19,,
3:18.0,J. Holiday misses 3-pt shot from 26 ft,,15-19,,
3:13.0,Offensive rebound by R. Lopez,,15-19,,
3:01.0,D. Valentine makes 3-pt shot from 25 ft,3,18-19,,
2:48.0,,,18-22,3,N. Powell makes 3-pt shot from 25 ft (assist by K. Lowry)
2:28.0,J. Grant misses 3-pt shot from 25 ft,,18-22,,
2:26.0,,,18-22,,Defensive rebound by S. Ibaka
2:17.0,,,18-22,,D. DeRozan misses 2-pt shot from 11 ft
2:17.0,,,18-22,,Offensive rebound by J. Valanciunas
2:13.0,,,18-22,,J. Valanciunas misses 2-pt shot from 3 ft
2:13.0,,,18-22,,Offensive rebound by J. Valanciunas
2:10.0,,,18-22,,J. Valanciunas misses 2-pt shot from 1 ft
2:10.0,Defensive rebound by R. Lopez,,18-22,,
2:01.0,R. Lopez makes 2-pt shot from 19 ft (assist by J. Grant),2,20-22,,
1:48.0,,,20-22,,K. Lowry misses 2-pt shot from 14 ft
1:48.0,Defensive rebound by R. Lopez,,20-22,,
1:40.0,Offensive charge foul by R. Lopez (drawn by K. Lowry),,20-22,,
1:40.0,Turnover by R. Lopez (offensive foul),,20-22,,
1:40.0,Chicago full timeout,,20-22,,
1:40.0,,,20-22,,J. Poeltl enters the game for K. Lowry
1:40.0,,,20-22,,C. Miles enters the game for S. Ibaka
1:40.0,,,20-22,,O. Anunoby enters the game for D. DeRozan
1:40.0,,,20-22,,D. Wright enters the game for J. Valanciunas
1:40.0,,,20-22,,F. VanVleet enters the game for N. Powell
1:40.0,R. Arcidiacono enters the game for J. Grant,,20-22,,
1:40.0,C. Felicio enters the game for L. Markkanen,,20-22,,
1:40.0,P. Zipser enters the game for R. Lopez,,20-22,,
1:23.0,,,20-22,,C. Miles misses 2-pt shot from 16 ft
1:21.0,Defensive rebound by D. Valentine,,20-22,,
1:06.0,,,20-22,,Personal foul by F. VanVleet (drawn by J. Holiday)
1:00.0,D. Valentine misses 3-pt shot from 23 ft,,20-22,,
0:57.0,,,20-22,,Defensive rebound by D. Wright
0:44.0,Personal foul by R. Arcidiacono (drawn by D. Wright),,20-22,,
0:32.0,,,20-25,3,C. Miles makes 3-pt shot from 24 ft (assist by D. Wright)
0:13.0,J. Holiday makes 3-pt shot from 25 ft (assist by R. Arcidiacono),3,23-25,,
0:02.0,,,23-25,,Turnover by F. VanVleet (out of bounds lost ball)
0:00.0,R. Arcidiacono misses 3-pt shot from 38 ft,,23-25,,
0:00.0,Offensive rebound by Team,,23-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,23-25,,O. Anunoby misses 3-pt shot from 22 ft
11:42.0,Defensive rebound by D. Nwaba,,23-25,,
11:32.0,R. Arcidiacono misses 3-pt shot from 25 ft,,23-25,,
11:28.0,,,23-25,,Defensive rebound by O. Anunoby
11:21.0,,,23-28,3,C. Miles makes 3-pt shot from 25 ft (assist by O. Anunoby)
11:07.0,Turnover by C. Felicio (lost ball; steal by J. Poeltl),,23-28,,
11:03.0,,,23-28,,Shooting foul by Q. Pondexter (drawn by C. Miles)
11:03.0,,,23-29,1,C. Miles makes free throw 1 of 2
11:03.0,,,23-30,1,C. Miles makes free throw 2 of 2
10:50.0,D. Valentine misses 2-pt shot from 14 ft,,23-30,,
10:47.0,Offensive rebound by C. Felicio,,23-30,,
10:43.0,Q. Pondexter misses 2-pt shot from 2 ft,,23-30,,
10:41.0,,,23-30,,Defensive rebound by J. Poeltl
10:35.0,,,23-32,2,D. Wright makes 2-pt shot from 3 ft
10:35.0,,,23-32,,Shooting foul by D. Valentine (drawn by D. Wright)
10:35.0,,,23-33,1,D. Wright makes free throw 1 of 1
10:22.0,D. Valentine misses 2-pt shot from 11 ft,,23-33,,
10:19.0,,,23-33,,Defensive rebound by J. Poeltl
10:14.0,,,23-35,2,O. Anunoby makes 2-pt shot from 2 ft (assist by D. Wright)
10:12.0,Chicago full timeout,,23-35,,
10:00.0,Q. Pondexter misses 3-pt shot from 25 ft,,23-35,,
9:57.0,,,23-35,,Defensive rebound by C. Miles
9:50.0,,,23-38,3,C. Miles makes 3-pt shot from 22 ft (assist by F. VanVleet)
9:35.0,Offensive foul by C. Felicio (drawn by D. Wright),,23-38,,
9:35.0,Turnover by C. Felicio (offensive foul),,23-38,,
9:35.0,P. Zipser enters the game for R. Arcidiacono,,23-38,,
9:35.0,J. Grant enters the game for Q. Pondexter,,23-38,,
9:21.0,,,23-40,2,D. Wright makes 2-pt shot from 1 ft
8:59.0,P. Zipser makes 2-pt shot from 1 ft (assist by J. Grant),2,25-40,,
8:36.0,,,25-40,,Turnover by J. Poeltl (bad pass; steal by J. Grant)
8:31.0,D. Valentine misses 3-pt shot from 25 ft,,25-40,,
8:27.0,,,25-40,,Defensive rebound by C. Miles
8:08.0,,,25-42,2,O. Anunoby makes 2-pt shot from 1 ft (assist by D. Wright)
7:55.0,D. Valentine misses 2-pt shot from 9 ft,,25-42,,
7:52.0,,,25-42,,Defensive rebound by C. Miles
7:37.0,,,25-42,,D. Wright misses 3-pt shot from 27 ft
7:35.0,Defensive rebound by P. Zipser,,25-42,,
7:19.0,Turnover by P. Zipser (lost ball; steal by F. VanVleet),,25-42,,
7:15.0,,,25-42,,F. VanVleet misses 2-pt shot from 2 ft
7:13.0,,,25-42,,Offensive rebound by D. Wright
7:11.0,,,25-45,3,C. Miles makes 3-pt shot from 26 ft (assist by D. Wright)
7:09.0,Chicago full timeout,,25-45,,
7:09.0,,,25-45,,K. Lowry enters the game for O. Anunoby
7:09.0,,,25-45,,N. Powell enters the game for F. VanVleet
7:09.0,L. Markkanen enters the game for D. Nwaba,,25-45,,
7:09.0,J. Holiday enters the game for D. Valentine,,25-45,,
6:54.0,Offensive charge foul by P. Zipser (drawn by K. Lowry),,25-45,,
6:54.0,Turnover by P. Zipser (offensive foul),,25-45,,
6:54.0,R. Lopez enters the game for C. Felicio,,25-45,,
6:37.0,,,25-45,,C. Miles misses 2-pt shot from 22 ft
6:34.0,Defensive rebound by L. Markkanen,,25-45,,
6:25.0,L. Markkanen misses 2-pt shot from 18 ft,,25-45,,
6:23.0,,,25-45,,Defensive rebound by K. Lowry
6:18.0,,,25-45,,Shooting foul by L. Markkanen (drawn by D. Wright)
6:18.0,,,25-46,1,D. Wright makes free throw 1 of 2
6:18.0,,,25-46,,J. Valanciunas enters the game for J. Poeltl
6:18.0,,,25-47,1,D. Wright makes free throw 2 of 2
5:59.0,Turnover by L. Markkanen (bad pass),,25-47,,
5:59.0,,,25-47,,D. DeRozan enters the game for D. Wright
5:39.0,,,25-47,,Turnover by D. DeRozan (bad pass; steal by P. Zipser)
5:35.0,J. Holiday misses 3-pt shot from 25 ft,,25-47,,
5:35.0,Offensive rebound by Team,,25-47,,
5:35.0,,,25-47,,Loose ball foul by N. Powell (drawn by L. Markkanen)
5:35.0,,,25-47,,S. Ibaka enters the game for C. Miles
5:22.0,R. Lopez misses 2-pt shot from 15 ft,,25-47,,
5:20.0,,,25-47,,Defensive rebound by S. Ibaka
5:02.0,,,25-47,,S. Ibaka misses 2-pt shot from 13 ft
5:00.0,Defensive rebound by P. Zipser,,25-47,,
4:51.0,J. Grant misses 2-pt shot from 3 ft,,25-47,,
4:46.0,Offensive rebound by R. Lopez,,25-47,,
4:46.0,R. Lopez makes 2-pt shot at rim,2,27-47,,
4:32.0,,,27-47,,Shooting foul by P. Zipser (drawn by D. DeRozan)
4:32.0,,,27-48,1,D. DeRozan makes free throw 1 of 2
4:32.0,Q. Pondexter enters the game for P. Zipser,,27-48,,
4:32.0,,,27-49,1,D. DeRozan makes free throw 2 of 2
4:25.0,Turnover by J. Grant (bad pass; steal by J. Valanciunas),,27-49,,
4:25.0,Personal foul by J. Grant (drawn by N. Powell),,27-49,,
4:25.0,,,27-50,1,N. Powell makes free throw 1 of 2
4:25.0,,,27-51,1,N. Powell makes free throw 2 of 2
4:06.0,R. Lopez misses 2-pt shot from 18 ft,,27-51,,
4:03.0,,,27-51,,Defensive rebound by D. DeRozan
3:49.0,,,27-51,,Shooting foul by Q. Pondexter (drawn by J. Valanciunas)
3:49.0,,,27-52,1,J. Valanciunas makes free throw 1 of 2
3:49.0,K. Felder enters the game for J. Grant,,27-52,,
3:49.0,,,27-53,1,J. Valanciunas makes free throw 2 of 2
3:41.0,K. Felder misses 2-pt shot from 19 ft,,27-53,,
3:38.0,,,27-53,,Defensive rebound by J. Valanciunas
3:26.0,,,27-53,,N. Powell misses 2-pt shot from 3 ft
3:23.0,Defensive rebound by K. Felder,,27-53,,
3:20.0,J. Holiday misses 3-pt shot from 22 ft (block by S. Ibaka),,27-53,,
3:17.0,,,27-53,,Defensive rebound by K. Lowry
3:14.0,,,27-53,,N. Powell misses 3-pt shot from 23 ft
3:10.0,Defensive rebound by L. Markkanen,,27-53,,
2:57.0,Shooting foul by N. Powell (drawn by L. Markkanen),,27-53,,
2:57.0,L. Markkanen misses free throw 1 of 2,,27-53,,
2:57.0,Offensive rebound by Team,,27-53,,
2:57.0,L. Markkanen makes free throw 2 of 2,1,28-53,,
2:53.0,,,28-53,,Toronto full timeout
