time,Golden State,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. K. Durant (D. Green gains possession),,,,Jump ball: C. Capela vs. K. Durant (D. Green gains possession)
11:44.0,K. Thompson makes 2-pt shot from 14 ft (assist by D. Green),2,2-0,,
11:30.0,,,2-0,,Turnover by C. Paul (bad pass; steal by K. Thompson)
11:23.0,S. Curry misses 3-pt shot from 27 ft,,2-0,,
11:21.0,,,2-0,,Defensive rebound by C. Capela
11:08.0,,,2-0,,J. Harden misses 2-pt shot from 20 ft
11:08.0,Defensive rebound by Team,,2-0,,
10:56.0,Turnover by K. Durant (lost ball; steal by T. Ariza),,2-0,,
10:53.0,,,2-0,,Shooting foul by K. Durant (drawn by T. Ariza)
10:53.0,,,2-1,1,T. Ariza makes free throw 1 of 2
10:53.0,,,2-2,1,T. Ariza makes free throw 2 of 2
10:38.0,K. Durant misses 2-pt shot from 13 ft,,2-2,,
10:36.0,,,2-2,,Defensive rebound by C. Capela
10:33.0,,,2-4,2,T. Ariza makes 2-pt shot at rim (assist by J. Harden)
10:25.0,Turnover by A. Iguodala (bad pass),,2-4,,
10:11.0,,,2-4,,Turnover by J. Harden (bad pass; steal by K. Thompson)
10:06.0,Turnover by S. Curry (bad pass),,2-4,,
9:58.0,,,2-4,,C. Capela misses 2-pt shot from 6 ft
9:56.0,Defensive rebound by D. Green,,2-4,,
9:49.0,K. Durant makes 2-pt shot from 1 ft (assist by S. Curry),2,4-4,,
9:41.0,,,4-4,,Offensive foul by C. Paul (drawn by D. Green)
9:41.0,,,4-4,,Turnover by C. Paul (offensive foul)
9:25.0,K. Durant makes 2-pt shot from 16 ft (assist by S. Curry),2,6-4,,
9:08.0,,,6-6,2,J. Harden makes 2-pt shot from 1 ft
8:55.0,Shooting foul by C. Paul (drawn by K. Durant),,6-6,,
8:55.0,K. Durant makes free throw 1 of 2,1,7-6,,
