time,LA Lakers,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. B. Lopez (L. Ball gains possession),,,,Jump ball: M. Gasol vs. B. Lopez (L. Ball gains possession)
11:39.0,J. Randle misses 2-pt shot from 1 ft (block by J. Green),,0-0,,
11:39.0,Offensive rebound by Team,,0-0,,
11:35.0,L. Ball misses 3-pt shot from 26 ft,,0-0,,
11:31.0,,,0-0,,Defensive rebound by J. Martin
11:10.0,,,0-0,,A. Harrison misses 2-pt shot from 1 ft (block by B. Lopez)
11:10.0,,,0-0,,Offensive rebound by A. Harrison
11:10.0,,,0-0,,Turnover by Team (shot clock)
10:52.0,K. Kuzma misses 2-pt shot from 12 ft (block by J. Martin),,0-0,,
10:52.0,Offensive rebound by Team,,0-0,,
10:46.0,B. Lopez makes 2-pt shot from 5 ft (assist by L. Ball),2,2-0,,
10:33.0,,,2-2,2,A. Harrison makes 2-pt shot at rim
10:20.0,L. Ball misses 3-pt shot from 25 ft,,2-2,,
10:18.0,,,2-2,,Defensive rebound by J. Green
10:08.0,,,2-4,2,M. Gasol makes 2-pt shot from 17 ft (assist by A. Harrison)
9:48.0,Turnover by B. Lopez (lost ball; steal by M. Gasol),,2-4,,
9:44.0,,,2-6,2,J. Martin makes 2-pt shot from 1 ft (assist by M. Gasol)
9:28.0,Shooting foul by J. Green (drawn by J. Randle),,2-6,,
9:28.0,J. Randle misses free throw 1 of 2,,2-6,,
9:28.0,Offensive rebound by Team,,2-6,,
9:28.0,J. Randle makes free throw 2 of 2,1,3-6,,
9:13.0,,,3-8,2,D. Brooks makes 2-pt shot at rim
9:02.0,K. Caldwell-Pope misses 3-pt shot from 26 ft,,3-8,,
8:59.0,,,3-8,,Defensive rebound by J. Green
8:48.0,,,3-10,2,M. Gasol makes 2-pt shot from 1 ft (assist by A. Harrison)
8:33.0,Offensive charge foul by K. Kuzma (drawn by M. Gasol),,3-10,,
8:33.0,Turnover by K. Kuzma (offensive foul),,3-10,,
8:17.0,,,3-10,,M. Gasol misses 2-pt shot from 22 ft
8:15.0,Defensive rebound by J. Randle,,3-10,,
8:11.0,Turnover by J. Randle (bad pass; steal by D. Brooks),,3-10,,
8:07.0,,,3-12,2,J. Martin makes 2-pt shot at rim (assist by D. Brooks)
7:44.0,B. Lopez misses 3-pt shot from 26 ft,,3-12,,
7:41.0,,,3-12,,Defensive rebound by J. Martin
7:30.0,,,3-12,,J. Martin misses 3-pt shot from 22 ft
7:28.0,Defensive rebound by B. Lopez,,3-12,,
7:21.0,K. Kuzma makes 2-pt shot from 19 ft (assist by L. Ball),2,5-12,,
7:11.0,Personal foul by K. Caldwell-Pope (drawn by D. Brooks),,5-12,,
7:06.0,,,5-12,,Turnover by M. Gasol (bad pass)
6:58.0,Turnover by K. Caldwell-Pope (bad pass),,5-12,,
6:58.0,,,5-12,,Memphis full timeout
6:49.0,,,5-14,2,J. Martin makes 2-pt shot from 12 ft (assist by A. Harrison)
6:33.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,5-14,,
6:33.0,,,5-14,,Defensive rebound by J. Martin
6:15.0,,,5-14,,M. Gasol misses 2-pt shot from 19 ft
6:11.0,,,5-14,,Offensive rebound by J. Green
6:10.0,,,5-16,2,J. Green makes 2-pt shot at rim
5:55.0,B. Lopez makes 3-pt shot from 22 ft (assist by J. Randle),3,8-16,,
5:30.0,,,8-18,2,D. Brooks makes 2-pt shot from 1 ft
5:16.0,K. Kuzma misses 2-pt shot at rim,,8-18,,
5:13.0,Offensive rebound by K. Kuzma,,8-18,,
5:13.0,K. Kuzma misses 2-pt shot at rim,,8-18,,
5:12.0,,,8-18,,Defensive rebound by J. Green
5:07.0,,,8-20,2,A. Harrison makes 2-pt shot from 16 ft
