time,Orlando,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Sabonis vs. B. Biyombo (A. Gordon gains possession),,,,Jump ball: D. Sabonis vs. B. Biyombo (A. Gordon gains possession)
11:41.0,A. Gordon makes 2-pt shot from 17 ft,2,2-0,,
11:17.0,,,2-0,,D. Sabonis misses 2-pt shot from 16 ft
11:15.0,Defensive rebound by B. Biyombo,,2-0,,
10:52.0,B. Biyombo makes 2-pt shot from 10 ft (assist by A. Gordon),2,4-0,,
10:34.0,,,4-0,,V. Oladipo misses 2-pt shot from 1 ft
10:32.0,Defensive rebound by E. Payton,,4-0,,
10:22.0,E. Fournier makes 2-pt shot at rim (assist by E. Payton),2,6-0,,
10:07.0,,,6-0,,Shooting foul by E. Payton (drawn by B. Bogdanovic)
10:07.0,,,6-1,1,B. Bogdanovic makes free throw 1 of 2
10:07.0,,,6-2,1,B. Bogdanovic makes free throw 2 of 2
9:58.0,Shooting foul by D. Sabonis (drawn by B. Biyombo),,6-2,,
9:58.0,B. Biyombo makes free throw 1 of 2,1,7-2,,
9:58.0,B. Biyombo makes free throw 2 of 2,1,8-2,,
9:47.0,,,8-4,2,T. Young makes 2-pt shot from 1 ft (assist by D. Collison)
9:35.0,A. Gordon misses 3-pt shot from 26 ft,,8-4,,
9:32.0,Offensive rebound by A. Gordon,,8-4,,
9:29.0,Jump ball: D. Sabonis vs. B. Biyombo (E. Fournier gains possession),,,,Jump ball: D. Sabonis vs. B. Biyombo (E. Fournier gains possession)
9:12.0,B. Biyombo makes 2-pt shot from 1 ft (assist by E. Payton),2,10-4,,
8:50.0,,,10-6,2,V. Oladipo makes 2-pt shot at rim
8:36.0,B. Biyombo makes 2-pt shot at rim (assist by A. Gordon),2,12-6,,
8:24.0,,,12-6,,D. Sabonis misses 3-pt shot from 26 ft
8:20.0,Defensive rebound by E. Payton,,12-6,,
8:12.0,Turnover by B. Biyombo (lost ball; steal by D. Collison),,12-6,,
8:07.0,,,12-6,,D. Collison misses 2-pt shot from 2 ft
8:06.0,Defensive rebound by A. Gordon,,12-6,,
8:02.0,E. Payton makes 2-pt shot at rim (assist by A. Gordon),2,14-6,,
8:02.0,,,14-6,,Indiana full timeout
7:52.0,,,14-6,,D. Sabonis misses 2-pt shot from 8 ft (block by J. Simmons)
7:52.0,Defensive rebound by Team,,14-6,,
7:41.0,A. Gordon misses 3-pt shot from 26 ft,,14-6,,
7:38.0,Offensive rebound by Team,,14-6,,
7:36.0,J. Simmons misses 2-pt shot from 16 ft,,14-6,,
7:32.0,,,14-6,,Defensive rebound by T. Young
7:20.0,,,14-6,,Shooting foul by J. Simmons (drawn by T. Young)
7:20.0,,,14-6,,T. Young misses free throw 1 of 2
7:20.0,,,14-6,,Offensive rebound by Team
7:20.0,,,14-7,1,T. Young makes free throw 2 of 2
7:11.0,E. Payton makes 3-pt shot from 24 ft (assist by E. Fournier),3,17-7,,
6:47.0,,,17-7,,T. Young misses 2-pt shot at rim (block by B. Biyombo)
6:45.0,,,17-7,,Offensive rebound by D. Sabonis
6:45.0,,,17-9,2,D. Sabonis makes 2-pt shot at rim
6:35.0,Turnover by B. Biyombo (bad pass; steal by T. Young),,17-9,,
6:33.0,,,17-11,2,T. Young makes 2-pt shot from 1 ft
6:33.0,Orlando full timeout,,17-11,,
6:21.0,E. Fournier misses 2-pt shot from 17 ft,,17-11,,
6:19.0,Offensive rebound by B. Biyombo,,17-11,,
6:12.0,E. Payton misses 2-pt shot at rim (block by T. Young),,17-11,,
6:10.0,,,17-11,,Defensive rebound by D. Sabonis
6:00.0,,,17-11,,Turnover by T. Young (bad pass; steal by J. Simmons)
5:56.0,Offensive charge foul by A. Gordon (drawn by V. Oladipo),,17-11,,
5:56.0,Turnover by A. Gordon (offensive foul),,17-11,,
5:43.0,,,17-11,,T. Young misses 2-pt shot from 5 ft
5:39.0,Defensive rebound by E. Fournier,,17-11,,
5:35.0,E. Fournier makes 2-pt shot from 2 ft,2,19-11,,
5:35.0,,,19-11,,Violation by V. Oladipo (def goaltending)
5:19.0,,,19-14,3,B. Bogdanovic makes 3-pt shot from 25 ft (assist by V. Oladipo)
5:00.0,E. Fournier misses 2-pt shot from 21 ft,,19-14,,
4:57.0,,,19-14,,Defensive rebound by D. Collison
4:48.0,,,19-16,2,D. Sabonis makes 2-pt shot at rim
4:29.0,A. Gordon makes 2-pt shot from 18 ft,2,21-16,,
4:20.0,,,21-16,,B. Bogdanovic misses 3-pt shot from 23 ft
4:18.0,Defensive rebound by B. Biyombo,,21-16,,
4:10.0,,,21-16,,Personal foul by D. Collison (drawn by E. Payton)
4:10.0,,,21-16,,M. Turner enters the game for T. Young
4:10.0,,,21-16,,C. Joseph enters the game for B. Bogdanovic
4:10.0,M. Hezonja enters the game for J. Simmons,,21-16,,
4:03.0,Shooting foul by M. Turner (drawn by A. Gordon),,21-16,,
4:03.0,A. Gordon makes free throw 1 of 2,1,22-16,,
4:03.0,A. Gordon misses free throw 2 of 2,,22-16,,
4:01.0,,,22-16,,Defensive rebound by M. Turner
3:51.0,,,22-16,,Turnover by V. Oladipo (traveling)
3:39.0,E. Fournier misses 2-pt shot from 19 ft,,22-16,,
3:37.0,,,22-16,,Defensive rebound by C. Joseph
3:14.0,,,22-16,,D. Collison misses 2-pt shot from 18 ft
3:14.0,,,22-16,,Offensive rebound by Team
3:14.0,,,22-16,,Turnover by Team (shot clock)
3:14.0,,,22-16,,L. Stephenson enters the game for D. Collison
3:14.0,M. Speights enters the game for B. Biyombo,,22-16,,
3:03.0,Turnover by E. Payton (bad pass),,22-16,,
2:52.0,,,22-16,,C. Joseph misses 3-pt shot from 22 ft
2:48.0,Defensive rebound by M. Speights,,22-16,,
2:43.0,E. Fournier makes 2-pt shot from 5 ft,2,24-16,,
2:27.0,,,24-16,,M. Turner misses 2-pt shot from 5 ft
2:26.0,Defensive rebound by M. Speights,,24-16,,
2:21.0,E. Payton misses 2-pt shot from 1 ft,,24-16,,
2:21.0,,,24-16,,Defensive rebound by V. Oladipo
2:15.0,,,24-16,,Turnover by V. Oladipo (step out of bounds)
2:15.0,D. Augustin enters the game for E. Payton,,24-16,,
1:59.0,M. Speights misses 3-pt shot from 25 ft,,24-16,,
1:57.0,,,24-16,,Defensive rebound by C. Joseph
1:50.0,,,24-16,,V. Oladipo misses 3-pt shot from 27 ft
1:47.0,,,24-16,,Offensive rebound by Team
1:34.0,,,24-16,,D. Sabonis misses 2-pt shot from 2 ft
1:31.0,,,24-16,,Offensive rebound by D. Sabonis
1:30.0,,,24-16,,D. Sabonis misses 2-pt shot from 1 ft
1:30.0,,,24-16,,Offensive rebound by M. Turner
1:28.0,,,24-16,,M. Turner misses 2-pt shot at rim
