time,New Orleans,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Towns vs. A. Davis (T. Jones gains possession),,,,Jump ball: K. Towns vs. A. Davis (T. Jones gains possession)
11:43.0,,,0-0,,A. Wiggins misses 2-pt shot from 19 ft
11:39.0,Defensive rebound by A. Davis,,0-0,,
11:23.0,A. Davis misses 2-pt shot from 18 ft,,0-0,,
11:20.0,,,0-0,,Defensive rebound by T. Gibson
11:01.0,,,0-3,2,J. Butler makes 3-pt shot from 24 ft (assist by T. Gibson)
10:43.0,Turnover by J. Holiday (bad pass; steal by A. Wiggins),,0-3,,
10:42.0,,,0-5,2,A. Wiggins makes 2-pt shot at rim
10:42.0,,,0-5,,Shooting foul by E. Moore (drawn by A. Wiggins)
10:42.0,,,0-6,1,A. Wiggins makes free throw 1 of 1
10:32.0,D. Cousins makes 3-pt shot from 25 ft (assist by J. Holiday),3,3-6,,
10:14.0,,,3-8,2,A. Wiggins makes 2-pt shot from 6 ft (assist by J. Butler)
10:00.0,E. Moore misses 3-pt shot from 25 ft,,3-8,,
9:58.0,,,3-8,,Defensive rebound by T. Gibson
9:46.0,,,3-11,3,K. Towns makes 3-pt shot from 24 ft (assist by A. Wiggins)
9:35.0,Shooting foul by K. Towns (drawn by D. Cousins),,3-11,,
9:35.0,D. Cousins makes free throw 1 of 2,1,4-11,,
9:35.0,D. Cousins makes free throw 2 of 2,1,5-11,,
9:19.0,,,5-11,,T. Gibson misses 2-pt shot from 5 ft (block by D. Cousins)
9:15.0,,,5-11,,Offensive rebound by J. Butler
9:13.0,,,5-13,2,A. Wiggins makes 2-pt shot from 1 ft (assist by J. Butler)
9:05.0,R. Rondo makes 2-pt shot from 1 ft (assist by J. Holiday),2,7-13,,
8:44.0,,,7-13,,A. Wiggins misses 2-pt shot at rim (block by D. Cousins)
8:41.0,,,7-13,,Offensive rebound by T. Gibson
8:40.0,,,7-13,,T. Gibson misses 2-pt shot from 1 ft
8:40.0,Defensive rebound by R. Rondo,,7-13,,
8:33.0,E. Moore misses 3-pt shot from 23 ft,,7-13,,
8:31.0,,,7-13,,Defensive rebound by T. Gibson
8:27.0,,,7-13,,Shooting foul by J. Holiday (drawn by T. Jones)
8:27.0,,,7-14,1,T. Jones makes free throw 1 of 2
8:27.0,,,7-15,1,T. Jones makes free throw 2 of 2
8:23.0,Turnover by R. Rondo (bad pass),,7-15,,
8:10.0,,,7-15,,A. Wiggins misses 2-pt shot from 8 ft
8:07.0,,,7-15,,Offensive rebound by J. Butler
7:53.0,,,7-15,,T. Jones misses 3-pt shot from 24 ft
7:48.0,Defensive rebound by J. Holiday,,7-15,,
7:45.0,Shooting foul by T. Jones (drawn by D. Cousins),,7-15,,
7:45.0,D. Cousins makes free throw 1 of 2,1,8-15,,
7:45.0,D. Cousins makes free throw 2 of 2,1,9-15,,
7:25.0,,,9-15,,T. Gibson misses 3-pt shot from 23 ft
7:23.0,Defensive rebound by D. Cousins,,9-15,,
7:08.0,J. Holiday misses 3-pt shot from 22 ft,,9-15,,
7:03.0,,,9-15,,Defensive rebound by J. Butler
6:52.0,,,9-17,2,J. Butler makes 2-pt shot from 2 ft
6:43.0,D. Cousins misses 2-pt shot from 3 ft,,9-17,,
6:42.0,Offensive rebound by E. Moore,,9-17,,
6:41.0,E. Moore makes 2-pt shot at rim,2,11-17,,
6:28.0,,,11-19,2,T. Gibson makes 2-pt shot from 1 ft (assist by J. Butler)
6:18.0,R. Rondo makes 2-pt shot from 1 ft (assist by J. Holiday),2,13-19,,
5:57.0,,,13-19,,Shooting foul by D. Cousins (drawn by K. Towns)
5:57.0,,,13-19,,Minnesota full timeout
5:57.0,,,13-20,1,K. Towns makes free throw 1 of 2
5:57.0,,,13-21,1,K. Towns makes free throw 2 of 2
5:46.0,A. Davis misses 2-pt shot from 2 ft (block by K. Towns),,13-21,,
5:46.0,Offensive rebound by Team,,13-21,,
5:46.0,D. Miller enters the game for E. Moore,,13-21,,
5:34.0,J. Holiday makes 2-pt shot from 8 ft (assist by R. Rondo),2,15-21,,
5:04.0,,,15-23,2,T. Gibson makes 2-pt shot from 12 ft (assist by A. Wiggins)
