time,Minnesota,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Nurkic vs. K. Towns (A. Aminu gains possession),,,,Jump ball: J. Nurkic vs. K. Towns (A. Aminu gains possession)
11:43.0,,,0-2,2,J. Nurkic makes 2-pt shot at rim (assist by D. Lillard)
11:29.0,,,0-2,,Personal foul by J. Nurkic (drawn by K. Towns)
11:21.0,K. Towns misses 2-pt shot from 15 ft,,0-2,,
11:19.0,,,0-2,,Defensive rebound by A. Aminu
11:13.0,Violation by K. Towns (kicked ball),,0-2,,
11:06.0,,,0-2,,D. Lillard misses 2-pt shot from 17 ft
11:04.0,Defensive rebound by N. Bjelica,,0-2,,
10:53.0,J. Teague makes 2-pt shot from 1 ft,2,2-2,,
10:34.0,,,2-2,,C. McCollum misses 2-pt shot from 10 ft
10:31.0,Defensive rebound by N. Bjelica,,2-2,,
10:26.0,A. Wiggins misses 2-pt shot from 1 ft,,2-2,,
10:25.0,,,2-2,,Defensive rebound by A. Aminu
10:16.0,,,2-2,,D. Lillard misses 3-pt shot from 27 ft
10:13.0,Defensive rebound by K. Towns,,2-2,,
9:50.0,J. Teague makes 2-pt shot from 1 ft,2,4-2,,
9:38.0,,,4-4,2,J. Nurkic makes 2-pt shot from 1 ft (assist by C. McCollum)
9:29.0,T. Gibson makes 2-pt shot at rim (assist by A. Wiggins),2,6-4,,
9:12.0,,,6-4,,Turnover by J. Nurkic (bad pass; steal by N. Bjelica)
9:07.0,J. Teague misses 3-pt shot from 24 ft,,6-4,,
9:04.0,,,6-4,,Defensive rebound by D. Lillard
8:58.0,,,6-4,,C. McCollum misses 2-pt shot from 2 ft
8:56.0,Defensive rebound by N. Bjelica,,6-4,,
8:50.0,Turnover by J. Teague (bad pass; steal by J. Nurkic),,6-4,,
8:49.0,Personal foul by N. Bjelica (drawn by D. Lillard),,6-4,,
8:37.0,,,6-4,,A. Aminu misses 3-pt shot from 22 ft
8:35.0,Defensive rebound by J. Teague,,6-4,,
8:30.0,N. Bjelica misses 3-pt shot from 25 ft,,6-4,,
8:27.0,,,6-4,,Defensive rebound by M. Harkless
8:18.0,,,6-6,2,C. McCollum makes 2-pt shot from 11 ft
8:04.0,A. Wiggins misses 3-pt shot from 24 ft,,6-6,,
8:02.0,,,6-6,,Defensive rebound by J. Nurkic
7:55.0,,,6-8,2,J. Nurkic makes 2-pt shot from 21 ft (assist by D. Lillard)
7:36.0,A. Wiggins makes 2-pt shot from 2 ft,2,8-8,,
7:18.0,,,8-8,,M. Harkless misses 3-pt shot from 24 ft
7:16.0,Defensive rebound by J. Teague,,8-8,,
7:13.0,Turnover by J. Teague (traveling),,8-8,,
6:55.0,,,8-8,,M. Harkless misses 2-pt shot from 22 ft
6:52.0,Defensive rebound by A. Wiggins,,8-8,,
6:38.0,,,8-8,,Personal foul by A. Aminu (drawn by T. Gibson)
6:38.0,,,8-8,,Portland full timeout
6:24.0,T. Gibson makes 2-pt shot from 1 ft,2,10-8,,
6:10.0,,,10-8,,Shooting foul by K. Towns (drawn by J. Nurkic)
6:10.0,,,10-9,1,J. Nurkic makes free throw 1 of 2
6:10.0,,,10-10,1,J. Nurkic makes free throw 2 of 2
6:01.0,Turnover by J. Teague (bad pass; steal by M. Harkless),,10-10,,
5:56.0,,,10-10,,M. Harkless misses 2-pt shot from 2 ft (block by J. Teague)
5:53.0,Defensive rebound by K. Towns,,10-10,,
5:51.0,J. Teague misses 2-pt shot from 1 ft,,10-10,,
5:50.0,Offensive rebound by J. Teague,,10-10,,
5:49.0,J. Teague misses 2-pt shot from 1 ft,,10-10,,
5:47.0,,,10-10,,Defensive rebound by C. McCollum
5:43.0,,,10-10,,Shooting foul by J. Teague (drawn by D. Lillard)
5:43.0,,,10-11,1,D. Lillard makes free throw 1 of 3
5:43.0,,,10-12,1,D. Lillard makes free throw 2 of 3
5:43.0,,,10-13,1,D. Lillard makes free throw 3 of 3
5:27.0,A. Wiggins makes 2-pt shot from 14 ft,2,12-13,,
5:16.0,,,12-13,,J. Nurkic misses 2-pt shot from 20 ft
5:13.0,Defensive rebound by T. Gibson,,12-13,,
4:59.0,K. Towns makes 2-pt shot from 21 ft,2,14-13,,
4:44.0,,,14-13,,C. McCollum misses 2-pt shot from 21 ft
4:42.0,,,14-13,,Offensive rebound by J. Nurkic
4:37.0,,,14-13,,Turnover by J. Nurkic (lost ball; steal by K. Towns)
4:23.0,A. Wiggins misses 2-pt shot from 17 ft (block by C. McCollum),,14-13,,
4:23.0,,,14-13,,Defensive rebound by C. McCollum
4:18.0,,,14-13,,C. McCollum misses 3-pt shot from 25 ft
4:15.0,,,14-13,,Offensive rebound by Team
4:15.0,,,14-13,,P. Connaughton enters the game for M. Harkless
4:15.0,,,14-13,,E. Turner enters the game for J. Nurkic
4:15.0,,,14-13,,E. Davis enters the game for C. McCollum
4:15.0,J. Crawford enters the game for K. Towns,,14-13,,
4:15.0,G. Dieng enters the game for A. Wiggins,,14-13,,
4:11.0,,,14-13,,D. Lillard misses 3-pt shot from 24 ft
4:11.0,Defensive rebound by J. Crawford,,14-13,,
3:58.0,,,14-13,,Personal foul by P. Connaughton (drawn by N. Bjelica)
3:58.0,,,14-13,,Z. Collins enters the game for A. Aminu
3:50.0,G. Dieng makes 2-pt shot from 20 ft (assist by J. Teague),2,16-13,,
3:30.0,,,16-15,2,E. Davis makes 2-pt shot from 2 ft (assist by D. Lillard)
3:19.0,N. Bjelica makes 2-pt shot at rim,2,18-15,,
3:06.0,,,18-15,,P. Connaughton misses 2-pt shot from 10 ft
3:02.0,Defensive rebound by N. Bjelica,,18-15,,
2:51.0,T. Gibson makes 2-pt shot from 3 ft,2,20-15,,
2:35.0,,,20-15,,D. Lillard misses 3-pt shot from 24 ft
2:32.0,Defensive rebound by N. Bjelica,,20-15,,
2:18.0,Turnover by N. Bjelica (bad pass; steal by P. Connaughton),,20-15,,
2:12.0,Minnesota full timeout,,20-15,,
2:05.0,,,20-17,2,E. Davis makes 2-pt shot at rim (assist by E. Turner)
1:50.0,J. Crawford makes 2-pt shot from 20 ft,2,22-17,,
1:34.0,,,22-17,,D. Lillard misses 3-pt shot from 23 ft
1:32.0,Defensive rebound by N. Bjelica,,22-17,,
1:23.0,J. Teague misses 2-pt shot from 9 ft,,22-17,,
1:21.0,,,22-17,,Defensive rebound by E. Davis
1:17.0,,,22-17,,D. Lillard misses 2-pt shot from 1 ft
1:14.0,Defensive rebound by G. Dieng,,22-17,,
1:06.0,Offensive foul by G. Dieng (drawn by D. Lillard),,22-17,,
1:06.0,Turnover by G. Dieng (offensive foul),,22-17,,
0:50.0,,,22-17,,E. Turner misses 2-pt shot from 10 ft
0:48.0,Defensive rebound by N. Bjelica,,22-17,,
0:42.0,Offensive foul by T. Gibson (drawn by E. Turner),,22-17,,
0:42.0,Turnover by T. Gibson (offensive foul),,22-17,,
0:42.0,,,22-17,,C. McCollum enters the game for Z. Collins
0:33.0,,,22-17,,D. Lillard misses 2-pt shot from 13 ft
0:31.0,Defensive rebound by N. Bjelica,,22-17,,
0:18.0,J. Crawford makes 2-pt shot from 20 ft,2,24-17,,
0:17.0,Technical foul by T. Gibson,,24-17,,
0:17.0,,,24-17,,D. Lillard misses technical free throw
0:17.0,,,24-17,,Offensive rebound by Team
0:17.0,,,24-17,,S. Napier enters the game for E. Davis
0:17.0,T. Jones enters the game for J. Teague,,24-17,,
0:17.0,A. Wiggins enters the game for G. Dieng,,24-17,,
0:17.0,M. Georges-Hunt enters the game for T. Gibson,,24-17,,
0:02.0,,,24-17,,Shooting foul by A. Wiggins (drawn by D. Lillard)
0:02.0,,,24-18,1,D. Lillard makes free throw 1 of 2
0:02.0,,,24-18,,E. Davis enters the game for C. McCollum
0:02.0,K. Towns enters the game for M. Georges-Hunt,,24-18,,
0:02.0,T. Gibson enters the game for N. Bjelica,,24-18,,
0:02.0,,,24-18,,A. Aminu enters the game for P. Connaughton
0:02.0,,,24-19,1,D. Lillard makes free throw 2 of 2
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,G. Dieng misses 2-pt shot from 21 ft,,24-19,,
11:46.0,,,24-19,,Defensive rebound by E. Turner
