time,Chicago,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Henson vs. R. Lopez (T. Snell gains possession),,,,Jump ball: J. Henson vs. R. Lopez (T. Snell gains possession)
11:45.0,,,0-2,2,G. Antetokounmpo makes 2-pt shot from 17 ft (assist by J. Henson)
11:30.0,Turnover by R. Lopez (turnover),,0-2,,
11:18.0,,,0-2,,Turnover by G. Antetokounmpo (step out of bounds)
10:55.0,D. Valentine makes 2-pt shot from 17 ft (assist by K. Dunn),2,2-2,,
10:44.0,,,2-4,2,E. Bledsoe makes 2-pt shot at rim (assist by J. Henson)
10:44.0,,,2-4,,Shooting foul by D. Valentine (drawn by E. Bledsoe)
10:44.0,,,2-5,1,E. Bledsoe makes free throw 1 of 1
10:32.0,L. Markkanen misses 3-pt shot from 27 ft,,2-5,,
10:28.0,Offensive rebound by D. Valentine,,2-5,,
10:24.0,D. Valentine misses 3-pt shot from 26 ft,,2-5,,
10:21.0,,,2-5,,Defensive rebound by E. Bledsoe
10:16.0,,,2-7,2,G. Antetokounmpo makes 2-pt shot at rim
10:01.0,,,2-7,,Personal foul by E. Bledsoe (drawn by L. Markkanen)
9:59.0,K. Dunn makes 2-pt shot from 3 ft (assist by D. Valentine),2,4-7,,
9:31.0,,,4-7,,T. Snell misses 3-pt shot from 26 ft
9:27.0,Defensive rebound by L. Markkanen,,4-7,,
9:22.0,K. Dunn makes 2-pt shot from 1 ft,2,6-7,,
9:11.0,,,6-7,,E. Bledsoe misses 2-pt shot from 7 ft
9:06.0,Defensive rebound by K. Dunn,,6-7,,
8:56.0,K. Dunn misses 2-pt shot from 19 ft,,6-7,,
8:56.0,,,6-7,,Defensive rebound by Team
8:44.0,,,6-9,2,G. Antetokounmpo makes 2-pt shot at rim
8:21.0,Turnover by K. Dunn (bad pass),,6-9,,
8:14.0,,,6-12,3,T. Snell makes 3-pt shot from 23 ft (assist by K. Middleton)
7:58.0,Shooting foul by G. Antetokounmpo (drawn by L. Markkanen),,6-12,,
7:58.0,L. Markkanen misses free throw 1 of 2,,6-12,,
7:58.0,Offensive rebound by Team,,6-12,,
7:58.0,L. Markkanen misses free throw 2 of 2,,6-12,,
7:54.0,,,6-12,,Defensive rebound by J. Henson
7:44.0,,,6-12,,T. Snell misses 2-pt shot from 1 ft (block by R. Lopez)
7:40.0,Defensive rebound by D. Valentine,,6-12,,
7:34.0,D. Valentine misses 2-pt shot from 3 ft (block by J. Henson),,6-12,,
7:30.0,,,6-12,,Defensive rebound by K. Middleton
7:29.0,,,6-12,,Turnover by K. Middleton (bad pass; steal by K. Dunn)
7:24.0,D. Valentine makes 2-pt shot from 1 ft (assist by K. Dunn),2,8-12,,
7:15.0,,,8-12,,J. Henson misses 2-pt shot from 1 ft
7:15.0,Defensive rebound by Team,,8-12,,
7:12.0,,,8-12,,Personal foul by E. Bledsoe (drawn by K. Dunn)
7:12.0,,,8-12,,D. Liggins enters the game for E. Bledsoe
7:05.0,D. Valentine makes 3-pt shot from 23 ft (assist by K. Dunn),3,11-12,,
6:50.0,,,11-14,2,G. Antetokounmpo makes 2-pt shot from 20 ft (assist by T. Snell)
6:34.0,K. Dunn misses 2-pt shot from 19 ft,,11-14,,
6:31.0,,,11-14,,Defensive rebound by G. Antetokounmpo
6:29.0,Shooting block foul by J. Holiday (drawn by G. Antetokounmpo),,11-14,,
6:29.0,,,11-14,,Milwaukee full timeout
6:29.0,,,11-14,,M. Brogdon enters the game for K. Middleton
6:29.0,,,11-15,1,G. Antetokounmpo makes free throw 1 of 2
6:29.0,,,11-16,1,G. Antetokounmpo makes free throw 2 of 2
6:15.0,L. Markkanen misses 2-pt shot from 3 ft (block by G. Antetokounmpo),,11-16,,
6:11.0,,,11-16,,Defensive rebound by J. Henson
6:09.0,,,11-16,,Turnover by G. Antetokounmpo (bad pass)
5:52.0,R. Lopez makes 2-pt shot from 18 ft (assist by K. Dunn),2,13-16,,
5:33.0,,,13-18,2,G. Antetokounmpo makes 2-pt shot from 18 ft
5:18.0,R. Lopez misses 2-pt shot from 6 ft,,13-18,,
5:16.0,,,13-18,,Defensive rebound by M. Brogdon
5:11.0,,,13-18,,M. Brogdon misses 3-pt shot from 26 ft
5:06.0,Defensive rebound by L. Markkanen,,13-18,,
5:00.0,Turnover by K. Dunn (bad pass),,13-18,,
5:00.0,,,13-18,,T. Maker enters the game for J. Henson
5:00.0,N. Mirotic enters the game for L. Markkanen,,13-18,,
4:41.0,,,13-20,2,M. Brogdon makes 2-pt shot at rim
4:24.0,J. Holiday misses 2-pt shot from 20 ft,,13-20,,
4:23.0,Offensive rebound by Team,,13-20,,
4:23.0,,,13-20,,Loose ball foul by G. Antetokounmpo (drawn by R. Lopez)
4:23.0,,,13-20,,K. Middleton enters the game for G. Antetokounmpo
4:05.0,N. Mirotic misses 2-pt shot from 12 ft,,13-20,,
4:01.0,,,13-20,,Defensive rebound by T. Maker
3:50.0,,,13-20,,K. Middleton misses 3-pt shot from 26 ft
3:47.0,Defensive rebound by N. Mirotic,,13-20,,
3:35.0,N. Mirotic makes 3-pt shot from 23 ft (assist by K. Dunn),3,16-20,,
3:17.0,,,16-20,,Turnover by T. Maker (bad pass; steal by K. Dunn)
3:09.0,K. Dunn misses 2-pt shot from 5 ft (block by M. Brogdon),,16-20,,
3:05.0,,,16-20,,Defensive rebound by M. Brogdon
3:03.0,,,16-22,2,D. Liggins makes 2-pt shot from 15 ft (assist by M. Brogdon)
3:02.0,Chicago full timeout,,16-22,,
3:02.0,,,16-22,,M. Dellavedova enters the game for T. Snell
3:02.0,D. Nwaba enters the game for D. Valentine,,16-22,,
2:51.0,R. Lopez makes 2-pt shot from 20 ft (assist by K. Dunn),2,18-22,,
2:32.0,,,18-22,,K. Middleton misses 2-pt shot from 4 ft
2:28.0,Defensive rebound by J. Holiday,,18-22,,
2:20.0,J. Holiday misses 3-pt shot from 24 ft,,18-22,,
2:17.0,Offensive rebound by N. Mirotic,,18-22,,
2:09.0,J. Holiday misses 3-pt shot from 23 ft,,18-22,,
2:04.0,,,18-22,,Defensive rebound by M. Brogdon
1:59.0,,,18-22,,Shooting foul by J. Holiday (drawn by M. Brogdon)
1:59.0,,,18-23,1,M. Brogdon makes free throw 1 of 2
1:59.0,J. Grant enters the game for J. Holiday,,18-23,,
1:59.0,P. Zipser enters the game for K. Dunn,,18-23,,
1:59.0,,,18-24,1,M. Brogdon makes free throw 2 of 2
1:46.0,N. Mirotic makes 2-pt shot from 1 ft (assist by R. Lopez),2,20-24,,
1:27.0,,,20-26,2,M. Dellavedova makes 2-pt shot from 8 ft
1:01.0,Turnover by Team (shot clock),,20-26,,
0:51.0,,,20-29,3,K. Middleton makes 3-pt shot from 25 ft (assist by M. Dellavedova)
0:48.0,B. Portis enters the game for R. Lopez,,20-29,,
0:40.0,,,20-29,,Personal foul by M. Brogdon (drawn by P. Zipser)
0:40.0,P. Zipser makes free throw 1 of 2,1,21-29,,
0:40.0,P. Zipser makes free throw 2 of 2,1,22-29,,
0:33.0,,,22-29,,M. Dellavedova misses 2-pt shot from 21 ft
0:30.0,Defensive rebound by D. Nwaba,,22-29,,
0:27.0,J. Grant misses 2-pt shot from 16 ft,,22-29,,
0:25.0,,,22-29,,Defensive rebound by T. Maker
0:05.0,,,22-31,2,K. Middleton makes 2-pt shot from 15 ft
0:00.0,J. Grant misses 3-pt shot from 30 ft,,22-31,,
0:00.0,Offensive rebound by Team,,22-31,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,B. Portis makes 2-pt shot from 9 ft,2,24-31,,
11:22.0,,,24-31,,M. Brogdon misses 3-pt shot from 26 ft
11:19.0,,,24-31,,Offensive rebound by M. Brogdon
11:17.0,,,24-31,,Turnover by M. Brogdon (lost ball; steal by D. Nwaba)
11:09.0,B. Portis misses 2-pt shot from 7 ft,,24-31,,
11:09.0,,,24-31,,Defensive rebound by Team
10:49.0,,,24-33,2,K. Middleton makes 2-pt shot from 11 ft
10:32.0,N. Mirotic makes 2-pt shot from 20 ft (assist by P. Zipser),2,26-33,,
10:22.0,,,26-35,2,M. Brogdon makes 2-pt shot from 1 ft (assist by M. Dellavedova)
10:03.0,P. Zipser misses 2-pt shot from 6 ft (block by M. Brogdon),,26-35,,
10:03.0,,,26-35,,Defensive rebound by D. Liggins
9:56.0,,,26-35,,K. Middleton misses 2-pt shot from 13 ft
9:49.0,Defensive rebound by N. Mirotic,,26-35,,
9:44.0,,,26-35,,Personal foul by D. Liggins (drawn by N. Mirotic)
9:32.0,N. Mirotic misses 2-pt shot from 3 ft,,26-35,,
9:30.0,,,26-35,,Defensive rebound by M. Brogdon
9:26.0,,,26-35,,M. Brogdon misses 2-pt shot at rim
9:24.0,Defensive rebound by B. Portis,,26-35,,
9:13.0,P. Zipser makes 3-pt shot from 22 ft (assist by J. Grant),3,29-35,,
9:12.0,,,29-35,,Milwaukee full timeout
9:12.0,,,29-35,,E. Bledsoe enters the game for D. Liggins
8:58.0,Personal foul by B. Portis (drawn by T. Maker),,29-35,,
8:56.0,,,29-35,,Turnover by K. Middleton (bad pass; steal by D. Nwaba)
8:51.0,D. Nwaba makes 2-pt shot from 1 ft,2,31-35,,
8:28.0,,,31-35,,E. Bledsoe misses 3-pt shot from 26 ft
8:22.0,Defensive rebound by N. Mirotic,,31-35,,
8:15.0,J. Grant makes 3-pt shot from 25 ft (assist by N. Mirotic),3,34-35,,
8:03.0,,,34-35,,Turnover by M. Dellavedova (bad pass; steal by J. Grant)
7:59.0,N. Mirotic makes 2-pt shot at rim (assist by P. Zipser),2,36-35,,
7:43.0,Personal foul by D. Nwaba (drawn by E. Bledsoe),,36-35,,
7:43.0,,,36-35,,G. Antetokounmpo enters the game for T. Maker
7:35.0,,,36-38,3,E. Bledsoe makes 3-pt shot from 25 ft (assist by K. Middleton)
7:25.0,N. Mirotic misses 2-pt shot from 2 ft,,36-38,,
7:23.0,Offensive rebound by N. Mirotic,,36-38,,
7:21.0,N. Mirotic makes 2-pt shot at rim,2,38-38,,
7:06.0,,,38-38,,K. Middleton misses 2-pt shot from 14 ft
7:05.0,Defensive rebound by P. Zipser,,38-38,,
7:05.0,,,38-38,,Personal take foul by K. Middleton (drawn by P. Zipser)
6:52.0,P. Zipser misses 3-pt shot from 23 ft,,38-38,,
6:48.0,,,38-38,,Defensive rebound by G. Antetokounmpo
6:44.0,,,38-40,2,G. Antetokounmpo makes 2-pt shot from 1 ft
6:42.0,Chicago full timeout,,38-40,,
6:42.0,,,38-40,,T. Snell enters the game for M. Dellavedova
6:42.0,K. Dunn enters the game for J. Grant,,38-40,,
6:42.0,D. Valentine enters the game for P. Zipser,,38-40,,
6:28.0,B. Portis misses 2-pt shot from 14 ft,,38-40,,
6:24.0,,,38-40,,Defensive rebound by K. Middleton
6:06.0,,,38-40,,G. Antetokounmpo misses 3-pt shot from 23 ft
6:06.0,,,38-40,,Offensive rebound by Team
6:04.0,,,38-40,,Turnover by Team (shot clock)
5:57.0,K. Dunn makes 2-pt shot from 18 ft,2,40-40,,
5:45.0,,,40-40,,G. Antetokounmpo misses 2-pt shot at rim
5:43.0,Defensive rebound by B. Portis,,40-40,,
5:37.0,N. Mirotic misses 3-pt shot from 25 ft,,40-40,,
5:32.0,,,40-40,,Defensive rebound by K. Middleton
5:30.0,,,40-40,,Shooting foul by D. Valentine (drawn by G. Antetokounmpo)
5:30.0,,,40-41,1,G. Antetokounmpo makes free throw 1 of 2
5:30.0,,,40-41,,J. Henson enters the game for K. Middleton
5:30.0,L. Markkanen enters the game for B. Portis,,40-41,,
5:30.0,R. Lopez enters the game for N. Mirotic,,40-41,,
5:30.0,,,40-42,1,G. Antetokounmpo makes free throw 2 of 2
5:23.0,Shooting foul by E. Bledsoe (drawn by K. Dunn),,40-42,,
5:23.0,K. Dunn makes free throw 1 of 2,1,41-42,,
5:23.0,K. Dunn makes free throw 2 of 2,1,42-42,,
5:13.0,,,42-42,,E. Bledsoe misses 2-pt shot from 2 ft
5:07.0,,,42-42,,Offensive rebound by J. Henson
5:07.0,,,42-44,2,J. Henson makes 2-pt shot at rim
4:56.0,D. Nwaba misses 2-pt shot from 4 ft,,42-44,,
4:52.0,,,42-44,,Defensive rebound by G. Antetokounmpo
4:48.0,,,42-46,2,M. Brogdon makes 2-pt shot from 1 ft (assist by G. Antetokounmpo)
4:42.0,Shooting foul by G. Antetokounmpo (drawn by K. Dunn),,42-46,,
4:42.0,K. Dunn misses free throw 1 of 2,,42-46,,
4:42.0,Offensive rebound by Team,,42-46,,
4:42.0,J. Holiday enters the game for D. Nwaba,,42-46,,
4:42.0,K. Dunn misses free throw 2 of 2,,42-46,,
4:39.0,,,42-46,,Defensive rebound by J. Henson
4:25.0,,,42-48,2,J. Henson makes 2-pt shot from 17 ft (assist by E. Bledsoe)
4:12.0,R. Lopez misses 2-pt shot from 6 ft,,42-48,,
4:10.0,,,42-48,,Defensive rebound by E. Bledsoe
4:04.0,,,42-48,,T. Snell misses 3-pt shot from 22 ft
4:01.0,Defensive rebound by L. Markkanen,,42-48,,
3:52.0,R. Lopez makes 2-pt shot from 1 ft (assist by J. Holiday),2,44-48,,
3:36.0,,,44-48,,J. Henson misses 2-pt shot from 4 ft
3:34.0,Defensive rebound by D. Valentine,,44-48,,
3:29.0,Turnover by K. Dunn (bad pass; steal by G. Antetokounmpo),,44-48,,
3:24.0,,,44-50,2,G. Antetokounmpo makes 2-pt shot at rim
3:09.0,,,44-50,,Personal foul by E. Bledsoe (drawn by D. Valentine)
3:09.0,D. Valentine makes free throw 1 of 2,1,45-50,,
3:09.0,,,45-50,,K. Middleton enters the game for E. Bledsoe
3:09.0,,,45-50,,D. Liggins enters the game for M. Brogdon
3:09.0,D. Valentine makes free throw 2 of 2,1,46-50,,
2:56.0,,,46-50,,T. Snell misses 2-pt shot from 20 ft
2:53.0,Defensive rebound by R. Lopez,,46-50,,
2:47.0,R. Lopez misses 2-pt shot from 19 ft,,46-50,,
2:38.0,,,46-50,,Defensive rebound by T. Snell
2:33.0,,,46-50,,D. Liggins misses 3-pt shot from 22 ft
2:30.0,Defensive rebound by J. Holiday,,46-50,,
2:22.0,L. Markkanen misses 2-pt shot from 14 ft,,46-50,,
2:17.0,,,46-50,,Defensive rebound by D. Liggins
2:14.0,,,46-50,,Shooting foul by R. Lopez (drawn by T. Snell)
2:14.0,,,46-51,1,T. Snell makes free throw 1 of 3
2:14.0,,,46-51,,T. Snell misses free throw 2 of 3
2:14.0,,,46-51,,Offensive rebound by Team
2:14.0,,,46-51,,T. Snell misses free throw 3 of 3
2:11.0,Defensive rebound by R. Lopez,,46-51,,
