time,Atlanta,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. J. Collins (B. Griffin gains possession),,,,Jump ball: A. Drummond vs. J. Collins (B. Griffin gains possession)
11:49.0,,,0-0,,I. Smith misses 2-pt shot from 8 ft
11:45.0,Defensive rebound by D. Dedmon,,0-0,,
11:33.0,J. Collins makes 2-pt shot from 2 ft (assist by T. Dorsey),2,2-0,,
11:18.0,,,2-0,,S. Johnson misses 2-pt shot from 14 ft
11:13.0,Defensive rebound by T. Dorsey,,2-0,,
11:04.0,D. Dedmon makes 2-pt shot from 21 ft (assist by T. Dorsey),2,4-0,,
10:44.0,,,4-0,,Turnover by B. Griffin (bad pass)
10:32.0,T. Waller-Prince misses 3-pt shot from 27 ft,,4-0,,
10:28.0,,,4-0,,Defensive rebound by B. Griffin
10:23.0,,,4-0,,Turnover by B. Griffin (lost ball; steal by T. Waller-Prince)
10:18.0,Shooting foul by S. Johnson (drawn by J. Collins),,4-0,,
10:18.0,J. Collins misses free throw 1 of 2,,4-0,,
10:18.0,Offensive rebound by Team,,4-0,,
10:18.0,J. Collins makes free throw 2 of 2,1,5-0,,
10:10.0,,,5-0,,I. Smith misses 2-pt shot from 15 ft
10:04.0,Defensive rebound by J. Collins,,5-0,,
9:55.0,T. Dorsey misses 3-pt shot from 26 ft,,5-0,,
9:52.0,,,5-0,,Defensive rebound by I. Smith
9:47.0,,,5-0,,Turnover by R. Bullock (lost ball; steal by M. Delaney)
9:39.0,T. Dorsey misses 2-pt shot from 2 ft,,5-0,,
9:37.0,Offensive rebound by T. Dorsey,,5-0,,
9:36.0,Turnover by M. Delaney (step out of bounds),,5-0,,
9:36.0,,,5-0,,Detroit full timeout
9:19.0,,,5-2,2,I. Smith makes 2-pt shot from 14 ft (assist by S. Johnson)
8:59.0,M. Delaney misses 2-pt shot from 8 ft,,5-2,,
8:57.0,,,5-2,,Defensive rebound by A. Drummond
8:45.0,,,5-2,,R. Bullock misses 3-pt shot from 25 ft
8:41.0,,,5-2,,Offensive rebound by B. Griffin
8:31.0,,,5-5,3,S. Johnson makes 3-pt shot from 22 ft (assist by I. Smith)
8:07.0,M. Delaney makes 3-pt shot from 27 ft (assist by T. Dorsey),3,8-5,,
7:53.0,,,8-5,,B. Griffin misses 2-pt shot from 16 ft
7:49.0,Defensive rebound by D. Dedmon,,8-5,,
7:44.0,T. Waller-Prince misses 3-pt shot from 27 ft,,8-5,,
7:40.0,,,8-5,,Defensive rebound by S. Johnson
7:33.0,,,8-5,,Turnover by B. Griffin (bad pass)
7:18.0,D. Dedmon misses 2-pt shot from 15 ft,,8-5,,
7:15.0,,,8-5,,Defensive rebound by I. Smith
7:09.0,Violation by M. Delaney (kicked ball),,8-5,,
7:03.0,,,8-5,,R. Bullock misses 2-pt shot from 14 ft
6:58.0,Defensive rebound by D. Dedmon,,8-5,,
6:50.0,T. Dorsey makes 2-pt shot from 3 ft (assist by M. Delaney),2,10-5,,
6:50.0,,,10-5,,Violation by A. Drummond (def goaltending)
6:32.0,,,10-5,,R. Bullock misses 2-pt shot from 8 ft
6:30.0,,,10-5,,Offensive rebound by Team
6:30.0,M. Plumlee enters the game for J. Collins,,10-5,,
6:30.0,Personal foul by T. Waller-Prince (drawn by R. Bullock),,10-5,,
6:18.0,,,10-5,,S. Johnson misses 3-pt shot from 27 ft
6:14.0,Defensive rebound by T. Waller-Prince,,10-5,,
6:01.0,D. Dedmon makes 2-pt shot from 1 ft (assist by T. Waller-Prince),2,12-5,,
5:47.0,,,12-8,3,B. Griffin makes 3-pt shot from 24 ft
5:30.0,M. Delaney misses 3-pt shot from 26 ft,,12-8,,
5:27.0,,,12-8,,Defensive rebound by A. Drummond
5:26.0,Personal foul by M. Delaney (drawn by I. Smith),,12-8,,
5:26.0,,,12-8,,A. Tolliver enters the game for A. Drummond
5:15.0,,,12-10,2,S. Johnson makes 2-pt shot at rim (assist by B. Griffin)
4:57.0,T. Dorsey misses 2-pt shot from 1 ft (block by R. Bullock),,12-10,,
4:54.0,,,12-10,,Defensive rebound by B. Griffin
4:52.0,,,12-10,,Shooting foul by T. Waller-Prince (drawn by B. Griffin)
4:52.0,,,12-10,,B. Griffin misses free throw 1 of 2
4:52.0,,,12-10,,Offensive rebound by Team
4:52.0,M. Muscala enters the game for T. Waller-Prince,,12-10,,
4:52.0,D. Bembry enters the game for D. Dedmon,,12-10,,
4:52.0,,,12-11,1,B. Griffin makes free throw 2 of 2
4:35.0,T. Dorsey misses 3-pt shot from 26 ft,,12-11,,
4:34.0,,,12-11,,Defensive rebound by Team
4:34.0,,,12-11,,J. Ennis enters the game for S. Johnson
4:26.0,,,12-13,2,I. Smith makes 2-pt shot from 16 ft
4:03.0,M. Delaney misses 2-pt shot from 4 ft,,12-13,,
4:00.0,,,12-13,,Defensive rebound by I. Smith
3:58.0,,,12-15,2,R. Bullock makes 2-pt shot at rim (assist by I. Smith)
3:58.0,Atlanta full timeout,,12-15,,
3:58.0,I. Taylor enters the game for T. Dorsey,,12-15,,
3:58.0,A. White enters the game for M. Delaney,,12-15,,
3:43.0,Turnover by A. White (lost ball; steal by R. Bullock),,12-15,,
3:32.0,,,12-15,,R. Bullock misses 3-pt shot from 26 ft (block by D. Bembry)
3:29.0,Defensive rebound by D. Bembry,,12-15,,
3:27.0,A. White misses 3-pt shot from 26 ft,,12-15,,
3:22.0,,,12-15,,Defensive rebound by J. Ennis
3:15.0,,,12-18,3,B. Griffin makes 3-pt shot from 23 ft (assist by I. Smith)
2:53.0,A. White misses 2-pt shot from 4 ft,,12-18,,
2:53.0,,,12-18,,Defensive rebound by Team
2:53.0,,,12-18,,J. Nelson enters the game for I. Smith
2:53.0,,,12-18,,L. Kennard enters the game for R. Bullock
2:53.0,Loose ball foul by A. White (drawn by B. Griffin),,12-18,,
2:40.0,,,12-18,,L. Kennard misses 2-pt shot from 14 ft
2:37.0,Defensive rebound by M. Muscala,,12-18,,
2:29.0,A. White makes 2-pt shot from 1 ft (assist by D. Bembry),2,14-18,,
2:22.0,,,14-18,,Shooting foul by A. White (drawn by J. Ennis)
2:22.0,,,14-19,1,J. Ennis makes free throw 1 of 2
2:22.0,,,14-19,,A. Drummond enters the game for B. Griffin
2:22.0,,,14-20,1,J. Ennis makes free throw 2 of 2
2:11.0,D. Bembry misses 2-pt shot from 15 ft,,14-20,,
2:08.0,,,14-20,,Defensive rebound by A. Drummond
1:49.0,,,14-20,,A. Drummond misses 2-pt shot from 10 ft
1:45.0,Defensive rebound by M. Muscala,,14-20,,
1:41.0,Turnover by I. Taylor (bad pass),,14-20,,
1:41.0,J. Collins enters the game for M. Plumlee,,14-20,,
1:23.0,,,14-22,2,A. Drummond makes 2-pt shot from 5 ft (assist by A. Tolliver)
1:09.0,,,14-22,,Personal foul by A. Drummond (drawn by D. Bembry)
1:07.0,Turnover by I. Taylor (traveling),,14-22,,
0:57.0,,,14-22,,Turnover by A. Drummond (bad pass; steal by I. Taylor)
0:51.0,I. Taylor misses 2-pt shot from 3 ft,,14-22,,
0:48.0,,,14-22,,Defensive rebound by J. Ennis
0:44.0,,,14-22,,A. Tolliver misses 3-pt shot from 25 ft
0:40.0,Defensive rebound by D. Bembry,,14-22,,
0:31.0,I. Taylor misses 3-pt shot from 24 ft,,14-22,,
0:28.0,,,14-22,,Defensive rebound by A. Drummond
0:08.0,,,14-22,,J. Nelson misses 2-pt shot from 15 ft
0:05.0,Defensive rebound by D. Bembry,,14-22,,
0:00.0,A. White misses 3-pt shot from 25 ft,,14-22,,
0:00.0,Offensive rebound by Team,,14-22,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,M. Muscala misses 3-pt shot from 26 ft,,14-22,,
11:45.0,,,14-22,,Defensive rebound by L. Kennard
11:25.0,,,14-22,,J. Nelson misses 2-pt shot from 20 ft
11:21.0,Defensive rebound by D. Bembry,,14-22,,
11:09.0,J. Collins misses 3-pt shot from 23 ft,,14-22,,
11:08.0,Offensive rebound by M. Muscala,,14-22,,
11:08.0,,,14-22,,Loose ball foul by J. Nelson (drawn by M. Muscala)
11:08.0,T. Waller-Prince enters the game for D. Bembry,,14-22,,
11:00.0,J. Collins makes 2-pt shot from 1 ft (assist by A. White),2,16-22,,
10:42.0,,,16-22,,L. Kennard misses 3-pt shot from 26 ft
10:32.0,,,16-22,,Offensive rebound by J. Ennis
10:32.0,,,16-24,2,J. Ennis makes 2-pt shot at rim
10:23.0,T. Waller-Prince misses 2-pt shot from 6 ft,,16-24,,
10:20.0,,,16-24,,Defensive rebound by A. Drummond
10:12.0,,,16-24,,A. Tolliver misses 2-pt shot from 2 ft
10:08.0,,,16-24,,Offensive rebound by A. Drummond
10:08.0,,,16-24,,A. Drummond misses 2-pt shot from 1 ft
10:08.0,Defensive rebound by Team,,16-24,,
10:08.0,,,16-24,,Personal foul by A. Tolliver (drawn by J. Collins)
10:08.0,T. Dorsey enters the game for A. White,,16-24,,
9:53.0,J. Collins misses 2-pt shot at rim,,16-24,,
9:51.0,,,16-24,,Defensive rebound by A. Drummond
9:46.0,,,16-26,2,L. Kennard makes 2-pt shot from 11 ft (assist by J. Nelson)
9:19.0,J. Collins misses 3-pt shot from 23 ft,,16-26,,
9:16.0,,,16-26,,Defensive rebound by A. Drummond
9:07.0,,,16-26,,Turnover by A. Drummond (turnover)
9:07.0,D. Dedmon enters the game for M. Muscala,,16-26,,
8:55.0,T. Dorsey makes 2-pt shot from 2 ft,2,18-26,,
8:38.0,Personal foul by J. Collins (drawn by A. Drummond),,18-26,,
8:38.0,,,18-26,,S. Johnson enters the game for J. Ennis
8:38.0,M. Delaney enters the game for I. Taylor,,18-26,,
8:26.0,,,18-26,,L. Kennard misses 2-pt shot from 13 ft
8:21.0,Defensive rebound by D. Dedmon,,18-26,,
8:09.0,T. Waller-Prince misses 3-pt shot from 26 ft,,18-26,,
8:05.0,Offensive rebound by T. Dorsey,,18-26,,
8:04.0,T. Dorsey misses 2-pt shot from 10 ft,,18-26,,
8:04.0,Offensive rebound by Team,,18-26,,
8:00.0,M. Delaney misses 2-pt shot from 16 ft,,18-26,,
7:57.0,,,18-26,,Defensive rebound by A. Drummond
7:47.0,,,18-26,,J. Nelson misses 2-pt shot from 8 ft (block by J. Collins)
7:42.0,Defensive rebound by J. Collins,,18-26,,
7:39.0,D. Dedmon makes 2-pt shot from 2 ft (assist by M. Delaney),2,20-26,,
7:24.0,,,20-26,,S. Johnson misses 3-pt shot from 25 ft
7:21.0,Defensive rebound by J. Collins,,20-26,,
7:14.0,Turnover by T. Waller-Prince (bad pass),,20-26,,
7:14.0,,,20-26,,R. Bullock enters the game for L. Kennard
7:14.0,,,20-26,,I. Smith enters the game for J. Nelson
7:14.0,M. Plumlee enters the game for J. Collins,,20-26,,
7:02.0,,,20-29,3,A. Tolliver makes 3-pt shot from 26 ft (assist by I. Smith)
6:44.0,M. Plumlee makes 2-pt shot from 4 ft (assist by T. Dorsey),2,22-29,,
6:30.0,,,22-29,,A. Tolliver misses 3-pt shot from 25 ft
6:28.0,,,22-29,,Offensive rebound by R. Bullock
6:20.0,,,22-29,,Shooting foul by T. Waller-Prince (drawn by S. Johnson)
6:20.0,,,22-29,,Detroit full timeout
6:20.0,,,22-29,,B. Griffin enters the game for A. Drummond
6:20.0,D. Bembry enters the game for T. Waller-Prince,,22-29,,
6:20.0,,,22-30,1,S. Johnson makes free throw 1 of 2
6:20.0,,,22-31,1,S. Johnson makes free throw 2 of 2
6:09.0,,,22-31,,Personal foul by B. Griffin (drawn by M. Plumlee)
5:56.0,D. Bembry makes 2-pt shot from 17 ft,2,24-31,,
5:32.0,,,24-31,,Shooting foul by M. Delaney (drawn by I. Smith)
5:32.0,,,24-32,1,I. Smith makes free throw 1 of 2
5:32.0,,,24-33,1,I. Smith makes free throw 2 of 2
5:22.0,M. Delaney makes 2-pt shot from 15 ft,2,26-33,,
5:03.0,,,26-33,,A. Tolliver misses 3-pt shot from 25 ft
4:59.0,Defensive rebound by D. Bembry,,26-33,,
4:37.0,D. Bembry misses 3-pt shot from 26 ft,,26-33,,
4:33.0,,,26-33,,Defensive rebound by S. Johnson
4:28.0,,,26-33,,A. Tolliver misses 3-pt shot from 24 ft
4:24.0,Defensive rebound by D. Dedmon,,26-33,,
4:11.0,D. Dedmon misses 3-pt shot from 25 ft,,26-33,,
4:05.0,,,26-33,,Defensive rebound by R. Bullock
4:00.0,,,26-33,,B. Griffin misses 3-pt shot from 25 ft
3:57.0,Defensive rebound by D. Dedmon,,26-33,,
3:45.0,D. Bembry misses 3-pt shot from 26 ft,,26-33,,
3:41.0,,,26-33,,Defensive rebound by B. Griffin
3:38.0,,,26-36,3,R. Bullock makes 3-pt shot from 25 ft (assist by I. Smith)
3:36.0,Atlanta full timeout,,26-36,,
3:36.0,,,26-36,,A. Drummond enters the game for A. Tolliver
3:36.0,J. Collins enters the game for M. Delaney,,26-36,,
3:36.0,I. Taylor enters the game for M. Plumlee,,26-36,,
3:36.0,A. White enters the game for D. Bembry,,26-36,,
3:26.0,,,26-36,,Personal foul by I. Smith (drawn by J. Collins)
3:17.0,D. Dedmon makes 2-pt shot from 18 ft (assist by I. Taylor),2,28-36,,
3:01.0,,,28-36,,I. Smith misses 2-pt shot from 17 ft
2:58.0,Defensive rebound by J. Collins,,28-36,,
2:46.0,I. Taylor misses 3-pt shot from 24 ft,,28-36,,
2:42.0,,,28-36,,Defensive rebound by B. Griffin
2:38.0,,,28-36,,S. Johnson misses 2-pt shot from 15 ft
2:33.0,Defensive rebound by D. Dedmon,,28-36,,
2:27.0,Turnover by T. Dorsey (traveling),,28-36,,
2:27.0,M. Muscala enters the game for T. Dorsey,,28-36,,
2:27.0,M. Delaney enters the game for D. Dedmon,,28-36,,
2:19.0,,,28-38,2,I. Smith makes 2-pt shot from 14 ft
1:57.0,M. Delaney misses 2-pt shot from 19 ft,,28-38,,
1:54.0,,,28-38,,Defensive rebound by B. Griffin
1:39.0,,,28-40,2,I. Smith makes 2-pt shot from 19 ft (assist by B. Griffin)
1:19.0,A. White makes 3-pt shot from 27 ft (assist by M. Delaney),3,31-40,,
1:03.0,,,31-42,2,I. Smith makes 2-pt shot from 13 ft
0:40.0,A. White makes 2-pt shot from 4 ft (assist by M. Delaney),2,33-42,,
0:30.0,,,33-42,,Turnover by B. Griffin (lost ball; steal by A. White)
0:22.0,A. White misses 3-pt shot from 26 ft,,33-42,,
0:18.0,,,33-42,,Defensive rebound by R. Bullock
0:01.0,,,33-45,3,B. Griffin makes 3-pt shot from 25 ft (assist by I. Smith)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,,,33-45,,Personal foul by I. Smith (drawn by M. Delaney)
11:36.0,Shooting foul by I. Smith (drawn by M. Delaney),,33-45,,
11:36.0,M. Delaney makes free throw 1 of 2,1,34-45,,
11:36.0,M. Delaney makes free throw 2 of 2,1,35-45,,
11:25.0,,,35-47,2,S. Johnson makes 2-pt shot at rim (assist by B. Griffin)
11:10.0,T. Dorsey misses 2-pt shot from 8 ft,,35-47,,
11:08.0,Offensive rebound by J. Collins,,35-47,,
10:59.0,J. Collins misses 2-pt shot from 15 ft (block by A. Drummond),,35-47,,
10:55.0,,,35-47,,Defensive rebound by B. Griffin
10:50.0,,,35-47,,S. Johnson misses 2-pt shot from 19 ft
10:45.0,Defensive rebound by J. Collins,,35-47,,
10:29.0,D. Dedmon misses 3-pt shot from 23 ft,,35-47,,
10:28.0,,,35-47,,Defensive rebound by Team
10:20.0,Def 3 sec tech foul by D. Dedmon,,35-47,,
10:20.0,,,35-47,,B. Griffin misses technical free throw
10:20.0,,,35-47,,Offensive rebound by Team
