time,Phoenix,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Towns vs. G. Monroe (T. Gibson gains possession),,,,Jump ball: K. Towns vs. G. Monroe (T. Gibson gains possession)
11:43.0,,,0-0,,K. Towns misses 2-pt shot from 8 ft
11:40.0,Defensive rebound by G. Monroe,,0-0,,
11:27.0,J. Jackson misses 2-pt shot from 6 ft,,0-0,,
11:25.0,,,0-0,,Defensive rebound by T. Gibson
11:10.0,,,0-2,2,J. Butler makes 2-pt shot from 13 ft (assist by K. Towns)
10:52.0,J. Jackson misses 2-pt shot from 9 ft,,0-2,,
10:50.0,,,0-2,,Defensive rebound by T. Gibson
10:34.0,Personal foul by T. Warren (drawn by A. Wiggins),,0-2,,
10:28.0,,,0-4,2,J. Butler makes 2-pt shot from 1 ft (assist by T. Gibson)
10:11.0,T. Warren misses 2-pt shot from 6 ft,,0-4,,
10:11.0,,,0-4,,Defensive rebound by T. Jones
9:58.0,,,0-4,,J. Butler misses 2-pt shot from 13 ft
9:54.0,Defensive rebound by T. Ulis,,0-4,,
9:49.0,G. Monroe makes 2-pt shot at rim (assist by T. Ulis),2,2-4,,
9:33.0,,,2-6,2,T. Gibson makes 2-pt shot from 1 ft (assist by A. Wiggins)
9:12.0,T. Chandler makes 2-pt shot from 1 ft (assist by G. Monroe),2,4-6,,
9:12.0,Shooting foul by J. Butler (drawn by T. Chandler),,4-6,,
9:12.0,T. Chandler makes free throw 1 of 1,1,5-6,,
8:57.0,,,5-8,2,J. Butler makes 2-pt shot from 6 ft
8:48.0,T. Chandler makes 2-pt shot from 1 ft (assist by T. Ulis),2,7-8,,
8:25.0,,,7-10,2,T. Gibson makes 2-pt shot from 15 ft (assist by K. Towns)
8:11.0,Turnover by T. Ulis (bad pass; steal by J. Butler),,7-10,,
8:08.0,,,7-12,2,J. Butler makes 2-pt shot at rim
7:50.0,T. Ulis misses 2-pt shot from 11 ft,,7-12,,
7:46.0,Offensive rebound by G. Monroe,,7-12,,
7:46.0,G. Monroe makes 2-pt shot at rim,2,9-12,,
7:26.0,,,9-12,,T. Jones misses 3-pt shot from 22 ft
7:24.0,Defensive rebound by T. Chandler,,9-12,,
7:12.0,T. Ulis misses 2-pt shot from 4 ft,,9-12,,
7:09.0,,,9-12,,Defensive rebound by K. Towns
7:06.0,,,9-14,2,T. Jones makes 2-pt shot from 8 ft
6:40.0,T. Warren makes 2-pt shot from 2 ft,2,11-14,,
6:26.0,,,11-14,,K. Towns misses 3-pt shot from 25 ft
6:26.0,,,11-14,,Offensive rebound by T. Gibson
6:21.0,,,11-16,2,T. Gibson makes 2-pt shot from 1 ft
6:02.0,T. Warren makes 2-pt shot from 13 ft (assist by G. Monroe),2,13-16,,
5:43.0,Personal foul by T. Chandler (drawn by K. Towns),,13-16,,
5:43.0,,,13-16,,Minnesota full timeout
5:43.0,D. Bender enters the game for T. Chandler,,13-16,,
5:36.0,,,13-18,2,J. Butler makes 2-pt shot from 5 ft
5:12.0,Turnover by J. Jackson (bad pass; steal by A. Wiggins),,13-18,,
5:06.0,,,13-20,2,T. Jones makes 2-pt shot from 1 ft (assist by J. Butler)
4:45.0,Turnover by T. Warren (bad pass; steal by T. Jones),,13-20,,
4:41.0,,,13-22,2,K. Towns makes 2-pt shot from 2 ft (assist by T. Jones)
4:41.0,Phoenix full timeout,,13-22,,
4:41.0,,,13-22,,G. Dieng enters the game for K. Towns
4:41.0,T. Daniels enters the game for T. Ulis,,13-22,,
4:41.0,M. James enters the game for J. Jackson,,13-22,,
4:33.0,Turnover by M. James (bad pass; steal by J. Butler),,13-22,,
4:30.0,,,13-22,,J. Butler misses 2-pt shot at rim
4:22.0,,,13-22,,Offensive rebound by T. Gibson
4:22.0,,,13-24,2,T. Gibson makes 2-pt shot at rim
4:13.0,D. Bender misses 3-pt shot from 24 ft,,13-24,,
4:11.0,,,13-24,,Defensive rebound by A. Wiggins
4:05.0,,,13-27,3,A. Wiggins makes 3-pt shot from 26 ft
3:42.0,G. Monroe misses 2-pt shot from 9 ft,,13-27,,
3:39.0,,,13-27,,Defensive rebound by T. Gibson
3:31.0,,,13-27,,G. Dieng misses 2-pt shot from 21 ft
3:29.0,Defensive rebound by M. James,,13-27,,
3:24.0,M. James makes 2-pt shot from 6 ft,2,15-27,,
3:01.0,,,15-27,,G. Dieng misses 3-pt shot from 23 ft
2:58.0,,,15-27,,Offensive rebound by T. Gibson
2:56.0,,,15-27,,T. Gibson misses 2-pt shot from 3 ft
2:51.0,,,15-27,,Offensive rebound by T. Gibson
2:49.0,,,15-27,,Turnover by J. Butler (bad pass; steal by D. Bender)
2:36.0,T. Daniels makes 3-pt shot from 26 ft (assist by M. James),3,18-27,,
2:14.0,,,18-27,,Turnover by A. Wiggins (lost ball; steal by T. Warren)
2:09.0,Shooting foul by G. Dieng (drawn by T. Warren),,18-27,,
2:09.0,T. Warren makes free throw 1 of 2,1,19-27,,
2:09.0,,,19-27,,J. Crawford enters the game for T. Jones
2:09.0,,,19-27,,A. Brooks enters the game for J. Butler
2:09.0,M. Chriss enters the game for G. Monroe,,19-27,,
2:09.0,T. Warren misses free throw 2 of 2,,19-27,,
2:07.0,Offensive rebound by M. Chriss,,19-27,,
2:06.0,T. Daniels misses 3-pt shot from 26 ft,,19-27,,
2:04.0,,,19-27,,Defensive rebound by A. Wiggins
1:46.0,,,19-27,,A. Wiggins misses 2-pt shot from 16 ft
1:42.0,,,19-27,,Offensive rebound by T. Gibson
1:33.0,,,19-29,2,T. Gibson makes 2-pt shot at rim (assist by A. Wiggins)
1:14.0,D. Bender makes 3-pt shot from 22 ft (assist by M. James),3,22-29,,
0:55.0,,,22-29,,A. Wiggins misses 2-pt shot from 5 ft
0:53.0,,,22-29,,Offensive rebound by G. Dieng
0:53.0,,,22-31,2,G. Dieng makes 2-pt shot at rim
0:45.0,M. James makes 2-pt shot from 11 ft,2,24-31,,
