time,Minnesota,pts.away,score,pts.home,San Antonio
1:11.0,Offensive rebound by G. Dieng,,21-30,,
1:11.0,G. Dieng misses 2-pt shot from 3 ft (block by P. Gasol),,21-30,,
1:07.0,Offensive rebound by G. Dieng,,21-30,,
1:06.0,Turnover by G. Dieng (lost ball; steal by P. Mills),,21-30,,
1:02.0,,,21-32,2,R. Gay makes 2-pt shot at rim (assist by M. Ginobili)
0:45.0,T. Gibson makes 2-pt shot at rim (assist by J. Crawford),2,23-32,,
0:27.0,,,23-32,,P. Gasol misses 3-pt shot from 22 ft
0:27.0,Defensive rebound by S. Muhammad,,23-32,,
0:05.0,,,23-32,,Personal block foul by M. Ginobili (drawn by J. Crawford)
0:05.0,,,23-32,,K. Anderson enters the game for P. Gasol
0:05.0,N. Bjelica enters the game for T. Gibson,,23-32,,
0:00.0,J. Crawford misses 2-pt shot from 15 ft (block by M. Ginobili),,23-32,,
0:00.0,Offensive rebound by G. Dieng,,23-32,,
0:00.0,G. Dieng makes 2-pt shot at rim,2,25-32,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:51.0,Personal foul by S. Muhammad (drawn by R. Gay),,25-32,,
11:42.0,,,25-32,,P. Gasol misses 2-pt shot from 11 ft
11:40.0,Defensive rebound by K. Towns,,25-32,,
11:31.0,,,25-32,,Loose ball foul by M. Ginobili (drawn by S. Muhammad)
11:31.0,,,25-32,,D. Green enters the game for M. Ginobili
11:18.0,S. Muhammad misses 2-pt shot from 5 ft,,25-32,,
11:16.0,Offensive rebound by K. Towns,,25-32,,
11:12.0,S. Muhammad misses 2-pt shot from 1 ft (block by P. Gasol),,25-32,,
11:12.0,,,25-32,,Defensive rebound by D. Bertans
10:59.0,,,25-32,,P. Mills misses 2-pt shot from 2 ft
10:59.0,Defensive rebound by K. Towns,,25-32,,
10:58.0,,,25-32,,Personal foul by D. Green (drawn by T. Jones)
10:58.0,,,25-32,,D. Murray enters the game for P. Mills
10:41.0,N. Bjelica misses 2-pt shot from 4 ft (block by D. Green),,25-32,,
10:41.0,,,25-32,,Defensive rebound by R. Gay
10:23.0,,,25-32,,D. Green misses 2-pt shot from 3 ft
10:23.0,,,25-32,,Offensive rebound by P. Gasol
10:17.0,,,25-32,,D. Bertans misses 3-pt shot from 31 ft
10:17.0,Defensive rebound by J. Crawford,,25-32,,
10:08.0,N. Bjelica misses 2-pt shot from 2 ft,,25-32,,
10:08.0,Offensive rebound by K. Towns,,25-32,,
10:05.0,K. Towns misses 2-pt shot from 1 ft,,25-32,,
10:05.0,,,25-32,,Defensive rebound by D. Bertans
9:59.0,,,25-32,,Turnover by D. Murray (lost ball; steal by T. Jones)
9:56.0,T. Jones makes 2-pt shot from 1 ft,2,27-32,,
9:56.0,Shooting foul by P. Gasol (drawn by T. Jones),,27-32,,
9:56.0,,,27-32,,K. Anderson enters the game for P. Gasol
9:56.0,,,27-32,,L. Aldridge enters the game for R. Gay
9:56.0,J. Butler enters the game for N. Bjelica,,27-32,,
9:56.0,T. Jones makes free throw 1 of 1,1,28-32,,
9:40.0,,,28-32,,D. Green misses 2-pt shot from 13 ft
9:40.0,Defensive rebound by J. Butler,,28-32,,
9:24.0,K. Towns makes 2-pt shot from 1 ft (assist by T. Jones),2,30-32,,
9:06.0,,,30-32,,L. Aldridge misses 2-pt shot from 11 ft
9:06.0,Defensive rebound by J. Crawford,,30-32,,
9:01.0,Shooting foul by D. Murray (drawn by J. Crawford),,30-32,,
9:01.0,J. Crawford makes free throw 1 of 3,1,31-32,,
9:01.0,J. Crawford makes free throw 2 of 3,1,32-32,,
9:01.0,J. Crawford makes free throw 3 of 3,1,33-32,,
8:39.0,,,33-34,2,L. Aldridge makes 2-pt shot from 16 ft (assist by D. Green)
8:18.0,Turnover by K. Towns (bad pass; steal by D. Murray),,33-34,,
8:14.0,,,33-36,2,D. Murray makes 2-pt shot at rim
7:56.0,S. Muhammad misses 2-pt shot from 5 ft,,33-36,,
7:56.0,,,33-36,,Defensive rebound by L. Aldridge
7:54.0,,,33-36,,J. Lauvergne enters the game for D. Bertans
7:48.0,Jump ball: L. Aldridge vs. K. Towns (T. Jones gains possession),,,,Jump ball: L. Aldridge vs. K. Towns (T. Jones gains possession)
7:48.0,,,33-36,,Turnover by L. Aldridge (turnover; steal by K. Towns)
7:48.0,,,33-36,,Personal foul by D. Green (drawn by K. Towns)
7:48.0,K. Towns makes free throw 1 of 2,1,34-36,,
7:48.0,K. Towns makes free throw 2 of 2,1,35-36,,
7:32.0,,,35-38,2,L. Aldridge makes 2-pt shot from 3 ft
7:16.0,K. Towns makes 2-pt shot at rim (assist by J. Butler),2,37-38,,
6:53.0,,,37-40,2,D. Murray makes 2-pt shot from 10 ft (assist by L. Aldridge)
6:33.0,K. Towns misses 2-pt shot from 4 ft,,37-40,,
6:33.0,,,37-40,,Defensive rebound by K. Anderson
6:26.0,Personal foul by T. Jones (drawn by J. Lauvergne),,37-40,,
6:26.0,,,37-40,,San Antonio full timeout
6:26.0,J. Teague enters the game for T. Jones,,37-40,,
6:26.0,G. Dieng enters the game for J. Crawford,,37-40,,
6:26.0,T. Gibson enters the game for K. Towns,,37-40,,
6:16.0,,,37-40,,J. Lauvergne misses 2-pt shot from 4 ft
6:15.0,Defensive rebound by J. Teague,,37-40,,
5:55.0,T. Gibson misses 2-pt shot from 13 ft,,37-40,,
5:54.0,,,37-40,,Defensive rebound by K. Anderson
5:44.0,,,37-42,2,D. Green makes 2-pt shot from 17 ft (assist by L. Aldridge)
5:17.0,G. Dieng misses 2-pt shot from 15 ft,,37-42,,
5:14.0,,,37-42,,Defensive rebound by K. Anderson
5:09.0,,,37-42,,Shooting foul by S. Muhammad (drawn by K. Anderson)
5:09.0,,,37-42,,K. Anderson misses free throw 1 of 2
5:09.0,,,37-42,,Offensive rebound by Team
5:09.0,,,37-42,,P. Mills enters the game for D. Murray
5:09.0,,,37-42,,P. Gasol enters the game for D. Green
5:09.0,,,37-42,,R. Gay enters the game for J. Lauvergne
5:09.0,A. Wiggins enters the game for S. Muhammad,,37-42,,
5:09.0,,,37-43,1,K. Anderson makes free throw 2 of 2
4:57.0,A. Wiggins misses 2-pt shot from 19 ft,,37-43,,
4:53.0,,,37-43,,Turnover by P. Mills (bad pass; steal by G. Dieng)
4:52.0,,,37-43,,Offensive rebound by P. Mills
4:33.0,G. Dieng misses 3-pt shot from 25 ft,,37-43,,
4:30.0,,,37-43,,Defensive rebound by R. Gay
4:27.0,,,37-43,,K. Anderson misses 2-pt shot at rim (block by J. Teague)
4:27.0,Defensive rebound by G. Dieng,,37-43,,
4:21.0,J. Butler misses 2-pt shot from 3 ft,,37-43,,
4:21.0,,,37-43,,Defensive rebound by L. Aldridge
4:09.0,,,37-43,,R. Gay misses 3-pt shot from 26 ft
4:09.0,Defensive rebound by J. Butler,,37-43,,
3:57.0,T. Gibson misses 2-pt shot from 18 ft,,37-43,,
3:57.0,,,37-43,,Defensive rebound by P. Gasol
3:50.0,,,37-43,,San Antonio full timeout
3:50.0,,,37-43,,M. Ginobili enters the game for K. Anderson
3:50.0,K. Towns enters the game for G. Dieng,,37-43,,
3:45.0,,,37-43,,Shooting foul by J. Butler (drawn by M. Ginobili)
3:45.0,,,37-44,1,M. Ginobili makes free throw 1 of 2
3:45.0,,,37-45,1,M. Ginobili makes free throw 2 of 2
3:34.0,J. Butler misses 2-pt shot from 14 ft,,37-45,,
3:31.0,,,37-45,,Defensive rebound by L. Aldridge
3:25.0,Violation by J. Teague (kicked ball),,37-45,,
3:17.0,,,37-47,2,P. Gasol makes 2-pt shot from 16 ft (assist by P. Mills)
3:04.0,K. Towns makes 2-pt shot from 20 ft (assist by J. Teague),2,39-47,,
2:54.0,,,39-47,,M. Ginobili misses 3-pt shot from 25 ft
2:47.0,,,39-47,,Offensive rebound by L. Aldridge
2:47.0,,,39-49,2,L. Aldridge makes 2-pt shot at rim
2:25.0,T. Gibson misses 2-pt shot from 3 ft,,39-49,,
2:23.0,,,39-49,,Defensive rebound by M. Ginobili
2:19.0,,,39-49,,Turnover by M. Ginobili (bad pass; steal by J. Teague)
2:14.0,T. Gibson makes 2-pt shot at rim (assist by J. Teague),2,41-49,,
2:02.0,,,41-49,,L. Aldridge misses 2-pt shot from 14 ft
2:02.0,Defensive rebound by A. Wiggins,,41-49,,
1:46.0,J. Teague makes 3-pt shot from 25 ft (assist by T. Gibson),3,44-49,,
1:26.0,,,44-51,2,R. Gay makes 2-pt shot at rim (assist by M. Ginobili)
1:17.0,Shooting foul by P. Mills (drawn by J. Teague),,44-51,,
1:17.0,J. Teague misses free throw 1 of 2,,44-51,,
1:17.0,Offensive rebound by Team,,44-51,,
1:17.0,J. Teague makes free throw 2 of 2,1,45-51,,
0:57.0,,,45-53,2,R. Gay makes 2-pt shot from 6 ft
0:44.0,Shooting foul by R. Gay (drawn by A. Wiggins),,45-53,,
0:44.0,A. Wiggins misses free throw 1 of 2,,45-53,,
0:44.0,Offensive rebound by Team,,45-53,,
0:44.0,A. Wiggins makes free throw 2 of 2,1,46-53,,
0:33.0,,,46-53,,L. Aldridge misses 2-pt shot from 21 ft
0:31.0,Defensive rebound by J. Teague,,46-53,,
0:12.0,A. Wiggins makes 3-pt shot from 26 ft (assist by J. Butler),3,49-53,,
0:02.0,,,49-53,,M. Ginobili misses 3-pt shot from 25 ft
0:00.0,,,49-53,,Offensive rebound by P. Gasol
0:00.0,,,49-53,,P. Gasol misses 2-pt shot from 1 ft
0:00.0,,,49-53,,Offensive rebound by L. Aldridge
0:00.0,,,49-53,,L. Aldridge misses 2-pt shot at rim
0:00.0,,,49-53,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,,,49-53,,D. Green misses 3-pt shot from 24 ft
11:34.0,Defensive rebound by K. Towns,,49-53,,
11:19.0,J. Butler makes 2-pt shot at rim (assist by J. Teague),2,51-53,,
11:00.0,,,51-55,2,K. Anderson makes 2-pt shot at rim (assist by P. Gasol)
10:43.0,Shooting foul by D. Murray (drawn by J. Teague),,51-55,,
10:43.0,J. Teague makes free throw 1 of 2,1,52-55,,
10:43.0,J. Teague makes free throw 2 of 2,1,53-55,,
10:26.0,,,53-57,2,L. Aldridge makes 2-pt shot at rim
10:26.0,,,53-57,,Shooting foul by T. Gibson (drawn by L. Aldridge)
10:26.0,,,53-58,1,L. Aldridge makes free throw 1 of 1
10:10.0,A. Wiggins misses 2-pt shot from 7 ft,,53-58,,
10:07.0,,,53-58,,Defensive rebound by D. Murray
10:01.0,,,53-58,,K. Anderson misses 2-pt shot from 7 ft
9:58.0,Defensive rebound by J. Butler,,53-58,,
9:47.0,T. Gibson misses 3-pt shot from 23 ft,,53-58,,
9:43.0,,,53-58,,Defensive rebound by K. Anderson
9:35.0,,,53-60,2,D. Murray makes 2-pt shot from 1 ft (assist by P. Gasol)
9:21.0,Turnover by J. Teague (lost ball; steal by D. Murray),,53-60,,
9:20.0,,,53-60,,Shooting foul by J. Butler (drawn by D. Murray)
9:20.0,,,53-61,1,D. Murray makes free throw 1 of 2
9:20.0,,,53-62,1,D. Murray makes free throw 2 of 2
9:09.0,K. Towns makes 2-pt shot from 9 ft (assist by J. Teague),2,55-62,,
8:53.0,,,55-62,,D. Green misses 3-pt shot from 25 ft
8:53.0,Defensive rebound by K. Towns,,55-62,,
8:38.0,A. Wiggins makes 3-pt shot from 26 ft (assist by T. Gibson),3,58-62,,
8:37.0,,,58-62,,San Antonio full timeout
