time,Utah,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Nurkic vs. R. Gobert (D. Mitchell gains possession),,,,Jump ball: J. Nurkic vs. R. Gobert (D. Mitchell gains possession)
11:41.0,D. Favors makes 2-pt shot from 18 ft,2,2-0,,
11:20.0,,,2-0,,Turnover by M. Harkless (bad pass; steal by D. Favors)
11:08.0,D. Mitchell misses 2-pt shot from 5 ft (block by M. Harkless),,2-0,,
11:05.0,,,2-0,,Defensive rebound by C. McCollum
10:51.0,,,2-0,,A. Aminu misses 3-pt shot from 24 ft
10:48.0,Defensive rebound by J. Ingles,,2-0,,
10:40.0,J. Ingles misses 2-pt shot from 5 ft,,2-0,,
10:38.0,,,2-0,,Defensive rebound by J. Nurkic
10:31.0,,,2-0,,Shooting foul by J. Ingles (drawn by D. Lillard)
10:31.0,,,2-1,1,D. Lillard makes free throw 1 of 2
10:31.0,,,2-2,1,D. Lillard makes free throw 2 of 2
10:11.0,R. O'Neale makes 2-pt shot from 5 ft (assist by D. Mitchell),2,4-2,,
10:00.0,,,4-2,,J. Nurkic misses 2-pt shot from 1 ft
10:00.0,Defensive rebound by R. Gobert,,4-2,,
10:00.0,,,4-2,,Personal foul by J. Nurkic (drawn by R. Gobert)
9:40.0,J. Ingles misses 3-pt shot from 24 ft,,4-2,,
9:38.0,,,4-2,,Defensive rebound by J. Nurkic
9:31.0,,,4-5,3,A. Aminu makes 3-pt shot from 25 ft (assist by D. Lillard)
9:12.0,Turnover by R. Gobert (out of bounds lost ball),,4-5,,
9:03.0,,,4-5,,Shooting foul by D. Mitchell (drawn by D. Lillard)
9:03.0,,,4-6,1,D. Lillard makes free throw 1 of 3
9:03.0,,,4-7,1,D. Lillard makes free throw 2 of 3
9:03.0,,,4-8,1,D. Lillard makes free throw 3 of 3
8:51.0,D. Mitchell makes 2-pt shot from 15 ft,2,6-8,,
8:39.0,,,6-8,,D. Lillard misses 3-pt shot from 28 ft
8:37.0,Defensive rebound by J. Ingles,,6-8,,
8:30.0,R. Gobert misses 2-pt shot from 2 ft,,6-8,,
8:28.0,,,6-8,,Defensive rebound by M. Harkless
8:21.0,,,6-8,,C. McCollum misses 2-pt shot from 11 ft
8:19.0,Defensive rebound by J. Ingles,,6-8,,
8:10.0,Turnover by J. Ingles (bad pass; steal by C. McCollum),,6-8,,
8:10.0,Personal take foul by R. O'Neale (drawn by C. McCollum),,6-8,,
7:59.0,,,6-8,,C. McCollum misses 2-pt shot from 16 ft
7:57.0,Defensive rebound by D. Favors,,6-8,,
7:42.0,Turnover by D. Favors (traveling),,6-8,,
7:22.0,,,6-8,,J. Nurkic misses 2-pt shot from 5 ft
7:21.0,Defensive rebound by R. Gobert,,6-8,,
7:14.0,Turnover by J. Ingles (bad pass; steal by C. McCollum),,6-8,,
7:06.0,,,6-8,,M. Harkless misses 3-pt shot from 24 ft
7:02.0,,,6-8,,Offensive rebound by J. Nurkic
6:58.0,,,6-10,2,A. Aminu makes 2-pt shot from 3 ft (assist by M. Harkless)
6:41.0,J. Ingles makes 2-pt shot from 1 ft,2,8-10,,
6:32.0,,,8-10,,C. McCollum misses 2-pt shot from 1 ft (block by D. Favors)
6:29.0,Defensive rebound by J. Ingles,,8-10,,
6:21.0,R. O'Neale misses 2-pt shot from 2 ft (block by J. Nurkic),,8-10,,
6:19.0,Offensive rebound by R. O'Neale,,8-10,,
6:17.0,D. Favors makes 2-pt shot from 14 ft (assist by R. O'Neale),2,10-10,,
6:16.0,,,10-10,,Portland full timeout
6:16.0,J. Crowder enters the game for R. O'Neale,,10-10,,
6:03.0,,,10-10,,J. Nurkic misses 2-pt shot from 2 ft
6:01.0,Defensive rebound by R. Gobert,,10-10,,
5:49.0,D. Favors misses 2-pt shot from 18 ft,,10-10,,
5:46.0,,,10-10,,Defensive rebound by A. Aminu
5:37.0,,,10-10,,C. McCollum misses 3-pt shot from 23 ft
5:35.0,,,10-10,,Offensive rebound by Team
5:31.0,,,10-10,,J. Nurkic misses 2-pt shot from 21 ft
5:29.0,Defensive rebound by D. Favors,,10-10,,
5:13.0,J. Ingles makes 3-pt shot from 25 ft (assist by J. Crowder),3,13-10,,
4:57.0,,,13-10,,C. McCollum misses 2-pt shot from 5 ft
4:55.0,Defensive rebound by D. Favors,,13-10,,
4:38.0,R. Gobert misses 2-pt shot from 6 ft,,13-10,,
4:35.0,,,13-10,,Defensive rebound by M. Harkless
4:28.0,,,13-13,3,A. Aminu makes 3-pt shot from 23 ft (assist by C. McCollum)
4:12.0,D. Mitchell misses 2-pt shot from 19 ft,,13-13,,
4:10.0,,,13-13,,Defensive rebound by A. Aminu
3:59.0,,,13-16,3,C. McCollum makes 3-pt shot from 25 ft (assist by A. Aminu)
3:38.0,R. Gobert makes 2-pt shot from 1 ft (assist by J. Ingles),2,15-16,,
3:25.0,,,15-16,,Turnover by C. McCollum (bad pass; steal by J. Ingles)
3:21.0,J. Crowder misses 3-pt shot from 24 ft,,15-16,,
3:17.0,,,15-16,,Defensive rebound by M. Harkless
3:05.0,,,15-18,2,D. Lillard makes 2-pt shot from 14 ft (assist by J. Nurkic)
