time,Indiana,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Green vs. M. Turner (T. Young gains possession),,,,Jump ball: J. Green vs. M. Turner (T. Young gains possession)
11:44.0,M. Turner makes 2-pt shot from 17 ft (assist by D. Collison),2,2-0,,
11:23.0,,,2-2,2,R. Hood makes 2-pt shot at rim (assist by L. James)
11:03.0,D. Collison misses 2-pt shot from 20 ft,,2-2,,
11:00.0,,,2-2,,Defensive rebound by L. James
10:54.0,,,2-2,,K. Love misses 3-pt shot from 25 ft
10:50.0,,,2-2,,Offensive rebound by G. Hill
10:48.0,,,2-2,,K. Love misses 3-pt shot from 26 ft
10:44.0,Defensive rebound by V. Oladipo,,2-2,,
10:26.0,B. Bogdanovic misses 2-pt shot from 15 ft,,2-2,,
10:24.0,Offensive rebound by D. Collison,,2-2,,
10:19.0,T. Young makes 2-pt shot from 1 ft (assist by D. Collison),2,4-2,,
10:05.0,,,4-2,,Turnover by L. James (lost ball; steal by B. Bogdanovic)
9:52.0,V. Oladipo misses 2-pt shot from 21 ft,,4-2,,
9:47.0,,,4-2,,Defensive rebound by Team
9:47.0,Violation by T. Young (kicked ball),,4-2,,
9:33.0,,,4-2,,K. Love misses 2-pt shot from 10 ft
9:31.0,Defensive rebound by V. Oladipo,,4-2,,
9:23.0,,,4-2,,Personal foul by R. Hood (drawn by M. Turner)
9:14.0,Turnover by V. Oladipo (bad pass; steal by L. James),,4-2,,
9:09.0,,,4-4,2,G. Hill makes 2-pt shot from 1 ft (assist by L. James)
8:53.0,Turnover by V. Oladipo (bad pass; steal by R. Hood),,4-4,,
8:49.0,,,4-4,,R. Hood misses 3-pt shot from 24 ft
8:49.0,Defensive rebound by Team,,4-4,,
8:36.0,Shooting foul by R. Hood (drawn by M. Turner),,4-4,,
8:36.0,M. Turner makes free throw 1 of 2,1,5-4,,
8:36.0,,,5-4,,K. Korver enters the game for R. Hood
8:36.0,M. Turner misses free throw 2 of 2,,5-4,,
8:33.0,,,5-4,,Defensive rebound by J. Green
8:14.0,,,5-4,,J. Green misses 2-pt shot from 11 ft
8:10.0,Defensive rebound by D. Collison,,5-4,,
8:06.0,M. Turner misses 3-pt shot from 26 ft,,5-4,,
8:02.0,,,5-4,,Defensive rebound by L. James
7:58.0,,,5-4,,K. Korver misses 3-pt shot from 26 ft
7:56.0,Defensive rebound by V. Oladipo,,5-4,,
7:51.0,B. Bogdanovic misses 3-pt shot from 22 ft,,5-4,,
7:48.0,Offensive rebound by T. Young,,5-4,,
7:44.0,V. Oladipo makes 3-pt shot from 26 ft (assist by T. Young),3,8-4,,
7:29.0,Personal foul by B. Bogdanovic (drawn by L. James),,8-4,,
7:16.0,,,8-4,,K. Korver misses 2-pt shot from 17 ft
7:13.0,,,8-4,,Offensive rebound by G. Hill
7:12.0,,,8-4,,G. Hill misses 3-pt shot from 29 ft
7:12.0,,,8-4,,Offensive rebound by Team
7:12.0,,,8-4,,Turnover by Team (shot clock)
7:04.0,,,8-4,,Personal foul by K. Love (drawn by V. Oladipo)
6:53.0,M. Turner makes 2-pt shot from 19 ft (assist by B. Bogdanovic),2,10-4,,
6:40.0,,,10-4,,K. Korver misses 3-pt shot from 27 ft
6:38.0,Defensive rebound by M. Turner,,10-4,,
6:18.0,D. Collison misses 2-pt shot from 18 ft,,10-4,,
6:15.0,,,10-4,,Defensive rebound by K. Love
6:13.0,,,10-4,,Turnover by L. James (bad pass)
6:13.0,,,10-4,,Cleveland full timeout
6:00.0,D. Collison misses 3-pt shot from 26 ft,,10-4,,
