time,New Orleans,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Nurkic vs. A. Davis (N. Mirotic gains possession),,,,Jump ball: J. Nurkic vs. A. Davis (N. Mirotic gains possession)
11:42.0,A. Davis makes 2-pt shot from 17 ft,2,2-0,,
11:22.0,,,2-0,,C. McCollum misses 3-pt shot from 24 ft
11:20.0,Defensive rebound by A. Davis,,2-0,,
11:16.0,Turnover by R. Rondo (out of bounds lost ball),,2-0,,
11:00.0,,,2-0,,J. Nurkic misses 2-pt shot from 1 ft
10:58.0,,,2-0,,Offensive rebound by J. Nurkic
10:57.0,,,2-2,2,J. Nurkic makes 2-pt shot from 1 ft
10:48.0,J. Holiday misses 2-pt shot from 16 ft,,2-2,,
10:47.0,,,2-2,,Defensive rebound by A. Aminu
10:34.0,,,2-2,,C. McCollum misses 2-pt shot from 8 ft
10:32.0,Defensive rebound by N. Mirotic,,2-2,,
10:16.0,J. Holiday misses 3-pt shot from 25 ft,,2-2,,
10:14.0,,,2-2,,Defensive rebound by J. Nurkic
10:06.0,,,2-2,,E. Turner misses 2-pt shot from 1 ft
10:04.0,,,2-2,,Offensive rebound by A. Aminu
9:58.0,,,2-2,,E. Turner misses 2-pt shot from 8 ft
9:54.0,,,2-2,,Offensive rebound by A. Aminu
9:52.0,,,2-5,3,D. Lillard makes 3-pt shot from 27 ft (assist by A. Aminu)
9:43.0,A. Davis misses 2-pt shot from 1 ft (block by J. Nurkic),,2-5,,
9:43.0,Offensive rebound by Team,,2-5,,
9:41.0,N. Mirotic misses 2-pt shot from 15 ft,,2-5,,
9:39.0,,,2-5,,Defensive rebound by C. McCollum
9:30.0,,,2-5,,D. Lillard misses 3-pt shot from 24 ft
9:28.0,Defensive rebound by R. Rondo,,2-5,,
9:18.0,,,2-5,,Personal foul by J. Nurkic (drawn by A. Davis)
9:12.0,R. Rondo misses 2-pt shot from 1 ft,,2-5,,
9:10.0,,,2-5,,Defensive rebound by J. Nurkic
9:04.0,,,2-8,3,E. Turner makes 3-pt shot from 23 ft (assist by D. Lillard)
8:48.0,J. Holiday misses 2-pt shot from 6 ft,,2-8,,
8:46.0,,,2-8,,Defensive rebound by J. Nurkic
8:38.0,,,2-8,,J. Nurkic misses 2-pt shot from 20 ft
8:36.0,Defensive rebound by A. Davis,,2-8,,
8:26.0,,,2-8,,Violation by J. Nurkic (kicked ball)
8:19.0,A. Davis makes 2-pt shot from 20 ft (assist by R. Rondo),2,4-8,,
8:05.0,Personal foul by R. Rondo (drawn by D. Lillard),,4-8,,
7:57.0,,,4-8,,C. McCollum misses 2-pt shot from 1 ft (block by A. Davis)
7:55.0,Defensive rebound by A. Davis,,4-8,,
7:52.0,N. Mirotic misses 3-pt shot from 24 ft,,4-8,,
7:48.0,,,4-8,,Defensive rebound by A. Aminu
7:46.0,,,4-8,,Turnover by A. Aminu (lost ball; steal by R. Rondo)
7:42.0,A. Davis misses 2-pt shot from 17 ft,,4-8,,
7:40.0,,,4-8,,Defensive rebound by A. Aminu
7:37.0,,,4-10,2,E. Turner makes 2-pt shot from 2 ft (assist by A. Aminu)
7:25.0,J. Holiday makes 2-pt shot from 2 ft,2,6-10,,
7:03.0,,,6-10,,E. Turner misses 2-pt shot from 12 ft
7:01.0,Defensive rebound by A. Davis,,6-10,,
6:54.0,Turnover by A. Davis (out of bounds lost ball),,6-10,,
6:54.0,,,6-10,,Portland full timeout
6:41.0,,,6-10,,C. McCollum misses 3-pt shot from 24 ft
6:39.0,Defensive rebound by N. Mirotic,,6-10,,
6:28.0,E. Moore misses 2-pt shot from 6 ft (block by J. Nurkic),,6-10,,
6:26.0,Offensive rebound by N. Mirotic,,6-10,,
6:25.0,J. Holiday makes 3-pt shot from 25 ft (assist by N. Mirotic),3,9-10,,
6:04.0,,,9-12,2,E. Turner makes 2-pt shot from 1 ft
5:57.0,J. Holiday misses 3-pt shot from 24 ft,,9-12,,
5:55.0,,,9-12,,Defensive rebound by J. Nurkic
5:45.0,,,9-12,,A. Aminu misses 3-pt shot from 24 ft
5:45.0,Defensive rebound by R. Rondo,,9-12,,
5:37.0,A. Davis misses 2-pt shot from 3 ft,,9-12,,
5:35.0,Offensive rebound by A. Davis,,9-12,,
5:33.0,A. Davis misses 2-pt shot at rim (block by A. Aminu),,9-12,,
5:30.0,Offensive rebound by J. Holiday,,9-12,,
5:29.0,A. Davis makes 2-pt shot at rim (assist by R. Rondo),2,11-12,,
5:05.0,,,11-12,,D. Lillard misses 2-pt shot from 1 ft (block by N. Mirotic)
5:05.0,Defensive rebound by N. Mirotic,,11-12,,
4:51.0,N. Mirotic makes 2-pt shot from 1 ft (assist by R. Rondo),2,13-12,,
4:35.0,,,13-14,2,E. Turner makes 2-pt shot from 9 ft
4:20.0,A. Davis misses 3-pt shot from 24 ft,,13-14,,
4:18.0,,,13-14,,Defensive rebound by E. Turner
4:15.0,,,13-14,,Turnover by E. Turner (bad pass)
