time,Minnesota,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. K. Towns (A. Roberson gains possession),,,,Jump ball: S. Adams vs. K. Towns (A. Roberson gains possession)
11:44.0,,,0-0,,R. Westbrook misses 2-pt shot from 1 ft
11:42.0,,,0-0,,Offensive rebound by S. Adams
11:42.0,,,0-2,2,S. Adams makes 2-pt shot at rim
11:20.0,J. Teague makes 3-pt shot from 26 ft,3,3-2,,
11:02.0,,,3-2,,P. George misses 2-pt shot from 8 ft
10:59.0,Defensive rebound by Team,,3-2,,
10:44.0,T. Gibson misses 2-pt shot from 3 ft,,3-2,,
10:43.0,,,3-2,,Defensive rebound by S. Adams
10:39.0,,,3-4,2,R. Westbrook makes 2-pt shot at rim
10:29.0,K. Towns misses 3-pt shot from 25 ft,,3-4,,
10:27.0,,,3-4,,Defensive rebound by P. George
10:21.0,,,3-4,,A. Roberson misses 3-pt shot from 25 ft
10:16.0,Defensive rebound by A. Wiggins,,3-4,,
10:09.0,A. Wiggins misses 2-pt shot from 2 ft (block by S. Adams),,3-4,,
10:06.0,Offensive rebound by K. Towns,,3-4,,
10:05.0,K. Towns makes 2-pt shot from 2 ft,2,5-4,,
9:55.0,,,5-4,,C. Anthony misses 2-pt shot from 15 ft
9:55.0,Defensive rebound by A. Wiggins,,5-4,,
9:44.0,K. Towns misses 3-pt shot from 24 ft,,5-4,,
9:41.0,,,5-4,,Defensive rebound by R. Westbrook
9:38.0,,,5-6,2,S. Adams makes 2-pt shot from 1 ft (assist by R. Westbrook)
9:38.0,Violation by K. Towns (def goaltending),,5-6,,
9:22.0,T. Gibson makes 2-pt shot from 4 ft (assist by J. Teague),2,7-6,,
8:55.0,,,7-6,,C. Anthony misses 2-pt shot from 11 ft
8:52.0,Defensive rebound by J. Butler,,7-6,,
8:39.0,Turnover by K. Towns (lost ball; steal by P. George),,7-6,,
8:33.0,,,7-6,,A. Roberson misses 2-pt shot at rim
8:29.0,Defensive rebound by K. Towns,,7-6,,
8:23.0,J. Teague misses 2-pt shot from 2 ft (block by S. Adams),,7-6,,
8:21.0,Offensive rebound by Team,,7-6,,
8:12.0,A. Wiggins makes 2-pt shot from 4 ft (assist by J. Teague),2,9-6,,
8:00.0,,,9-8,2,P. George makes 2-pt shot at rim (assist by C. Anthony)
7:43.0,T. Gibson makes 2-pt shot from 4 ft (assist by A. Wiggins),2,11-8,,
7:13.0,,,11-8,,P. George misses 3-pt shot from 25 ft
7:09.0,Defensive rebound by K. Towns,,11-8,,
7:04.0,,,11-8,,Personal foul by A. Roberson (drawn by K. Towns)
6:53.0,J. Butler misses 2-pt shot from 16 ft,,11-8,,
6:50.0,,,11-8,,Defensive rebound by P. George
6:44.0,,,11-8,,S. Adams misses 2-pt shot from 1 ft
