time,Cleveland,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Porzingis vs. K. Love (E. Kanter gains possession),,,,Jump ball: K. Porzingis vs. K. Love (E. Kanter gains possession)
11:52.0,,,0-0,,T. Hardaway misses 3-pt shot from 25 ft
11:48.0,Defensive rebound by L. James,,0-0,,
11:42.0,K. Love misses 3-pt shot from 25 ft,,0-0,,
11:39.0,,,0-0,,Defensive rebound by T. Hardaway
11:30.0,,,0-2,2,K. Porzingis makes 2-pt shot from 19 ft
11:09.0,K. Love makes 2-pt shot from 1 ft (assist by L. James),2,2-2,,
10:54.0,,,2-2,,Turnover by J. Jack (bad pass; steal by J. Smith)
10:50.0,L. James makes 2-pt shot from 2 ft (assist by J. Smith),2,4-2,,
10:28.0,Personal foul by I. Shumpert (drawn by K. Porzingis),,4-2,,
10:22.0,,,4-4,2,E. Kanter makes 2-pt shot from 5 ft
10:05.0,I. Shumpert misses 2-pt shot from 17 ft,,4-4,,
10:03.0,,,4-4,,Defensive rebound by E. Kanter
9:59.0,,,4-4,,Offensive foul by K. Porzingis (drawn by J. Crowder)
9:59.0,,,4-4,,Turnover by K. Porzingis (offensive foul)
9:48.0,Turnover by L. James (lost ball; steal by K. Porzingis),,4-4,,
9:35.0,,,4-6,2,E. Kanter makes 2-pt shot from 3 ft
9:25.0,J. Smith makes 2-pt shot from 22 ft,2,6-6,,
9:00.0,,,6-6,,J. Jack misses 3-pt shot from 27 ft
8:56.0,Defensive rebound by L. James,,6-6,,
8:47.0,I. Shumpert misses 3-pt shot from 25 ft,,6-6,,
8:43.0,,,6-6,,Defensive rebound by E. Kanter
8:33.0,,,6-6,,Turnover by K. Porzingis (bad pass)
8:22.0,J. Crowder makes 2-pt shot from 2 ft,2,8-6,,
8:22.0,Shooting foul by K. Porzingis (drawn by J. Crowder),,8-6,,
8:22.0,,,8-6,,L. Thomas enters the game for K. Porzingis
8:22.0,J. Crowder makes free throw 1 of 1,1,9-6,,
8:07.0,,,9-6,,L. Thomas misses 2-pt shot from 1 ft
8:06.0,Defensive rebound by K. Love,,9-6,,
7:53.0,J. Smith makes 3-pt shot from 22 ft (assist by K. Love),3,12-6,,
7:42.0,,,12-6,,C. Lee misses 3-pt shot from 25 ft
7:37.0,,,12-6,,Offensive rebound by E. Kanter
7:37.0,,,12-8,2,E. Kanter makes 2-pt shot at rim
7:32.0,Shooting foul by L. Thomas (drawn by K. Love),,12-8,,
7:32.0,K. Love makes free throw 1 of 2,1,13-8,,
7:32.0,K. Love makes free throw 2 of 2,1,14-8,,
7:17.0,,,14-8,,Shooting foul by J. Smith (drawn by L. Thomas)
7:17.0,,,14-8,,L. Thomas misses free throw 1 of 2
7:17.0,,,14-8,,Offensive rebound by Team
7:17.0,,,14-9,1,L. Thomas makes free throw 2 of 2
7:05.0,J. Crowder misses 2-pt shot from 23 ft,,14-9,,
7:03.0,Offensive rebound by J. Crowder,,14-9,,
7:00.0,J. Crowder makes 2-pt shot from 1 ft,2,16-9,,
6:38.0,,,16-12,3,C. Lee makes 3-pt shot from 26 ft
6:22.0,Turnover by I. Shumpert (bad pass),,16-12,,
6:22.0,,,16-12,,New York full timeout
6:03.0,,,16-14,2,T. Hardaway makes 2-pt shot from 18 ft
5:38.0,K. Love misses 3-pt shot from 22 ft,,16-14,,
5:37.0,Offensive rebound by Team,,16-14,,
5:28.0,J. Crowder misses 3-pt shot from 25 ft,,16-14,,
5:26.0,Offensive rebound by K. Love,,16-14,,
5:26.0,,,16-14,,Personal foul by J. Jack (drawn by K. Love)
5:16.0,K. Love misses 2-pt shot from 8 ft,,16-14,,
5:14.0,,,16-14,,Defensive rebound by E. Kanter
5:03.0,,,16-16,2,L. Thomas makes 2-pt shot at rim (assist by E. Kanter)
4:46.0,J. Smith misses 3-pt shot from 25 ft,,16-16,,
4:44.0,,,16-16,,Defensive rebound by C. Lee
4:40.0,,,16-16,,C. Lee misses 3-pt shot from 25 ft
4:38.0,Defensive rebound by J. Smith,,16-16,,
4:30.0,J. Crowder misses 2-pt shot from 2 ft,,16-16,,
4:28.0,,,16-16,,Defensive rebound by E. Kanter
4:17.0,,,16-18,2,E. Kanter makes 2-pt shot from 1 ft (assist by C. Lee)
3:58.0,J. Smith misses 3-pt shot from 22 ft,,16-18,,
3:55.0,,,16-18,,Defensive rebound by E. Kanter
3:52.0,,,16-18,,Turnover by J. Jack (lost ball; steal by J. Smith)
3:50.0,Turnover by J. Crowder (out of bounds lost ball),,16-18,,
3:35.0,,,16-18,,T. Hardaway misses 3-pt shot from 25 ft
3:32.0,Defensive rebound by I. Shumpert,,16-18,,
3:16.0,Turnover by K. Love (lost ball; steal by L. Thomas),,16-18,,
3:12.0,,,16-18,,Turnover by L. Thomas (bad pass; steal by J. Smith)
3:08.0,J. Crowder makes 2-pt shot at rim (assist by J. Smith),2,18-18,,
2:59.0,Personal foul by I. Shumpert (drawn by J. Jack),,18-18,,
2:59.0,Cleveland full timeout,,18-18,,
2:59.0,,,18-18,,F. Ntilikina enters the game for T. Hardaway
