time,Houston,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Turner vs. C. Capela (R. Anderson gains possession),,,,Jump ball: M. Turner vs. C. Capela (R. Anderson gains possession)
11:48.0,C. Capela makes 2-pt shot at rim (assist by J. Harden),2,2-0,,
11:25.0,,,2-0,,T. Young misses 3-pt shot from 23 ft
11:22.0,Defensive rebound by C. Capela,,2-0,,
11:19.0,E. Gordon makes 2-pt shot at rim (assist by J. Harden),2,4-0,,
11:03.0,,,4-0,,T. Young misses 2-pt shot from 5 ft
11:00.0,Defensive rebound by C. Capela,,4-0,,
10:57.0,E. Gordon misses 3-pt shot from 26 ft,,4-0,,
10:53.0,,,4-0,,Defensive rebound by V. Oladipo
10:47.0,,,4-2,2,V. Oladipo makes 2-pt shot from 14 ft
10:36.0,E. Gordon makes 2-pt shot at rim,2,6-2,,
10:13.0,,,6-2,,V. Oladipo misses 3-pt shot from 26 ft
10:09.0,Defensive rebound by C. Capela,,6-2,,
10:02.0,C. Capela misses 2-pt shot from 1 ft,,6-2,,
10:00.0,,,6-2,,Defensive rebound by T. Young
9:56.0,,,6-2,,Turnover by D. Collison (lost ball; steal by J. Harden)
9:52.0,J. Harden makes 2-pt shot from 1 ft,2,8-2,,
9:29.0,,,8-2,,B. Bogdanovic misses 2-pt shot from 5 ft
9:25.0,Defensive rebound by R. Anderson,,8-2,,
9:24.0,Turnover by J. Harden (bad pass; steal by T. Young),,8-2,,
9:21.0,,,8-2,,B. Bogdanovic misses 3-pt shot from 25 ft
9:17.0,Defensive rebound by R. Anderson,,8-2,,
9:09.0,R. Anderson makes 3-pt shot from 26 ft (assist by J. Harden),3,11-2,,
8:49.0,,,11-2,,D. Collison misses 2-pt shot from 16 ft (block by E. Gordon)
8:46.0,Defensive rebound by E. Gordon,,11-2,,
8:43.0,Shooting foul by V. Oladipo (drawn by E. Gordon),,11-2,,
8:43.0,E. Gordon makes free throw 1 of 2,1,12-2,,
8:43.0,E. Gordon makes free throw 2 of 2,1,13-2,,
8:40.0,,,13-2,,Indiana full timeout
8:22.0,,,13-4,2,M. Turner makes 2-pt shot from 18 ft (assist by V. Oladipo)
8:07.0,C. Capela makes 2-pt shot at rim (assist by J. Harden),2,15-4,,
7:49.0,,,15-4,,M. Turner misses 2-pt shot from 6 ft
7:47.0,Defensive rebound by C. Capela,,15-4,,
7:37.0,T. Ariza makes 3-pt shot from 23 ft (assist by J. Harden),3,18-4,,
7:22.0,,,18-4,,Turnover by B. Bogdanovic (traveling)
7:04.0,Offensive foul by C. Capela (drawn by V. Oladipo),,18-4,,
7:04.0,Turnover by C. Capela (offensive foul),,18-4,,
6:52.0,,,18-6,2,V. Oladipo makes 2-pt shot from 19 ft (assist by M. Turner)
6:39.0,T. Ariza makes 3-pt shot from 22 ft (assist by E. Gordon),3,21-6,,
6:31.0,,,21-6,,V. Oladipo misses 2-pt shot from 17 ft
6:29.0,Defensive rebound by J. Harden,,21-6,,
6:25.0,Turnover by J. Harden (bad pass; steal by B. Bogdanovic),,21-6,,
6:21.0,,,21-9,3,D. Collison makes 3-pt shot from 26 ft (assist by B. Bogdanovic)
6:11.0,E. Gordon makes 3-pt shot from 30 ft (assist by J. Harden),3,24-9,,
5:49.0,,,24-9,,T. Young misses 2-pt shot from 10 ft
5:47.0,Defensive rebound by C. Capela,,24-9,,
5:42.0,T. Ariza misses 3-pt shot from 26 ft,,24-9,,
5:37.0,Offensive rebound by R. Anderson,,24-9,,
5:37.0,R. Anderson misses 2-pt shot at rim,,24-9,,
5:37.0,,,24-9,,Defensive rebound by T. Young
5:32.0,,,24-9,,B. Bogdanovic misses 2-pt shot from 1 ft
5:28.0,,,24-9,,Offensive rebound by M. Turner
5:28.0,,,24-11,2,M. Turner makes 2-pt shot at rim
5:19.0,T. Ariza misses 3-pt shot from 23 ft,,24-11,,
5:15.0,,,24-11,,Defensive rebound by T. Young
5:01.0,,,24-14,3,B. Bogdanovic makes 3-pt shot from 22 ft (assist by M. Turner)
4:57.0,Houston full timeout,,24-14,,
4:57.0,L. Mbah a Moute enters the game for E. Gordon,,24-14,,
4:57.0,T. Black enters the game for C. Capela,,24-14,,
4:57.0,P. Tucker enters the game for R. Anderson,,24-14,,
4:44.0,T. Black makes 2-pt shot from 2 ft (assist by J. Harden),2,26-14,,
4:23.0,,,26-16,2,M. Turner makes 2-pt shot from 14 ft
4:04.0,Turnover by T. Ariza (bad pass; steal by D. Collison),,26-16,,
4:00.0,,,26-16,,B. Bogdanovic misses 3-pt shot from 22 ft
3:58.0,,,26-16,,Offensive rebound by Team
3:58.0,Loose ball foul by T. Black (drawn by T. Young),,26-16,,
3:58.0,,,26-16,,C. Joseph enters the game for T. Young
3:58.0,,,26-16,,D. Sabonis enters the game for B. Bogdanovic
3:44.0,,,26-16,,D. Sabonis misses 2-pt shot from 3 ft (block by T. Black)
3:41.0,Defensive rebound by T. Ariza,,26-16,,
3:37.0,L. Mbah a Moute makes 3-pt shot from 22 ft (assist by T. Ariza),3,29-16,,
3:18.0,Personal foul by L. Mbah a Moute (drawn by M. Turner),,29-16,,
3:18.0,,,29-16,,L. Stephenson enters the game for D. Collison
3:04.0,,,29-16,,M. Turner misses 2-pt shot from 13 ft
3:00.0,Defensive rebound by T. Black,,29-16,,
2:55.0,,,29-16,,Loose ball foul by D. Sabonis (drawn by T. Black)
2:53.0,Turnover by T. Black (bad pass),,29-16,,
2:32.0,,,29-16,,L. Stephenson misses 2-pt shot from 19 ft
2:30.0,Defensive rebound by J. Harden,,29-16,,
2:25.0,J. Harden misses 2-pt shot from 1 ft (block by C. Joseph),,29-16,,
2:25.0,Offensive rebound by Team,,29-16,,
2:17.0,J. Harden misses 3-pt shot from 22 ft,,29-16,,
2:14.0,Offensive rebound by T. Black,,29-16,,
2:10.0,,,29-16,,Personal foul by L. Stephenson (drawn by J. Harden)
2:10.0,,,29-16,,T. Leaf enters the game for M. Turner
1:59.0,J. Harden misses 2-pt shot from 2 ft,,29-16,,
1:58.0,Offensive rebound by Team,,29-16,,
1:44.0,J. Harden makes 2-pt shot from 1 ft,2,31-16,,
1:24.0,,,31-16,,T. Leaf misses 2-pt shot from 17 ft
1:22.0,,,31-16,,Offensive rebound by D. Sabonis
1:22.0,,,31-18,2,D. Sabonis makes 2-pt shot at rim
1:08.0,T. Black makes 2-pt shot from 1 ft (assist by J. Harden),2,33-18,,
0:52.0,,,33-18,,Turnover by T. Leaf (bad pass; steal by T. Ariza)
0:48.0,T. Ariza misses 3-pt shot from 25 ft,,33-18,,
0:44.0,,,33-18,,Defensive rebound by T. Leaf
0:33.0,,,33-18,,Turnover by L. Stephenson (bad pass; steal by T. Black)
0:33.0,Houston full timeout,,33-18,,
0:33.0,,,33-18,,B. Bogdanovic enters the game for V. Oladipo
0:33.0,R. Anderson enters the game for T. Ariza,,33-18,,
0:28.0,J. Harden misses 3-pt shot from 27 ft,,33-18,,
0:25.0,Offensive rebound by R. Anderson,,33-18,,
0:08.0,T. Black makes 2-pt shot from 2 ft (assist by J. Harden),2,35-18,,
0:02.0,,,35-18,,C. Joseph misses 2-pt shot from 16 ft
0:02.0,,,35-18,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,35-20,2,D. Sabonis makes 2-pt shot at rim
11:29.0,Turnover by E. Gordon (step out of bounds),,35-20,,
11:18.0,,,35-22,2,D. Sabonis makes 2-pt shot from 1 ft (assist by C. Joseph)
11:03.0,E. Gordon misses 3-pt shot from 30 ft,,35-22,,
11:01.0,,,35-22,,Defensive rebound by L. Stephenson
10:38.0,,,35-25,3,D. Sabonis makes 3-pt shot from 28 ft (assist by C. Joseph)
10:27.0,Turnover by E. Gordon (discontinued dribble),,35-25,,
10:27.0,C. Capela enters the game for T. Black,,35-25,,
10:13.0,,,35-25,,L. Stephenson misses 2-pt shot at rim
10:09.0,,,35-25,,Offensive rebound by D. Sabonis
10:09.0,,,35-27,2,D. Sabonis makes 2-pt shot at rim
9:49.0,P. Tucker misses 2-pt shot from 9 ft,,35-27,,
9:46.0,,,35-27,,Defensive rebound by D. Sabonis
9:45.0,,,35-27,,Turnover by C. Joseph (bad pass)
9:35.0,E. Gordon misses 2-pt shot at rim (block by C. Joseph),,35-27,,
9:33.0,,,35-27,,Defensive rebound by L. Stephenson
9:31.0,,,35-29,2,B. Bogdanovic makes 2-pt shot from 1 ft (assist by L. Stephenson)
9:14.0,E. Gordon makes 2-pt shot from 1 ft (assist by P. Tucker),2,37-29,,
9:08.0,,,37-29,,B. Bogdanovic misses 2-pt shot at rim (block by L. Mbah a Moute)
9:06.0,Defensive rebound by C. Capela,,37-29,,
8:59.0,L. Mbah a Moute misses 2-pt shot from 1 ft (block by B. Bogdanovic),,37-29,,
8:54.0,Offensive rebound by L. Mbah a Moute,,37-29,,
8:51.0,R. Anderson makes 2-pt shot from 19 ft,2,39-29,,
8:36.0,,,39-31,2,L. Stephenson makes 2-pt shot from 20 ft (assist by D. Sabonis)
8:25.0,R. Anderson misses 2-pt shot from 2 ft,,39-31,,
8:21.0,,,39-31,,Defensive rebound by L. Stephenson
8:17.0,,,39-34,3,T. Leaf makes 3-pt shot from 22 ft (assist by L. Stephenson)
8:17.0,Houston full timeout,,39-34,,
8:17.0,,,39-34,,V. Oladipo enters the game for B. Bogdanovic
7:58.0,E. Gordon makes 3-pt shot from 26 ft (assist by L. Mbah a Moute),3,42-34,,
7:36.0,,,42-34,,L. Stephenson misses 2-pt shot from 20 ft
7:33.0,Defensive rebound by C. Capela,,42-34,,
7:26.0,R. Anderson misses 3-pt shot from 27 ft,,42-34,,
7:21.0,Offensive rebound by P. Tucker,,42-34,,
7:20.0,E. Gordon misses 3-pt shot from 25 ft,,42-34,,
7:17.0,,,42-34,,Defensive rebound by L. Stephenson
7:04.0,,,42-36,2,D. Sabonis makes 2-pt shot from 5 ft
6:47.0,P. Tucker makes 3-pt shot from 23 ft (assist by E. Gordon),3,45-36,,
6:26.0,Personal foul by L. Mbah a Moute (drawn by V. Oladipo),,45-36,,
6:26.0,,,45-36,,T. Young enters the game for T. Leaf
6:26.0,J. Harden enters the game for P. Tucker,,45-36,,
6:24.0,Personal foul by E. Gordon (drawn by C. Joseph),,45-36,,
6:11.0,,,45-36,,V. Oladipo misses 2-pt shot from 18 ft
6:08.0,Defensive rebound by R. Anderson,,45-36,,
5:57.0,Shooting foul by C. Joseph (drawn by C. Capela),,45-36,,
5:57.0,C. Capela makes free throw 1 of 2,1,46-36,,
5:57.0,T. Ariza enters the game for E. Gordon,,46-36,,
5:57.0,C. Capela makes free throw 2 of 2,1,47-36,,
5:41.0,,,47-36,,Turnover by D. Sabonis (bad pass; steal by T. Ariza)
5:36.0,L. Mbah a Moute makes 3-pt shot from 23 ft (assist by J. Harden),3,50-36,,
5:22.0,,,50-38,2,V. Oladipo makes 2-pt shot from 18 ft
5:05.0,L. Mbah a Moute misses 3-pt shot from 27 ft,,50-38,,
5:03.0,,,50-38,,Defensive rebound by L. Stephenson
5:00.0,,,50-40,2,V. Oladipo makes 2-pt shot at rim (assist by T. Young)
4:45.0,,,50-40,,M. Turner enters the game for D. Sabonis
4:41.0,,,50-40,,Personal foul by C. Joseph (drawn by J. Harden)
4:41.0,,,50-40,,D. Collison enters the game for C. Joseph
4:35.0,C. Capela makes 2-pt shot at rim (assist by J. Harden),2,52-40,,
4:13.0,,,52-43,3,D. Collison makes 3-pt shot from 26 ft
3:57.0,R. Anderson misses 3-pt shot from 26 ft,,52-43,,
3:55.0,,,52-43,,Defensive rebound by V. Oladipo
3:45.0,,,52-43,,M. Turner misses 3-pt shot from 27 ft
3:41.0,Defensive rebound by C. Capela,,52-43,,
3:30.0,J. Harden makes 2-pt shot from 4 ft,2,54-43,,
3:12.0,,,54-46,3,V. Oladipo makes 3-pt shot from 27 ft (assist by L. Stephenson)
3:01.0,L. Mbah a Moute misses 2-pt shot from 1 ft (block by M. Turner),,54-46,,
2:59.0,,,54-46,,Defensive rebound by M. Turner
2:56.0,,,54-46,,Shooting foul by C. Capela (drawn by L. Stephenson)
2:56.0,,,54-46,,Indiana full timeout
2:56.0,E. Gordon enters the game for L. Mbah a Moute,,54-46,,
2:56.0,P. Tucker enters the game for R. Anderson,,54-46,,
2:56.0,,,54-46,,L. Stephenson misses free throw 1 of 2
2:56.0,,,54-46,,Offensive rebound by Team
2:56.0,,,54-47,1,L. Stephenson makes free throw 2 of 2
2:46.0,J. Harden makes 3-pt shot from 26 ft,3,57-47,,
2:26.0,,,57-47,,Indiana full timeout
2:26.0,,,57-47,,B. Bogdanovic enters the game for L. Stephenson
2:18.0,,,57-47,,Turnover by V. Oladipo (bad pass; steal by E. Gordon)
2:10.0,J. Harden makes 2-pt shot from 1 ft,2,59-47,,
1:55.0,Def 3 sec tech foul by P. Tucker,,59-47,,
1:55.0,,,59-47,,D. Collison misses technical free throw
1:55.0,,,59-47,,Offensive rebound by Team
1:42.0,,,59-47,,Shooting foul by P. Tucker (drawn by M. Turner)
1:42.0,,,59-47,,M. Turner misses free throw 1 of 2
1:42.0,,,59-47,,Offensive rebound by Team
1:42.0,,,59-48,1,M. Turner makes free throw 2 of 2
1:32.0,Shooting foul by M. Turner (drawn by E. Gordon),,59-48,,
1:32.0,E. Gordon makes free throw 1 of 2,1,60-48,,
1:32.0,E. Gordon misses free throw 2 of 2,,60-48,,
1:30.0,,,60-48,,Defensive rebound by T. Young
1:10.0,,,60-50,2,V. Oladipo makes 2-pt shot from 6 ft
0:53.0,J. Harden makes 3-pt shot from 26 ft,3,63-50,,
0:45.0,,,63-50,,Turnover by V. Oladipo (bad pass; steal by J. Harden)
0:42.0,P. Tucker misses 2-pt shot from 20 ft,,63-50,,
0:39.0,,,63-50,,Defensive rebound by M. Turner
0:31.0,,,63-50,,Shooting foul by T. Ariza (drawn by D. Collison)
0:31.0,,,63-50,,D. Collison misses free throw 1 of 2
0:31.0,,,63-50,,Offensive rebound by Team
0:31.0,,,63-51,1,D. Collison makes free throw 2 of 2
0:09.0,J. Harden misses 3-pt shot from 29 ft (block by M. Turner),,63-51,,
0:05.0,,,63-51,,Defensive rebound by T. Young
0:02.0,,,63-51,,Turnover by D. Collison (lost ball; steal by E. Gordon)
0:00.0,J. Harden misses 3-pt shot from 26 ft,,63-51,,
0:00.0,Offensive rebound by Team,,63-51,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,63-53,2,M. Turner makes 2-pt shot from 18 ft (assist by D. Collison)
11:24.0,E. Gordon misses 3-pt shot from 27 ft,,63-53,,
11:22.0,,,63-53,,Defensive rebound by B. Bogdanovic
