time,Chicago,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. R. Lopez (L. Markkanen gains possession),,,,Jump ball: A. Horford vs. R. Lopez (L. Markkanen gains possession)
11:34.0,J. Holiday misses 2-pt shot from 23 ft,,0-0,,
11:32.0,,,0-0,,Defensive rebound by J. Tatum
11:15.0,,,0-2,2,J. Tatum makes 2-pt shot from 18 ft (assist by A. Baynes)
10:47.0,K. Dunn misses 2-pt shot from 4 ft,,0-2,,
10:42.0,,,0-2,,Defensive rebound by A. Horford
10:38.0,,,0-4,2,A. Horford makes 2-pt shot at rim
10:20.0,L. Markkanen makes 2-pt shot from 17 ft (assist by R. Lopez),2,2-4,,
9:56.0,,,2-4,,Turnover by A. Baynes (bad pass; steal by J. Holiday)
9:50.0,D. Valentine makes 3-pt shot from 22 ft (assist by L. Markkanen),3,5-4,,
9:35.0,,,5-4,,J. Tatum misses 2-pt shot from 18 ft
9:33.0,Defensive rebound by J. Holiday,,5-4,,
9:24.0,Turnover by J. Holiday (bad pass; steal by K. Irving),,5-4,,
9:20.0,,,5-6,2,K. Irving makes 2-pt shot at rim
9:06.0,K. Dunn misses 2-pt shot from 2 ft,,5-6,,
9:05.0,,,5-6,,Defensive rebound by A. Baynes
8:59.0,,,5-6,,A. Horford misses 2-pt shot from 7 ft
8:56.0,Defensive rebound by J. Holiday,,5-6,,
8:44.0,Shooting foul by J. Tatum (drawn by D. Valentine),,5-6,,
8:44.0,D. Valentine makes free throw 1 of 2,1,6-6,,
8:44.0,D. Valentine makes free throw 2 of 2,1,7-6,,
8:27.0,,,7-8,2,A. Horford makes 2-pt shot from 10 ft (assist by K. Irving)
8:10.0,D. Valentine misses 2-pt shot from 18 ft,,7-8,,
8:05.0,,,7-8,,Defensive rebound by K. Irving
7:58.0,,,7-10,2,A. Baynes makes 2-pt shot from 5 ft (assist by J. Brown)
7:41.0,R. Lopez misses 2-pt shot from 8 ft,,7-10,,
7:38.0,,,7-10,,Defensive rebound by A. Horford
7:25.0,,,7-12,2,A. Baynes makes 2-pt shot from 1 ft (assist by K. Irving)
7:08.0,R. Lopez makes 2-pt shot from 21 ft (assist by D. Valentine),2,9-12,,
6:50.0,,,9-14,2,K. Irving makes 2-pt shot from 1 ft
6:43.0,L. Markkanen makes 3-pt shot from 28 ft (assist by K. Dunn),3,12-14,,
6:24.0,,,12-16,2,J. Tatum makes 2-pt shot from 17 ft (assist by A. Horford)
6:13.0,K. Dunn misses 2-pt shot from 2 ft,,12-16,,
6:13.0,Offensive rebound by K. Dunn,,12-16,,
6:10.0,K. Dunn misses 2-pt shot from 11 ft,,12-16,,
6:05.0,,,12-16,,Defensive rebound by A. Baynes
6:00.0,,,12-16,,Turnover by K. Irving (bad pass; steal by D. Valentine)
5:49.0,,,12-16,,Boston full timeout
5:49.0,,,12-16,,S. Ojeleye enters the game for J. Tatum
5:49.0,,,12-16,,M. Smart enters the game for A. Baynes
5:42.0,L. Markkanen makes 2-pt shot from 10 ft (assist by K. Dunn),2,14-16,,
5:28.0,,,14-16,,M. Smart misses 2-pt shot from 18 ft
5:26.0,Defensive rebound by R. Lopez,,14-16,,
