time,Orlando,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Dedmon vs. N. Vucevic (A. Gordon gains possession),,,,Jump ball: D. Dedmon vs. N. Vucevic (A. Gordon gains possession)
11:45.0,N. Vucevic misses 2-pt shot from 20 ft,,0-0,,
11:42.0,Offensive rebound by Team,,0-0,,
11:35.0,D. Augustin misses 2-pt shot from 14 ft,,0-0,,
11:33.0,,,0-0,,Defensive rebound by J. Collins
11:17.0,,,0-0,,T. Waller-Prince misses 3-pt shot from 24 ft
11:14.0,Defensive rebound by D. Augustin,,0-0,,
11:05.0,N. Vucevic makes 2-pt shot from 5 ft (assist by J. Isaac),2,2-0,,
10:45.0,,,2-0,,T. Waller-Prince misses 2-pt shot from 7 ft
10:42.0,Defensive rebound by N. Vucevic,,2-0,,
10:32.0,J. Isaac makes 3-pt shot from 24 ft (assist by A. Gordon),3,5-0,,
10:19.0,Personal foul by W. Iwundu (drawn by D. Lee),,5-0,,
10:08.0,,,5-0,,I. Taylor misses 2-pt shot from 15 ft
10:05.0,Defensive rebound by N. Vucevic,,5-0,,
9:55.0,J. Isaac misses 2-pt shot from 13 ft,,5-0,,
9:52.0,,,5-0,,Defensive rebound by T. Waller-Prince
9:45.0,,,5-2,2,D. Dedmon makes 2-pt shot from 2 ft (assist by T. Waller-Prince)
9:31.0,N. Vucevic misses 3-pt shot from 24 ft,,5-2,,
9:28.0,,,5-2,,Defensive rebound by J. Collins
9:24.0,,,5-4,2,I. Taylor makes 2-pt shot from 3 ft
9:24.0,,,5-4,,Shooting foul by D. Augustin (drawn by I. Taylor)
9:24.0,,,5-5,1,I. Taylor makes free throw 1 of 1
9:10.0,N. Vucevic misses 2-pt shot from 9 ft,,5-5,,
9:08.0,,,5-5,,Defensive rebound by J. Collins
8:56.0,,,5-5,,D. Dedmon misses 3-pt shot from 23 ft
8:52.0,Defensive rebound by D. Augustin,,5-5,,
8:47.0,Shooting foul by D. Dedmon (drawn by N. Vucevic),,5-5,,
8:47.0,N. Vucevic makes free throw 1 of 2,1,6-5,,
8:47.0,N. Vucevic makes free throw 2 of 2,1,7-5,,
8:35.0,,,7-5,,Turnover by I. Taylor (bad pass; steal by W. Iwundu)
8:31.0,J. Isaac makes 2-pt shot at rim (assist by W. Iwundu),2,9-5,,
8:19.0,,,9-5,,D. Lee misses 2-pt shot from 15 ft (block by W. Iwundu)
8:19.0,,,9-5,,Offensive rebound by Team
8:05.0,,,9-5,,D. Dedmon misses 2-pt shot from 22 ft
8:02.0,,,9-5,,Offensive rebound by D. Lee
8:00.0,,,9-7,2,J. Collins makes 2-pt shot from 1 ft (assist by D. Dedmon)
7:38.0,A. Gordon misses 2-pt shot from 1 ft,,9-7,,
7:34.0,Offensive rebound by A. Gordon,,9-7,,
7:34.0,A. Gordon makes 2-pt shot at rim,2,11-7,,
7:22.0,,,11-7,,D. Dedmon misses 2-pt shot from 4 ft
7:19.0,Defensive rebound by A. Gordon,,11-7,,
7:05.0,D. Augustin misses 3-pt shot from 26 ft,,11-7,,
7:02.0,,,11-7,,Defensive rebound by J. Collins
6:44.0,,,11-7,,D. Dedmon misses 3-pt shot from 25 ft
6:41.0,Defensive rebound by J. Isaac,,11-7,,
6:33.0,J. Isaac misses 3-pt shot from 24 ft,,11-7,,
6:29.0,,,11-7,,Defensive rebound by D. Dedmon
6:27.0,,,11-7,,Turnover by D. Lee (lost ball; steal by J. Isaac)
6:25.0,,,11-7,,Shooting block foul by T. Waller-Prince (drawn by J. Isaac)
6:25.0,,,11-7,,Atlanta full timeout
6:25.0,,,11-7,,T. Dorsey enters the game for D. Lee
6:25.0,J. Isaac makes free throw 1 of 2,1,12-7,,
6:25.0,J. Isaac makes free throw 2 of 2,1,13-7,,
6:11.0,,,13-7,,T. Dorsey misses 2-pt shot from 13 ft
6:07.0,Defensive rebound by A. Gordon,,13-7,,
6:06.0,Turnover by J. Isaac (out of bounds lost ball),,13-7,,
5:53.0,,,13-7,,I. Taylor misses 3-pt shot from 25 ft
5:49.0,Defensive rebound by N. Vucevic,,13-7,,
5:37.0,A. Gordon misses 2-pt shot from 18 ft,,13-7,,
5:35.0,,,13-7,,Defensive rebound by T. Waller-Prince
5:20.0,,,13-10,2,T. Dorsey makes 3-pt shot from 23 ft (assist by D. Dedmon)
5:02.0,A. Gordon misses 3-pt shot from 25 ft,,13-10,,
4:59.0,,,13-10,,Defensive rebound by J. Collins
4:47.0,,,13-12,2,J. Collins makes 2-pt shot at rim (assist by T. Waller-Prince)
4:43.0,Orlando full timeout,,13-12,,
4:43.0,,,13-12,,M. Plumlee enters the game for D. Dedmon
4:43.0,,,13-12,,M. Muscala enters the game for J. Collins
4:43.0,M. Hezonja enters the game for J. Isaac,,13-12,,
