time,LA Clippers,pts.away,score,pts.home,Orlando
3:06.0,,,100-86,,M. Hezonja misses 3-pt shot from 22 ft
3:01.0,Defensive rebound by D. Jordan,,100-86,,
3:00.0,Shooting foul by M. Hezonja (drawn by S. Dekker),,100-86,,
3:00.0,S. Dekker makes free throw 1 of 2,1,101-86,,
3:00.0,S. Dekker makes free throw 2 of 2,1,102-86,,
2:55.0,Personal foul by C. Williams (drawn by J. Simmons),,102-86,,
2:55.0,LA Clippers full timeout,,102-86,,
2:55.0,,,102-87,1,J. Simmons makes free throw 1 of 2
2:55.0,,,102-88,1,J. Simmons makes free throw 2 of 2
2:39.0,M. Teodosic enters the game for C. Williams,,102-88,,
2:30.0,S. Dekker misses 3-pt shot from 25 ft,,102-88,,
2:28.0,,,102-88,,Defensive rebound by N. Vucevic
2:16.0,,,102-90,2,E. Payton makes 2-pt shot from 2 ft
1:55.0,L. Williams misses 2-pt shot from 8 ft,,102-90,,
1:52.0,,,102-90,,Defensive rebound by N. Vucevic
1:47.0,,,102-93,3,E. Payton makes 3-pt shot from 25 ft (assist by J. Simmons)
1:35.0,,,102-93,,Personal foul by E. Payton (drawn by M. Teodosic)
1:35.0,LA Clippers full timeout,,102-93,,
1:35.0,,,102-93,,D. Augustin enters the game for E. Payton
1:20.0,Turnover by L. Williams (bad pass; steal by N. Vucevic),,102-93,,
1:14.0,,,102-93,,D. Augustin misses 3-pt shot from 25 ft
1:08.0,Defensive rebound by L. Williams,,102-93,,
0:58.0,,,102-93,,Personal foul by J. Simmons (drawn by M. Teodosic)
0:58.0,M. Teodosic makes free throw 1 of 2,1,103-93,,
0:58.0,,,103-93,,J. Artis enters the game for S. Mack
0:58.0,,,103-93,,W. Iwundu enters the game for N. Vucevic
0:58.0,,,103-93,,K. Birch enters the game for J. Simmons
0:58.0,,,103-93,,A. Payne enters the game for D. Augustin
0:58.0,S. Thornwell enters the game for L. Williams,,103-93,,
0:58.0,M. Teodosic makes free throw 2 of 2,1,104-93,,
0:49.0,,,104-95,2,M. Hezonja makes 2-pt shot from 3 ft (assist by W. Iwundu)
0:49.0,,,104-95,,Shooting foul by S. Thornwell (drawn by M. Hezonja)
0:49.0,C. Williams enters the game for M. Teodosic,,104-95,,
0:49.0,,,104-95,,M. Hezonja misses free throw 1 of 1
0:44.0,Defensive rebound by J. Evans,,104-95,,
0:31.0,Shooting foul by M. Hezonja (drawn by J. Evans),,104-95,,
0:31.0,J. Evans makes free throw 1 of 2,1,105-95,,
0:31.0,J. Evans makes free throw 2 of 2,1,106-95,,
0:19.0,,,106-95,,J. Artis misses 2-pt shot from 16 ft
0:16.0,Defensive rebound by S. Dekker,,106-95,,
