time,LA Clippers,pts.away,score,pts.home,Orlando
2:03.0,,,11-19,,M. Hezonja misses 3-pt shot from 22 ft
1:59.0,Defensive rebound by D. Jordan,,11-19,,
1:53.0,D. Jordan makes 2-pt shot from 1 ft (assist by L. Williams),2,13-19,,
1:29.0,,,13-21,2,M. Hezonja makes 2-pt shot from 8 ft
1:10.0,S. Dekker misses 2-pt shot from 2 ft (block by M. Hezonja),,13-21,,
1:06.0,,,13-21,,Defensive rebound by M. Hezonja
1:00.0,,,13-24,3,D. Augustin makes 3-pt shot from 24 ft (assist by J. Simmons)
0:48.0,L. Williams misses 2-pt shot from 11 ft,,13-24,,
0:45.0,Offensive rebound by Team,,13-24,,
0:45.0,,,13-24,,S. Mack enters the game for E. Payton
0:45.0,,,13-24,,M. Speights enters the game for M. Hezonja
0:45.0,M. Harrell enters the game for D. Jordan,,13-24,,
0:40.0,L. Williams misses 2-pt shot from 17 ft,,13-24,,
0:37.0,Offensive rebound by M. Harrell,,13-24,,
0:29.0,M. Harrell misses 2-pt shot from 9 ft,,13-24,,
0:25.0,,,13-24,,Defensive rebound by J. Simmons
0:08.0,,,13-24,,J. Simmons misses 3-pt shot from 25 ft
0:06.0,Defensive rebound by M. Harrell,,13-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,J. Evans misses 2-pt shot from 8 ft,,13-24,,
11:45.0,,,13-24,,Defensive rebound by B. Biyombo
11:32.0,,,13-24,,Turnover by D. Augustin (bad pass; steal by J. Evans)
11:25.0,J. Evans misses 2-pt shot from 4 ft,,13-24,,
11:22.0,Offensive rebound by M. Harrell,,13-24,,
11:19.0,S. Thornwell makes 3-pt shot from 25 ft (assist by L. Williams),3,16-24,,
11:02.0,,,16-24,,S. Mack misses 2-pt shot from 2 ft
10:59.0,Defensive rebound by S. Thornwell,,16-24,,
10:55.0,Shooting foul by W. Iwundu (drawn by L. Williams),,16-24,,
10:55.0,L. Williams misses free throw 1 of 2,,16-24,,
10:55.0,Offensive rebound by Team,,16-24,,
10:55.0,L. Williams makes free throw 2 of 2,1,17-24,,
10:44.0,,,17-24,,Shooting foul by M. Harrell (drawn by D. Augustin)
10:44.0,,,17-25,1,D. Augustin makes free throw 1 of 2
10:44.0,,,17-25,,D. Augustin misses free throw 2 of 2
10:41.0,Defensive rebound by J. Evans,,17-25,,
10:29.0,S. Dekker misses 3-pt shot from 25 ft,,17-25,,
10:26.0,,,17-25,,Defensive rebound by B. Biyombo
10:18.0,,,17-25,,D. Augustin misses 2-pt shot from 2 ft
10:15.0,Defensive rebound by S. Dekker,,17-25,,
10:10.0,L. Williams misses 2-pt shot from 1 ft,,17-25,,
10:10.0,,,17-25,,Defensive rebound by Team
10:01.0,Personal foul by S. Thornwell (drawn by D. Augustin),,17-25,,
9:56.0,,,17-25,,D. Augustin misses 2-pt shot from 2 ft (block by S. Dekker)
9:52.0,Defensive rebound by S. Thornwell,,17-25,,
9:46.0,J. Evans misses 2-pt shot from 20 ft,,17-25,,
9:42.0,,,17-25,,Defensive rebound by W. Iwundu
9:22.0,,,17-27,2,B. Biyombo makes 2-pt shot from 1 ft (assist by M. Speights)
9:01.0,M. Harrell makes 2-pt shot from 1 ft (assist by L. Williams),2,19-27,,
8:51.0,,,19-27,,W. Iwundu misses 2-pt shot from 11 ft
8:51.0,Defensive rebound by J. Evans,,19-27,,
8:45.0,Shooting foul by D. Augustin (drawn by J. Evans),,19-27,,
8:45.0,J. Evans makes free throw 1 of 2,1,20-27,,
8:45.0,J. Wilson enters the game for S. Thornwell,,20-27,,
8:45.0,A. Rivers enters the game for S. Dekker,,20-27,,
8:45.0,J. Evans makes free throw 2 of 2,1,21-27,,
8:22.0,,,21-27,,S. Mack misses 2-pt shot from 2 ft
8:21.0,,,21-27,,Offensive rebound by B. Biyombo
8:21.0,,,21-29,2,B. Biyombo makes 2-pt shot at rim
8:15.0,Turnover by L. Williams (bad pass),,21-29,,
8:15.0,M. Teodosic enters the game for J. Evans,,21-29,,
8:05.0,,,21-31,2,S. Mack makes 2-pt shot at rim
8:05.0,LA Clippers full timeout,,21-31,,
7:46.0,M. Teodosic misses 3-pt shot from 25 ft,,21-31,,
7:41.0,,,21-31,,Defensive rebound by B. Biyombo
7:27.0,,,21-33,2,M. Speights makes 2-pt shot from 10 ft
7:07.0,M. Harrell makes 2-pt shot from 1 ft (assist by J. Wilson),2,23-33,,
6:45.0,,,23-33,,W. Iwundu misses 2-pt shot from 18 ft
6:44.0,Defensive rebound by Team,,23-33,,
6:44.0,,,23-33,,M. Hezonja enters the game for M. Speights
6:44.0,D. Jordan enters the game for M. Harrell,,23-33,,
6:36.0,L. Williams makes 3-pt shot from 25 ft (assist by D. Jordan),3,26-33,,
6:32.0,,,26-33,,Orlando full timeout
6:32.0,,,26-33,,N. Vucevic enters the game for B. Biyombo
6:32.0,,,26-33,,J. Simmons enters the game for D. Augustin
