time,Denver,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Turner vs. M. Plumlee (W. Barton gains possession),,,,Jump ball: M. Turner vs. M. Plumlee (W. Barton gains possession)
11:44.0,W. Chandler makes 3-pt shot from 22 ft (assist by M. Plumlee),3,3-0,,
11:27.0,,,3-2,2,B. Bogdanovic makes 2-pt shot from 2 ft (assist by M. Turner)
11:05.0,W. Chandler makes 3-pt shot from 27 ft (assist by W. Barton),3,6-2,,
10:48.0,,,6-4,2,M. Turner makes 2-pt shot from 19 ft (assist by V. Oladipo)
10:35.0,Turnover by M. Plumlee (bad pass; steal by V. Oladipo),,6-4,,
10:34.0,Personal take foul by W. Chandler (drawn by V. Oladipo),,6-4,,
10:24.0,,,6-4,,V. Oladipo misses 3-pt shot from 27 ft
10:20.0,Defensive rebound by Team,,6-4,,
10:12.0,W. Barton makes 2-pt shot at rim,2,8-4,,
10:00.0,,,8-4,,Turnover by B. Bogdanovic (lost ball; steal by W. Barton)
9:55.0,W. Chandler makes 2-pt shot from 1 ft (assist by W. Barton),2,10-4,,
9:39.0,,,10-4,,M. Turner misses 2-pt shot from 20 ft
9:36.0,Defensive rebound by W. Chandler,,10-4,,
9:30.0,W. Barton makes 3-pt shot from 27 ft (assist by J. Murray),3,13-4,,
9:24.0,,,13-4,,Indiana full timeout
9:09.0,,,13-4,,C. Joseph misses 3-pt shot from 26 ft
9:07.0,Defensive rebound by M. Plumlee,,13-4,,
8:53.0,Shooting foul by T. Young (drawn by M. Plumlee),,13-4,,
8:53.0,M. Plumlee misses free throw 1 of 2,,13-4,,
8:53.0,Offensive rebound by Team,,13-4,,
8:53.0,M. Plumlee misses free throw 2 of 2,,13-4,,
8:51.0,,,13-4,,Defensive rebound by M. Turner
8:36.0,,,13-4,,Turnover by V. Oladipo (bad pass; steal by M. Plumlee)
8:33.0,G. Harris makes 2-pt shot at rim (assist by M. Plumlee),2,15-4,,
8:19.0,,,15-4,,M. Turner misses 2-pt shot from 17 ft
8:16.0,Defensive rebound by G. Harris,,15-4,,
8:08.0,G. Harris misses 2-pt shot from 15 ft,,15-4,,
8:05.0,,,15-4,,Defensive rebound by T. Young
7:52.0,,,15-4,,C. Joseph misses 3-pt shot from 26 ft
7:49.0,Defensive rebound by M. Plumlee,,15-4,,
7:43.0,Turnover by J. Murray (lost ball; steal by T. Young),,15-4,,
7:39.0,,,15-6,2,V. Oladipo makes 2-pt shot at rim (assist by B. Bogdanovic)
7:21.0,W. Chandler makes 2-pt shot at rim,2,17-6,,
7:21.0,Shooting foul by T. Young (drawn by W. Chandler),,17-6,,
7:21.0,W. Chandler makes free throw 1 of 1,1,18-6,,
7:06.0,,,18-6,,Shooting foul by W. Barton (drawn by B. Bogdanovic)
7:06.0,,,18-7,1,B. Bogdanovic makes free throw 1 of 2
7:06.0,,,18-7,,D. Sabonis enters the game for T. Young
7:06.0,,,18-8,1,B. Bogdanovic makes free throw 2 of 2
6:46.0,W. Barton misses 3-pt shot from 26 ft,,18-8,,
6:43.0,Offensive rebound by M. Plumlee,,18-8,,
6:32.0,G. Harris misses 3-pt shot from 27 ft,,18-8,,
6:29.0,,,18-8,,Defensive rebound by C. Joseph
6:18.0,,,18-8,,D. Sabonis misses 2-pt shot at rim
6:16.0,Defensive rebound by W. Chandler,,18-8,,
6:00.0,W. Barton misses 2-pt shot from 8 ft,,18-8,,
5:57.0,,,18-8,,Defensive rebound by M. Turner
5:51.0,,,18-10,2,D. Sabonis makes 2-pt shot at rim (assist by C. Joseph)
5:51.0,Denver full timeout,,18-10,,
5:29.0,W. Chandler misses 2-pt shot from 22 ft,,18-10,,
5:24.0,,,18-10,,Defensive rebound by C. Joseph
5:20.0,,,18-13,3,V. Oladipo makes 3-pt shot from 26 ft (assist by C. Joseph)
5:07.0,G. Harris makes 2-pt shot from 12 ft,2,20-13,,
