time,New York,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. K. Porzingis (E. Kanter gains possession),,,,Jump ball: R. Gobert vs. K. Porzingis (E. Kanter gains possession)
11:45.0,K. Porzingis makes 2-pt shot from 21 ft (assist by T. Hardaway),2,2-0,,
11:32.0,,,2-0,,Turnover by R. Gobert (out of bounds lost ball)
11:20.0,K. Porzingis misses 3-pt shot from 26 ft,,2-0,,
11:17.0,,,2-0,,Defensive rebound by R. Rubio
11:10.0,,,2-0,,Shooting foul by K. Porzingis (drawn by R. Gobert)
11:10.0,,,2-0,,R. Gobert misses free throw 1 of 2
11:10.0,,,2-0,,Offensive rebound by Team
11:10.0,,,2-1,1,R. Gobert makes free throw 2 of 2
10:58.0,K. Porzingis makes 2-pt shot from 11 ft,2,4-1,,
10:42.0,,,4-1,,D. Favors misses 3-pt shot from 23 ft
10:40.0,,,4-1,,Offensive rebound by R. Gobert
10:39.0,,,4-1,,R. Gobert misses 2-pt shot from 2 ft (block by K. Porzingis)
10:39.0,Defensive rebound by C. Lee,,4-1,,
10:25.0,E. Kanter misses 2-pt shot from 5 ft (block by R. Gobert),,4-1,,
10:20.0,,,4-1,,Defensive rebound by R. Hood
10:18.0,,,4-3,2,R. Rubio makes 2-pt shot from 2 ft
9:57.0,T. Hardaway makes 2-pt shot from 19 ft,2,6-3,,
9:42.0,,,6-3,,R. Rubio misses 2-pt shot from 8 ft (block by E. Kanter)
9:42.0,Defensive rebound by T. Hardaway,,6-3,,
9:38.0,Turnover by T. Hardaway (bad pass; steal by R. Rubio),,6-3,,
9:32.0,,,6-3,,D. Mitchell misses 3-pt shot from 25 ft
9:30.0,Defensive rebound by E. Kanter,,6-3,,
9:16.0,E. Kanter makes 2-pt shot from 5 ft,2,8-3,,
8:51.0,,,8-5,2,R. Rubio makes 2-pt shot from 16 ft
8:37.0,T. Hardaway makes 3-pt shot from 24 ft (assist by J. Jack),3,11-5,,
8:22.0,,,11-7,2,R. Hood makes 2-pt shot from 23 ft (assist by R. Rubio)
8:05.0,J. Jack misses 2-pt shot from 3 ft,,11-7,,
8:03.0,,,11-7,,Defensive rebound by D. Favors
7:57.0,,,11-7,,Turnover by R. Rubio (bad pass; steal by C. Lee)
7:53.0,C. Lee misses 2-pt shot from 2 ft (block by D. Mitchell),,11-7,,
7:50.0,,,11-7,,Defensive rebound by R. Hood
7:37.0,,,11-7,,D. Favors misses 2-pt shot from 3 ft (block by K. Porzingis)
7:37.0,Defensive rebound by Team,,11-7,,
7:37.0,,,11-7,,J. Jerebko enters the game for R. Gobert
7:22.0,T. Hardaway misses 2-pt shot from 17 ft,,11-7,,
7:20.0,,,11-7,,Defensive rebound by D. Mitchell
7:11.0,,,11-9,2,R. Hood makes 2-pt shot from 13 ft
6:57.0,C. Lee makes 3-pt shot from 22 ft (assist by J. Jack),3,14-9,,
6:50.0,,,14-9,,Utah full timeout
6:50.0,M. Beasley enters the game for K. Porzingis,,14-9,,
6:50.0,,,14-9,,J. Ingles enters the game for R. Rubio
6:50.0,,,14-9,,R. Gobert enters the game for D. Favors
6:36.0,,,14-9,,Turnover by D. Mitchell (lost ball; steal by E. Kanter)
6:32.0,Turnover by J. Jack (bad pass),,14-9,,
6:20.0,,,14-9,,R. Hood misses 2-pt shot from 21 ft
6:15.0,Defensive rebound by M. Beasley,,14-9,,
6:02.0,T. Hardaway makes 2-pt shot from 1 ft (assist by E. Kanter),2,16-9,,
5:43.0,,,16-11,2,R. Gobert makes 2-pt shot from 5 ft
5:25.0,E. Kanter misses 2-pt shot from 7 ft,,16-11,,
5:24.0,,,16-11,,Defensive rebound by J. Ingles
5:19.0,,,16-11,,J. Ingles misses 3-pt shot from 24 ft
5:16.0,Defensive rebound by C. Lee,,16-11,,
5:09.0,E. Kanter misses 2-pt shot from 22 ft,,16-11,,
5:05.0,,,16-11,,Defensive rebound by D. Mitchell
4:53.0,,,16-11,,J. Jerebko misses 2-pt shot from 20 ft
4:51.0,Defensive rebound by T. Hardaway,,16-11,,
4:43.0,J. Jack misses 3-pt shot from 24 ft,,16-11,,
4:40.0,,,16-11,,Defensive rebound by R. Gobert
4:27.0,,,16-14,3,J. Jerebko makes 3-pt shot from 25 ft (assist by D. Mitchell)
4:12.0,M. Beasley makes 2-pt shot from 8 ft (assist by T. Hardaway),2,18-14,,
3:55.0,,,18-14,,D. Mitchell misses 2-pt shot from 20 ft
3:53.0,Defensive rebound by T. Hardaway,,18-14,,
3:48.0,T. Hardaway misses 2-pt shot from 10 ft,,18-14,,
3:46.0,,,18-14,,Defensive rebound by R. Gobert
3:30.0,,,18-14,,R. Hood misses 2-pt shot from 3 ft
3:30.0,,,18-14,,Offensive rebound by R. Gobert
3:30.0,,,18-14,,Shooting foul by E. Kanter (drawn by R. Gobert)
3:30.0,,,18-15,1,R. Gobert makes free throw 1 of 2
3:30.0,,,18-15,,J. Johnson enters the game for R. Hood
3:30.0,,,18-15,,R. O'Neale enters the game for J. Jerebko
3:30.0,L. Thomas enters the game for T. Hardaway,,18-15,,
3:30.0,F. Ntilikina enters the game for J. Jack,,18-15,,
3:30.0,,,18-15,,R. Gobert misses free throw 2 of 2
3:30.0,Defensive rebound by Team,,18-15,,
3:30.0,,,18-15,,D. Favors enters the game for R. Gobert
3:13.0,L. Thomas makes 2-pt shot from 4 ft,2,20-15,,
2:57.0,,,20-15,,Turnover by D. Mitchell (traveling)
2:57.0,New York full timeout,,20-15,,
2:57.0,,,20-15,,R. Neto enters the game for D. Mitchell
2:57.0,K. Porzingis enters the game for E. Kanter,,20-15,,
2:49.0,Turnover by F. Ntilikina (bad pass; steal by R. Neto),,20-15,,
2:45.0,,,20-15,,R. Neto misses 2-pt shot from 1 ft
2:43.0,Defensive rebound by M. Beasley,,20-15,,
2:36.0,C. Lee makes 2-pt shot from 1 ft,2,22-15,,
2:23.0,Personal foul by M. Beasley (drawn by J. Johnson),,22-15,,
2:23.0,,,22-15,,R. Hood enters the game for R. O'Neale
2:18.0,,,22-15,,Turnover by D. Favors (turnover)
