time,Philadelphia,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Valanciunas vs. A. Johnson (R. Covington gains possession),,,,Jump ball: J. Valanciunas vs. A. Johnson (R. Covington gains possession)
11:46.0,A. Johnson makes 2-pt shot at rim (assist by B. Simmons),2,2-0,,
11:19.0,,,2-0,,K. Lowry misses 3-pt shot from 27 ft
11:17.0,Defensive rebound by R. Covington,,2-0,,
11:14.0,Turnover by B. Simmons (traveling),,2-0,,
10:56.0,,,2-0,,S. Ibaka misses 3-pt shot from 26 ft
10:50.0,,,2-0,,Offensive rebound by N. Powell
10:46.0,,,2-2,2,D. DeRozan makes 2-pt shot from 15 ft (assist by K. Lowry)
10:29.0,A. Johnson misses 3-pt shot from 26 ft,,2-2,,
10:25.0,,,2-2,,Defensive rebound by S. Ibaka
10:14.0,,,2-4,2,S. Ibaka makes 2-pt shot from 12 ft
9:58.0,Turnover by B. Simmons (bad pass),,2-4,,
9:53.0,,,2-4,,Shooting foul by R. Covington (drawn by D. DeRozan)
9:53.0,,,2-5,1,D. DeRozan makes free throw 1 of 2
9:53.0,,,2-6,1,D. DeRozan makes free throw 2 of 2
9:42.0,J. Redick misses 2-pt shot from 20 ft (block by N. Powell),,2-6,,
9:42.0,Offensive rebound by Team,,2-6,,
9:40.0,Shooting foul by K. Lowry (drawn by J. Bayless),,2-6,,
9:40.0,J. Bayless makes free throw 1 of 2,1,3-6,,
9:40.0,J. Bayless makes free throw 2 of 2,1,4-6,,
9:30.0,,,4-9,3,S. Ibaka makes 3-pt shot from 26 ft
9:16.0,B. Simmons makes 2-pt shot from 1 ft,2,6-9,,
9:05.0,,,6-11,2,J. Valanciunas makes 2-pt shot from 4 ft (assist by S. Ibaka)
8:53.0,J. Bayless misses 2-pt shot from 1 ft,,6-11,,
8:53.0,,,6-11,,Defensive rebound by J. Valanciunas
8:48.0,,,6-11,,Turnover by S. Ibaka (step out of bounds)
8:36.0,B. Simmons makes 2-pt shot from 14 ft,2,8-11,,
8:25.0,Personal foul by A. Johnson (drawn by J. Valanciunas),,8-11,,
8:17.0,,,8-11,,S. Ibaka misses 3-pt shot from 25 ft
8:13.0,Defensive rebound by J. Bayless,,8-11,,
8:08.0,J. Bayless makes 3-pt shot from 27 ft (assist by B. Simmons),3,11-11,,
7:55.0,,,11-11,,N. Powell misses 2-pt shot from 2 ft
7:53.0,Defensive rebound by J. Redick,,11-11,,
7:53.0,,,11-11,,Personal block foul by N. Powell (drawn by J. Redick)
7:43.0,R. Covington misses 2-pt shot from 11 ft,,11-11,,
7:41.0,,,11-11,,Defensive rebound by K. Lowry
7:35.0,,,11-13,2,J. Valanciunas makes 2-pt shot at rim (assist by K. Lowry)
7:27.0,R. Covington misses 2-pt shot from 2 ft,,11-13,,
7:26.0,,,11-13,,Defensive rebound by S. Ibaka
7:20.0,,,11-13,,Turnover by K. Lowry (bad pass; steal by A. Johnson)
7:12.0,J. Redick misses 2-pt shot from 11 ft,,11-13,,
7:07.0,,,11-13,,Defensive rebound by J. Valanciunas
7:02.0,,,11-13,,N. Powell misses 3-pt shot from 27 ft
7:02.0,Defensive rebound by R. Covington,,11-13,,
6:45.0,J. Redick misses 2-pt shot from 8 ft,,11-13,,
6:41.0,,,11-13,,Defensive rebound by J. Valanciunas
6:33.0,,,11-13,,Offensive charge foul by D. DeRozan (drawn by A. Johnson)
6:33.0,,,11-13,,Turnover by D. DeRozan (offensive foul)
6:33.0,,,11-13,,Toronto full timeout
6:33.0,T. McConnell enters the game for B. Simmons,,11-13,,
6:33.0,D. Saric enters the game for A. Johnson,,11-13,,
6:33.0,J. Okafor enters the game for J. Bayless,,11-13,,
6:16.0,R. Covington misses 2-pt shot from 1 ft,,11-13,,
6:14.0,Offensive rebound by D. Saric,,11-13,,
6:12.0,D. Saric misses 2-pt shot from 2 ft,,11-13,,
6:12.0,Offensive rebound by J. Okafor,,11-13,,
6:07.0,J. Okafor makes 2-pt shot from 3 ft,2,13-13,,
5:50.0,,,13-13,,Shooting foul by J. Okafor (drawn by S. Ibaka)
5:50.0,,,13-14,1,S. Ibaka makes free throw 1 of 2
5:50.0,,,13-15,1,S. Ibaka makes free throw 2 of 2
5:36.0,R. Covington makes 2-pt shot from 16 ft (assist by D. Saric),2,15-15,,
5:19.0,,,15-15,,K. Lowry misses 3-pt shot from 26 ft
5:17.0,Defensive rebound by J. Okafor,,15-15,,
5:13.0,Offensive charge foul by T. McConnell (drawn by D. DeRozan),,15-15,,
5:13.0,Turnover by T. McConnell (offensive foul),,15-15,,
5:13.0,J. Bayless enters the game for J. Redick,,15-15,,
5:13.0,T. Luwawu-Cabarrot enters the game for R. Covington,,15-15,,
4:55.0,,,15-17,2,D. DeRozan makes 2-pt shot from 16 ft
4:38.0,Shooting foul by J. Valanciunas (drawn by J. Okafor),,15-17,,
4:38.0,J. Okafor makes free throw 1 of 2,1,16-17,,
4:38.0,,,16-17,,D. Wright enters the game for K. Lowry
