time,Chicago,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Vucevic vs. C. Felicio (D. Augustin gains possession),,,,Jump ball: N. Vucevic vs. C. Felicio (D. Augustin gains possession)
11:43.0,,,0-2,2,A. Gordon makes 2-pt shot from 15 ft
11:28.0,L. Markkanen makes 3-pt shot from 26 ft (assist by C. Payne),3,3-2,,
11:12.0,,,3-2,,A. Gordon misses 3-pt shot from 28 ft
11:08.0,Defensive rebound by J. Holiday,,3-2,,
10:48.0,D. Nwaba misses 2-pt shot from 11 ft,,3-2,,
10:43.0,Offensive rebound by C. Felicio,,3-2,,
10:43.0,C. Felicio misses 2-pt shot at rim,,3-2,,
10:43.0,Offensive rebound by C. Felicio,,3-2,,
10:41.0,C. Felicio makes 2-pt shot at rim,2,5-2,,
10:32.0,,,5-5,3,R. Purvis makes 3-pt shot from 25 ft (assist by N. Vucevic)
10:15.0,C. Felicio makes 2-pt shot from 1 ft (assist by D. Nwaba),2,7-5,,
10:02.0,,,7-5,,R. Purvis misses 3-pt shot from 27 ft
9:58.0,Defensive rebound by C. Felicio,,7-5,,
9:47.0,Turnover by L. Markkanen (bad pass),,7-5,,
9:32.0,,,7-5,,N. Vucevic misses 3-pt shot from 26 ft
9:28.0,Defensive rebound by L. Markkanen,,7-5,,
9:19.0,L. Markkanen makes 2-pt shot from 14 ft (assist by C. Payne),2,9-5,,
8:57.0,,,9-5,,R. Purvis misses 2-pt shot from 2 ft
8:55.0,Defensive rebound by C. Felicio,,9-5,,
8:50.0,L. Markkanen misses 3-pt shot from 25 ft,,9-5,,
8:47.0,,,9-5,,Defensive rebound by D. Augustin
8:39.0,,,9-7,2,D. Augustin makes 2-pt shot from 3 ft
8:26.0,J. Holiday misses 2-pt shot from 1 ft,,9-7,,
8:24.0,,,9-7,,Defensive rebound by N. Vucevic
8:22.0,,,9-7,,A. Gordon misses 3-pt shot from 26 ft
8:19.0,Defensive rebound by D. Nwaba,,9-7,,
8:15.0,Offensive foul by C. Felicio (drawn by J. Isaac),,9-7,,
8:15.0,Turnover by C. Felicio (offensive foul),,9-7,,
8:02.0,,,9-7,,A. Gordon misses 2-pt shot from 2 ft
8:00.0,Defensive rebound by C. Payne,,9-7,,
7:58.0,L. Markkanen makes 2-pt shot from 1 ft (assist by C. Payne),2,11-7,,
7:58.0,Shooting foul by N. Vucevic (drawn by L. Markkanen),,11-7,,
7:58.0,L. Markkanen makes free throw 1 of 1,1,12-7,,
7:41.0,,,12-7,,J. Isaac misses 3-pt shot from 23 ft
7:40.0,Defensive rebound by Team,,12-7,,
7:40.0,,,12-7,,Loose ball foul by A. Gordon (drawn by J. Holiday)
7:30.0,C. Felicio makes 2-pt shot from 1 ft (assist by C. Payne),2,14-7,,
7:15.0,,,14-7,,A. Gordon misses 3-pt shot from 22 ft
7:12.0,Defensive rebound by C. Felicio,,14-7,,
6:57.0,Shooting foul by N. Vucevic (drawn by J. Holiday),,14-7,,
6:57.0,,,14-7,,Orlando full timeout
6:57.0,,,14-7,,B. Biyombo enters the game for N. Vucevic
6:57.0,J. Holiday makes free throw 1 of 2,1,15-7,,
6:57.0,J. Holiday makes free throw 2 of 2,1,16-7,,
6:42.0,,,16-7,,D. Augustin misses 3-pt shot from 27 ft
6:38.0,,,16-7,,Offensive rebound by B. Biyombo
6:35.0,,,16-9,2,J. Isaac makes 2-pt shot from 1 ft (assist by D. Augustin)
6:19.0,J. Holiday misses 3-pt shot from 26 ft,,16-9,,
6:16.0,,,16-9,,Defensive rebound by B. Biyombo
6:05.0,Personal foul by D. Nwaba (drawn by A. Gordon),,16-9,,
6:05.0,,,16-9,,M. Hezonja enters the game for J. Isaac
5:54.0,,,16-9,,A. Gordon misses 2-pt shot from 15 ft
5:50.0,Defensive rebound by C. Felicio,,16-9,,
5:43.0,C. Payne makes 3-pt shot from 25 ft,3,19-9,,
5:29.0,,,19-11,2,B. Biyombo makes 2-pt shot from 2 ft (assist by A. Gordon)
5:17.0,C. Payne makes 3-pt shot from 26 ft (assist by C. Felicio),3,22-11,,
5:00.0,,,22-11,,Turnover by M. Hezonja (lost ball; steal by J. Holiday)
4:41.0,J. Holiday makes 3-pt shot from 25 ft (assist by C. Payne),3,25-11,,
4:40.0,,,25-11,,Orlando full timeout
4:40.0,,,25-11,,S. Mack enters the game for R. Purvis
4:40.0,D. Valentine enters the game for D. Nwaba,,25-11,,
4:25.0,,,25-11,,B. Biyombo misses 2-pt shot from 7 ft
4:23.0,,,25-11,,Offensive rebound by A. Gordon
4:23.0,,,25-11,,A. Gordon misses 2-pt shot from 1 ft
4:23.0,Defensive rebound by C. Felicio,,25-11,,
4:14.0,J. Grant enters the game for C. Payne,,25-11,,
4:08.0,Turnover by D. Valentine (traveling),,25-11,,
4:08.0,B. Portis enters the game for L. Markkanen,,25-11,,
3:47.0,,,25-11,,B. Biyombo misses 2-pt shot from 1 ft
3:45.0,,,25-11,,Offensive rebound by D. Augustin
3:43.0,,,25-13,2,D. Augustin makes 2-pt shot from 11 ft
3:33.0,D. Valentine misses 2-pt shot from 14 ft,,25-13,,
3:33.0,,,25-13,,Defensive rebound by B. Biyombo
3:23.0,,,25-13,,D. Augustin misses 2-pt shot from 2 ft
3:23.0,,,25-13,,Offensive rebound by Team
3:23.0,Personal foul by B. Portis (drawn by B. Biyombo),,25-13,,
3:23.0,N. Vonleh enters the game for C. Felicio,,25-13,,
3:23.0,S. Kilpatrick enters the game for J. Holiday,,25-13,,
3:21.0,,,25-15,2,S. Mack makes 2-pt shot from 12 ft (assist by M. Hezonja)
3:03.0,S. Kilpatrick misses 3-pt shot from 26 ft,,25-15,,
2:59.0,,,25-15,,Defensive rebound by B. Biyombo
2:48.0,,,25-18,3,M. Hezonja makes 3-pt shot from 26 ft (assist by D. Augustin)
2:34.0,N. Vonleh misses 3-pt shot from 26 ft,,25-18,,
2:30.0,,,25-18,,Defensive rebound by A. Gordon
2:22.0,,,25-20,2,A. Gordon makes 2-pt shot at rim
2:20.0,Chicago full timeout,,25-20,,
2:20.0,,,25-20,,J. Artis enters the game for D. Augustin
2:09.0,J. Grant misses 2-pt shot from 18 ft,,25-20,,
2:05.0,,,25-20,,Defensive rebound by M. Hezonja
1:59.0,,,25-20,,S. Mack misses 3-pt shot from 24 ft
1:56.0,Defensive rebound by J. Grant,,25-20,,
1:48.0,N. Vonleh makes 2-pt shot from 7 ft,2,27-20,,
1:29.0,,,27-20,,Turnover by M. Hezonja (bad pass; steal by D. Valentine)
1:24.0,,,27-20,,Personal foul by M. Hezonja (drawn by B. Portis)
1:13.0,Turnover by S. Kilpatrick (bad pass; steal by M. Hezonja),,27-20,,
1:08.0,,,27-22,2,M. Hezonja makes 2-pt shot from 2 ft
0:44.0,N. Vonleh makes 2-pt shot from 3 ft,2,29-22,,
0:30.0,,,29-22,,A. Gordon misses 2-pt shot from 7 ft (block by J. Grant)
0:26.0,,,29-22,,Offensive rebound by A. Gordon
0:26.0,,,29-22,,A. Gordon misses 2-pt shot at rim (block by B. Portis)
0:26.0,Defensive rebound by J. Grant,,29-22,,
0:26.0,,,29-22,,Loose ball foul by A. Gordon (drawn by J. Grant)
0:26.0,J. Grant misses free throw 1 of 2,,29-22,,
0:26.0,Offensive rebound by Team,,29-22,,
0:26.0,,,29-22,,K. Birch enters the game for A. Gordon
0:26.0,J. Grant makes free throw 2 of 2,1,30-22,,
0:11.0,,,30-24,2,S. Mack makes 2-pt shot from 1 ft
0:00.0,N. Vonleh misses 3-pt shot from 22 ft,,30-24,,
0:00.0,,,30-24,,Defensive rebound by J. Artis
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,S. Kilpatrick makes 3-pt shot from 26 ft (assist by J. Grant),3,33-24,,
11:24.0,,,33-24,,M. Hezonja misses 3-pt shot from 26 ft
11:20.0,Defensive rebound by S. Kilpatrick,,33-24,,
11:02.0,J. Grant misses 2-pt shot from 4 ft,,33-24,,
11:02.0,Offensive rebound by B. Portis,,33-24,,
11:02.0,B. Portis makes 2-pt shot from 1 ft,2,35-24,,
11:02.0,Shooting foul by K. Birch (drawn by B. Portis),,35-24,,
11:02.0,B. Portis misses free throw 1 of 1,,35-24,,
11:02.0,,,35-24,,Defensive rebound by B. Biyombo
10:45.0,,,35-27,3,J. Artis makes 3-pt shot from 26 ft (assist by S. Mack)
10:19.0,J. Grant misses 2-pt shot from 14 ft,,35-27,,
10:15.0,,,35-27,,Defensive rebound by J. Artis
10:05.0,,,35-27,,Turnover by K. Birch (lost ball; steal by N. Vonleh)
10:00.0,D. Valentine makes 3-pt shot from 27 ft (assist by J. Grant),3,38-27,,
9:31.0,,,38-29,2,K. Birch makes 2-pt shot at rim (assist by S. Mack)
