time,Minnesota,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Powell vs. K. Towns (T. Gibson gains possession),,,,Jump ball: D. Powell vs. K. Towns (T. Gibson gains possession)
11:45.0,K. Towns misses 2-pt shot from 8 ft,,0-0,,
11:44.0,,,0-0,,Defensive rebound by Team
11:34.0,,,0-2,2,D. Nowitzki makes 2-pt shot from 18 ft (assist by D. Smith)
11:16.0,A. Wiggins misses 2-pt shot from 18 ft,,0-2,,
11:14.0,,,0-2,,Defensive rebound by D. Nowitzki
11:05.0,,,0-2,,H. Barnes misses 2-pt shot from 19 ft
11:00.0,Defensive rebound by J. Teague,,0-2,,
10:51.0,Shooting foul by D. Nowitzki (drawn by T. Gibson),,0-2,,
10:51.0,T. Gibson makes free throw 1 of 2,1,1-2,,
10:51.0,T. Gibson makes free throw 2 of 2,1,2-2,,
10:27.0,,,2-2,,H. Barnes misses 2-pt shot from 6 ft
10:25.0,Defensive rebound by K. Towns,,2-2,,
10:20.0,J. Teague misses 3-pt shot from 24 ft,,2-2,,
10:14.0,,,2-2,,Defensive rebound by D. Nowitzki
10:06.0,,,2-2,,D. Nowitzki misses 3-pt shot from 25 ft
10:04.0,Defensive rebound by K. Towns,,2-2,,
9:59.0,Turnover by J. Teague (bad pass; steal by D. Smith),,2-2,,
9:54.0,,,2-2,,Turnover by D. Smith (bad pass)
9:30.0,Turnover by Team (shot clock),,2-2,,
9:20.0,,,2-4,2,D. Smith makes 2-pt shot from 1 ft (assist by D. Powell)
9:20.0,,,2-4,,Shooting foul by J. Teague (drawn by D. Smith)
9:20.0,,,2-4,,D. Smith misses free throw 1 of 1
9:20.0,Defensive rebound by T. Gibson,,2-4,,
9:05.0,K. Towns misses 3-pt shot from 25 ft,,2-4,,
9:02.0,,,2-4,,Defensive rebound by D. Finney-Smith
8:51.0,,,2-4,,D. Finney-Smith misses 3-pt shot from 22 ft
8:48.0,Defensive rebound by K. Towns,,2-4,,
8:46.0,,,2-4,,Personal foul by D. Powell (drawn by J. Teague)
8:33.0,K. Towns makes 2-pt shot from 20 ft,2,4-4,,
8:13.0,,,4-4,,H. Barnes misses 2-pt shot from 2 ft
8:12.0,Defensive rebound by K. Towns,,4-4,,
8:07.0,A. Wiggins misses 2-pt shot from 1 ft,,4-4,,
8:06.0,,,4-4,,Defensive rebound by D. Powell
7:55.0,,,4-4,,Turnover by D. Smith (bad pass; steal by N. Bjelica)
7:52.0,Turnover by N. Bjelica (lost ball; steal by D. Smith),,4-4,,
7:47.0,,,4-6,2,D. Smith makes 2-pt shot at rim
7:30.0,J. Teague misses 3-pt shot from 25 ft,,4-6,,
7:30.0,,,4-6,,Defensive rebound by D. Nowitzki
7:21.0,,,4-6,,D. Smith misses 2-pt shot from 1 ft (block by J. Teague)
7:19.0,Defensive rebound by K. Towns,,4-6,,
7:14.0,A. Wiggins misses 2-pt shot from 2 ft,,4-6,,
7:14.0,,,4-6,,Defensive rebound by D. Nowitzki
7:03.0,Personal foul by J. Teague (drawn by D. Smith),,4-6,,
7:03.0,T. Jones enters the game for J. Teague,,4-6,,
6:55.0,,,4-6,,D. Smith misses 2-pt shot from 20 ft
6:53.0,,,4-6,,Offensive rebound by D. Powell
6:47.0,,,4-6,,D. Finney-Smith misses 2-pt shot from 22 ft (block by N. Bjelica)
6:44.0,Defensive rebound by K. Towns,,4-6,,
6:39.0,K. Towns misses 3-pt shot from 25 ft,,4-6,,
6:35.0,Offensive rebound by T. Gibson,,4-6,,
6:34.0,T. Gibson misses 2-pt shot from 1 ft,,4-6,,
6:32.0,,,4-6,,Defensive rebound by D. Nowitzki
6:18.0,,,4-6,,D. Finney-Smith misses 3-pt shot from 25 ft
6:15.0,Defensive rebound by K. Towns,,4-6,,
6:07.0,T. Gibson makes 2-pt shot at rim (assist by N. Bjelica),2,6-6,,
6:04.0,,,6-6,,Dallas full timeout
5:54.0,,,6-8,2,D. Nowitzki makes 2-pt shot from 20 ft (assist by D. Finney-Smith)
5:37.0,K. Towns misses 2-pt shot from 6 ft,,6-8,,
5:35.0,,,6-8,,Defensive rebound by D. Powell
5:18.0,,,6-10,2,H. Barnes makes 2-pt shot at rim
5:03.0,A. Wiggins misses 2-pt shot from 1 ft,,6-10,,
5:01.0,,,6-10,,Defensive rebound by H. Barnes
4:57.0,,,6-10,,Turnover by D. Powell (bad pass; steal by T. Jones)
4:54.0,,,6-10,,Shooting block foul by D. Smith (drawn by T. Jones)
4:54.0,T. Jones makes free throw 1 of 2,1,7-10,,
4:54.0,,,7-10,,M. Kleber enters the game for D. Nowitzki
4:54.0,J. Crawford enters the game for N. Bjelica,,7-10,,
4:54.0,T. Jones makes free throw 2 of 2,1,8-10,,
4:30.0,,,8-10,,Turnover by D. Finney-Smith (lost ball; steal by T. Gibson)
4:18.0,T. Gibson misses 2-pt shot from 9 ft,,8-10,,
4:14.0,Offensive rebound by K. Towns,,8-10,,
4:14.0,K. Towns makes 2-pt shot at rim,2,10-10,,
3:50.0,,,10-12,2,H. Barnes makes 2-pt shot from 2 ft (assist by D. Smith)
3:40.0,K. Towns misses 2-pt shot from 1 ft,,10-12,,
3:38.0,,,10-12,,Defensive rebound by M. Kleber
3:29.0,,,10-12,,Shooting foul by T. Gibson (drawn by D. Powell)
3:29.0,,,10-12,,D. Powell misses free throw 1 of 2
3:29.0,,,10-12,,Offensive rebound by Team
3:29.0,,,10-12,,Y. Ferrell enters the game for D. Smith
3:29.0,G. Dieng enters the game for K. Towns,,10-12,,
3:29.0,,,10-13,1,D. Powell makes free throw 2 of 2
3:15.0,J. Crawford misses 2-pt shot from 19 ft,,10-13,,
3:12.0,,,10-13,,Defensive rebound by M. Kleber
3:03.0,,,10-16,3,M. Kleber makes 3-pt shot from 26 ft (assist by Y. Ferrell)
2:49.0,,,10-16,,Personal block foul by D. Powell (drawn by A. Wiggins)
2:49.0,Minnesota full timeout,,10-16,,
2:49.0,,,10-16,,A. Harrison enters the game for D. Powell
2:49.0,,,10-16,,N. Noel enters the game for D. Finney-Smith
2:36.0,T. Gibson misses 2-pt shot from 15 ft,,10-16,,
2:32.0,,,10-16,,Defensive rebound by M. Kleber
2:17.0,,,10-18,2,H. Barnes makes 2-pt shot from 12 ft
2:03.0,A. Wiggins makes 2-pt shot from 1 ft (assist by T. Jones),2,12-18,,
1:42.0,,,12-18,,H. Barnes misses 2-pt shot from 1 ft
1:39.0,Defensive rebound by A. Wiggins,,12-18,,
1:35.0,T. Gibson makes 2-pt shot at rim (assist by J. Crawford),2,14-18,,
1:14.0,Personal foul by G. Dieng (drawn by N. Noel),,14-18,,
1:14.0,,,14-18,,D. McDermott enters the game for H. Barnes
1:14.0,N. Bjelica enters the game for T. Gibson,,14-18,,
1:09.0,,,14-18,,Y. Ferrell misses 3-pt shot from 25 ft
1:07.0,Defensive rebound by J. Crawford,,14-18,,
1:01.0,J. Crawford makes 2-pt shot from 4 ft,2,16-18,,
0:42.0,,,16-20,2,Y. Ferrell makes 2-pt shot at rim
0:38.0,T. Jones misses 3-pt shot from 25 ft,,16-20,,
0:38.0,,,16-20,,Defensive rebound by Y. Ferrell
0:29.0,,,16-20,,Y. Ferrell misses 3-pt shot from 23 ft
0:29.0,Defensive rebound by Team,,16-20,,
0:08.0,A. Wiggins misses 2-pt shot from 4 ft (block by N. Noel),,16-20,,
0:06.0,,,16-20,,Defensive rebound by N. Noel
0:02.0,,,16-20,,A. Harrison misses 3-pt shot from 22 ft
0:02.0,Defensive rebound by G. Dieng,,16-20,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,16-23,3,D. McDermott makes 3-pt shot from 25 ft (assist by Y. Ferrell)
11:34.0,J. Crawford misses 2-pt shot from 20 ft,,16-23,,
11:30.0,,,16-23,,Defensive rebound by N. Noel
