time,Boston,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. A. Horford (M. Smart gains possession),,,,Jump ball: D. Howard vs. A. Horford (M. Smart gains possession)
11:46.0,A. Baynes misses 2-pt shot from 11 ft,,0-0,,
11:43.0,,,0-0,,Defensive rebound by D. Howard
11:30.0,,,0-0,,Turnover by D. Howard (step out of bounds)
11:12.0,A. Horford makes 3-pt shot from 25 ft (assist by K. Irving),3,3-0,,
10:54.0,,,3-0,,K. Walker misses 3-pt shot from 25 ft
10:49.0,Defensive rebound by A. Baynes,,3-0,,
10:42.0,A. Baynes makes 2-pt shot from 11 ft (assist by K. Irving),2,5-0,,
10:18.0,,,5-0,,D. Howard misses 2-pt shot from 17 ft
10:15.0,Defensive rebound by A. Horford,,5-0,,
9:59.0,M. Smart misses 2-pt shot from 2 ft,,5-0,,
9:57.0,,,5-0,,Defensive rebound by N. Batum
9:55.0,,,5-0,,Shooting foul by J. Tatum (drawn by M. Kidd-Gilchrist)
9:55.0,,,5-1,1,M. Kidd-Gilchrist makes free throw 1 of 2
9:55.0,,,5-1,,M. Kidd-Gilchrist misses free throw 2 of 2
9:52.0,Defensive rebound by A. Horford,,5-1,,
9:43.0,K. Irving misses 2-pt shot from 11 ft,,5-1,,
9:41.0,Offensive rebound by Team,,5-1,,
9:34.0,M. Smart misses 3-pt shot from 25 ft,,5-1,,
9:32.0,Offensive rebound by K. Irving,,5-1,,
9:25.0,Turnover by A. Baynes (offensive goaltending),,5-1,,
9:06.0,,,5-1,,M. Kidd-Gilchrist misses 2-pt shot from 3 ft (block by J. Tatum)
9:06.0,Defensive rebound by Team,,5-1,,
8:55.0,A. Horford makes 3-pt shot from 25 ft (assist by K. Irving),3,8-1,,
8:54.0,,,8-1,,Charlotte full timeout
8:42.0,,,8-3,2,K. Walker makes 2-pt shot from 19 ft (assist by D. Howard)
8:27.0,J. Tatum misses 2-pt shot from 20 ft,,8-3,,
8:23.0,,,8-3,,Defensive rebound by N. Batum
8:12.0,,,8-3,,D. Howard misses 2-pt shot from 7 ft
8:09.0,,,8-3,,Offensive rebound by M. Kidd-Gilchrist
8:02.0,,,8-3,,N. Batum misses 2-pt shot from 15 ft
7:58.0,Defensive rebound by M. Smart,,8-3,,
7:51.0,M. Smart misses 2-pt shot from 16 ft,,8-3,,
7:49.0,,,8-3,,Defensive rebound by D. Howard
7:44.0,,,8-6,3,K. Walker makes 3-pt shot from 25 ft
7:21.0,K. Irving makes 2-pt shot from 6 ft,2,10-6,,
7:08.0,,,10-6,,M. Williams misses 3-pt shot from 26 ft
7:04.0,Defensive rebound by A. Baynes,,10-6,,
7:01.0,K. Irving makes 3-pt shot from 27 ft,3,13-6,,
6:46.0,,,13-6,,Offensive foul by N. Batum (drawn by M. Smart)
6:46.0,,,13-6,,Turnover by N. Batum (offensive foul)
6:36.0,K. Irving makes 2-pt shot from 15 ft,2,15-6,,
6:19.0,,,15-6,,N. Batum misses 2-pt shot from 17 ft
