time,New Orleans,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. D. Cousins (J. Green gains possession),,,,Jump ball: M. Gasol vs. D. Cousins (J. Green gains possession)
11:44.0,,,0-2,2,T. Evans makes 2-pt shot at rim (assist by A. Harrison)
11:31.0,D. Cousins makes 3-pt shot from 24 ft (assist by J. Holiday),3,3-2,,
11:19.0,,,3-2,,D. Brooks misses 3-pt shot from 25 ft
11:17.0,Defensive rebound by D. Cunningham,,3-2,,
11:05.0,E. Moore misses 3-pt shot from 25 ft,,3-2,,
11:00.0,Offensive rebound by R. Rondo,,3-2,,
10:59.0,E. Moore misses 3-pt shot from 23 ft,,3-2,,
10:54.0,Offensive rebound by D. Cunningham,,3-2,,
10:49.0,R. Rondo makes 3-pt shot from 22 ft (assist by J. Holiday),3,6-2,,
10:47.0,,,6-2,,Memphis full timeout
10:25.0,,,6-2,,Turnover by T. Evans (bad pass; steal by R. Rondo)
10:18.0,J. Holiday misses 2-pt shot from 17 ft,,6-2,,
10:16.0,,,6-2,,Defensive rebound by T. Evans
10:11.0,,,6-2,,D. Brooks misses 2-pt shot from 6 ft
10:07.0,,,6-2,,Offensive rebound by M. Gasol
10:06.0,,,6-4,2,J. Green makes 2-pt shot from 1 ft (assist by M. Gasol)
9:59.0,J. Holiday makes 2-pt shot from 7 ft,2,8-4,,
9:47.0,,,8-4,,J. Green misses 2-pt shot from 20 ft
9:45.0,Defensive rebound by D. Cousins,,8-4,,
9:34.0,R. Rondo misses 3-pt shot from 25 ft,,8-4,,
9:30.0,,,8-4,,Defensive rebound by J. Green
9:23.0,,,8-6,2,J. Green makes 2-pt shot at rim (assist by M. Gasol)
9:15.0,J. Holiday misses 3-pt shot from 24 ft,,8-6,,
9:11.0,,,8-6,,Defensive rebound by J. Green
9:02.0,Personal foul by D. Cunningham (drawn by T. Evans),,8-6,,
8:55.0,,,8-8,2,T. Evans makes 2-pt shot from 18 ft
8:32.0,D. Cousins misses 2-pt shot from 6 ft,,8-8,,
8:32.0,Offensive rebound by D. Cousins,,8-8,,
8:32.0,Shooting foul by J. Green (drawn by D. Cousins),,8-8,,
8:32.0,D. Cousins makes free throw 1 of 2,1,9-8,,
8:32.0,D. Cousins makes free throw 2 of 2,1,10-8,,
8:24.0,Personal foul by D. Cousins (drawn by M. Gasol),,10-8,,
8:15.0,,,10-10,2,M. Gasol makes 2-pt shot from 16 ft (assist by T. Evans)
8:11.0,,,10-10,,Personal foul by M. Gasol (drawn by D. Cousins)
8:02.0,E. Moore makes 2-pt shot from 7 ft,2,12-10,,
7:46.0,,,12-10,,T. Evans misses 3-pt shot from 26 ft
7:43.0,Defensive rebound by D. Cunningham,,12-10,,
7:33.0,D. Cousins misses 2-pt shot at rim,,12-10,,
7:31.0,,,12-10,,Defensive rebound by M. Gasol
7:24.0,,,12-10,,T. Evans misses 3-pt shot from 26 ft
7:21.0,,,12-10,,Offensive rebound by M. Gasol
7:19.0,,,12-10,,T. Evans misses 2-pt shot from 21 ft
7:16.0,Defensive rebound by D. Cunningham,,12-10,,
7:07.0,D. Cunningham misses 3-pt shot from 25 ft,,12-10,,
7:06.0,,,12-10,,Defensive rebound by Team
6:49.0,,,12-12,2,M. Gasol makes 2-pt shot from 9 ft
6:39.0,E. Moore makes 2-pt shot from 9 ft,2,14-12,,
6:25.0,,,14-14,2,T. Evans makes 2-pt shot at rim
6:12.0,Shooting foul by A. Harrison (drawn by J. Holiday),,14-14,,
6:12.0,J. Holiday makes free throw 1 of 2,1,15-14,,
6:12.0,,,15-14,,M. Chalmers enters the game for D. Brooks
6:12.0,,,15-14,,J. Ennis enters the game for T. Evans
6:12.0,C. Diallo enters the game for D. Cunningham,,15-14,,
6:12.0,J. Holiday misses free throw 2 of 2,,15-14,,
