time,Miami,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Johnson vs. H. Whiteside (R. Covington gains possession),,,,Jump ball: A. Johnson vs. H. Whiteside (R. Covington gains possession)
11:51.0,,,0-0,,B. Simmons misses 2-pt shot from 3 ft
11:49.0,Defensive rebound by H. Whiteside,,0-0,,
11:30.0,J. Johnson makes 2-pt shot from 1 ft (assist by J. Richardson),2,2-0,,
11:15.0,,,2-0,,Turnover by J. Redick (lost ball; steal by T. Johnson)
11:10.0,G. Dragic misses 2-pt shot from 2 ft (block by R. Covington),,2-0,,
11:09.0,Offensive rebound by G. Dragic,,2-0,,
11:09.0,Shooting foul by D. Saric (drawn by T. Johnson),,2-0,,
11:09.0,T. Johnson makes free throw 1 of 2,1,3-0,,
11:09.0,,,3-0,,M. Belinelli enters the game for J. Redick
11:09.0,T. Johnson makes free throw 2 of 2,1,4-0,,
10:58.0,,,4-3,3,R. Covington makes 3-pt shot from 27 ft (assist by A. Johnson)
10:44.0,G. Dragic misses 2-pt shot at rim,,4-3,,
10:42.0,Offensive rebound by H. Whiteside,,4-3,,
10:41.0,G. Dragic makes 3-pt shot from 23 ft (assist by H. Whiteside),3,7-3,,
10:26.0,,,7-3,,B. Simmons misses 2-pt shot from 8 ft (block by H. Whiteside)
10:23.0,,,7-3,,Offensive rebound by B. Simmons
10:22.0,,,7-3,,B. Simmons misses 2-pt shot from 3 ft
10:20.0,,,7-3,,Offensive rebound by A. Johnson
10:18.0,,,7-6,3,M. Belinelli makes 3-pt shot from 26 ft (assist by A. Johnson)
10:00.0,G. Dragic misses 2-pt shot from 3 ft,,7-6,,
9:58.0,,,7-6,,Defensive rebound by B. Simmons
9:54.0,,,7-6,,R. Covington misses 2-pt shot from 19 ft
9:50.0,Defensive rebound by T. Johnson,,7-6,,
9:39.0,Shooting foul by A. Johnson (drawn by J. Johnson),,7-6,,
9:39.0,J. Johnson makes free throw 1 of 2,1,8-6,,
9:39.0,J. Johnson misses free throw 2 of 2,,8-6,,
9:37.0,,,8-6,,Defensive rebound by B. Simmons
9:27.0,,,8-6,,M. Belinelli misses 3-pt shot from 25 ft
9:23.0,Defensive rebound by J. Johnson,,8-6,,
9:17.0,T. Johnson misses 3-pt shot from 24 ft,,8-6,,
9:14.0,,,8-6,,Defensive rebound by R. Covington
9:10.0,,,8-6,,Shooting foul by J. Richardson (drawn by B. Simmons)
9:10.0,,,8-7,1,B. Simmons makes free throw 1 of 2
9:10.0,,,8-8,1,B. Simmons makes free throw 2 of 2
8:56.0,Turnover by J. Johnson (out of bounds lost ball),,8-8,,
8:47.0,,,8-10,2,D. Saric makes 2-pt shot from 2 ft (assist by B. Simmons)
8:32.0,T. Johnson misses 2-pt shot from 2 ft,,8-10,,
8:27.0,,,8-10,,Defensive rebound by M. Belinelli
8:20.0,,,8-10,,D. Saric misses 2-pt shot from 2 ft (block by H. Whiteside)
8:17.0,,,8-10,,Offensive rebound by M. Belinelli
8:14.0,,,8-10,,Turnover by B. Simmons (lost ball; steal by J. Richardson)
8:12.0,Shooting foul by R. Covington (drawn by J. Richardson),,8-10,,
8:12.0,J. Richardson makes free throw 1 of 2,1,9-10,,
8:12.0,J. Richardson makes free throw 2 of 2,1,10-10,,
8:01.0,,,10-13,3,M. Belinelli makes 3-pt shot from 25 ft (assist by R. Covington)
7:39.0,,,10-13,,Personal foul by B. Simmons (drawn by H. Whiteside)
7:30.0,T. Johnson makes 2-pt shot from 14 ft (assist by J. Johnson),2,12-13,,
7:19.0,,,12-15,2,B. Simmons makes 2-pt shot from 1 ft
6:58.0,J. Richardson misses 2-pt shot from 16 ft,,12-15,,
6:56.0,,,12-15,,Defensive rebound by A. Johnson
6:50.0,,,12-17,2,R. Covington makes 2-pt shot from 2 ft (assist by B. Simmons)
6:42.0,Miami full timeout,,12-17,,
6:42.0,,,12-17,,T. McConnell enters the game for A. Johnson
6:42.0,,,12-17,,E. Ilyasova enters the game for R. Covington
6:42.0,W. Ellington enters the game for T. Johnson,,12-17,,
6:24.0,H. Whiteside misses 2-pt shot from 10 ft,,12-17,,
6:22.0,,,12-17,,Defensive rebound by E. Ilyasova
6:06.0,,,12-19,2,M. Belinelli makes 2-pt shot from 1 ft (assist by B. Simmons)
5:51.0,J. Johnson misses 2-pt shot from 18 ft,,12-19,,
5:48.0,Offensive rebound by H. Whiteside,,12-19,,
5:45.0,Turnover by H. Whiteside (lost ball; steal by M. Belinelli),,12-19,,
5:37.0,,,12-19,,E. Ilyasova misses 2-pt shot from 2 ft
5:35.0,Defensive rebound by J. Richardson,,12-19,,
5:29.0,H. Whiteside makes 2-pt shot from 1 ft (assist by J. Johnson),2,14-19,,
5:19.0,,,14-19,,Turnover by B. Simmons (bad pass)
5:19.0,,,14-19,,J. Redick enters the game for M. Belinelli
5:19.0,J. Winslow enters the game for J. Richardson,,14-19,,
5:19.0,K. Olynyk enters the game for H. Whiteside,,14-19,,
5:02.0,J. Johnson makes 3-pt shot from 22 ft (assist by W. Ellington),3,17-19,,
4:44.0,,,17-19,,D. Saric misses 3-pt shot from 27 ft
4:42.0,Defensive rebound by G. Dragic,,17-19,,
4:32.0,K. Olynyk makes 2-pt shot at rim (assist by G. Dragic),2,19-19,,
4:32.0,Shooting foul by E. Ilyasova (drawn by K. Olynyk),,19-19,,
4:32.0,,,19-19,,R. Holmes enters the game for D. Saric
4:32.0,K. Olynyk makes free throw 1 of 1,1,20-19,,
4:32.0,,,20-19,,Philadelphia full timeout
4:32.0,D. Wade enters the game for J. Johnson,,20-19,,
4:16.0,,,20-22,3,J. Redick makes 3-pt shot from 23 ft (assist by B. Simmons)
3:54.0,D. Wade makes 2-pt shot at rim (assist by K. Olynyk),2,22-22,,
3:41.0,,,22-22,,J. Redick misses 2-pt shot from 21 ft
3:37.0,Defensive rebound by K. Olynyk,,22-22,,
3:32.0,Shooting foul by R. Holmes (drawn by D. Wade),,22-22,,
3:32.0,D. Wade makes free throw 1 of 2,1,23-22,,
3:32.0,,,23-22,,R. Covington enters the game for T. McConnell
3:32.0,B. Adebayo enters the game for G. Dragic,,23-22,,
3:32.0,D. Wade makes free throw 2 of 2,1,24-22,,
3:22.0,,,24-22,,B. Simmons misses 2-pt shot from 2 ft
3:19.0,Defensive rebound by K. Olynyk,,24-22,,
3:11.0,W. Ellington makes 3-pt shot from 27 ft (assist by J. Winslow),3,27-22,,
2:56.0,,,27-22,,B. Simmons misses 2-pt shot from 9 ft
2:52.0,Defensive rebound by J. Winslow,,27-22,,
2:46.0,K. Olynyk makes 3-pt shot from 27 ft (assist by J. Winslow),3,30-22,,
2:30.0,,,30-22,,Shooting foul by J. Winslow (drawn by B. Simmons)
2:30.0,,,30-22,,B. Simmons misses free throw 1 of 2
2:30.0,,,30-22,,Offensive rebound by Team
2:30.0,,,30-23,1,B. Simmons makes free throw 2 of 2
2:13.0,D. Wade makes 2-pt shot from 13 ft,2,32-23,,
2:00.0,,,32-23,,E. Ilyasova misses 3-pt shot from 28 ft
1:56.0,Defensive rebound by D. Wade,,32-23,,
1:51.0,Turnover by D. Wade (bad pass; steal by B. Simmons),,32-23,,
1:46.0,,,32-23,,E. Ilyasova misses 2-pt shot from 4 ft (block by W. Ellington)
1:44.0,Defensive rebound by W. Ellington,,32-23,,
1:39.0,K. Olynyk makes 3-pt shot from 23 ft (assist by J. Winslow),3,35-23,,
1:21.0,,,35-25,2,B. Simmons makes 2-pt shot from 1 ft (assist by R. Covington)
1:02.0,Offensive charge foul by K. Olynyk (drawn by E. Ilyasova),,35-25,,
1:02.0,Turnover by K. Olynyk (offensive foul),,35-25,,
1:02.0,,,35-25,,M. Fultz enters the game for B. Simmons
0:48.0,,,35-25,,J. Redick misses 2-pt shot from 12 ft
0:47.0,Defensive rebound by W. Ellington,,35-25,,
0:37.0,D. Wade misses 2-pt shot from 19 ft,,35-25,,
0:37.0,,,35-25,,Defensive rebound by Team
0:31.0,,,35-25,,M. Fultz misses 2-pt shot from 14 ft
0:28.0,Defensive rebound by D. Wade,,35-25,,
0:11.0,Turnover by J. Winslow (lost ball; steal by M. Fultz),,35-25,,
0:04.0,,,35-28,3,R. Covington makes 3-pt shot from 27 ft (assist by J. Redick)
0:02.0,Turnover by J. Winslow (bad pass; steal by M. Fultz),,35-28,,
0:00.0,,,35-28,,Shooting foul by J. Winslow (drawn by M. Fultz)
0:00.0,,,35-28,,M. Fultz misses free throw 1 of 2
0:00.0,,,35-28,,Offensive rebound by Team
0:00.0,,,35-29,1,M. Fultz makes free throw 2 of 2
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,W. Ellington misses 3-pt shot from 27 ft,,35-29,,
11:40.0,Offensive rebound by K. Olynyk,,35-29,,
11:40.0,K. Olynyk misses 2-pt shot at rim,,35-29,,
11:40.0,Offensive rebound by K. Olynyk,,35-29,,
11:40.0,Shooting foul by R. Covington (drawn by K. Olynyk),,35-29,,
11:40.0,K. Olynyk misses free throw 1 of 2,,35-29,,
11:40.0,Offensive rebound by Team,,35-29,,
11:40.0,K. Olynyk misses free throw 2 of 2,,35-29,,
11:37.0,,,35-29,,Defensive rebound by D. Saric
11:17.0,,,35-29,,D. Saric misses 2-pt shot at rim (block by B. Adebayo)
11:15.0,Defensive rebound by J. Richardson,,35-29,,
11:10.0,K. Olynyk makes 2-pt shot at rim (assist by J. Richardson),2,37-29,,
10:58.0,,,37-29,,M. Belinelli misses 3-pt shot from 27 ft
10:53.0,,,37-29,,Offensive rebound by R. Covington
10:53.0,,,37-29,,R. Covington misses 2-pt shot at rim
10:52.0,Defensive rebound by B. Adebayo,,37-29,,
10:42.0,D. Wade misses 2-pt shot from 1 ft,,37-29,,
10:40.0,,,37-29,,Defensive rebound by E. Ilyasova
10:32.0,,,37-31,2,E. Ilyasova makes 2-pt shot at rim (assist by D. Saric)
10:20.0,J. Richardson misses 3-pt shot from 27 ft,,37-31,,
10:19.0,,,37-31,,Defensive rebound by E. Ilyasova
10:13.0,,,37-34,3,E. Ilyasova makes 3-pt shot from 26 ft (assist by M. Fultz)
9:53.0,,,37-34,,Personal foul by M. Belinelli (drawn by K. Olynyk)
9:39.0,Turnover by Team (shot clock),,37-34,,
9:27.0,,,37-36,2,M. Belinelli makes 2-pt shot from 2 ft (assist by M. Fultz)
9:08.0,Shooting foul by E. Ilyasova (drawn by D. Wade),,37-36,,
9:08.0,D. Wade misses free throw 1 of 2,,37-36,,
9:08.0,Offensive rebound by Team,,37-36,,
9:08.0,,,37-36,,A. Johnson enters the game for E. Ilyasova
9:08.0,J. Johnson enters the game for K. Olynyk,,37-36,,
9:08.0,D. Wade makes free throw 2 of 2,1,38-36,,
9:08.0,,,38-36,,J. Redick enters the game for R. Covington
8:53.0,,,38-39,3,D. Saric makes 3-pt shot from 25 ft (assist by M. Belinelli)
8:38.0,Miami full timeout,,38-39,,
8:38.0,,,38-39,,B. Simmons enters the game for M. Fultz
8:38.0,H. Whiteside enters the game for B. Adebayo,,38-39,,
8:38.0,Turnover by Team (turnover),,38-39,,
8:31.0,Personal foul by D. Wade (drawn by D. Saric),,38-39,,
8:23.0,,,38-39,,M. Belinelli misses 2-pt shot from 14 ft
8:21.0,,,38-39,,Offensive rebound by Team
8:21.0,Loose ball foul by H. Whiteside (drawn by A. Johnson),,38-39,,
8:14.0,,,38-41,2,D. Saric makes 2-pt shot from 1 ft (assist by B. Simmons)
7:54.0,W. Ellington misses 3-pt shot from 27 ft,,38-41,,
7:50.0,,,38-41,,Defensive rebound by B. Simmons
7:48.0,Personal foul by W. Ellington (drawn by A. Johnson),,38-41,,
7:48.0,G. Dragic enters the game for W. Ellington,,38-41,,
7:48.0,J. Winslow enters the game for D. Wade,,38-41,,
7:46.0,Personal foul by G. Dragic (drawn by M. Belinelli),,38-41,,
7:37.0,,,38-41,,D. Saric misses 2-pt shot from 2 ft
7:35.0,Defensive rebound by H. Whiteside,,38-41,,
7:27.0,Turnover by H. Whiteside (lost ball; steal by M. Belinelli),,38-41,,
7:22.0,,,38-41,,M. Belinelli misses 3-pt shot from 26 ft
7:18.0,Defensive rebound by J. Richardson,,38-41,,
7:07.0,J. Johnson makes 2-pt shot from 1 ft (assist by J. Richardson),2,40-41,,
6:59.0,Personal foul by J. Richardson (drawn by M. Belinelli),,40-41,,
6:59.0,,,40-42,1,M. Belinelli makes free throw 1 of 2
6:59.0,K. Olynyk enters the game for H. Whiteside,,40-42,,
