time,Brooklyn,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. T. Zeller (T. Harris gains possession),,,,Jump ball: A. Drummond vs. T. Zeller (T. Harris gains possession)
11:43.0,,,0-0,,T. Harris misses 2-pt shot from 10 ft
11:38.0,Defensive rebound by A. Crabbe,,0-0,,
11:18.0,Turnover by S. Dinwiddie (step out of bounds),,0-0,,
11:04.0,,,0-2,2,A. Bradley makes 2-pt shot from 12 ft (assist by A. Drummond)
10:40.0,D. Carroll misses 2-pt shot from 12 ft,,0-2,,
10:36.0,,,0-2,,Defensive rebound by T. Harris
10:27.0,,,0-4,2,T. Harris makes 2-pt shot from 15 ft
10:04.0,R. Hollis-Jefferson makes 2-pt shot from 6 ft,2,2-4,,
9:46.0,,,2-4,,A. Drummond misses 2-pt shot from 14 ft
9:44.0,Defensive rebound by D. Carroll,,2-4,,
9:29.0,D. Carroll makes 2-pt shot from 5 ft (assist by R. Hollis-Jefferson),2,4-4,,
9:13.0,,,4-6,2,I. Smith makes 2-pt shot from 15 ft (assist by T. Harris)
8:58.0,T. Zeller makes 2-pt shot from 2 ft (assist by S. Dinwiddie),2,6-6,,
8:58.0,Shooting foul by T. Harris (drawn by T. Zeller),,6-6,,
8:58.0,T. Zeller makes free throw 1 of 1,1,7-6,,
8:42.0,,,7-9,3,R. Bullock makes 3-pt shot from 25 ft (assist by T. Harris)
8:27.0,D. Carroll misses 3-pt shot from 27 ft,,7-9,,
8:24.0,,,7-9,,Defensive rebound by A. Drummond
8:19.0,,,7-12,3,T. Harris makes 3-pt shot from 24 ft (assist by I. Smith)
8:00.0,A. Crabbe makes 3-pt shot from 26 ft (assist by R. Hollis-Jefferson),3,10-12,,
7:41.0,,,10-12,,A. Bradley misses 3-pt shot from 24 ft
7:37.0,Defensive rebound by A. Crabbe,,10-12,,
7:24.0,R. Hollis-Jefferson misses 3-pt shot from 23 ft,,10-12,,
7:23.0,Offensive rebound by Team,,10-12,,
7:15.0,S. Dinwiddie makes 3-pt shot from 25 ft (assist by R. Hollis-Jefferson),3,13-12,,
6:59.0,,,13-12,,A. Bradley misses 2-pt shot from 16 ft
6:56.0,Defensive rebound by D. Carroll,,13-12,,
6:52.0,R. Hollis-Jefferson makes 2-pt shot from 3 ft,2,15-12,,
6:37.0,,,15-12,,I. Smith misses 3-pt shot from 26 ft
6:34.0,Defensive rebound by R. Hollis-Jefferson,,15-12,,
6:27.0,R. Hollis-Jefferson misses 2-pt shot from 12 ft,,15-12,,
6:23.0,,,15-12,,Defensive rebound by A. Drummond
6:19.0,,,15-12,,I. Smith misses 2-pt shot from 1 ft
6:17.0,Defensive rebound by T. Zeller,,15-12,,
6:13.0,D. Carroll makes 3-pt shot from 23 ft (assist by S. Dinwiddie),3,18-12,,
6:12.0,,,18-12,,Detroit full timeout
5:59.0,,,18-12,,R. Bullock misses 3-pt shot from 24 ft
5:55.0,Defensive rebound by T. Zeller,,18-12,,
5:39.0,D. Carroll misses 2-pt shot from 8 ft,,18-12,,
5:35.0,,,18-12,,Defensive rebound by A. Drummond
5:30.0,,,18-12,,A. Drummond misses 2-pt shot from 5 ft
5:27.0,Defensive rebound by T. Zeller,,18-12,,
5:18.0,R. Hollis-Jefferson makes 2-pt shot from 11 ft,2,20-12,,
5:03.0,,,20-14,2,A. Bradley makes 2-pt shot from 9 ft (assist by A. Drummond)
5:03.0,,,20-14,,Shooting foul by A. Crabbe (drawn by A. Bradley)
5:03.0,,,20-14,,S. Johnson enters the game for R. Bullock
5:03.0,J. Allen enters the game for T. Zeller,,20-14,,
5:03.0,J. Harris enters the game for A. Crabbe,,20-14,,
5:03.0,,,20-15,1,A. Bradley makes free throw 1 of 1
4:49.0,R. Hollis-Jefferson makes 2-pt shot from 2 ft (assist by S. Dinwiddie),2,22-15,,
4:36.0,,,22-15,,A. Bradley misses 2-pt shot from 17 ft
4:33.0,Defensive rebound by D. Carroll,,22-15,,
4:20.0,D. Carroll misses 3-pt shot from 26 ft,,22-15,,
4:17.0,,,22-15,,Defensive rebound by I. Smith
4:10.0,,,22-17,2,T. Harris makes 2-pt shot at rim
3:55.0,J. Harris misses 2-pt shot from 3 ft (block by A. Drummond),,22-17,,
3:52.0,,,22-17,,Defensive rebound by A. Drummond
3:51.0,,,22-17,,Shooting foul by S. Dinwiddie (drawn by S. Johnson)
3:51.0,,,22-18,1,S. Johnson makes free throw 1 of 2
3:51.0,,,22-18,,L. Galloway enters the game for I. Smith
3:51.0,D. Russell enters the game for S. Dinwiddie,,22-18,,
3:51.0,C. LeVert enters the game for D. Carroll,,22-18,,
3:51.0,,,22-19,1,S. Johnson makes free throw 2 of 2
3:32.0,J. Harris makes 2-pt shot from 10 ft,2,24-19,,
3:07.0,,,24-19,,A. Bradley misses 2-pt shot from 6 ft
3:05.0,,,24-19,,Offensive rebound by A. Drummond
3:03.0,,,24-19,,A. Drummond misses 2-pt shot from 3 ft
3:03.0,Defensive rebound by R. Hollis-Jefferson,,24-19,,
2:48.0,R. Hollis-Jefferson misses 2-pt shot from 10 ft,,24-19,,
2:44.0,,,24-19,,Defensive rebound by A. Drummond
2:38.0,,,24-19,,T. Harris misses 3-pt shot from 25 ft
2:33.0,Defensive rebound by J. Allen,,24-19,,
2:33.0,Brooklyn full timeout,,24-19,,
2:33.0,,,24-19,,L. Kennard enters the game for A. Bradley
2:33.0,,,24-19,,A. Tolliver enters the game for T. Harris
2:33.0,Q. Acy enters the game for R. Hollis-Jefferson,,24-19,,
2:32.0,,,24-19,,Personal foul by S. Johnson (drawn by C. LeVert)
2:27.0,Offensive foul by J. Allen (drawn by L. Galloway),,24-19,,
2:27.0,Turnover by J. Allen (offensive foul),,24-19,,
2:17.0,,,24-19,,L. Galloway misses 3-pt shot from 26 ft
2:13.0,Defensive rebound by C. LeVert,,24-19,,
2:00.0,Q. Acy misses 2-pt shot from 2 ft,,24-19,,
1:58.0,Offensive rebound by Q. Acy,,24-19,,
1:46.0,C. LeVert misses 2-pt shot from 23 ft,,24-19,,
1:43.0,,,24-19,,Defensive rebound by A. Drummond
1:35.0,,,24-19,,Shooting foul by J. Allen (drawn by A. Drummond)
1:35.0,,,24-20,1,A. Drummond makes free throw 1 of 2
1:35.0,,,24-20,,A. Drummond misses free throw 2 of 2
1:31.0,Defensive rebound by Q. Acy,,24-20,,
1:23.0,Q. Acy makes 3-pt shot from 23 ft (assist by D. Russell),3,27-20,,
1:07.0,,,27-20,,S. Johnson misses 3-pt shot from 25 ft
1:04.0,Defensive rebound by C. LeVert,,27-20,,
0:48.0,C. LeVert misses 2-pt shot from 13 ft,,27-20,,
0:46.0,Offensive rebound by C. LeVert,,27-20,,
0:46.0,Shooting foul by A. Drummond (drawn by C. LeVert),,27-20,,
0:46.0,C. LeVert makes free throw 1 of 2,1,28-20,,
0:46.0,C. LeVert misses free throw 2 of 2,,28-20,,
0:44.0,Offensive rebound by J. Allen,,28-20,,
0:35.0,J. Allen makes 2-pt shot from 1 ft (assist by C. LeVert),2,30-20,,
0:25.0,,,30-20,,L. Galloway misses 2-pt shot from 9 ft
0:21.0,Defensive rebound by J. Harris,,30-20,,
0:07.0,J. Harris misses 3-pt shot from 26 ft,,30-20,,
0:04.0,,,30-20,,Defensive rebound by A. Drummond
0:00.0,,,30-20,,A. Drummond misses 3-pt shot from 37 ft
0:00.0,,,30-20,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,D. Russell misses 2-pt shot from 7 ft,,30-20,,
11:41.0,,,30-20,,Defensive rebound by E. Moreland
11:33.0,,,30-23,3,L. Kennard makes 3-pt shot from 24 ft (assist by L. Galloway)
11:15.0,J. Okafor makes 2-pt shot from 8 ft,2,32-23,,
10:53.0,,,32-23,,Turnover by L. Galloway (bad pass)
10:41.0,Turnover by D. Russell (bad pass),,32-23,,
10:25.0,,,32-25,2,A. Tolliver makes 2-pt shot from 8 ft (assist by L. Galloway)
10:08.0,D. Russell misses 3-pt shot from 23 ft,,32-25,,
10:05.0,,,32-25,,Defensive rebound by E. Moreland
9:59.0,,,32-25,,L. Galloway misses 2-pt shot from 14 ft
9:56.0,Defensive rebound by J. Okafor,,32-25,,
9:37.0,J. Okafor misses 2-pt shot from 7 ft,,32-25,,
9:34.0,,,32-25,,Defensive rebound by Team
9:21.0,,,32-25,,Turnover by L. Kennard (bad pass)
