time,Houston,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: W. Cauley-Stein vs. T. Black (D. Fox gains possession),,,,Jump ball: W. Cauley-Stein vs. T. Black (D. Fox gains possession)
11:39.0,,,0-0,,Turnover by J. Jackson (traveling)
11:28.0,G. Green misses 3-pt shot from 22 ft,,0-0,,
11:24.0,,,0-0,,Defensive rebound by J. Jackson
11:09.0,,,0-2,2,J. Sampson makes 2-pt shot from 1 ft (assist by W. Cauley-Stein)
10:56.0,Shooting foul by J. Sampson (drawn by T. Black),,0-2,,
10:56.0,T. Black misses free throw 1 of 2,,0-2,,
10:56.0,Offensive rebound by Team,,0-2,,
10:56.0,T. Black makes free throw 2 of 2,1,1-2,,
10:42.0,,,1-2,,D. Fox misses 3-pt shot from 24 ft
10:39.0,Defensive rebound by G. Green,,1-2,,
10:25.0,R. Hunter misses 3-pt shot from 23 ft,,1-2,,
10:21.0,,,1-2,,Defensive rebound by D. Fox
10:15.0,Personal foul by J. Johnson (drawn by D. Fox),,1-2,,
10:03.0,,,1-2,,J. Jackson misses 3-pt shot from 22 ft
10:00.0,Defensive rebound by J. Johnson,,1-2,,
9:56.0,J. Johnson misses 2-pt shot from 17 ft,,1-2,,
9:53.0,,,1-2,,Defensive rebound by J. Sampson
9:49.0,,,1-2,,J. Jackson misses 2-pt shot from 1 ft (block by T. Black)
9:46.0,Defensive rebound by J. Johnson,,1-2,,
9:43.0,G. Green makes 2-pt shot from 1 ft,2,3-2,,
9:20.0,,,3-2,,D. Fox misses 2-pt shot from 8 ft
9:18.0,Defensive rebound by T. Black,,3-2,,
9:14.0,R. Hunter misses 3-pt shot from 24 ft,,3-2,,
9:14.0,,,3-2,,Defensive rebound by W. Cauley-Stein
9:03.0,,,3-4,2,B. Bogdanovic makes 2-pt shot from 12 ft
8:41.0,J. Johnson makes 2-pt shot from 4 ft,2,5-4,,
8:26.0,,,5-6,2,J. Sampson makes 2-pt shot from 14 ft (assist by B. Bogdanovic)
8:06.0,G. Green misses 3-pt shot from 25 ft,,5-6,,
8:03.0,Offensive rebound by P. Tucker,,5-6,,
8:01.0,P. Tucker makes 3-pt shot from 24 ft,3,8-6,,
7:43.0,,,8-6,,Shooting foul by R. Hunter (drawn by W. Cauley-Stein)
7:43.0,,,8-6,,W. Cauley-Stein misses free throw 1 of 2
7:43.0,,,8-6,,Offensive rebound by Team
7:43.0,,,8-7,1,W. Cauley-Stein makes free throw 2 of 2
7:23.0,R. Hunter makes 2-pt shot from 1 ft (assist by J. Johnson),2,10-7,,
7:10.0,,,10-7,,D. Fox misses 3-pt shot from 24 ft
7:06.0,Defensive rebound by P. Tucker,,10-7,,
6:58.0,G. Green misses 3-pt shot from 24 ft,,10-7,,
6:56.0,,,10-7,,Defensive rebound by D. Fox
6:52.0,,,10-7,,J. Jackson misses 3-pt shot from 25 ft
6:48.0,,,10-7,,Offensive rebound by D. Fox
6:45.0,,,10-9,2,J. Sampson makes 2-pt shot from 9 ft
6:32.0,R. Hunter misses 3-pt shot from 24 ft,,10-9,,
6:29.0,,,10-9,,Defensive rebound by J. Sampson
6:21.0,,,10-9,,Turnover by W. Cauley-Stein (lost ball; steal by R. Hunter)
6:16.0,G. Green makes 3-pt shot from 24 ft (assist by J. Johnson),3,13-9,,
5:59.0,,,13-9,,B. Bogdanovic misses 3-pt shot from 24 ft
5:57.0,Defensive rebound by J. Johnson,,13-9,,
5:50.0,P. Tucker misses 3-pt shot from 23 ft,,13-9,,
5:47.0,,,13-9,,Defensive rebound by J. Jackson
