time,Portland,pts.away,score,pts.home,New York
4:20.0,,,94-80,,New York full timeout
4:20.0,,,94-80,,C. Lee enters the game for W. Hernangomez
4:20.0,,,94-80,,K. Porzingis enters the game for D. McDermott
4:12.0,,,94-80,,T. Hardaway misses 2-pt shot from 6 ft (block by C. McCollum)
4:07.0,Defensive rebound by C. McCollum,,94-80,,
3:53.0,Turnover by D. Lillard (traveling),,94-80,,
3:36.0,Personal foul by P. Connaughton (drawn by K. Porzingis),,94-80,,
3:26.0,,,94-80,,Shooting foul by N. Vonleh (drawn by K. Porzingis)
3:26.0,,,94-81,1,K. Porzingis makes free throw 1 of 2
3:26.0,,,94-82,1,K. Porzingis makes free throw 2 of 2
3:09.0,C. McCollum makes 2-pt shot from 8 ft,2,96-82,,
2:57.0,,,96-84,2,F. Ntilikina makes 2-pt shot from 21 ft
2:38.0,C. McCollum misses 3-pt shot from 25 ft,,96-84,,
2:33.0,Offensive rebound by N. Vonleh,,96-84,,
2:13.0,J. Nurkic misses 2-pt shot from 18 ft,,96-84,,
2:13.0,,,96-84,,Defensive rebound by K. Porzingis
2:13.0,Personal foul by N. Vonleh (drawn by K. Porzingis),,96-84,,
2:13.0,M. Harkless enters the game for N. Vonleh,,96-84,,
2:13.0,,,96-85,1,K. Porzingis makes free throw 1 of 2
2:13.0,,,96-86,1,K. Porzingis makes free throw 2 of 2
1:51.0,Turnover by C. McCollum (step out of bounds),,96-86,,
1:44.0,,,96-86,,F. Ntilikina misses 2-pt shot from 22 ft
1:41.0,Defensive rebound by J. Nurkic,,96-86,,
1:26.0,D. Lillard misses 3-pt shot from 25 ft,,96-86,,
1:24.0,,,96-86,,Defensive rebound by M. Beasley
1:24.0,,,96-86,,New York full timeout
1:15.0,,,96-86,,Shooting foul by C. McCollum (drawn by T. Hardaway)
1:15.0,,,96-87,1,T. Hardaway makes free throw 1 of 2
1:15.0,,,96-88,1,T. Hardaway makes free throw 2 of 2
0:56.0,D. Lillard makes 2-pt shot from 3 ft,2,98-88,,
0:56.0,,,98-88,,Violation by K. Porzingis (def goaltending)
0:46.0,,,98-90,2,C. Lee makes 2-pt shot at rim
0:43.0,Portland full timeout,,98-90,,
0:43.0,E. Turner enters the game for M. Harkless,,98-90,,
0:43.0,Portland full timeout,,98-90,,
0:41.0,,,98-90,,Personal foul by K. Porzingis (drawn by E. Turner)
0:41.0,E. Turner makes free throw 1 of 2,1,99-90,,
0:41.0,E. Turner makes free throw 2 of 2,1,100-90,,
0:32.0,,,100-90,,Shooting foul by P. Connaughton (drawn by C. Lee)
0:32.0,,,100-91,1,C. Lee makes free throw 1 of 2
0:32.0,,,100-91,,C. Lee misses free throw 2 of 2
0:30.0,Defensive rebound by J. Nurkic,,100-91,,
0:30.0,,,100-91,,Personal foul by K. Porzingis (drawn by J. Nurkic)
0:30.0,J. Nurkic makes free throw 1 of 2,1,101-91,,
0:30.0,J. Nurkic misses free throw 2 of 2,,101-91,,
0:28.0,Offensive rebound by J. Nurkic,,101-91,,
0:25.0,J. Nurkic makes 2-pt shot at rim,2,103-91,,
0:19.0,,,103-91,,M. Beasley misses 2-pt shot from 14 ft
0:16.0,Defensive rebound by J. Nurkic,,103-91,,
