time,Portland,pts.away,score,pts.home,New York
6:06.0,,,11-13,2,K. Porzingis makes 2-pt shot from 17 ft
5:49.0,P. Connaughton makes 2-pt shot from 1 ft (assist by J. Nurkic),2,13-13,,
5:38.0,Personal foul by C. McCollum (drawn by T. Hardaway),,13-13,,
5:38.0,E. Turner enters the game for C. McCollum,,13-13,,
5:35.0,,,13-13,,K. Porzingis misses 3-pt shot from 25 ft
5:32.0,Defensive rebound by J. Nurkic,,13-13,,
5:25.0,N. Vonleh makes 2-pt shot at rim (assist by J. Nurkic),2,15-13,,
5:05.0,,,15-16,3,K. Porzingis makes 3-pt shot from 27 ft (assist by C. Lee)
4:51.0,J. Nurkic makes 2-pt shot from 10 ft (assist by D. Lillard),2,17-16,,
4:35.0,,,17-18,2,K. O'Quinn makes 2-pt shot from 8 ft
4:10.0,J. Nurkic misses 2-pt shot from 17 ft,,17-18,,
4:10.0,,,17-18,,Defensive rebound by K. O'Quinn
3:58.0,,,17-18,,K. O'Quinn misses 2-pt shot from 20 ft
3:56.0,Defensive rebound by Team,,17-18,,
3:56.0,,,17-18,,D. McDermott enters the game for C. Lee
3:56.0,J. Layman enters the game for P. Connaughton,,17-18,,
3:41.0,E. Turner makes 2-pt shot from 16 ft,2,19-18,,
3:34.0,,,19-20,2,T. Hardaway makes 2-pt shot from 1 ft
3:22.0,,,19-20,,Def 3 sec tech foul by K. O'Quinn
3:22.0,D. Lillard makes technical free throw,1,20-20,,
3:22.0,,,20-20,,W. Hernangomez enters the game for K. O'Quinn
3:22.0,E. Davis enters the game for J. Nurkic,,20-20,,
3:15.0,D. Lillard makes 2-pt shot from 18 ft,2,22-20,,
3:06.0,Personal foul by N. Vonleh (drawn by K. Porzingis),,22-20,,
2:49.0,,,22-20,,K. Porzingis misses 2-pt shot from 22 ft
2:45.0,Defensive rebound by J. Layman,,22-20,,
2:37.0,E. Turner misses 3-pt shot from 25 ft,,22-20,,
2:36.0,Offensive rebound by Team,,22-20,,
2:36.0,,,22-20,,Loose ball foul by K. Porzingis (drawn by N. Vonleh)
2:36.0,Portland full timeout,,22-20,,
2:36.0,,,22-20,,F. Ntilikina enters the game for J. Jack
2:30.0,J. Layman misses 3-pt shot from 25 ft,,22-20,,
2:27.0,,,22-20,,Defensive rebound by W. Hernangomez
2:18.0,,,22-20,,T. Hardaway misses 2-pt shot from 15 ft
2:14.0,Defensive rebound by N. Vonleh,,22-20,,
1:58.0,D. Lillard misses 2-pt shot from 22 ft,,22-20,,
1:55.0,,,22-20,,Defensive rebound by T. Hardaway
1:41.0,,,22-20,,K. Porzingis misses 2-pt shot from 13 ft
1:35.0,,,22-20,,Offensive rebound by W. Hernangomez
1:35.0,,,22-22,2,W. Hernangomez makes 2-pt shot at rim
1:25.0,Shooting foul by W. Hernangomez (drawn by D. Lillard),,22-22,,
1:25.0,D. Lillard makes free throw 1 of 2,1,23-22,,
1:25.0,,,23-22,,D. Dotson enters the game for T. Hardaway
1:25.0,D. Lillard makes free throw 2 of 2,1,24-22,,
1:07.0,,,24-22,,Turnover by K. Porzingis (lost ball; steal by J. Layman)
0:58.0,E. Turner makes 2-pt shot from 15 ft,2,26-22,,
0:49.0,,,26-22,,F. Ntilikina misses 3-pt shot from 25 ft
0:45.0,,,26-22,,Offensive rebound by W. Hernangomez
0:40.0,,,26-22,,Turnover by W. Hernangomez (bad pass)
0:40.0,C. McCollum enters the game for N. Vonleh,,26-22,,
0:34.0,D. Lillard makes 2-pt shot from 1 ft,2,28-22,,
0:25.0,,,28-22,,Shooting foul by E. Turner (drawn by K. Porzingis)
0:25.0,,,28-23,1,K. Porzingis makes free throw 1 of 2
0:25.0,,,28-23,,L. Thomas enters the game for W. Hernangomez
0:25.0,,,28-23,,K. Porzingis misses free throw 2 of 2
0:24.0,Defensive rebound by C. McCollum,,28-23,,
