time,Atlanta,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Mickey vs. D. Dedmon (M. Delaney gains possession),,,,Jump ball: J. Mickey vs. D. Dedmon (M. Delaney gains possession)
11:38.0,K. Bazemore makes 3-pt shot from 25 ft,3,3-0,,
11:15.0,,,3-0,,G. Dragic misses 3-pt shot from 23 ft
11:12.0,Defensive rebound by M. Delaney,,3-0,,
11:07.0,Turnover by T. Waller-Prince (lost ball; steal by J. Richardson),,3-0,,
10:58.0,,,3-0,,J. Johnson misses 3-pt shot from 23 ft
10:55.0,Defensive rebound by K. Bazemore,,3-0,,
10:46.0,D. Dedmon misses 3-pt shot from 22 ft,,3-0,,
10:40.0,Offensive rebound by K. Bazemore,,3-0,,
10:31.0,Shooting foul by D. Waiters (drawn by K. Bazemore),,3-0,,
10:31.0,K. Bazemore makes free throw 1 of 2,1,4-0,,
10:31.0,K. Bazemore makes free throw 2 of 2,1,5-0,,
10:10.0,,,5-2,2,G. Dragic makes 2-pt shot from 3 ft (assist by J. Johnson)
9:55.0,D. Dedmon misses 2-pt shot from 7 ft,,5-2,,
9:53.0,,,5-2,,Defensive rebound by J. Mickey
9:41.0,,,5-5,3,J. Richardson makes 3-pt shot from 29 ft (assist by G. Dragic)
9:24.0,K. Bazemore makes 2-pt shot from 16 ft (assist by D. Dedmon),2,7-5,,
9:12.0,,,7-5,,J. Richardson misses 3-pt shot from 23 ft
9:12.0,,,7-5,,Offensive rebound by Team
9:06.0,,,7-5,,D. Waiters misses 2-pt shot from 22 ft
9:03.0,,,7-5,,Offensive rebound by J. Richardson
8:54.0,,,7-7,2,G. Dragic makes 2-pt shot from 15 ft
8:39.0,K. Bazemore misses 2-pt shot from 18 ft,,7-7,,
8:35.0,,,7-7,,Defensive rebound by J. Johnson
8:25.0,,,7-7,,Turnover by D. Waiters (lost ball; steal by T. Waller-Prince)
8:18.0,M. Delaney misses 2-pt shot from 14 ft,,7-7,,
8:15.0,,,7-7,,Defensive rebound by J. Johnson
8:13.0,,,7-9,2,J. Mickey makes 2-pt shot from 1 ft (assist by J. Johnson)
7:51.0,D. Dedmon misses 2-pt shot from 20 ft,,7-9,,
7:48.0,,,7-9,,Defensive rebound by J. Mickey
7:37.0,,,7-12,3,D. Waiters makes 3-pt shot from 25 ft (assist by J. Johnson)
7:36.0,Atlanta full timeout,,7-12,,
7:21.0,Turnover by M. Delaney (bad pass; steal by J. Johnson),,7-12,,
7:14.0,,,7-12,,D. Waiters misses 2-pt shot from 2 ft
7:11.0,Defensive rebound by D. Dedmon,,7-12,,
7:00.0,M. Muscala misses 2-pt shot from 2 ft,,7-12,,
6:58.0,,,7-12,,Defensive rebound by J. Mickey
6:56.0,,,7-12,,Offensive foul by D. Waiters (drawn by M. Delaney)
6:56.0,,,7-12,,Turnover by D. Waiters (offensive foul)
6:56.0,,,7-12,,T. Johnson enters the game for D. Waiters
6:56.0,M. Belinelli enters the game for K. Bazemore,,7-12,,
6:33.0,M. Belinelli misses 2-pt shot from 21 ft,,7-12,,
6:31.0,,,7-12,,Defensive rebound by J. Johnson
6:23.0,,,7-12,,T. Johnson misses 3-pt shot from 25 ft
6:22.0,Defensive rebound by T. Waller-Prince,,7-12,,
6:01.0,Turnover by Team (shot clock),,7-12,,
5:45.0,,,7-12,,G. Dragic misses 2-pt shot from 21 ft
5:42.0,Defensive rebound by T. Waller-Prince,,7-12,,
5:30.0,Turnover by T. Waller-Prince (bad pass; steal by T. Johnson),,7-12,,
5:21.0,,,7-12,,Turnover by J. Johnson (out of bounds lost ball)
5:21.0,L. Babbitt enters the game for M. Muscala,,7-12,,
5:07.0,Turnover by L. Babbitt (bad pass; steal by J. Richardson),,7-12,,
5:00.0,,,7-14,2,J. Richardson makes 2-pt shot from 1 ft
4:47.0,T. Waller-Prince makes 3-pt shot from 23 ft (assist by M. Belinelli),3,10-14,,
4:35.0,Personal foul by M. Belinelli (drawn by T. Johnson),,10-14,,
4:35.0,I. Taylor enters the game for D. Dedmon,,10-14,,
4:35.0,J. Collins enters the game for M. Delaney,,10-14,,
4:26.0,,,10-16,2,G. Dragic makes 2-pt shot from 2 ft
4:09.0,M. Belinelli misses 2-pt shot from 22 ft,,10-16,,
4:05.0,,,10-16,,Defensive rebound by J. Mickey
4:01.0,,,10-18,2,J. Richardson makes 2-pt shot from 14 ft
3:47.0,T. Waller-Prince misses 2-pt shot from 1 ft (block by J. Richardson),,10-18,,
3:43.0,Offensive rebound by J. Collins,,10-18,,
3:42.0,J. Collins misses 2-pt shot from 3 ft (block by J. Mickey),,10-18,,
3:42.0,Offensive rebound by J. Collins,,10-18,,
3:39.0,J. Collins makes 2-pt shot from 3 ft,2,12-18,,
3:33.0,,,12-18,,K. Olynyk enters the game for J. Johnson
3:33.0,,,12-18,,J. Winslow enters the game for J. Mickey
3:33.0,,,12-18,,Miami full timeout
3:18.0,,,12-18,,Turnover by T. Johnson (bad pass; steal by T. Waller-Prince)
3:12.0,T. Waller-Prince makes 2-pt shot from 1 ft,2,14-18,,
2:59.0,,,14-18,,J. Winslow misses 3-pt shot from 22 ft
2:57.0,,,14-18,,Offensive rebound by K. Olynyk
2:51.0,,,14-21,3,J. Richardson makes 3-pt shot from 26 ft (assist by K. Olynyk)
2:35.0,L. Babbitt makes 3-pt shot from 23 ft,3,17-21,,
2:23.0,,,17-21,,Shooting foul by J. Collins (drawn by K. Olynyk)
2:23.0,,,17-21,,K. Olynyk misses free throw 1 of 2
2:23.0,,,17-21,,Offensive rebound by Team
2:23.0,,,17-21,,W. Ellington enters the game for G. Dragic
2:23.0,K. Bazemore enters the game for T. Waller-Prince,,17-21,,
2:23.0,,,17-21,,K. Olynyk misses free throw 2 of 2
2:16.0,Defensive rebound by M. Belinelli,,17-21,,
2:07.0,Shooting foul by J. Winslow (drawn by I. Taylor),,17-21,,
2:07.0,I. Taylor makes free throw 1 of 2,1,18-21,,
2:07.0,I. Taylor makes free throw 2 of 2,1,19-21,,
1:59.0,,,19-21,,Offensive foul by K. Olynyk (drawn by K. Bazemore)
1:59.0,,,19-21,,Turnover by K. Olynyk (offensive foul)
1:47.0,K. Bazemore misses 2-pt shot from 15 ft,,19-21,,
1:47.0,,,19-21,,Defensive rebound by Team
