time,Indiana,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Jokic vs. M. Turner (P. Millsap gains possession),,,,Jump ball: N. Jokic vs. M. Turner (P. Millsap gains possession)
11:35.0,,,0-2,2,W. Barton makes 2-pt shot from 7 ft (assist by N. Jokic)
11:16.0,M. Turner misses 2-pt shot from 2 ft,,0-2,,
11:14.0,Offensive rebound by T. Young,,0-2,,
11:14.0,T. Young misses 2-pt shot from 1 ft,,0-2,,
11:11.0,,,0-2,,Defensive rebound by J. Murray
11:04.0,,,0-2,,Turnover by J. Murray (bad pass; steal by M. Turner)
10:58.0,V. Oladipo makes 2-pt shot from 2 ft (assist by M. Turner),2,2-2,,
10:37.0,,,2-2,,W. Chandler misses 2-pt shot from 2 ft (block by B. Bogdanovic)
10:34.0,,,2-2,,Offensive rebound by W. Chandler
10:33.0,,,2-5,3,W. Barton makes 3-pt shot from 24 ft (assist by W. Chandler)
10:14.0,Turnover by B. Bogdanovic (lost ball; steal by W. Barton),,2-5,,
10:10.0,,,2-7,2,W. Barton makes 2-pt shot from 1 ft
9:53.0,Turnover by D. Collison (bad pass; steal by J. Murray),,2-7,,
9:50.0,,,2-9,2,W. Barton makes 2-pt shot from 1 ft (assist by N. Jokic)
9:50.0,Indiana full timeout,,2-9,,
9:37.0,T. Young makes 2-pt shot from 3 ft (assist by D. Collison),2,4-9,,
9:24.0,,,4-11,2,J. Murray makes 2-pt shot from 3 ft (assist by N. Jokic)
9:06.0,Turnover by V. Oladipo (bad pass; steal by N. Jokic),,4-11,,
9:01.0,,,4-11,,W. Chandler misses 3-pt shot from 22 ft
8:58.0,,,4-11,,Offensive rebound by P. Millsap
8:57.0,,,4-13,2,P. Millsap makes 2-pt shot from 1 ft
8:42.0,T. Young misses 2-pt shot from 13 ft,,4-13,,
8:40.0,,,4-13,,Defensive rebound by W. Chandler
8:36.0,,,4-13,,W. Barton misses 3-pt shot from 25 ft
8:33.0,Defensive rebound by T. Young,,4-13,,
8:27.0,,,4-13,,Personal foul by W. Barton (drawn by T. Young)
8:14.0,Turnover by T. Young (bad pass; steal by N. Jokic),,4-13,,
8:09.0,,,4-13,,Turnover by J. Murray (lost ball; steal by V. Oladipo)
7:53.0,Shooting foul by P. Millsap (drawn by T. Young),,4-13,,
7:53.0,T. Young misses free throw 1 of 2,,4-13,,
7:53.0,Offensive rebound by Team,,4-13,,
7:53.0,T. Young makes free throw 2 of 2,1,5-13,,
7:37.0,,,5-15,2,N. Jokic makes 2-pt shot from 9 ft (assist by J. Murray)
7:11.0,M. Turner makes 2-pt shot from 3 ft,2,7-15,,
7:01.0,Personal foul by T. Young (drawn by P. Millsap),,7-15,,
6:48.0,,,7-17,2,N. Jokic makes 2-pt shot from 9 ft (assist by J. Murray)
6:33.0,M. Turner makes 3-pt shot from 25 ft (assist by D. Collison),3,10-17,,
6:11.0,,,10-17,,J. Murray misses 2-pt shot from 6 ft
6:07.0,,,10-17,,Offensive rebound by W. Barton
6:03.0,,,10-17,,Shooting foul by B. Bogdanovic (drawn by P. Millsap)
