time,Miami,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Turner vs. B. Adebayo (G. Dragic gains possession),,,,Jump ball: M. Turner vs. B. Adebayo (G. Dragic gains possession)
11:38.0,J. Johnson makes 2-pt shot from 19 ft (assist by T. Johnson),2,2-0,,
11:19.0,,,2-0,,D. Collison misses 2-pt shot from 18 ft
11:17.0,Defensive rebound by B. Adebayo,,2-0,,
11:09.0,J. Richardson misses 2-pt shot from 20 ft,,2-0,,
11:06.0,,,2-0,,Defensive rebound by B. Bogdanovic
11:01.0,,,2-0,,D. Collison misses 2-pt shot from 1 ft
11:00.0,Defensive rebound by J. Johnson,,2-0,,
10:54.0,T. Johnson makes 3-pt shot from 29 ft (assist by G. Dragic),3,5-0,,
10:31.0,,,5-0,,V. Oladipo misses 2-pt shot from 18 ft
10:28.0,Defensive rebound by T. Johnson,,5-0,,
10:16.0,J. Richardson misses 3-pt shot from 23 ft,,5-0,,
10:14.0,Offensive rebound by B. Adebayo,,5-0,,
10:05.0,,,5-0,,Personal foul by M. Turner (drawn by B. Adebayo)
9:59.0,B. Adebayo makes 2-pt shot from 1 ft (assist by G. Dragic),2,7-0,,
9:40.0,,,7-2,2,B. Bogdanovic makes 2-pt shot at rim (assist by D. Collison)
9:29.0,Turnover by J. Richardson (lost ball; steal by V. Oladipo),,7-2,,
9:25.0,,,7-4,2,D. Collison makes 2-pt shot at rim (assist by V. Oladipo)
9:01.0,Turnover by B. Adebayo (bad pass; steal by T. Young),,7-4,,
8:55.0,,,7-4,,T. Young misses 3-pt shot from 25 ft
8:52.0,Defensive rebound by B. Adebayo,,7-4,,
8:45.0,T. Johnson makes 3-pt shot from 26 ft (assist by J. Johnson),3,10-4,,
8:28.0,Shooting block foul by B. Adebayo (drawn by M. Turner),,10-4,,
8:28.0,,,10-5,1,M. Turner makes free throw 1 of 2
8:28.0,,,10-6,1,M. Turner makes free throw 2 of 2
8:16.0,J. Johnson misses 2-pt shot from 12 ft,,10-6,,
8:14.0,,,10-6,,Defensive rebound by V. Oladipo
8:07.0,,,10-6,,Turnover by B. Bogdanovic (lost ball; steal by J. Richardson)
8:03.0,T. Johnson makes 3-pt shot from 24 ft (assist by J. Richardson),3,13-6,,
7:54.0,,,13-6,,Indiana full timeout
7:43.0,,,13-6,,V. Oladipo misses 2-pt shot from 15 ft
7:40.0,Defensive rebound by J. Johnson,,13-6,,
7:31.0,,,13-6,,Personal block foul by M. Turner (drawn by B. Adebayo)
7:31.0,,,13-6,,T. Booker enters the game for M. Turner
7:26.0,Turnover by J. Johnson (bad pass; steal by V. Oladipo),,13-6,,
7:23.0,,,13-8,2,V. Oladipo makes 2-pt shot from 2 ft
7:07.0,Offensive charge foul by B. Adebayo (drawn by T. Young),,13-8,,
7:07.0,Turnover by B. Adebayo (offensive foul),,13-8,,
7:07.0,K. Olynyk enters the game for B. Adebayo,,13-8,,
6:46.0,,,13-8,,D. Collison misses 2-pt shot from 17 ft
6:44.0,Defensive rebound by J. Richardson,,13-8,,
6:39.0,G. Dragic makes 2-pt shot from 1 ft,2,15-8,,
6:26.0,,,15-8,,V. Oladipo misses 2-pt shot from 19 ft
6:21.0,,,15-8,,Offensive rebound by T. Young
6:21.0,,,15-8,,T. Young misses 2-pt shot at rim
6:20.0,,,15-8,,Offensive rebound by D. Collison
6:19.0,,,15-8,,D. Collison misses 2-pt shot from 1 ft
6:16.0,Defensive rebound by G. Dragic,,15-8,,
6:13.0,T. Johnson makes 3-pt shot from 23 ft (assist by K. Olynyk),3,18-8,,
5:54.0,Personal foul by J. Johnson (drawn by B. Bogdanovic),,18-8,,
5:54.0,W. Ellington enters the game for J. Richardson,,18-8,,
5:54.0,,,18-8,,C. Joseph enters the game for B. Bogdanovic
5:40.0,,,18-8,,T. Young misses 2-pt shot from 19 ft
5:36.0,Defensive rebound by K. Olynyk,,18-8,,
5:22.0,K. Olynyk misses 3-pt shot from 29 ft,,18-8,,
5:20.0,,,18-8,,Defensive rebound by T. Young
5:04.0,,,18-10,2,T. Young makes 2-pt shot from 4 ft (assist by T. Booker)
4:41.0,W. Ellington makes 3-pt shot from 26 ft (assist by K. Olynyk),3,21-10,,
4:29.0,,,21-10,,V. Oladipo misses 3-pt shot from 26 ft
4:27.0,Defensive rebound by K. Olynyk,,21-10,,
4:20.0,J. Johnson makes 2-pt shot from 2 ft (assist by G. Dragic),2,23-10,,
3:57.0,,,23-12,2,T. Booker makes 2-pt shot from 8 ft
3:51.0,Miami full timeout,,23-12,,
3:51.0,,,23-12,,L. Stephenson enters the game for D. Collison
3:51.0,D. Wade enters the game for T. Johnson,,23-12,,
3:51.0,J. Winslow enters the game for J. Johnson,,23-12,,
3:40.0,D. Wade makes 2-pt shot from 16 ft (assist by K. Olynyk),2,25-12,,
3:16.0,,,25-12,,T. Young misses 2-pt shot from 7 ft
3:13.0,Defensive rebound by K. Olynyk,,25-12,,
3:04.0,W. Ellington misses 3-pt shot from 25 ft,,25-12,,
3:02.0,,,25-12,,Defensive rebound by T. Booker
2:54.0,,,25-12,,L. Stephenson misses 3-pt shot from 23 ft
2:53.0,Defensive rebound by D. Wade,,25-12,,
2:40.0,Turnover by W. Ellington (traveling),,25-12,,
2:40.0,,,25-12,,G. Robinson enters the game for T. Young
2:22.0,Shooting block foul by K. Olynyk (drawn by V. Oladipo),,25-12,,
2:22.0,,,25-13,1,V. Oladipo makes free throw 1 of 2
2:22.0,,,25-14,1,V. Oladipo makes free throw 2 of 2
2:18.0,,,25-14,,Personal foul by C. Joseph (drawn by G. Dragic)
2:03.0,D. Wade makes 3-pt shot from 23 ft (assist by G. Dragic),3,28-14,,
1:47.0,,,28-16,2,L. Stephenson makes 2-pt shot from 6 ft
1:36.0,G. Dragic misses 3-pt shot from 25 ft,,28-16,,
1:35.0,,,28-16,,Defensive rebound by C. Joseph
1:30.0,,,28-16,,Turnover by L. Stephenson (bad pass)
