time,Toronto,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. L. Nogueira (L. Aldridge gains possession),,,,Jump ball: P. Gasol vs. L. Nogueira (L. Aldridge gains possession)
11:43.0,,,0-2,2,L. Aldridge makes 2-pt shot from 14 ft
11:21.0,D. DeRozan makes 2-pt shot from 15 ft (assist by K. Lowry),2,2-2,,
10:57.0,,,2-2,,Offensive charge foul by P. Gasol (drawn by K. Lowry)
10:57.0,,,2-2,,Turnover by P. Gasol (offensive foul)
10:42.0,D. DeRozan misses 2-pt shot from 14 ft,,2-2,,
10:39.0,,,2-2,,Defensive rebound by L. Aldridge
10:29.0,,,2-2,,D. Green misses 2-pt shot from 1 ft
10:29.0,,,2-2,,Offensive rebound by Team
10:24.0,Personal foul by D. DeRozan (drawn by L. Aldridge),,2-2,,
10:10.0,,,2-2,,Turnover by D. Green (bad pass; steal by L. Nogueira)
10:04.0,S. Ibaka misses 2-pt shot from 3 ft (block by D. Green),,2-2,,
10:00.0,,,2-2,,Defensive rebound by D. Murray
9:56.0,,,2-4,2,K. Anderson makes 2-pt shot from 7 ft
9:47.0,,,2-4,,Personal foul by K. Anderson (drawn by D. DeRozan)
9:31.0,D. DeRozan misses 2-pt shot from 11 ft,,2-4,,
9:29.0,,,2-4,,Defensive rebound by P. Gasol
9:28.0,Personal foul by S. Ibaka (drawn by L. Aldridge),,2-4,,
9:08.0,,,2-4,,D. Green misses 2-pt shot from 22 ft
9:08.0,,,2-4,,Offensive rebound by Team
9:08.0,Loose ball foul by L. Nogueira (drawn by P. Gasol),,2-4,,
9:07.0,,,2-4,,Shooting foul by K. Lowry (drawn by D. Murray)
9:07.0,,,2-4,,D. Murray misses free throw 1 of 2
9:07.0,,,2-4,,Offensive rebound by Team
9:07.0,,,2-5,1,D. Murray makes free throw 2 of 2
8:58.0,K. Lowry misses 3-pt shot from 26 ft (block by K. Anderson),,2-5,,
8:54.0,,,2-5,,Defensive rebound by L. Aldridge
8:54.0,,,2-5,,Turnover by D. Murray (bad pass)
8:45.0,L. Nogueira makes 2-pt shot from 2 ft (assist by K. Lowry),2,4-5,,
8:24.0,,,4-5,,Turnover by K. Anderson (bad pass; steal by D. DeRozan)
8:08.0,S. Ibaka makes 3-pt shot from 24 ft (assist by D. DeRozan),3,7-5,,
7:47.0,,,7-5,,K. Anderson misses 3-pt shot from 22 ft
7:39.0,,,7-5,,Offensive rebound by D. Murray
7:39.0,,,7-7,2,D. Murray makes 2-pt shot at rim
7:23.0,S. Ibaka makes 2-pt shot from 12 ft,2,9-7,,
7:12.0,,,9-9,2,D. Murray makes 2-pt shot at rim
6:55.0,D. DeRozan makes 3-pt shot from 22 ft (assist by N. Powell),3,12-9,,
6:53.0,,,12-9,,San Antonio full timeout
6:38.0,,,12-9,,K. Anderson misses 2-pt shot from 8 ft
6:38.0,Defensive rebound by Team,,12-9,,
6:38.0,,,12-9,,Personal foul by L. Aldridge (drawn by S. Ibaka)
6:22.0,D. DeRozan misses 2-pt shot from 15 ft,,12-9,,
6:22.0,,,12-9,,Defensive rebound by D. Green
6:11.0,,,12-9,,L. Aldridge misses 2-pt shot from 2 ft
6:11.0,Defensive rebound by D. DeRozan,,12-9,,
6:00.0,L. Nogueira misses 2-pt shot from 2 ft (block by K. Anderson),,12-9,,
5:56.0,,,12-9,,Defensive rebound by K. Anderson
5:44.0,,,12-9,,P. Gasol misses 2-pt shot from 20 ft
5:40.0,Defensive rebound by L. Nogueira,,12-9,,
5:37.0,K. Lowry misses 3-pt shot from 25 ft,,12-9,,
5:34.0,,,12-9,,Defensive rebound by D. Murray
5:27.0,,,12-9,,D. Murray misses 2-pt shot from 15 ft
5:27.0,Defensive rebound by L. Nogueira,,12-9,,
5:16.0,S. Ibaka misses 3-pt shot from 24 ft,,12-9,,
5:12.0,,,12-9,,Defensive rebound by D. Murray
5:08.0,,,12-11,2,D. Green makes 2-pt shot at rim (assist by D. Murray)
5:08.0,,,12-11,,Shooting foul by L. Nogueira (drawn by D. Green)
5:08.0,,,12-11,,J. Lauvergne enters the game for D. Murray
5:08.0,,,12-11,,P. Mills enters the game for P. Gasol
5:08.0,J. Poeltl enters the game for N. Powell,,12-11,,
5:08.0,C. Miles enters the game for L. Nogueira,,12-11,,
5:08.0,,,12-12,1,D. Green makes free throw 1 of 1
4:49.0,D. DeRozan makes 2-pt shot from 7 ft,2,14-12,,
4:28.0,,,14-12,,L. Aldridge misses 2-pt shot from 14 ft
4:26.0,,,14-12,,Offensive rebound by K. Anderson
4:26.0,Personal foul by C. Miles (drawn by K. Anderson),,14-12,,
4:26.0,,,14-13,1,K. Anderson makes free throw 1 of 2
4:26.0,,,14-13,,M. Ginobili enters the game for D. Green
4:26.0,O. Anunoby enters the game for S. Ibaka,,14-13,,
4:26.0,,,14-13,,K. Anderson misses free throw 2 of 2
4:23.0,Defensive rebound by D. DeRozan,,14-13,,
4:16.0,O. Anunoby misses 3-pt shot from 25 ft,,14-13,,
4:14.0,Offensive rebound by J. Poeltl,,14-13,,
4:14.0,,,14-13,,Personal foul by K. Anderson (drawn by J. Poeltl)
4:14.0,,,14-13,,R. Gay enters the game for K. Anderson
4:08.0,D. DeRozan misses 2-pt shot from 12 ft,,14-13,,
4:04.0,,,14-13,,Defensive rebound by M. Ginobili
3:55.0,,,14-13,,J. Lauvergne misses 2-pt shot at rim
3:52.0,,,14-13,,Offensive rebound by J. Lauvergne
3:50.0,,,14-15,2,J. Lauvergne makes 2-pt shot at rim
3:38.0,J. Poeltl makes 2-pt shot from 1 ft (assist by C. Miles),2,16-15,,
