time,LA Clippers,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. D. Jordan (J. Wilson gains possession),,,,Jump ball: M. Gasol vs. D. Jordan (J. Wilson gains possession)
11:46.0,M. Teodosic makes 2-pt shot from 20 ft (assist by D. Jordan),2,2-0,,
11:28.0,,,2-0,,A. Harrison misses 3-pt shot from 23 ft
11:26.0,Defensive rebound by A. Rivers,,2-0,,
11:13.0,M. Teodosic makes 2-pt shot from 21 ft (assist by D. Jordan),2,4-0,,
10:47.0,,,4-3,3,T. Evans makes 3-pt shot from 24 ft (assist by C. Parsons)
10:33.0,A. Rivers misses 3-pt shot from 26 ft,,4-3,,
10:31.0,,,4-3,,Defensive rebound by T. Evans
10:25.0,,,4-3,,M. Gasol misses 2-pt shot from 21 ft
10:22.0,Defensive rebound by J. Wilson,,4-3,,
10:13.0,Turnover by M. Teodosic (bad pass; steal by T. Evans),,4-3,,
10:09.0,,,4-5,2,A. Harrison makes 2-pt shot at rim (assist by T. Evans)
10:09.0,,,4-5,,Shooting foul by J. Wilson (drawn by A. Harrison)
10:09.0,,,4-6,1,A. Harrison makes free throw 1 of 1
9:53.0,J. Wilson makes 3-pt shot from 27 ft (assist by A. Rivers),3,7-6,,
9:43.0,,,7-6,,T. Evans misses 2-pt shot from 4 ft
9:41.0,,,7-6,,Offensive rebound by T. Evans
9:37.0,,,7-6,,Turnover by C. Parsons (bad pass; steal by C. Williams)
9:33.0,C. Williams makes 2-pt shot at rim,2,9-6,,
9:20.0,,,9-6,,C. Parsons misses 3-pt shot from 25 ft
9:18.0,Defensive rebound by D. Jordan,,9-6,,
9:04.0,A. Rivers makes 2-pt shot from 17 ft,2,11-6,,
8:49.0,,,11-8,2,A. Harrison makes 2-pt shot at rim
8:42.0,C. Williams makes 3-pt shot from 25 ft (assist by M. Teodosic),3,14-8,,
8:41.0,,,14-8,,Memphis full timeout
8:19.0,,,14-10,2,T. Evans makes 2-pt shot from 22 ft
7:58.0,A. Rivers makes 3-pt shot from 26 ft (assist by J. Wilson),3,17-10,,
7:37.0,,,17-13,3,T. Evans makes 3-pt shot from 26 ft (assist by M. Gasol)
7:24.0,A. Rivers makes 2-pt shot from 3 ft,2,19-13,,
7:17.0,,,19-15,2,T. Evans makes 2-pt shot from 1 ft
7:17.0,Violation by D. Jordan (def goaltending),,19-15,,
7:01.0,M. Teodosic makes 3-pt shot from 24 ft,3,22-15,,
6:51.0,,,22-15,,T. Evans misses 2-pt shot at rim (block by C. Williams)
6:48.0,,,22-15,,Offensive rebound by M. Gasol
6:46.0,,,22-18,3,D. Brooks makes 3-pt shot from 25 ft (assist by C. Parsons)
6:32.0,,,22-18,,Personal foul by A. Harrison (drawn by A. Rivers)
6:32.0,,,22-18,,K. Simmons enters the game for D. Brooks
6:32.0,,,22-18,,B. Wright enters the game for C. Parsons
6:32.0,,,22-18,,J. Ennis enters the game for A. Harrison
6:24.0,J. Wilson misses 3-pt shot from 26 ft,,22-18,,
6:22.0,,,22-18,,Defensive rebound by T. Evans
6:15.0,,,22-18,,M. Gasol misses 2-pt shot from 4 ft
6:12.0,,,22-18,,Offensive rebound by B. Wright
6:06.0,,,22-18,,Turnover by J. Ennis (bad pass; steal by M. Teodosic)
6:04.0,,,22-18,,Personal foul by M. Gasol (drawn by D. Jordan)
6:01.0,A. Rivers makes 3-pt shot from 26 ft (assist by M. Teodosic),3,25-18,,
5:49.0,,,25-18,,Turnover by T. Evans (bad pass)
5:32.0,A. Rivers misses 3-pt shot from 25 ft,,25-18,,
5:27.0,,,25-18,,Defensive rebound by B. Wright
5:18.0,,,25-20,2,B. Wright makes 2-pt shot from 1 ft (assist by J. Ennis)
5:03.0,M. Teodosic misses 2-pt shot from 17 ft (block by K. Simmons),,25-20,,
5:03.0,,,25-20,,Defensive rebound by T. Evans
4:58.0,,,25-22,2,J. Ennis makes 2-pt shot at rim (assist by K. Simmons)
4:55.0,,,25-22,,Personal foul by K. Simmons (drawn by M. Teodosic)
4:55.0,L. Williams enters the game for M. Teodosic,,25-22,,
4:43.0,C. Williams makes 2-pt shot at rim,2,27-22,,
4:29.0,,,27-22,,Shooting foul by J. Wilson (drawn by M. Gasol)
4:29.0,,,27-23,1,M. Gasol makes free throw 1 of 2
4:29.0,S. Dekker enters the game for J. Wilson,,27-23,,
4:29.0,,,27-23,,M. Gasol misses free throw 2 of 2
4:26.0,Defensive rebound by D. Jordan,,27-23,,
4:22.0,LA Clippers full timeout,,27-23,,
4:22.0,,,27-23,,J. Martin enters the game for M. Gasol
4:08.0,L. Williams misses 3-pt shot from 29 ft,,27-23,,
4:02.0,,,27-23,,Defensive rebound by T. Evans
3:47.0,,,27-23,,J. Martin misses 2-pt shot at rim
3:45.0,Defensive rebound by D. Jordan,,27-23,,
3:23.0,C. Williams misses 3-pt shot from 26 ft,,27-23,,
3:23.0,Offensive rebound by Team,,27-23,,
3:23.0,Turnover by Team (shot clock),,27-23,,
3:23.0,J. Evans enters the game for A. Rivers,,27-23,,
3:08.0,,,27-26,3,J. Ennis makes 3-pt shot from 23 ft (assist by T. Evans)
2:50.0,L. Williams makes 2-pt shot from 21 ft,2,29-26,,
2:37.0,,,29-26,,K. Simmons misses 2-pt shot from 9 ft
2:36.0,Defensive rebound by D. Jordan,,29-26,,
2:28.0,S. Dekker makes 2-pt shot from 1 ft (assist by L. Williams),2,31-26,,
2:17.0,,,31-26,,Offensive foul by B. Wright (drawn by J. Evans)
2:17.0,,,31-26,,Turnover by B. Wright (offensive foul)
2:17.0,,,31-26,,A. Harrison enters the game for T. Evans
2:01.0,L. Williams misses 3-pt shot from 25 ft,,31-26,,
1:56.0,,,31-26,,Defensive rebound by J. Martin
1:52.0,,,31-26,,K. Simmons misses 2-pt shot from 16 ft
1:49.0,Defensive rebound by D. Jordan,,31-26,,
1:42.0,L. Williams makes 2-pt shot at rim,2,33-26,,
1:18.0,,,33-26,,J. Martin misses 2-pt shot from 21 ft
1:16.0,,,33-26,,Offensive rebound by K. Simmons
1:15.0,,,33-28,2,K. Simmons makes 2-pt shot at rim
1:01.0,J. Evans misses 2-pt shot from 9 ft,,33-28,,
1:01.0,,,33-28,,Defensive rebound by Team
1:01.0,M. Harrell enters the game for D. Jordan,,33-28,,
0:51.0,,,33-28,,A. Harrison misses 2-pt shot at rim (block by C. Williams)
0:51.0,,,33-28,,Offensive rebound by Team
0:40.0,,,33-28,,Shooting foul by S. Dekker (drawn by B. Wright)
0:40.0,,,33-29,1,B. Wright makes free throw 1 of 2
0:40.0,,,33-30,1,B. Wright makes free throw 2 of 2
0:22.0,L. Williams misses 3-pt shot from 23 ft,,33-30,,
0:19.0,,,33-30,,Defensive rebound by K. Simmons
0:00.0,,,33-30,,K. Simmons misses 3-pt shot from 22 ft
0:00.0,,,33-30,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,33-30,,J. Ennis misses 3-pt shot from 25 ft
11:42.0,Defensive rebound by M. Harrell,,33-30,,
11:37.0,L. Williams misses 2-pt shot from 10 ft (block by A. Harrison),,33-30,,
11:37.0,Offensive rebound by Team,,33-30,,
11:27.0,J. Evans misses 2-pt shot from 7 ft,,33-30,,
11:25.0,,,33-30,,Defensive rebound by D. Davis
11:19.0,,,33-32,2,D. Davis makes 2-pt shot from 11 ft (assist by A. Harrison)
10:51.0,M. Harrell makes 2-pt shot from 10 ft (assist by L. Williams),2,35-32,,
10:41.0,,,35-32,,A. Harrison misses 2-pt shot from 21 ft
10:41.0,Defensive rebound by Team,,35-32,,
10:28.0,W. Reed misses 2-pt shot from 3 ft (block by D. Davis),,35-32,,
10:25.0,,,35-32,,Defensive rebound by J. Martin
10:20.0,,,35-32,,J. Martin misses 2-pt shot from 1 ft (block by W. Reed)
10:16.0,Defensive rebound by S. Dekker,,35-32,,
10:14.0,M. Harrell misses 2-pt shot at rim,,35-32,,
10:08.0,Offensive rebound by S. Dekker,,35-32,,
10:08.0,S. Dekker makes 2-pt shot at rim,2,37-32,,
10:02.0,,,37-32,,Memphis full timeout
10:02.0,,,37-32,,C. Parsons enters the game for J. Martin
9:54.0,,,37-34,2,J. Ennis makes 2-pt shot at rim (assist by C. Parsons)
9:42.0,,,37-34,,Personal foul by D. Brooks (drawn by L. Williams)
9:36.0,J. Evans makes 2-pt shot at rim,2,39-34,,
9:18.0,,,39-34,,Shooting foul by J. Evans (drawn by A. Harrison)
9:18.0,,,39-35,1,A. Harrison makes free throw 1 of 2
9:18.0,,,39-35,,A. Harrison misses free throw 2 of 2
9:15.0,Defensive rebound by W. Reed,,39-35,,
9:13.0,Shooting foul by C. Parsons (drawn by S. Dekker),,39-35,,
9:13.0,S. Dekker makes free throw 1 of 2,1,40-35,,
9:13.0,S. Dekker makes free throw 2 of 2,1,41-35,,
9:00.0,,,41-37,2,D. Davis makes 2-pt shot from 1 ft (assist by D. Brooks)
8:54.0,S. Dekker makes 2-pt shot at rim (assist by J. Evans),2,43-37,,
8:36.0,,,43-37,,D. Brooks misses 2-pt shot from 10 ft
8:33.0,,,43-37,,Offensive rebound by C. Parsons
8:23.0,,,43-40,3,A. Harrison makes 3-pt shot from 25 ft
8:07.0,M. Harrell makes 2-pt shot from 8 ft,2,45-40,,
7:52.0,,,45-42,2,J. Ennis makes 2-pt shot from 21 ft
7:46.0,,,45-42,,Personal foul by C. Parsons (drawn by M. Harrell)
7:46.0,,,45-42,,M. Gasol enters the game for A. Harrison
7:46.0,,,45-42,,T. Evans enters the game for J. Ennis
7:46.0,,,45-42,,K. Simmons enters the game for D. Davis
7:46.0,M. Teodosic enters the game for J. Evans,,45-42,,
7:41.0,M. Harrell misses 2-pt shot from 4 ft,,45-42,,
7:37.0,,,45-42,,Defensive rebound by M. Gasol
7:30.0,,,45-42,,D. Brooks misses 2-pt shot from 5 ft (block by M. Harrell)
7:23.0,,,45-42,,Offensive rebound by M. Gasol
7:23.0,,,45-44,2,M. Gasol makes 2-pt shot at rim
7:21.0,L. Williams makes 2-pt shot at rim,2,47-44,,
7:03.0,,,47-46,2,M. Gasol makes 2-pt shot from 21 ft (assist by K. Simmons)
