time,Toronto,pts.away,score,pts.home,Orlando
10:51.0,J. Poeltl makes 2-pt shot from 1 ft (assist by D. Wright),2,48-39,,
10:25.0,,,48-39,,Turnover by R. Vaughn (bad pass; steal by J. Poeltl)
10:16.0,D. Wright misses 2-pt shot from 6 ft,,48-39,,
10:14.0,,,48-39,,Defensive rebound by B. Biyombo
10:08.0,,,48-42,3,M. Hezonja makes 3-pt shot from 24 ft (assist by S. Mack)
9:41.0,,,48-42,,Personal foul by B. Biyombo (drawn by J. Poeltl)
9:36.0,Turnover by D. Wright (bad pass; steal by S. Mack),,48-42,,
9:35.0,Personal foul by D. Wright (drawn by S. Mack),,48-42,,
9:18.0,,,48-44,2,S. Mack makes 2-pt shot from 2 ft (assist by B. Biyombo)
8:59.0,D. Wright makes 2-pt shot from 1 ft,2,50-44,,
8:42.0,,,50-44,,Turnover by S. Mack (bad pass; steal by D. Wright)
8:38.0,D. Wright makes 2-pt shot at rim (assist by P. Siakam),2,52-44,,
8:19.0,,,52-47,3,M. Hezonja makes 3-pt shot from 26 ft (assist by S. Mack)
7:57.0,D. Wright misses 2-pt shot from 2 ft,,52-47,,
7:54.0,Offensive rebound by D. Wright,,52-47,,
7:51.0,D. Wright misses 2-pt shot from 6 ft,,52-47,,
7:45.0,,,52-47,,Defensive rebound by B. Biyombo
7:42.0,,,52-50,3,R. Vaughn makes 3-pt shot from 25 ft (assist by S. Mack)
7:37.0,Toronto full timeout,,52-50,,
7:32.0,Turnover by J. Poeltl (lost ball; steal by B. Biyombo),,52-50,,
7:25.0,,,52-52,2,B. Biyombo makes 2-pt shot at rim (assist by M. Hezonja)
7:04.0,F. VanVleet misses 3-pt shot from 25 ft,,52-52,,
7:02.0,,,52-52,,Defensive rebound by B. Biyombo
6:56.0,,,52-52,,R. Vaughn misses 2-pt shot from 13 ft
6:53.0,Defensive rebound by F. VanVleet,,52-52,,
6:50.0,F. VanVleet makes 2-pt shot from 1 ft,2,54-52,,
6:50.0,Shooting foul by S. Mack (drawn by F. VanVleet),,54-52,,
6:50.0,F. VanVleet misses free throw 1 of 1,,54-52,,
6:46.0,Offensive rebound by C. Miles,,54-52,,
6:43.0,C. Miles misses 2-pt shot from 2 ft,,54-52,,
6:39.0,,,54-52,,Defensive rebound by B. Biyombo
6:27.0,,,54-52,,Shooting foul by D. Wright (drawn by S. Mack)
6:27.0,,,54-53,1,S. Mack makes free throw 1 of 2
6:27.0,K. Lowry enters the game for C. Miles,,54-53,,
6:27.0,,,54-53,,S. Mack misses free throw 2 of 2
6:25.0,Defensive rebound by J. Poeltl,,54-53,,
6:07.0,Shooting foul by B. Biyombo (drawn by J. Poeltl),,54-53,,
6:07.0,J. Poeltl makes free throw 1 of 2,1,55-53,,
6:07.0,D. DeRozan enters the game for D. Wright,,55-53,,
6:07.0,S. Ibaka enters the game for P. Siakam,,55-53,,
6:07.0,J. Poeltl makes free throw 2 of 2,1,56-53,,
5:51.0,,,56-53,,W. Iwundu misses 2-pt shot from 7 ft (block by J. Poeltl)
5:51.0,,,56-53,,Offensive rebound by B. Biyombo
5:51.0,,,56-53,,Shooting foul by F. VanVleet (drawn by B. Biyombo)
5:51.0,,,56-54,1,B. Biyombo makes free throw 1 of 2
5:51.0,,,56-54,,J. Simmons enters the game for W. Iwundu
5:51.0,J. Valanciunas enters the game for J. Poeltl,,56-54,,
5:51.0,,,56-55,1,B. Biyombo makes free throw 2 of 2
5:30.0,S. Ibaka makes 2-pt shot from 17 ft (assist by K. Lowry),2,58-55,,
5:19.0,,,58-55,,J. Simmons misses 2-pt shot from 17 ft
5:17.0,,,58-55,,Offensive rebound by B. Biyombo
5:10.0,,,58-55,,J. Simmons misses 2-pt shot from 7 ft (block by J. Valanciunas)
5:07.0,,,58-55,,Offensive rebound by Team
5:07.0,,,58-55,,N. Vucevic enters the game for S. Mack
5:07.0,,,58-55,,D. Augustin enters the game for B. Biyombo
4:59.0,Personal foul by S. Ibaka (drawn by M. Hezonja),,58-55,,
4:59.0,O. Anunoby enters the game for F. VanVleet,,58-55,,
4:51.0,,,58-55,,R. Vaughn misses 2-pt shot from 15 ft
4:47.0,Defensive rebound by O. Anunoby,,58-55,,
4:39.0,Turnover by D. DeRozan (bad pass; steal by M. Hezonja),,58-55,,
4:36.0,,,58-57,2,M. Hezonja makes 2-pt shot at rim
4:12.0,J. Valanciunas makes 2-pt shot from 1 ft (assist by K. Lowry),2,60-57,,
3:57.0,,,60-59,2,J. Simmons makes 2-pt shot from 4 ft (assist by N. Vucevic)
3:52.0,Shooting foul by R. Vaughn (drawn by O. Anunoby),,60-59,,
3:52.0,O. Anunoby makes 2-pt shot from 1 ft (assist by K. Lowry),2,62-59,,
3:52.0,,,62-59,,E. Fournier enters the game for R. Vaughn
3:52.0,O. Anunoby misses free throw 1 of 1,,62-59,,
3:46.0,,,62-59,,Defensive rebound by N. Vucevic
3:39.0,,,62-59,,N. Vucevic misses 3-pt shot from 25 ft
3:36.0,Defensive rebound by J. Valanciunas,,62-59,,
3:23.0,D. DeRozan makes 2-pt shot from 6 ft (assist by K. Lowry),2,64-59,,
3:08.0,,,64-59,,A. Gordon enters the game for M. Hezonja
3:08.0,N. Powell enters the game for O. Anunoby,,64-59,,
3:08.0,,,64-59,,Orlando full timeout
2:58.0,,,64-59,,A. Gordon misses 3-pt shot from 23 ft
2:55.0,Defensive rebound by J. Valanciunas,,64-59,,
2:47.0,K. Lowry misses 2-pt shot from 5 ft,,64-59,,
2:44.0,,,64-59,,Defensive rebound by D. Augustin
2:40.0,,,64-61,2,J. Simmons makes 2-pt shot from 10 ft (assist by D. Augustin)
2:17.0,S. Ibaka misses 2-pt shot from 7 ft (block by A. Gordon),,64-61,,
2:17.0,Offensive rebound by Team,,64-61,,
2:14.0,D. DeRozan misses 2-pt shot from 15 ft,,64-61,,
2:14.0,,,64-61,,Defensive rebound by J. Simmons
1:54.0,,,64-61,,E. Fournier misses 3-pt shot from 25 ft
1:50.0,Defensive rebound by S. Ibaka,,64-61,,
1:45.0,S. Ibaka misses 3-pt shot from 27 ft,,64-61,,
1:42.0,,,64-61,,Defensive rebound by J. Simmons
1:33.0,,,64-61,,Shooting foul by D. DeRozan (drawn by J. Simmons)
1:33.0,Technical foul by D. DeRozan,,64-61,,
1:33.0,,,64-62,1,E. Fournier makes technical free throw
1:33.0,,,64-62,,J. Simmons misses free throw 1 of 2
1:33.0,,,64-62,,Offensive rebound by Team
1:33.0,,,64-63,1,J. Simmons makes free throw 2 of 2
1:26.0,,,64-63,,Personal foul by J. Simmons (drawn by D. DeRozan)
1:26.0,D. DeRozan makes free throw 1 of 2,1,65-63,,
1:26.0,D. DeRozan makes free throw 2 of 2,1,66-63,,
1:13.0,,,66-63,,A. Gordon misses 3-pt shot from 25 ft
1:10.0,Defensive rebound by D. DeRozan,,66-63,,
1:03.0,S. Ibaka makes 2-pt shot from 15 ft (assist by D. DeRozan),2,68-63,,
0:46.0,,,68-63,,M. Hezonja enters the game for J. Simmons
0:39.0,,,68-63,,N. Vucevic misses 2-pt shot from 1 ft (block by S. Ibaka)
0:36.0,,,68-63,,Offensive rebound by A. Gordon
0:34.0,,,68-63,,A. Gordon misses 3-pt shot from 25 ft
0:34.0,Defensive rebound by J. Valanciunas,,68-63,,
0:15.0,Shooting foul by N. Vucevic (drawn by J. Valanciunas),,68-63,,
0:15.0,J. Valanciunas makes free throw 1 of 2,1,69-63,,
0:15.0,F. VanVleet enters the game for D. DeRozan,,69-63,,
0:15.0,J. Valanciunas misses free throw 2 of 2,,69-63,,
0:13.0,,,69-63,,Defensive rebound by N. Vucevic
0:06.0,,,69-63,,Turnover by E. Fournier (traveling)
0:02.0,Offensive foul by J. Valanciunas (drawn by A. Gordon),,69-63,,
0:02.0,Turnover by J. Valanciunas (offensive foul),,69-63,,
0:02.0,J. Poeltl enters the game for J. Valanciunas,,69-63,,
0:00.0,,,69-63,,E. Fournier misses 3-pt shot from 26 ft
0:00.0,,,69-63,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,69-66,3,D. Augustin makes 3-pt shot from 26 ft (assist by E. Fournier)
11:25.0,Shooting foul by D. Augustin (drawn by K. Lowry),,69-66,,
11:25.0,K. Lowry misses free throw 1 of 2,,69-66,,
11:25.0,Offensive rebound by Team,,69-66,,
11:25.0,K. Lowry misses free throw 2 of 2,,69-66,,
11:23.0,,,69-66,,Defensive rebound by A. Gordon
11:04.0,,,69-66,,E. Fournier misses 2-pt shot from 18 ft
11:01.0,Defensive rebound by J. Valanciunas,,69-66,,
10:51.0,Shooting foul by E. Fournier (drawn by D. DeRozan),,69-66,,
10:51.0,D. DeRozan misses free throw 1 of 2,,69-66,,
10:51.0,Offensive rebound by Team,,69-66,,
10:51.0,D. DeRozan misses free throw 2 of 2,,69-66,,
10:48.0,,,69-66,,Defensive rebound by A. Gordon
10:32.0,,,69-66,,D. Augustin misses 3-pt shot from 23 ft
10:29.0,Defensive rebound by K. Lowry,,69-66,,
10:26.0,K. Lowry misses 3-pt shot from 25 ft,,69-66,,
