time,Toronto,pts.away,score,pts.home,Orlando
3:44.0,P. Siakam misses 2-pt shot from 1 ft,,106-98,,
3:36.0,Offensive rebound by P. Siakam,,106-98,,
3:36.0,P. Siakam makes 2-pt shot at rim,2,108-98,,
3:24.0,,,108-98,,N. Vucevic misses 3-pt shot from 26 ft
3:21.0,Defensive rebound by F. VanVleet,,108-98,,
3:18.0,P. Siakam makes 2-pt shot at rim (assist by F. VanVleet),2,110-98,,
3:07.0,,,110-98,,J. Simmons misses 2-pt shot from 3 ft (block by J. Poeltl)
3:07.0,,,110-98,,Offensive rebound by Team
2:58.0,,,110-98,,D. Augustin misses 3-pt shot from 26 ft
2:55.0,Defensive rebound by J. Poeltl,,110-98,,
2:36.0,F. VanVleet misses 2-pt shot from 2 ft,,110-98,,
2:31.0,Offensive rebound by J. Poeltl,,110-98,,
2:31.0,J. Poeltl misses 2-pt shot at rim,,110-98,,
2:31.0,,,110-98,,Defensive rebound by A. Gordon
2:30.0,,,110-98,,A. Gordon misses 3-pt shot from 25 ft
2:30.0,Defensive rebound by P. Siakam,,110-98,,
2:18.0,D. DeRozan misses 3-pt shot from 24 ft,,110-98,,
2:14.0,,,110-98,,Defensive rebound by D. Augustin
2:09.0,,,110-100,2,N. Vucevic makes 2-pt shot from 13 ft (assist by E. Fournier)
1:52.0,Shooting foul by E. Fournier (drawn by D. DeRozan),,110-100,,
1:52.0,D. DeRozan makes free throw 1 of 2,1,111-100,,
1:52.0,D. DeRozan makes free throw 2 of 2,1,112-100,,
1:38.0,,,112-100,,E. Fournier misses 3-pt shot from 26 ft
1:34.0,Defensive rebound by K. Lowry,,112-100,,
1:17.0,K. Lowry misses 3-pt shot from 25 ft,,112-100,,
1:13.0,,,112-100,,Defensive rebound by A. Gordon
1:06.0,,,112-103,3,D. Augustin makes 3-pt shot from 25 ft (assist by N. Vucevic)
0:46.0,K. Lowry makes 2-pt shot from 2 ft,2,114-103,,
0:46.0,Shooting foul by N. Vucevic (drawn by K. Lowry),,114-103,,
0:46.0,,,114-103,,W. Iwundu enters the game for A. Gordon
0:46.0,,,114-103,,S. Mack enters the game for N. Vucevic
0:46.0,,,114-103,,R. Vaughn enters the game for D. Augustin
0:46.0,,,114-103,,K. Birch enters the game for J. Simmons
0:46.0,,,114-103,,M. Hezonja enters the game for E. Fournier
0:46.0,N. Powell enters the game for D. DeRozan,,114-103,,
0:46.0,K. Lowry makes free throw 1 of 1,1,115-103,,
0:28.0,,,115-103,,Turnover by M. Hezonja (lost ball; steal by P. Siakam)
0:25.0,P. Siakam makes 2-pt shot from 1 ft (assist by K. Lowry),2,117-103,,
0:19.0,Personal foul by K. Lowry (drawn by M. Hezonja),,117-103,,
0:19.0,,,117-103,,M. Hezonja misses free throw 1 of 2
0:19.0,,,117-103,,Offensive rebound by Team
0:19.0,M. Miller enters the game for K. Lowry,,117-103,,
0:19.0,,,117-104,1,M. Hezonja makes free throw 2 of 2
