time,Phoenix,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Valanciunas vs. G. Monroe (D. DeRozan gains possession),,,,Jump ball: J. Valanciunas vs. G. Monroe (D. DeRozan gains possession)
11:44.0,,,0-0,,S. Ibaka misses 3-pt shot from 24 ft
11:40.0,Defensive rebound by G. Monroe,,0-0,,
11:23.0,M. Chriss makes 3-pt shot from 22 ft (assist by D. Booker),3,3-0,,
11:04.0,,,3-0,,Shooting foul by M. Chriss (drawn by J. Valanciunas)
11:04.0,,,3-1,1,J. Valanciunas makes free throw 1 of 2
11:04.0,,,3-2,1,J. Valanciunas makes free throw 2 of 2
10:55.0,D. Booker misses 2-pt shot from 13 ft,,3-2,,
10:52.0,,,3-2,,Defensive rebound by J. Valanciunas
10:43.0,,,3-2,,J. Valanciunas misses 2-pt shot from 7 ft
10:41.0,,,3-2,,Offensive rebound by J. Valanciunas
10:40.0,,,3-2,,J. Valanciunas misses 2-pt shot at rim
10:39.0,,,3-2,,Offensive rebound by J. Valanciunas
10:38.0,,,3-2,,J. Valanciunas misses 2-pt shot at rim
10:37.0,Defensive rebound by D. Booker,,3-2,,
10:32.0,Shooting foul by O. Anunoby (drawn by D. Booker),,3-2,,
10:32.0,D. Booker makes free throw 1 of 2,1,4-2,,
10:32.0,D. Booker makes free throw 2 of 2,1,5-2,,
10:20.0,,,5-4,2,S. Ibaka makes 2-pt shot from 20 ft (assist by K. Lowry)
10:04.0,T. Ulis misses 2-pt shot from 11 ft,,5-4,,
10:03.0,,,5-4,,Defensive rebound by J. Valanciunas
9:54.0,,,5-6,2,D. DeRozan makes 2-pt shot from 7 ft
9:34.0,Turnover by D. Booker (lost ball; steal by D. DeRozan),,5-6,,
9:25.0,,,5-6,,J. Valanciunas misses 2-pt shot from 9 ft
9:22.0,Defensive rebound by G. Monroe,,5-6,,
9:16.0,T. Warren makes 2-pt shot from 14 ft (assist by T. Ulis),2,7-6,,
9:00.0,,,7-6,,O. Anunoby misses 3-pt shot from 22 ft
8:57.0,Defensive rebound by M. Chriss,,7-6,,
8:53.0,D. Booker misses 3-pt shot from 27 ft,,7-6,,
8:50.0,,,7-6,,Defensive rebound by D. DeRozan
8:48.0,,,7-8,2,K. Lowry makes 2-pt shot from 3 ft (assist by D. DeRozan)
8:32.0,Turnover by T. Ulis (bad pass; steal by O. Anunoby),,7-8,,
8:28.0,,,7-10,2,S. Ibaka makes 2-pt shot from 2 ft (assist by K. Lowry)
8:28.0,Phoenix full timeout,,7-10,,
8:06.0,Turnover by M. Chriss (bad pass; steal by J. Valanciunas),,7-10,,
7:48.0,,,7-10,,K. Lowry misses 3-pt shot from 22 ft
7:46.0,Defensive rebound by G. Monroe,,7-10,,
7:44.0,T. Warren makes 2-pt shot from 1 ft (assist by T. Ulis),2,9-10,,
7:23.0,,,9-13,3,O. Anunoby makes 3-pt shot from 23 ft (assist by D. DeRozan)
7:10.0,,,9-13,,Shooting block foul by J. Valanciunas (drawn by M. Chriss)
7:10.0,M. Chriss makes free throw 1 of 2,1,10-13,,
7:10.0,M. Chriss makes free throw 2 of 2,1,11-13,,
6:52.0,,,11-16,3,K. Lowry makes 3-pt shot from 25 ft (assist by S. Ibaka)
6:32.0,T. Ulis makes 2-pt shot from 3 ft,2,13-16,,
6:22.0,,,13-18,2,D. DeRozan makes 2-pt shot from 9 ft
6:22.0,,,13-18,,Shooting foul by M. Chriss (drawn by D. DeRozan)
6:22.0,D. Bender enters the game for M. Chriss,,13-18,,
6:22.0,,,13-18,,D. DeRozan misses free throw 1 of 1
6:19.0,Defensive rebound by G. Monroe,,13-18,,
6:08.0,T. Warren makes 2-pt shot from 2 ft (assist by G. Monroe),2,15-18,,
5:46.0,,,15-21,3,O. Anunoby makes 3-pt shot from 22 ft (assist by D. DeRozan)
5:23.0,D. Booker misses 2-pt shot from 9 ft,,15-21,,
5:20.0,,,15-21,,Defensive rebound by S. Ibaka
5:06.0,,,15-21,,S. Ibaka misses 2-pt shot from 16 ft
4:57.0,,,15-21,,Offensive rebound by J. Valanciunas
4:57.0,,,15-21,,J. Valanciunas misses 2-pt shot at rim
4:56.0,Defensive rebound by G. Monroe,,15-21,,
4:52.0,Turnover by G. Monroe (lost ball; steal by D. DeRozan),,15-21,,
4:48.0,,,15-21,,O. Anunoby misses 2-pt shot from 1 ft
4:46.0,Defensive rebound by T. Warren,,15-21,,
4:41.0,T. Ulis makes 3-pt shot from 25 ft (assist by G. Monroe),3,18-21,,
4:32.0,,,18-21,,Toronto full timeout
4:32.0,,,18-21,,P. Siakam enters the game for S. Ibaka
4:32.0,,,18-21,,J. Poeltl enters the game for J. Valanciunas
4:32.0,A. Len enters the game for D. Booker,,18-21,,
4:32.0,J. Jackson enters the game for G. Monroe,,18-21,,
4:25.0,,,18-24,3,K. Lowry makes 3-pt shot from 25 ft (assist by D. DeRozan)
4:14.0,,,18-24,,Personal foul by O. Anunoby (drawn by T. Warren)
4:14.0,,,18-24,,C. Miles enters the game for O. Anunoby
4:08.0,,,18-24,,Personal block foul by J. Poeltl (drawn by T. Ulis)
4:02.0,T. Ulis misses 2-pt shot from 8 ft,,18-24,,
3:59.0,,,18-24,,Defensive rebound by P. Siakam
3:47.0,,,18-26,2,J. Poeltl makes 2-pt shot from 11 ft (assist by P. Siakam)
3:38.0,Turnover by A. Len (bad pass; steal by P. Siakam),,18-26,,
3:33.0,,,18-26,,C. Miles misses 3-pt shot from 25 ft
3:29.0,,,18-26,,Offensive rebound by P. Siakam
3:26.0,,,18-29,3,K. Lowry makes 3-pt shot from 24 ft (assist by C. Miles)
3:10.0,T. Warren misses 2-pt shot from 11 ft,,18-29,,
3:08.0,,,18-29,,Defensive rebound by D. DeRozan
3:02.0,,,18-29,,D. DeRozan misses 2-pt shot from 1 ft
2:59.0,Defensive rebound by A. Len,,18-29,,
2:49.0,J. Jackson misses 2-pt shot from 6 ft,,18-29,,
2:47.0,,,18-29,,Defensive rebound by J. Poeltl
2:40.0,,,18-31,2,K. Lowry makes 2-pt shot from 17 ft
2:18.0,Turnover by T. Ulis (bad pass; steal by K. Lowry),,18-31,,
2:11.0,,,18-31,,P. Siakam misses 2-pt shot from 6 ft
2:08.0,Defensive rebound by D. Bender,,18-31,,
2:06.0,Offensive charge foul by T. Warren (drawn by K. Lowry),,18-31,,
2:06.0,Turnover by T. Warren (offensive foul),,18-31,,
2:06.0,,,18-31,,F. VanVleet enters the game for K. Lowry
2:06.0,,,18-31,,N. Powell enters the game for D. DeRozan
2:06.0,D. Booker enters the game for T. Ulis,,18-31,,
2:06.0,T. Daniels enters the game for T. Warren,,18-31,,
1:49.0,,,18-31,,P. Siakam misses 2-pt shot from 4 ft
1:45.0,Defensive rebound by D. Booker,,18-31,,
1:42.0,D. Bender misses 3-pt shot from 25 ft,,18-31,,
1:37.0,Offensive rebound by Team,,18-31,,
1:25.0,Shooting foul by P. Siakam (drawn by J. Jackson),,18-31,,
1:25.0,J. Jackson misses free throw 1 of 2,,18-31,,
1:25.0,Offensive rebound by Team,,18-31,,
1:25.0,J. Jackson makes free throw 2 of 2,1,19-31,,
1:12.0,,,19-34,3,C. Miles makes 3-pt shot from 24 ft (assist by P. Siakam)
0:50.0,,,19-34,,Personal foul by J. Poeltl (drawn by D. Booker)
0:50.0,D. Booker misses free throw 1 of 2,,19-34,,
0:50.0,Offensive rebound by Team,,19-34,,
0:50.0,D. Booker misses free throw 2 of 2,,19-34,,
0:49.0,,,19-34,,Defensive rebound by J. Poeltl
0:33.0,,,19-36,2,N. Powell makes 2-pt shot from 1 ft
0:26.0,,,19-36,,Personal foul by N. Powell (drawn by D. Booker)
