time,Oklahoma City,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Len vs. S. Adams (C. Anthony gains possession),,,,Jump ball: A. Len vs. S. Adams (C. Anthony gains possession)
11:35.0,C. Anthony makes 2-pt shot from 9 ft,2,2-0,,
11:16.0,,,2-0,,T. Warren misses 2-pt shot from 12 ft
11:14.0,,,2-0,,Offensive rebound by A. Len
11:14.0,,,2-2,2,A. Len makes 2-pt shot at rim
10:56.0,P. George makes 2-pt shot from 19 ft,2,4-2,,
10:39.0,,,4-4,2,E. Payton makes 2-pt shot from 8 ft
10:21.0,R. Westbrook misses 2-pt shot from 14 ft,,4-4,,
10:17.0,,,4-4,,Defensive rebound by D. Bender
10:08.0,,,4-6,2,E. Payton makes 2-pt shot at rim (assist by D. Booker)
9:47.0,P. George misses 2-pt shot from 2 ft (block by A. Len),,4-6,,
9:45.0,,,4-6,,Defensive rebound by D. Bender
9:38.0,,,4-6,,T. Warren misses 2-pt shot from 7 ft
9:36.0,Defensive rebound by S. Adams,,4-6,,
9:26.0,C. Anthony makes 2-pt shot from 7 ft,2,6-6,,
9:19.0,,,6-6,,Turnover by E. Payton (bad pass; steal by S. Adams)
9:06.0,S. Adams misses 2-pt shot from 6 ft (block by A. Len),,6-6,,
9:04.0,,,6-6,,Defensive rebound by A. Len
8:57.0,,,6-8,2,T. Warren makes 2-pt shot from 12 ft (assist by D. Booker)
8:34.0,C. Anthony misses 2-pt shot from 10 ft,,6-8,,
8:32.0,,,6-8,,Defensive rebound by E. Payton
8:29.0,,,6-8,,D. Booker misses 3-pt shot from 25 ft
8:25.0,,,6-8,,Offensive rebound by D. Booker
8:23.0,,,6-10,2,D. Booker makes 2-pt shot from 7 ft
8:23.0,Oklahoma City full timeout,,6-10,,
8:06.0,C. Anthony misses 2-pt shot from 2 ft (block by A. Len),,6-10,,
8:02.0,Offensive rebound by R. Westbrook,,6-10,,
8:01.0,P. George misses 3-pt shot from 26 ft,,6-10,,
8:01.0,,,6-10,,Defensive rebound by T. Warren
7:58.0,,,6-12,2,D. Booker makes 2-pt shot at rim (assist by T. Warren)
7:58.0,Violation by J. Huestis (def goaltending),,6-12,,
7:43.0,J. Huestis misses 3-pt shot from 23 ft,,6-12,,
7:41.0,Offensive rebound by R. Westbrook,,6-12,,
7:41.0,Shooting foul by E. Payton (drawn by R. Westbrook),,6-12,,
7:41.0,R. Westbrook makes free throw 1 of 2,1,7-12,,
7:41.0,R. Westbrook makes free throw 2 of 2,1,8-12,,
7:30.0,,,8-12,,E. Payton misses 2-pt shot at rim
7:28.0,Defensive rebound by C. Anthony,,8-12,,
7:22.0,C. Anthony misses 3-pt shot from 25 ft,,8-12,,
7:18.0,,,8-12,,Defensive rebound by D. Bender
7:14.0,,,8-15,3,D. Booker makes 3-pt shot from 25 ft
7:03.0,P. George misses 3-pt shot from 24 ft,,8-15,,
6:57.0,Offensive rebound by R. Westbrook,,8-15,,
6:50.0,J. Huestis makes 2-pt shot at rim (assist by R. Westbrook),2,10-15,,
6:50.0,Shooting foul by A. Len (drawn by J. Huestis),,10-15,,
6:50.0,J. Huestis makes free throw 1 of 1,1,11-15,,
6:33.0,,,11-15,,T. Warren misses 2-pt shot from 12 ft
6:30.0,Defensive rebound by P. George,,11-15,,
6:24.0,,,11-15,,Personal foul by D. Bender (drawn by S. Adams)
6:18.0,R. Westbrook makes 2-pt shot at rim,2,13-15,,
6:04.0,,,13-15,,E. Payton misses 2-pt shot from 1 ft (block by J. Huestis)
6:04.0,,,13-15,,Offensive rebound by Team
6:02.0,,,13-18,3,D. Booker makes 3-pt shot from 25 ft (assist by E. Payton)
5:51.0,R. Westbrook misses 2-pt shot from 13 ft,,13-18,,
5:51.0,,,13-18,,Defensive rebound by D. Booker
5:46.0,,,13-20,2,T. Warren makes 2-pt shot at rim (assist by D. Booker)
5:26.0,Turnover by P. George (bad pass),,13-20,,
5:16.0,,,13-20,,D. Booker misses 3-pt shot from 22 ft
5:13.0,Defensive rebound by C. Anthony,,13-20,,
5:06.0,C. Anthony makes 2-pt shot from 19 ft,2,15-20,,
4:48.0,,,15-20,,Shooting foul by C. Anthony (drawn by T. Warren)
4:48.0,,,15-21,1,T. Warren makes free throw 1 of 2
4:48.0,T. Ferguson enters the game for J. Huestis,,15-21,,
4:48.0,,,15-22,1,T. Warren makes free throw 2 of 2
4:35.0,T. Ferguson makes 3-pt shot from 22 ft (assist by R. Westbrook),3,18-22,,
4:20.0,,,18-24,2,D. Booker makes 2-pt shot from 8 ft
4:20.0,,,18-24,,Shooting foul by T. Ferguson (drawn by D. Booker)
4:20.0,,,18-25,1,D. Booker makes free throw 1 of 1
4:09.0,S. Adams makes 2-pt shot from 9 ft (assist by R. Westbrook),2,20-25,,
3:51.0,,,20-25,,T. Warren misses 2-pt shot from 10 ft
3:49.0,Defensive rebound by S. Adams,,20-25,,
3:42.0,R. Westbrook misses 2-pt shot from 1 ft,,20-25,,
3:40.0,,,20-25,,Defensive rebound by A. Len
3:35.0,,,20-27,2,D. Booker makes 2-pt shot at rim
3:29.0,T. Ferguson makes 2-pt shot at rim (assist by R. Westbrook),2,22-27,,
3:14.0,,,22-27,,E. Payton misses 2-pt shot from 13 ft
3:08.0,,,22-27,,Offensive rebound by A. Len
3:08.0,,,22-29,2,A. Len makes 2-pt shot at rim
2:50.0,R. Westbrook makes 3-pt shot from 24 ft (assist by P. George),3,25-29,,
2:37.0,,,25-29,,Turnover by D. Booker (bad pass)
2:37.0,,,25-29,,Phoenix full timeout
2:37.0,,,25-29,,M. Chriss enters the game for D. Booker
2:37.0,,,25-29,,J. Jackson enters the game for A. Len
2:37.0,J. Grant enters the game for S. Adams,,25-29,,
2:23.0,R. Westbrook makes 2-pt shot at rim,2,27-29,,
2:11.0,Personal foul by P. George (drawn by T. Warren),,27-29,,
2:11.0,P. Patterson enters the game for C. Anthony,,27-29,,
1:56.0,,,27-31,2,T. Warren makes 2-pt shot from 22 ft
1:46.0,P. George makes 3-pt shot from 24 ft,3,30-31,,
1:36.0,,,30-31,,J. Jackson misses 2-pt shot from 3 ft (block by T. Ferguson)
1:32.0,,,30-31,,Offensive rebound by J. Jackson
1:32.0,,,30-33,2,J. Jackson makes 2-pt shot from 1 ft
1:23.0,P. Patterson misses 3-pt shot from 24 ft,,30-33,,
1:20.0,,,30-33,,Defensive rebound by M. Chriss
1:14.0,,,30-35,2,J. Jackson makes 2-pt shot from 1 ft (assist by E. Payton)
0:59.0,Turnover by R. Westbrook (traveling),,30-35,,
0:59.0,,,30-35,,T. Daniels enters the game for T. Warren
0:38.0,,,30-35,,E. Payton misses 2-pt shot from 16 ft
0:35.0,Defensive rebound by Team,,30-35,,
0:30.0,,,30-35,,Personal foul by E. Payton (drawn by R. Westbrook)
0:30.0,,,30-35,,S. Harrison enters the game for E. Payton
0:28.0,R. Westbrook makes 2-pt shot at rim (assist by T. Ferguson),2,32-35,,
0:09.0,,,32-37,2,J. Jackson makes 2-pt shot from 12 ft
0:09.0,,,32-37,,Shooting foul by T. Ferguson (drawn by J. Jackson)
0:09.0,,,32-37,,J. Jackson misses free throw 1 of 1
0:08.0,Defensive rebound by R. Westbrook,,32-37,,
0:01.0,Turnover by R. Westbrook (lost ball; steal by M. Chriss),,32-37,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,,,32-39,2,D. Booker makes 2-pt shot from 2 ft
11:17.0,A. Abrines makes 3-pt shot from 24 ft (assist by R. Felton),3,35-39,,
11:00.0,,,35-41,2,J. Jackson makes 2-pt shot at rim (assist by D. Booker)
10:36.0,Shooting foul by J. Dudley (drawn by J. Grant),,35-41,,
10:36.0,J. Grant makes free throw 1 of 2,1,36-41,,
10:36.0,J. Grant misses free throw 2 of 2,,36-41,,
10:34.0,,,36-41,,Defensive rebound by M. Chriss
10:27.0,,,36-41,,M. Chriss misses 3-pt shot from 24 ft
10:26.0,,,36-41,,Offensive rebound by Team
10:26.0,Loose ball foul by R. Felton (drawn by J. Jackson),,36-41,,
