time,New Orleans,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. D. Cousins (R. Rondo gains possession),,,,Jump ball: C. Capela vs. D. Cousins (R. Rondo gains possession)
11:32.0,J. Holiday makes 2-pt shot from 21 ft,2,2-0,,
11:14.0,,,2-2,2,C. Capela makes 2-pt shot from 1 ft (assist by J. Harden)
11:02.0,D. Cousins makes 3-pt shot from 25 ft (assist by J. Holiday),3,5-2,,
10:52.0,,,5-2,,T. Ariza misses 3-pt shot from 22 ft
10:50.0,Defensive rebound by Team,,5-2,,
10:32.0,D. Cousins makes 2-pt shot at rim,2,7-2,,
10:18.0,,,7-5,3,J. Harden makes 3-pt shot from 26 ft
10:07.0,R. Rondo misses 2-pt shot from 11 ft,,7-5,,
10:05.0,,,7-5,,Defensive rebound by C. Capela
9:53.0,,,7-8,3,J. Harden makes 3-pt shot from 26 ft
9:38.0,D. Cousins makes 2-pt shot from 1 ft (assist by J. Holiday),2,9-8,,
9:18.0,,,9-8,,Shooting foul by D. Miller (drawn by J. Harden)
9:18.0,,,9-9,1,J. Harden makes free throw 1 of 2
9:18.0,,,9-10,1,J. Harden makes free throw 2 of 2
9:07.0,E. Moore makes 2-pt shot from 9 ft,2,11-10,,
8:56.0,,,11-12,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
8:46.0,J. Holiday makes 2-pt shot at rim (assist by D. Cousins),2,13-12,,
8:38.0,,,13-12,,C. Paul misses 3-pt shot from 26 ft
8:36.0,Defensive rebound by J. Holiday,,13-12,,
8:30.0,D. Miller misses 3-pt shot from 25 ft,,13-12,,
8:25.0,,,13-12,,Defensive rebound by C. Capela
8:22.0,,,13-15,3,R. Anderson makes 3-pt shot from 28 ft (assist by J. Harden)
8:06.0,J. Holiday makes 3-pt shot from 26 ft,3,16-15,,
7:50.0,,,16-15,,R. Anderson misses 3-pt shot from 28 ft
7:45.0,Defensive rebound by R. Rondo,,16-15,,
7:40.0,E. Moore makes 3-pt shot from 26 ft (assist by R. Rondo),3,19-15,,
7:21.0,,,19-17,2,C. Paul makes 2-pt shot from 8 ft
7:06.0,Shooting foul by J. Harden (drawn by D. Cousins),,19-17,,
7:06.0,D. Cousins misses free throw 1 of 2,,19-17,,
7:06.0,Offensive rebound by Team,,19-17,,
7:06.0,,,19-17,,N. Hilario enters the game for C. Paul
7:06.0,,,19-17,,E. Gordon enters the game for C. Capela
7:06.0,D. Cousins makes free throw 2 of 2,1,20-17,,
6:56.0,,,20-17,,Shooting foul by R. Rondo (drawn by T. Ariza)
6:56.0,,,20-17,,Houston full timeout
6:56.0,,,20-18,1,T. Ariza makes free throw 1 of 2
6:56.0,,,20-19,1,T. Ariza makes free throw 2 of 2
6:46.0,E. Moore makes 3-pt shot from 25 ft (assist by R. Rondo),3,23-19,,
6:27.0,,,23-21,2,N. Hilario makes 2-pt shot from 1 ft (assist by J. Harden)
6:12.0,D. Cousins makes 3-pt shot from 25 ft (assist by D. Miller),3,26-21,,
5:58.0,Personal foul by D. Miller (drawn by R. Anderson),,26-21,,
5:58.0,,,26-21,,L. Mbah a Moute enters the game for T. Ariza
5:58.0,,,26-21,,P. Tucker enters the game for R. Anderson
5:58.0,J. Jones enters the game for D. Miller,,26-21,,
5:55.0,,,26-21,,Turnover by N. Hilario (bad pass)
5:30.0,E. Moore makes 2-pt shot from 4 ft (assist by J. Holiday),2,28-21,,
5:20.0,,,28-23,2,N. Hilario makes 2-pt shot at rim (assist by J. Harden)
5:03.0,J. Holiday makes 2-pt shot from 1 ft,2,30-23,,
4:46.0,,,30-25,2,N. Hilario makes 2-pt shot from 17 ft (assist by E. Gordon)
4:34.0,R. Rondo misses 2-pt shot from 6 ft,,30-25,,
4:31.0,,,30-25,,Defensive rebound by L. Mbah a Moute
4:20.0,,,30-25,,L. Mbah a Moute misses 3-pt shot from 25 ft
4:18.0,Defensive rebound by Team,,30-25,,
4:02.0,D. Cousins misses 2-pt shot from 2 ft,,30-25,,
4:00.0,Offensive rebound by R. Rondo,,30-25,,
3:57.0,E. Moore makes 3-pt shot from 23 ft (assist by R. Rondo),3,33-25,,
3:34.0,,,33-27,2,E. Gordon makes 2-pt shot from 10 ft (assist by N. Hilario)
3:19.0,D. Cousins makes 2-pt shot from 12 ft (assist by E. Moore),2,35-27,,
3:08.0,,,35-27,,J. Harden misses 3-pt shot from 26 ft
3:05.0,Defensive rebound by D. Cousins,,35-27,,
3:00.0,R. Rondo makes 3-pt shot from 24 ft (assist by D. Cousins),3,38-27,,
2:37.0,,,38-27,,E. Gordon misses 2-pt shot from 22 ft
2:35.0,Defensive rebound by R. Rondo,,38-27,,
2:31.0,D. Cousins misses 3-pt shot from 25 ft,,38-27,,
2:31.0,,,38-27,,Defensive rebound by P. Tucker
2:25.0,,,38-30,3,E. Gordon makes 3-pt shot from 27 ft (assist by J. Harden)
2:11.0,Turnover by R. Rondo (out of bounds lost ball),,38-30,,
2:11.0,New Orleans full timeout,,38-30,,
2:11.0,O. Asik enters the game for D. Cousins,,38-30,,
2:11.0,I. Clark enters the game for E. Moore,,38-30,,
1:58.0,,,38-32,2,E. Gordon makes 2-pt shot from 4 ft
1:35.0,Turnover by O. Asik (bad pass; steal by J. Harden),,38-32,,
1:30.0,,,38-35,3,E. Gordon makes 3-pt shot from 25 ft (assist by J. Harden)
1:17.0,Turnover by J. Holiday (lost ball; steal by L. Mbah a Moute),,38-35,,
1:10.0,,,38-35,,L. Mbah a Moute misses 3-pt shot from 23 ft
1:07.0,Defensive rebound by I. Clark,,38-35,,
1:03.0,Shooting foul by P. Tucker (drawn by J. Holiday),,38-35,,
1:03.0,J. Holiday makes free throw 1 of 2,1,39-35,,
1:03.0,,,39-35,,C. Paul enters the game for J. Harden
1:03.0,J. Holiday misses free throw 2 of 2,,39-35,,
1:01.0,,,39-35,,Defensive rebound by P. Tucker
0:50.0,,,39-35,,N. Hilario misses 2-pt shot from 4 ft
0:47.0,Defensive rebound by I. Clark,,39-35,,
0:44.0,R. Rondo makes 2-pt shot from 1 ft,2,41-35,,
0:24.0,,,41-35,,L. Mbah a Moute misses 3-pt shot from 23 ft
0:22.0,Defensive rebound by R. Rondo,,41-35,,
0:00.0,J. Holiday misses 2-pt shot from 1 ft,,41-35,,
0:00.0,Offensive rebound by Team,,41-35,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,41-38,3,T. Ariza makes 3-pt shot from 27 ft (assist by C. Paul)
11:31.0,,,41-38,,Personal foul by P. Tucker (drawn by O. Asik)
11:22.0,E. Moore misses 2-pt shot from 19 ft,,41-38,,
11:19.0,,,41-38,,Defensive rebound by R. Anderson
11:16.0,,,41-41,3,T. Ariza makes 3-pt shot from 23 ft (assist by P. Tucker)
11:16.0,,,41-41,,Shooting foul by R. Rondo (drawn by T. Ariza)
11:16.0,,,41-42,1,T. Ariza makes free throw 1 of 1
10:56.0,R. Rondo misses 2-pt shot from 18 ft,,41-42,,
10:52.0,,,41-42,,Defensive rebound by C. Paul
10:47.0,,,41-45,3,T. Ariza makes 3-pt shot from 25 ft (assist by C. Paul)
10:32.0,Turnover by E. Moore (out of bounds lost ball),,41-45,,
10:17.0,,,41-45,,P. Tucker misses 3-pt shot from 25 ft
10:15.0,,,41-45,,Offensive rebound by R. Anderson
10:13.0,,,41-47,2,R. Anderson makes 2-pt shot from 1 ft
10:02.0,I. Clark makes 3-pt shot from 25 ft (assist by R. Rondo),3,44-47,,
9:47.0,,,44-50,3,E. Gordon makes 3-pt shot from 26 ft (assist by C. Paul)
9:24.0,D. Miller makes 3-pt shot from 25 ft (assist by E. Moore),3,47-50,,
9:07.0,,,47-50,,C. Paul misses 2-pt shot from 18 ft
9:04.0,Defensive rebound by E. Moore,,47-50,,
9:00.0,R. Rondo misses 2-pt shot from 2 ft,,47-50,,
8:57.0,,,47-50,,Defensive rebound by C. Paul
8:54.0,,,47-50,,T. Ariza misses 3-pt shot from 25 ft
8:51.0,Defensive rebound by O. Asik,,47-50,,
8:44.0,Turnover by E. Moore (bad pass; steal by C. Paul),,47-50,,
8:39.0,Personal foul by O. Asik (drawn by T. Ariza),,47-50,,
8:39.0,,,47-50,,L. Mbah a Moute enters the game for P. Tucker
8:39.0,J. Holiday enters the game for O. Asik,,47-50,,
8:39.0,D. Cousins enters the game for R. Rondo,,47-50,,
8:35.0,,,47-50,,E. Gordon misses 3-pt shot from 26 ft
8:31.0,Defensive rebound by D. Cousins,,47-50,,
8:12.0,D. Miller makes 2-pt shot from 20 ft,2,49-50,,
7:57.0,,,49-50,,Turnover by C. Paul (bad pass; steal by J. Holiday)
7:52.0,E. Moore misses 2-pt shot from 1 ft,,49-50,,
7:52.0,,,49-50,,Defensive rebound by L. Mbah a Moute
7:52.0,Personal foul by E. Moore (drawn by L. Mbah a Moute),,49-50,,
