time,New Orleans,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Embiid vs. A. Davis (N. Mirotic gains possession),,,,Jump ball: J. Embiid vs. A. Davis (N. Mirotic gains possession)
11:43.0,A. Davis misses 2-pt shot from 11 ft,,0-0,,
11:41.0,,,0-0,,Defensive rebound by J. Embiid
11:28.0,,,0-3,3,J. Embiid makes 3-pt shot from 25 ft (assist by J. Redick)
11:11.0,N. Mirotic misses 2-pt shot from 19 ft,,0-3,,
11:05.0,,,0-3,,Defensive rebound by J. Redick
11:02.0,,,0-6,3,J. Embiid makes 3-pt shot from 28 ft (assist by B. Simmons)
10:51.0,J. Holiday misses 2-pt shot from 7 ft,,0-6,,
10:49.0,,,0-6,,Defensive rebound by J. Embiid
10:38.0,,,0-6,,Turnover by B. Simmons (bad pass)
10:20.0,A. Davis misses 2-pt shot from 10 ft,,0-6,,
10:15.0,,,0-6,,Defensive rebound by B. Simmons
9:59.0,,,0-6,,Shooting foul by E. Moore (drawn by B. Simmons)
9:59.0,,,0-7,1,B. Simmons makes free throw 1 of 2
9:59.0,,,0-8,1,B. Simmons makes free throw 2 of 2
9:43.0,J. Holiday makes 2-pt shot from 2 ft (assist by N. Mirotic),2,2-8,,
9:34.0,,,2-8,,Offensive charge foul by J. Embiid (drawn by D. Liggins)
9:34.0,,,2-8,,Turnover by J. Embiid (offensive foul)
9:20.0,J. Holiday misses 3-pt shot from 25 ft,,2-8,,
9:18.0,,,2-8,,Defensive rebound by B. Simmons
9:12.0,,,2-10,2,B. Simmons makes 2-pt shot at rim
8:58.0,J. Holiday misses 2-pt shot from 1 ft,,2-10,,
8:56.0,,,2-10,,Defensive rebound by J. Embiid
8:46.0,,,2-12,2,J. Embiid makes 2-pt shot from 11 ft
8:31.0,Turnover by N. Mirotic (bad pass; steal by J. Embiid),,2-12,,
8:23.0,,,2-14,2,D. Saric makes 2-pt shot from 2 ft (assist by R. Covington)
8:18.0,New Orleans full timeout,,2-14,,
8:04.0,J. Holiday misses 2-pt shot from 8 ft,,2-14,,
8:02.0,,,2-14,,Defensive rebound by J. Redick
7:46.0,Personal foul by A. Davis (drawn by J. Embiid),,2-14,,
7:46.0,,,2-14,,T. McConnell enters the game for J. Redick
7:32.0,,,2-14,,T. McConnell misses 2-pt shot from 14 ft
7:28.0,Defensive rebound by A. Davis,,2-14,,
7:23.0,A. Davis makes 2-pt shot from 18 ft,2,4-14,,
7:10.0,,,4-16,2,B. Simmons makes 2-pt shot at rim
6:55.0,E. Moore misses 2-pt shot from 15 ft,,4-16,,
6:50.0,Offensive rebound by N. Mirotic,,4-16,,
6:50.0,N. Mirotic misses 2-pt shot at rim,,4-16,,
6:49.0,,,4-16,,Defensive rebound by D. Saric
6:43.0,,,4-18,2,J. Embiid makes 2-pt shot from 9 ft
6:24.0,A. Davis misses 2-pt shot from 18 ft (block by B. Simmons),,4-18,,
6:21.0,,,4-18,,Defensive rebound by T. McConnell
6:18.0,,,4-20,2,J. Embiid makes 2-pt shot from 1 ft (assist by B. Simmons)
6:11.0,Turnover by J. Holiday (bad pass; steal by B. Simmons),,4-20,,
6:05.0,,,4-23,3,D. Saric makes 3-pt shot from 27 ft (assist by B. Simmons)
5:57.0,New Orleans full timeout,,4-23,,
5:57.0,,,4-23,,A. Johnson enters the game for J. Embiid
5:57.0,R. Rondo enters the game for D. Liggins,,4-23,,
5:44.0,,,4-23,,Def 3 sec tech foul by D. Saric
5:44.0,J. Holiday misses technical free throw,,4-23,,
5:44.0,Offensive rebound by Team,,4-23,,
5:36.0,Turnover by J. Holiday (bad pass; steal by B. Simmons),,4-23,,
5:28.0,,,4-23,,R. Covington misses 3-pt shot from 27 ft
5:28.0,Defensive rebound by Team,,4-23,,
5:18.0,,,4-23,,Violation by B. Simmons (kicked ball)
5:12.0,Shooting foul by A. Johnson (drawn by A. Davis),,4-23,,
5:12.0,A. Davis makes free throw 1 of 2,1,5-23,,
5:12.0,A. Davis makes free throw 2 of 2,1,6-23,,
