time,Sacramento,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. S. Labissiere (W. Cauley-Stein gains possession),,,,Jump ball: B. Lopez vs. S. Labissiere (W. Cauley-Stein gains possession)
11:41.0,J. Jackson misses 2-pt shot from 16 ft,,0-0,,
11:36.0,Offensive rebound by B. Bogdanovic,,0-0,,
11:35.0,Offensive charge foul by W. Cauley-Stein (drawn by K. Kuzma),,0-0,,
11:35.0,Turnover by W. Cauley-Stein (offensive foul),,0-0,,
11:19.0,,,0-2,2,J. Randle makes 2-pt shot from 3 ft (assist by K. Caldwell-Pope)
11:02.0,,,0-2,,Personal foul by J. Randle (drawn by S. Labissiere)
10:55.0,S. Labissiere makes 2-pt shot at rim (assist by D. Fox),2,2-2,,
10:31.0,,,2-2,,A. Caruso misses 2-pt shot from 1 ft
10:28.0,Defensive rebound by D. Fox,,2-2,,
10:23.0,B. Bogdanovic makes 2-pt shot from 9 ft,2,4-2,,
10:09.0,Shooting block foul by W. Cauley-Stein (drawn by B. Lopez),,4-2,,
10:09.0,,,4-3,1,B. Lopez makes free throw 1 of 2
10:09.0,J. Cooley enters the game for W. Cauley-Stein,,4-3,,
10:09.0,,,4-4,1,B. Lopez makes free throw 2 of 2
9:45.0,B. Bogdanovic makes 2-pt shot from 14 ft,2,6-4,,
9:24.0,,,6-6,2,K. Kuzma makes 2-pt shot from 6 ft
9:15.0,D. Fox misses 3-pt shot from 25 ft,,6-6,,
9:14.0,Offensive rebound by Team,,6-6,,
9:14.0,,,6-6,,Loose ball foul by B. Lopez (drawn by J. Cooley)
9:01.0,S. Labissiere makes 2-pt shot from 1 ft (assist by D. Fox),2,8-6,,
8:48.0,,,8-6,,Turnover by K. Kuzma (out of bounds lost ball)
8:34.0,S. Labissiere misses 3-pt shot from 25 ft,,8-6,,
8:30.0,,,8-6,,Defensive rebound by K. Caldwell-Pope
8:20.0,,,8-8,2,J. Randle makes 2-pt shot from 3 ft
8:03.0,J. Jackson misses 2-pt shot from 18 ft,,8-8,,
8:02.0,,,8-8,,Defensive rebound by Team
8:02.0,Loose ball foul by B. Bogdanovic (drawn by K. Caldwell-Pope),,8-8,,
7:50.0,,,8-8,,B. Lopez misses 2-pt shot from 9 ft
7:47.0,Defensive rebound by J. Cooley,,8-8,,
7:36.0,S. Labissiere misses 2-pt shot from 5 ft,,8-8,,
7:34.0,,,8-8,,Defensive rebound by J. Randle
7:27.0,,,8-8,,K. Kuzma misses 3-pt shot from 26 ft
7:23.0,Defensive rebound by J. Cooley,,8-8,,
7:15.0,J. Cooley misses 2-pt shot from 7 ft,,8-8,,
7:09.0,Offensive rebound by S. Labissiere,,8-8,,
7:09.0,S. Labissiere misses 2-pt shot at rim,,8-8,,
7:08.0,Offensive rebound by J. Cooley,,8-8,,
6:47.0,D. Fox makes 2-pt shot from 8 ft,2,10-8,,
6:28.0,,,10-8,,Turnover by J. Randle (bad pass; steal by B. Bogdanovic)
6:13.0,D. Fox misses 2-pt shot from 15 ft,,10-8,,
6:08.0,,,10-8,,Defensive rebound by A. Caruso
