time,Denver,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Labissiere vs. K. Faried (G. Temple gains possession),,,,Jump ball: S. Labissiere vs. K. Faried (G. Temple gains possession)
11:47.0,,,0-0,,Shooting foul by K. Faried (drawn by S. Labissiere)
11:47.0,,,0-1,1,S. Labissiere makes free throw 1 of 2
11:47.0,,,0-1,,S. Labissiere misses free throw 2 of 2
11:44.0,Defensive rebound by N. Jokic,,0-1,,
11:36.0,J. Murray makes 2-pt shot from 2 ft,2,2-1,,
11:23.0,,,2-3,2,S. Labissiere makes 2-pt shot from 10 ft
11:01.0,J. Murray misses 2-pt shot from 17 ft,,2-3,,
10:57.0,,,2-3,,Defensive rebound by G. Hill
10:49.0,,,2-3,,D. Fox misses 2-pt shot from 2 ft
10:45.0,Defensive rebound by N. Jokic,,2-3,,
10:39.0,G. Harris makes 2-pt shot from 1 ft,2,4-3,,
10:21.0,,,4-3,,G. Temple misses 2-pt shot from 21 ft
10:21.0,Defensive rebound by K. Faried,,4-3,,
10:14.0,K. Faried misses 2-pt shot from 1 ft,,4-3,,
10:14.0,Offensive rebound by K. Faried,,4-3,,
10:14.0,Shooting foul by Z. Randolph (drawn by K. Faried),,4-3,,
10:14.0,K. Faried makes free throw 1 of 2,1,5-3,,
10:14.0,K. Faried makes free throw 2 of 2,1,6-3,,
9:58.0,,,6-3,,G. Temple misses 3-pt shot from 24 ft
9:55.0,Defensive rebound by K. Faried,,6-3,,
9:44.0,G. Harris makes 2-pt shot from 1 ft,2,8-3,,
9:33.0,,,8-5,2,Z. Randolph makes 2-pt shot from 15 ft (assist by S. Labissiere)
9:23.0,W. Barton makes 3-pt shot from 25 ft,3,11-5,,
9:21.0,,,11-5,,Sacramento full timeout
9:02.0,,,11-5,,Turnover by Z. Randolph (lost ball; steal by K. Faried)
8:58.0,Shooting foul by D. Fox (drawn by W. Barton),,11-5,,
8:58.0,W. Barton misses free throw 1 of 2,,11-5,,
8:58.0,Offensive rebound by Team,,11-5,,
8:58.0,W. Barton makes free throw 2 of 2,1,12-5,,
8:50.0,,,12-7,2,D. Fox makes 2-pt shot from 2 ft
8:38.0,,,12-7,,Violation by Z. Randolph (kicked ball)
8:34.0,Shooting foul by S. Labissiere (drawn by J. Murray),,12-7,,
8:34.0,J. Murray makes free throw 1 of 2,1,13-7,,
8:34.0,J. Murray makes free throw 2 of 2,1,14-7,,
8:24.0,,,14-7,,S. Labissiere misses 2-pt shot from 20 ft
8:21.0,Defensive rebound by K. Faried,,14-7,,
8:21.0,,,14-7,,Personal foul by S. Labissiere (drawn by N. Jokic)
8:21.0,,,14-7,,K. Koufos enters the game for S. Labissiere
8:21.0,,,14-7,,W. Cauley-Stein enters the game for Z. Randolph
8:04.0,G. Harris misses 3-pt shot from 23 ft,,14-7,,
7:59.0,,,14-7,,Defensive rebound by D. Fox
7:46.0,,,14-9,2,G. Hill makes 2-pt shot from 21 ft
7:30.0,W. Barton misses 3-pt shot from 25 ft,,14-9,,
7:28.0,,,14-9,,Defensive rebound by W. Cauley-Stein
7:25.0,,,14-11,2,D. Fox makes 2-pt shot from 2 ft
7:25.0,,,14-11,,Shooting foul by J. Murray (drawn by D. Fox)
7:25.0,,,14-12,1,D. Fox makes free throw 1 of 1
7:02.0,G. Harris makes 3-pt shot from 24 ft (assist by J. Murray),3,17-12,,
6:38.0,,,17-12,,D. Fox misses 2-pt shot from 15 ft
6:38.0,Defensive rebound by K. Faried,,17-12,,
6:23.0,J. Murray misses 3-pt shot from 25 ft,,17-12,,
6:20.0,,,17-12,,Defensive rebound by W. Cauley-Stein
6:15.0,,,17-12,,G. Temple misses 2-pt shot from 16 ft
6:11.0,Defensive rebound by G. Harris,,17-12,,
5:55.0,Turnover by W. Barton (bad pass; steal by D. Fox),,17-12,,
5:50.0,,,17-14,2,K. Koufos makes 2-pt shot from 7 ft
5:49.0,Denver full timeout,,17-14,,
5:49.0,T. Lyles enters the game for J. Murray,,17-14,,
5:49.0,E. Mudiay enters the game for K. Faried,,17-14,,
5:25.0,T. Lyles misses 2-pt shot from 18 ft,,17-14,,
5:22.0,,,17-14,,Defensive rebound by K. Koufos
5:09.0,,,17-14,,G. Hill misses 2-pt shot from 8 ft (block by N. Jokic)
5:06.0,Defensive rebound by N. Jokic,,17-14,,
5:06.0,W. Barton makes 2-pt shot from 2 ft,2,19-14,,
5:06.0,Shooting foul by G. Temple (drawn by W. Barton),,19-14,,
5:06.0,M. Plumlee enters the game for N. Jokic,,19-14,,
5:06.0,W. Barton makes free throw 1 of 1,1,20-14,,
4:56.0,,,20-14,,G. Temple misses 3-pt shot from 22 ft
4:52.0,,,20-14,,Offensive rebound by W. Cauley-Stein
