time,LA Lakers,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Porzingis vs. B. Lopez (L. Nance gains possession),,,,Jump ball: K. Porzingis vs. B. Lopez (L. Nance gains possession)
11:44.0,Turnover by B. Lopez (lost ball; steal by L. Thomas),,0-0,,
11:27.0,,,0-0,,J. Jack misses 2-pt shot from 11 ft
11:26.0,Defensive rebound by L. Ball,,0-0,,
11:14.0,B. Lopez misses 3-pt shot from 23 ft,,0-0,,
11:12.0,,,0-0,,Defensive rebound by K. Porzingis
10:56.0,,,0-0,,E. Kanter misses 2-pt shot from 7 ft
10:54.0,Defensive rebound by L. Ball,,0-0,,
10:47.0,B. Ingram misses 2-pt shot from 1 ft,,0-0,,
10:45.0,,,0-0,,Defensive rebound by J. Jack
10:40.0,,,0-2,2,C. Lee makes 2-pt shot from 1 ft
10:27.0,K. Caldwell-Pope makes 2-pt shot from 1 ft (assist by B. Lopez),2,2-2,,
10:09.0,,,2-2,,Turnover by K. Porzingis (out of bounds lost ball)
9:51.0,K. Caldwell-Pope makes 3-pt shot from 24 ft (assist by B. Ingram),3,5-2,,
9:37.0,,,5-2,,J. Jack misses 2-pt shot at rim
9:37.0,,,5-2,,Offensive rebound by E. Kanter
9:35.0,,,5-4,2,E. Kanter makes 2-pt shot at rim
9:23.0,B. Ingram misses 2-pt shot from 17 ft,,5-4,,
9:22.0,,,5-4,,Defensive rebound by E. Kanter
9:02.0,Personal foul by B. Ingram (drawn by K. Porzingis),,5-4,,
8:51.0,,,5-4,,K. Porzingis misses 2-pt shot from 10 ft
8:50.0,Defensive rebound by L. Nance,,5-4,,
8:43.0,L. Ball misses 3-pt shot from 25 ft,,5-4,,
8:41.0,,,5-4,,Defensive rebound by K. Porzingis
8:30.0,,,5-6,2,C. Lee makes 2-pt shot from 17 ft
8:21.0,B. Lopez makes 2-pt shot at rim (assist by L. Ball),2,7-6,,
8:05.0,,,7-6,,C. Lee misses 2-pt shot from 19 ft
8:04.0,Defensive rebound by B. Lopez,,7-6,,
7:54.0,B. Ingram misses 3-pt shot from 25 ft,,7-6,,
7:53.0,,,7-6,,Defensive rebound by J. Jack
7:46.0,,,7-6,,C. Lee misses 3-pt shot from 25 ft
7:45.0,Defensive rebound by L. Ball,,7-6,,
7:41.0,L. Nance makes 2-pt shot at rim (assist by L. Ball),2,9-6,,
7:41.0,Shooting foul by C. Lee (drawn by L. Nance),,9-6,,
7:41.0,L. Nance makes free throw 1 of 1,1,10-6,,
7:29.0,,,10-6,,New York full timeout
7:19.0,,,10-6,,E. Kanter misses 2-pt shot from 13 ft
7:17.0,Defensive rebound by L. Ball,,10-6,,
7:06.0,B. Lopez makes 3-pt shot from 25 ft (assist by K. Caldwell-Pope),3,13-6,,
6:46.0,,,13-8,2,K. Porzingis makes 2-pt shot from 9 ft
6:46.0,,,13-8,,Shooting foul by L. Nance (drawn by K. Porzingis)
6:46.0,,,13-9,1,K. Porzingis makes free throw 1 of 1
6:29.0,Turnover by B. Lopez (lost ball; steal by K. Porzingis),,13-9,,
6:23.0,,,13-9,,C. Lee misses 2-pt shot from 8 ft
6:21.0,,,13-9,,Offensive rebound by E. Kanter
6:20.0,,,13-11,2,E. Kanter makes 2-pt shot from 1 ft
6:09.0,L. Ball misses 3-pt shot from 27 ft,,13-11,,
6:07.0,,,13-11,,Defensive rebound by C. Lee
5:59.0,,,13-13,2,K. Porzingis makes 2-pt shot from 14 ft (assist by C. Lee)
5:49.0,B. Ingram misses 2-pt shot from 4 ft (block by K. Porzingis),,13-13,,
5:49.0,Offensive rebound by B. Lopez,,13-13,,
5:43.0,B. Lopez misses 2-pt shot from 13 ft,,13-13,,
5:41.0,,,13-13,,Defensive rebound by E. Kanter
5:21.0,,,13-16,3,K. Porzingis makes 3-pt shot from 27 ft (assist by J. Jack)
5:21.0,LA Lakers full timeout,,13-16,,
5:21.0,,,13-16,,D. McDermott enters the game for L. Thomas
5:09.0,B. Ingram misses 2-pt shot from 14 ft,,13-16,,
5:07.0,Offensive rebound by B. Ingram,,13-16,,
4:56.0,Turnover by B. Lopez (turnover),,13-16,,
4:43.0,,,13-16,,J. Jack misses 2-pt shot from 18 ft
4:41.0,Defensive rebound by B. Ingram,,13-16,,
4:25.0,L. Ball makes 3-pt shot from 25 ft (assist by B. Ingram),3,16-16,,
4:07.0,,,16-16,,K. Porzingis misses 2-pt shot from 10 ft (block by B. Ingram)
4:05.0,,,16-16,,Offensive rebound by K. Porzingis
