time,Orlando,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. N. Vucevic (C. Anthony gains possession),,,,Jump ball: S. Adams vs. N. Vucevic (C. Anthony gains possession)
11:42.0,,,0-2,2,S. Adams makes 2-pt shot from 2 ft (assist by R. Westbrook)
11:20.0,A. Gordon misses 3-pt shot from 25 ft,,0-2,,
11:16.0,,,0-2,,Defensive rebound by R. Westbrook
11:08.0,,,0-2,,Turnover by P. George (bad pass; steal by E. Fournier)
11:06.0,A. Gordon makes 2-pt shot from 1 ft (assist by D. Augustin),2,2-2,,
10:52.0,,,2-2,,C. Anthony misses 2-pt shot from 14 ft
10:52.0,Defensive rebound by E. Fournier,,2-2,,
10:41.0,Shooting foul by S. Adams (drawn by A. Gordon),,2-2,,
10:41.0,A. Gordon makes free throw 1 of 2,1,3-2,,
10:41.0,A. Gordon makes free throw 2 of 2,1,4-2,,
10:19.0,,,4-2,,P. George misses 2-pt shot from 5 ft (block by N. Vucevic)
10:19.0,,,4-2,,Offensive rebound by Team
10:18.0,,,4-2,,J. Huestis misses 2-pt shot at rim
10:17.0,,,4-2,,Offensive rebound by J. Huestis
10:17.0,,,4-4,2,J. Huestis makes 2-pt shot at rim
10:02.0,E. Fournier misses 2-pt shot from 22 ft,,4-4,,
10:02.0,,,4-4,,Defensive rebound by S. Adams
9:51.0,,,4-4,,C. Anthony misses 3-pt shot from 25 ft
9:51.0,Defensive rebound by E. Fournier,,4-4,,
9:42.0,D. Augustin makes 2-pt shot from 1 ft,2,6-4,,
9:21.0,,,6-6,2,S. Adams makes 2-pt shot at rim
8:54.0,A. Gordon makes 3-pt shot from 24 ft (assist by N. Vucevic),3,9-6,,
8:40.0,,,9-6,,P. George misses 3-pt shot from 24 ft
8:38.0,,,9-6,,Offensive rebound by S. Adams
8:29.0,,,9-8,2,S. Adams makes 2-pt shot at rim (assist by R. Westbrook)
8:17.0,N. Vucevic makes 3-pt shot from 26 ft (assist by D. Augustin),3,12-8,,
8:01.0,,,12-10,2,R. Westbrook makes 2-pt shot from 1 ft (assist by S. Adams)
7:50.0,Turnover by D. Augustin (bad pass; steal by S. Adams),,12-10,,
7:43.0,,,12-12,2,P. George makes 2-pt shot at rim
7:23.0,Turnover by N. Vucevic (out of bounds lost ball),,12-12,,
6:59.0,,,12-12,,S. Adams misses 2-pt shot from 15 ft
6:56.0,Defensive rebound by A. Gordon,,12-12,,
6:47.0,E. Fournier makes 2-pt shot from 1 ft,2,14-12,,
6:45.0,Personal foul by J. Simmons (drawn by R. Westbrook),,14-12,,
6:45.0,,,14-12,,Oklahoma City full timeout
6:34.0,,,14-12,,R. Westbrook misses 2-pt shot from 18 ft
6:30.0,Defensive rebound by D. Augustin,,14-12,,
6:18.0,D. Augustin makes 3-pt shot from 24 ft (assist by E. Fournier),3,17-12,,
6:03.0,,,17-12,,Shooting foul by N. Vucevic (drawn by P. George)
6:03.0,,,17-13,1,P. George makes free throw 1 of 2
6:03.0,,,17-13,,T. Ferguson enters the game for J. Huestis
6:03.0,,,17-14,1,P. George makes free throw 2 of 2
5:55.0,N. Vucevic makes 3-pt shot from 25 ft (assist by E. Fournier),3,20-14,,
5:33.0,,,20-16,2,S. Adams makes 2-pt shot at rim (assist by R. Westbrook)
5:19.0,A. Gordon makes 2-pt shot from 10 ft,2,22-16,,
5:08.0,,,22-18,2,S. Adams makes 2-pt shot from 8 ft (assist by R. Westbrook)
4:54.0,N. Vucevic makes 3-pt shot from 25 ft (assist by D. Augustin),3,25-18,,
4:38.0,,,25-21,3,P. George makes 3-pt shot from 23 ft (assist by R. Westbrook)
4:19.0,Turnover by J. Simmons (bad pass),,25-21,,
3:57.0,,,25-21,,C. Anthony misses 2-pt shot from 12 ft
3:54.0,Defensive rebound by D. Augustin,,25-21,,
3:49.0,A. Gordon makes 2-pt shot from 1 ft (assist by D. Augustin),2,27-21,,
3:36.0,,,27-24,3,C. Anthony makes 3-pt shot from 25 ft (assist by P. George)
3:25.0,E. Fournier misses 2-pt shot from 5 ft,,27-24,,
3:22.0,Offensive rebound by N. Vucevic,,27-24,,
3:22.0,N. Vucevic misses 2-pt shot at rim,,27-24,,
3:22.0,Offensive rebound by N. Vucevic,,27-24,,
3:14.0,N. Vucevic makes 2-pt shot at rim,2,29-24,,
3:04.0,,,29-24,,Turnover by S. Adams (bad pass; steal by D. Augustin)
2:59.0,A. Gordon makes 2-pt shot from 1 ft (assist by D. Augustin),2,31-24,,
2:48.0,,,31-24,,C. Anthony misses 2-pt shot at rim
2:47.0,,,31-24,,Offensive rebound by C. Anthony
2:47.0,,,31-24,,C. Anthony misses 2-pt shot at rim
2:46.0,,,31-24,,Offensive rebound by C. Anthony
2:46.0,,,31-26,2,C. Anthony makes 2-pt shot at rim
2:27.0,E. Fournier makes 3-pt shot from 22 ft (assist by D. Augustin),3,34-26,,
2:19.0,,,34-26,,Oklahoma City full timeout
2:19.0,,,34-26,,J. Grant enters the game for R. Westbrook
2:19.0,,,34-26,,R. Felton enters the game for S. Adams
2:19.0,B. Biyombo enters the game for N. Vucevic,,34-26,,
2:19.0,S. Mack enters the game for D. Augustin,,34-26,,
2:11.0,,,34-29,3,R. Felton makes 3-pt shot from 25 ft (assist by P. George)
1:53.0,Shooting foul by R. Felton (drawn by J. Simmons),,34-29,,
1:53.0,J. Simmons makes free throw 1 of 2,1,35-29,,
1:53.0,,,35-29,,P. Patterson enters the game for C. Anthony
1:53.0,J. Simmons makes free throw 2 of 2,1,36-29,,
1:34.0,,,36-29,,J. Grant misses 2-pt shot from 3 ft
1:33.0,,,36-29,,Offensive rebound by J. Grant
1:31.0,,,36-31,2,J. Grant makes 2-pt shot at rim
1:19.0,A. Gordon misses 2-pt shot from 7 ft,,36-31,,
1:19.0,,,36-31,,Defensive rebound by P. Patterson
1:07.0,,,36-31,,T. Ferguson misses 3-pt shot from 23 ft
1:04.0,Defensive rebound by S. Mack,,36-31,,
0:55.0,B. Biyombo makes 2-pt shot at rim (assist by S. Mack),2,38-31,,
0:43.0,,,38-31,,Turnover by J. Grant (lost ball; steal by J. Simmons)
0:39.0,Turnover by J. Simmons (bad pass),,38-31,,
0:39.0,R. Vaughn enters the game for E. Fournier,,38-31,,
0:39.0,M. Hezonja enters the game for J. Simmons,,38-31,,
0:29.0,,,38-31,,Turnover by P. Patterson (bad pass; steal by R. Vaughn)
0:08.0,A. Gordon misses 3-pt shot from 26 ft,,38-31,,
0:08.0,,,38-31,,Defensive rebound by P. George
0:00.0,,,38-31,,P. George misses 2-pt shot from 20 ft
0:00.0,,,38-31,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:36.0,M. Hezonja misses 2-pt shot from 15 ft,,38-31,,
11:31.0,Offensive rebound by R. Vaughn,,38-31,,
11:31.0,R. Vaughn makes 2-pt shot from 8 ft,2,40-31,,
