time,Cleveland,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Allen vs. L. Nance (D. Carroll gains possession),,,,Jump ball: J. Allen vs. L. Nance (D. Carroll gains possession)
11:46.0,,,0-0,,Offensive charge foul by R. Hollis-Jefferson (drawn by K. Love)
11:46.0,,,0-0,,Turnover by R. Hollis-Jefferson (offensive foul)
11:34.0,K. Love misses 2-pt shot from 1 ft (block by D. Russell),,0-0,,
11:33.0,K. Love misses 2-pt shot from 1 ft,,0-0,,
11:33.0,Offensive rebound by K. Love,,0-0,,
11:32.0,Offensive rebound by K. Love,,0-0,,
11:31.0,K. Love misses 2-pt shot from 1 ft (block by J. Allen),,0-0,,
11:29.0,Offensive rebound by G. Hill,,0-0,,
11:23.0,G. Hill misses 3-pt shot from 26 ft,,0-0,,
11:23.0,,,0-0,,Defensive rebound by R. Hollis-Jefferson
11:07.0,,,0-3,3,D. Russell makes 3-pt shot from 25 ft
10:38.0,L. Nance misses 2-pt shot from 2 ft,,0-3,,
10:36.0,,,0-3,,Defensive rebound by R. Hollis-Jefferson
10:29.0,,,0-3,,Shooting foul by L. Nance (drawn by R. Hollis-Jefferson)
10:29.0,,,0-3,,R. Hollis-Jefferson misses free throw 1 of 2
10:29.0,,,0-3,,Offensive rebound by Team
10:29.0,,,0-4,1,R. Hollis-Jefferson makes free throw 2 of 2
10:24.0,,,0-4,,Personal foul by D. Russell (drawn by J. Calderon)
10:22.0,L. Nance misses 2-pt shot from 20 ft,,0-4,,
10:22.0,,,0-4,,Defensive rebound by A. Crabbe
10:13.0,,,0-4,,R. Hollis-Jefferson misses 2-pt shot from 19 ft
10:10.0,Defensive rebound by L. James,,0-4,,
9:57.0,Turnover by L. James (bad pass; steal by J. Allen),,0-4,,
9:53.0,,,0-4,,Turnover by J. Allen (traveling)
9:41.0,L. Nance misses 2-pt shot from 1 ft,,0-4,,
9:41.0,Offensive rebound by J. Calderon,,0-4,,
9:38.0,J. Calderon misses 2-pt shot at rim,,0-4,,
9:36.0,,,0-4,,Defensive rebound by D. Carroll
9:18.0,,,0-6,2,D. Carroll makes 2-pt shot from 22 ft (assist by D. Russell)
9:09.0,L. James makes 2-pt shot at rim (assist by J. Calderon),2,2-6,,
8:51.0,,,2-6,,A. Crabbe misses 3-pt shot from 24 ft
8:51.0,Defensive rebound by L. James,,2-6,,
8:44.0,L. James makes 2-pt shot from 3 ft,2,4-6,,
8:31.0,,,4-6,,Shooting foul by L. James (drawn by D. Carroll)
8:31.0,,,4-7,1,D. Carroll makes free throw 1 of 2
8:31.0,,,4-8,1,D. Carroll makes free throw 2 of 2
8:20.0,L. James makes 2-pt shot from 22 ft,2,6-8,,
8:04.0,,,6-8,,D. Russell misses 2-pt shot from 14 ft
8:01.0,Defensive rebound by K. Love,,6-8,,
7:54.0,Shooting foul by A. Crabbe (drawn by L. Nance),,6-8,,
7:54.0,L. Nance misses free throw 1 of 2,,6-8,,
7:54.0,Offensive rebound by Team,,6-8,,
7:54.0,L. Nance misses free throw 2 of 2,,6-8,,
7:51.0,,,6-8,,Defensive rebound by D. Carroll
7:38.0,,,6-8,,R. Hollis-Jefferson misses 2-pt shot from 14 ft
7:34.0,Defensive rebound by K. Love,,6-8,,
7:27.0,G. Hill misses 3-pt shot from 23 ft,,6-8,,
7:27.0,,,6-8,,Defensive rebound by R. Hollis-Jefferson
7:18.0,,,6-8,,D. Russell misses 3-pt shot from 22 ft
7:15.0,Defensive rebound by L. James,,6-8,,
7:07.0,J. Calderon makes 3-pt shot from 24 ft (assist by K. Love),3,9-8,,
7:05.0,,,9-8,,Brooklyn full timeout
6:46.0,,,9-11,3,D. Carroll makes 3-pt shot from 25 ft (assist by A. Crabbe)
6:32.0,K. Love makes 2-pt shot from 6 ft (assist by L. James),2,11-11,,
6:17.0,,,11-11,,Shooting foul by L. Nance (drawn by D. Carroll)
6:17.0,,,11-12,1,D. Carroll makes free throw 1 of 2
6:17.0,,,11-13,1,D. Carroll makes free throw 2 of 2
6:09.0,Offensive foul by J. Calderon (drawn by D. Carroll),,11-13,,
6:09.0,Turnover by J. Calderon (offensive foul),,11-13,,
6:09.0,,,11-13,,S. Dinwiddie enters the game for D. Carroll
6:09.0,,,11-13,,D. Cunningham enters the game for J. Allen
6:09.0,R. Hood enters the game for L. Nance,,11-13,,
5:50.0,,,11-13,,Turnover by R. Hollis-Jefferson (bad pass; steal by G. Hill)
5:49.0,,,11-13,,Personal foul by D. Russell (drawn by G. Hill)
5:27.0,K. Love misses 2-pt shot at rim,,11-13,,
5:25.0,,,11-13,,Defensive rebound by A. Crabbe
5:18.0,,,11-13,,D. Russell misses 2-pt shot from 1 ft
5:15.0,Defensive rebound by K. Love,,11-13,,
5:09.0,K. Love makes 3-pt shot from 25 ft (assist by R. Hood),3,14-13,,
4:46.0,,,14-13,,D. Cunningham misses 3-pt shot from 22 ft
4:45.0,Defensive rebound by Team,,14-13,,
4:45.0,J. Clarkson enters the game for J. Calderon,,14-13,,
4:31.0,R. Hood makes 3-pt shot from 24 ft (assist by L. James),3,17-13,,
4:13.0,,,17-13,,A. Crabbe misses 3-pt shot from 24 ft
4:11.0,Defensive rebound by L. James,,17-13,,
4:02.0,L. James misses 2-pt shot from 1 ft,,17-13,,
4:00.0,Offensive rebound by L. James,,17-13,,
3:59.0,L. James makes 2-pt shot from 2 ft,2,19-13,,
3:45.0,,,19-16,3,D. Russell makes 3-pt shot from 23 ft (assist by R. Hollis-Jefferson)
3:33.0,Turnover by K. Love (bad pass; steal by A. Crabbe),,19-16,,
3:28.0,,,19-16,,D. Russell misses 3-pt shot from 24 ft
3:24.0,Defensive rebound by R. Hood,,19-16,,
3:17.0,,,19-16,,Personal foul by A. Crabbe (drawn by K. Love)
3:17.0,,,19-16,,J. Harris enters the game for D. Russell
3:17.0,,,19-16,,C. LeVert enters the game for R. Hollis-Jefferson
3:17.0,,,19-16,,D. Carroll enters the game for A. Crabbe
3:17.0,J. Smith enters the game for K. Love,,19-16,,
3:17.0,T. Thompson enters the game for G. Hill,,19-16,,
3:09.0,R. Hood misses 2-pt shot from 23 ft,,19-16,,
3:06.0,,,19-16,,Defensive rebound by D. Cunningham
2:50.0,,,19-19,3,J. Harris makes 3-pt shot from 24 ft (assist by C. LeVert)
2:40.0,Cleveland full timeout,,19-19,,
2:27.0,L. James misses 2-pt shot from 14 ft,,19-19,,
2:25.0,Offensive rebound by L. James,,19-19,,
