time,Portland,pts.away,score,pts.home,Miami
0:41.0,D. Lillard misses 3-pt shot from 23 ft,,21-33,,
0:38.0,,,21-33,,Defensive rebound by W. Ellington
0:25.0,,,21-33,,Turnover by W. Ellington (lost ball; steal by M. Harkless)
0:02.0,S. Napier misses 3-pt shot from 25 ft,,21-33,,
0:02.0,,,21-33,,Defensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,,,21-33,,Turnover by J. Winslow (discontinued dribble)
11:38.0,E. Davis misses 2-pt shot from 3 ft,,21-33,,
11:35.0,,,21-33,,Defensive rebound by G. Dragic
11:30.0,,,21-33,,J. Johnson misses 2-pt shot from 2 ft
11:28.0,Defensive rebound by E. Davis,,21-33,,
11:19.0,C. McCollum misses 3-pt shot from 26 ft,,21-33,,
11:15.0,,,21-33,,Defensive rebound by G. Dragic
11:05.0,,,21-35,2,W. Ellington makes 2-pt shot at rim (assist by J. Johnson)
11:05.0,,,21-35,,Shooting foul by P. Connaughton (drawn by J. Johnson)
11:05.0,J. Layman enters the game for P. Connaughton,,21-35,,
11:05.0,,,21-36,1,W. Ellington makes free throw 1 of 1
10:42.0,S. Napier makes 2-pt shot from 16 ft,2,23-36,,
10:26.0,,,23-38,2,B. Adebayo makes 2-pt shot at rim (assist by J. Johnson)
10:18.0,Offensive foul by E. Davis (drawn by G. Dragic),,23-38,,
10:18.0,Turnover by E. Davis (offensive foul),,23-38,,
9:54.0,,,23-38,,J. Johnson misses 2-pt shot from 18 ft
9:52.0,,,23-38,,Offensive rebound by Team
9:51.0,,,23-38,,Turnover by Team (shot clock)
9:35.0,M. Harkless misses 2-pt shot from 19 ft,,23-38,,
9:27.0,,,23-38,,Defensive rebound by W. Ellington
9:21.0,,,23-38,,G. Dragic misses 3-pt shot from 25 ft
9:15.0,Defensive rebound by E. Davis,,23-38,,
9:11.0,Turnover by S. Napier (lost ball; steal by G. Dragic),,23-38,,
8:58.0,,,23-38,,Turnover by J. Johnson (bad pass; steal by S. Napier)
8:46.0,C. McCollum makes 2-pt shot from 18 ft,2,25-38,,
8:27.0,,,25-38,,Turnover by G. Dragic (lost ball; steal by S. Napier)
8:19.0,E. Davis makes 2-pt shot from 8 ft (assist by M. Harkless),2,27-38,,
8:00.0,,,27-38,,G. Dragic misses 2-pt shot at rim
7:59.0,,,27-38,,Offensive rebound by B. Adebayo
7:59.0,,,27-40,2,B. Adebayo makes 2-pt shot at rim
7:48.0,E. Davis misses 2-pt shot from 2 ft,,27-40,,
7:48.0,,,27-40,,Defensive rebound by B. Adebayo
7:34.0,,,27-43,3,W. Ellington makes 3-pt shot from 25 ft (assist by J. Johnson)
7:11.0,S. Napier makes 3-pt shot from 24 ft (assist by M. Harkless),3,30-43,,
7:03.0,,,30-43,,Miami full timeout
7:03.0,,,30-43,,K. Olynyk enters the game for J. Johnson
7:03.0,,,30-43,,D. Waiters enters the game for J. Winslow
7:03.0,A. Aminu enters the game for M. Harkless,,30-43,,
7:03.0,Z. Collins enters the game for E. Davis,,30-43,,
7:03.0,N. Vonleh enters the game for J. Layman,,30-43,,
6:42.0,,,30-43,,W. Ellington misses 3-pt shot from 26 ft
6:40.0,Defensive rebound by N. Vonleh,,30-43,,
6:35.0,,,30-43,,Personal foul by D. Waiters (drawn by C. McCollum)
6:24.0,C. McCollum makes 2-pt shot at rim,2,32-43,,
6:03.0,,,32-43,,Turnover by K. Olynyk (lost ball; steal by C. McCollum)
5:51.0,C. McCollum makes 3-pt shot from 25 ft (assist by S. Napier),3,35-43,,
5:38.0,,,35-45,2,G. Dragic makes 2-pt shot at rim
5:21.0,Z. Collins misses 2-pt shot from 8 ft,,35-45,,
5:18.0,,,35-45,,Defensive rebound by B. Adebayo
5:09.0,,,35-47,2,K. Olynyk makes 2-pt shot at rim (assist by G. Dragic)
5:09.0,Portland full timeout,,35-47,,
5:09.0,,,35-47,,J. Richardson enters the game for W. Ellington
5:09.0,D. Lillard enters the game for S. Napier,,35-47,,
4:59.0,N. Vonleh misses 2-pt shot from 16 ft,,35-47,,
4:55.0,Offensive rebound by Z. Collins,,35-47,,
4:52.0,Z. Collins misses 2-pt shot from 6 ft,,35-47,,
4:49.0,,,35-47,,Defensive rebound by J. Richardson
4:38.0,Personal foul by N. Vonleh (drawn by B. Adebayo),,35-47,,
4:26.0,,,35-47,,G. Dragic misses 2-pt shot from 13 ft
4:21.0,Defensive rebound by D. Lillard,,35-47,,
4:20.0,C. McCollum makes 2-pt shot from 10 ft,2,37-47,,
4:20.0,Shooting foul by J. Richardson (drawn by C. McCollum),,37-47,,
4:20.0,E. Turner enters the game for N. Vonleh,,37-47,,
4:20.0,C. McCollum makes free throw 1 of 1,1,38-47,,
4:07.0,,,38-47,,Shooting foul by E. Turner (drawn by D. Waiters)
4:07.0,,,38-48,1,D. Waiters makes free throw 1 of 2
4:07.0,,,38-49,1,D. Waiters makes free throw 2 of 2
3:47.0,Z. Collins misses 3-pt shot from 25 ft,,38-49,,
3:43.0,,,38-49,,Defensive rebound by B. Adebayo
3:33.0,,,38-49,,J. Johnson enters the game for B. Adebayo
3:25.0,,,38-51,2,D. Waiters makes 2-pt shot at rim
3:08.0,Z. Collins makes 2-pt shot at rim (assist by D. Lillard),2,40-51,,
2:55.0,Personal foul by E. Turner (drawn by D. Waiters),,40-51,,
2:40.0,,,40-53,2,K. Olynyk makes 2-pt shot from 14 ft (assist by G. Dragic)
2:18.0,E. Turner makes 2-pt shot from 9 ft,2,42-53,,
2:03.0,,,42-53,,Offensive charge foul by G. Dragic (drawn by Z. Collins)
2:03.0,,,42-53,,Turnover by G. Dragic (offensive foul)
2:03.0,,,42-53,,W. Ellington enters the game for G. Dragic
1:47.0,A. Aminu makes 3-pt shot from 24 ft,3,45-53,,
1:31.0,,,45-55,2,D. Waiters makes 2-pt shot from 1 ft
1:16.0,A. Aminu makes 3-pt shot from 29 ft (assist by D. Lillard),3,48-55,,
1:00.0,,,48-58,3,D. Waiters makes 3-pt shot from 22 ft (assist by K. Olynyk)
0:51.0,Shooting foul by D. Waiters (drawn by D. Lillard),,48-58,,
0:51.0,D. Lillard makes free throw 1 of 2,1,49-58,,
0:51.0,E. Davis enters the game for Z. Collins,,49-58,,
0:51.0,D. Lillard makes free throw 2 of 2,1,50-58,,
0:43.0,,,50-58,,Offensive foul by K. Olynyk (drawn by E. Turner)
0:43.0,,,50-58,,Turnover by K. Olynyk (offensive foul)
0:43.0,,,50-58,,B. Adebayo enters the game for D. Waiters
0:43.0,Z. Collins enters the game for E. Davis,,50-58,,
0:18.0,Z. Collins misses 3-pt shot from 24 ft,,50-58,,
0:15.0,,,50-58,,Defensive rebound by B. Adebayo
0:03.0,,,50-60,2,J. Johnson makes 2-pt shot from 1 ft
0:00.0,C. McCollum misses 3-pt shot from 25 ft,,50-60,,
0:00.0,Offensive rebound by Team,,50-60,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,50-60,,J. Richardson misses 3-pt shot from 25 ft
11:40.0,Defensive rebound by A. Aminu,,50-60,,
11:25.0,C. McCollum misses 2-pt shot from 10 ft,,50-60,,
11:23.0,,,50-60,,Defensive rebound by K. Olynyk
11:07.0,,,50-62,2,G. Dragic makes 2-pt shot from 1 ft
10:42.0,Z. Collins makes 2-pt shot from 1 ft (assist by D. Lillard),2,52-62,,
10:29.0,,,52-62,,G. Dragic misses 2-pt shot from 1 ft
10:27.0,Defensive rebound by A. Aminu,,52-62,,
10:22.0,Turnover by C. McCollum (bad pass),,52-62,,
10:10.0,,,52-62,,Turnover by G. Dragic (step out of bounds)
9:58.0,Shooting foul by J. Johnson (drawn by C. McCollum),,52-62,,
9:58.0,C. McCollum makes free throw 1 of 2,1,53-62,,
9:58.0,C. McCollum makes free throw 2 of 2,1,54-62,,
9:32.0,,,54-64,2,J. Johnson makes 2-pt shot from 6 ft
9:15.0,D. Lillard misses 3-pt shot from 24 ft,,54-64,,
9:13.0,,,54-64,,Defensive rebound by D. Waiters
9:03.0,,,54-67,3,K. Olynyk makes 3-pt shot from 24 ft (assist by D. Waiters)
