time,LA Lakers,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. B. Lopez (B. Griffin gains possession),,,,Jump ball: D. Jordan vs. B. Lopez (B. Griffin gains possession)
11:45.0,,,0-0,,A. Rivers misses 2-pt shot from 12 ft (block by B. Lopez)
11:43.0,,,0-0,,Offensive rebound by D. Jordan
11:39.0,,,0-0,,W. Johnson misses 3-pt shot from 23 ft
11:39.0,Defensive rebound by L. Ball,,0-0,,
11:27.0,B. Lopez misses 2-pt shot from 9 ft,,0-0,,
11:27.0,,,0-0,,Defensive rebound by B. Griffin
11:18.0,,,0-2,2,D. Jordan makes 2-pt shot at rim (assist by L. Williams)
10:56.0,L. Ball misses 3-pt shot from 24 ft,,0-2,,
10:56.0,,,0-2,,Defensive rebound by B. Griffin
10:49.0,,,0-2,,Shooting foul by B. Lopez (drawn by B. Griffin)
10:49.0,,,0-3,1,B. Griffin makes free throw 1 of 2
10:49.0,,,0-4,1,B. Griffin makes free throw 2 of 2
10:39.0,B. Lopez misses 3-pt shot from 24 ft,,0-4,,
10:37.0,Offensive rebound by Team,,0-4,,
10:34.0,,,0-4,,Personal foul by A. Rivers (drawn by B. Ingram)
10:22.0,B. Lopez misses 2-pt shot from 13 ft,,0-4,,
10:20.0,,,0-4,,Defensive rebound by B. Griffin
10:03.0,,,0-4,,B. Griffin misses 2-pt shot from 14 ft
10:01.0,Defensive rebound by B. Ingram,,0-4,,
9:56.0,K. Caldwell-Pope makes 2-pt shot from 21 ft (assist by B. Ingram),2,2-4,,
9:45.0,,,2-6,2,D. Jordan makes 2-pt shot from 2 ft (assist by B. Griffin)
9:27.0,K. Caldwell-Pope misses 2-pt shot from 1 ft,,2-6,,
9:27.0,,,2-6,,Defensive rebound by L. Williams
9:19.0,,,2-6,,Shooting foul by L. Nance (drawn by A. Rivers)
9:19.0,,,2-7,1,A. Rivers makes free throw 1 of 2
9:19.0,,,2-8,1,A. Rivers makes free throw 2 of 2
9:10.0,Turnover by L. Ball (bad pass; steal by A. Rivers),,2-8,,
9:01.0,,,2-8,,Turnover by B. Griffin (lost ball; steal by L. Nance)
9:01.0,,,2-8,,Personal foul by B. Griffin (drawn by B. Ingram)
8:51.0,B. Lopez misses 2-pt shot from 6 ft,,2-8,,
8:49.0,,,2-8,,Defensive rebound by B. Griffin
8:42.0,Personal foul by B. Lopez (drawn by B. Griffin),,2-8,,
8:42.0,A. Bogut enters the game for B. Lopez,,2-8,,
8:33.0,,,2-8,,A. Rivers misses 3-pt shot from 25 ft
8:31.0,Defensive rebound by L. Nance,,2-8,,
8:28.0,Shooting foul by W. Johnson (drawn by B. Ingram),,2-8,,
8:28.0,B. Ingram makes free throw 1 of 2,1,3-8,,
8:28.0,B. Ingram makes free throw 2 of 2,1,4-8,,
8:18.0,,,4-11,3,L. Williams makes 3-pt shot from 27 ft (assist by A. Rivers)
8:17.0,LA Lakers full timeout,,4-11,,
8:07.0,B. Ingram misses 2-pt shot from 18 ft (block by W. Johnson),,4-11,,
8:03.0,,,4-11,,Defensive rebound by A. Rivers
7:54.0,,,4-11,,W. Johnson misses 2-pt shot from 18 ft
7:51.0,Defensive rebound by K. Caldwell-Pope,,4-11,,
7:44.0,K. Caldwell-Pope misses 2-pt shot from 1 ft,,4-11,,
7:38.0,,,4-11,,Defensive rebound by A. Rivers
7:26.0,,,4-11,,B. Griffin misses 2-pt shot from 6 ft
7:25.0,,,4-11,,Offensive rebound by Team
