time,New Orleans,pts.away,score,pts.home,Golden State
1:58.0,D. Miller makes 3-pt shot from 26 ft (assist by J. Holiday),3,26-27,,
1:31.0,,,26-29,2,K. Looney makes 2-pt shot from 18 ft (assist by S. Livingston)
1:16.0,A. Davis misses 2-pt shot from 6 ft,,26-29,,
1:11.0,,,26-29,,Defensive rebound by K. Durant
1:04.0,,,26-29,,Q. Cook misses 3-pt shot from 25 ft
1:00.0,Defensive rebound by A. Davis,,26-29,,
0:57.0,E. Moore misses 3-pt shot from 28 ft,,26-29,,
0:55.0,,,26-29,,Defensive rebound by Q. Cook
0:44.0,,,26-29,,S. Livingston misses 2-pt shot from 14 ft
0:42.0,,,26-29,,Offensive rebound by K. Looney
0:42.0,,,26-29,,K. Looney misses 2-pt shot at rim (block by A. Davis)
0:41.0,Defensive rebound by A. Davis,,26-29,,
0:33.0,Turnover by J. Holiday (bad pass; steal by K. Looney),,26-29,,
0:30.0,,,26-31,2,Q. Cook makes 2-pt shot from 2 ft
0:30.0,,,26-31,,Shooting foul by I. Clark (drawn by Q. Cook)
0:30.0,S. Hill enters the game for E. Moore,,26-31,,
0:30.0,,,26-31,,D. Green enters the game for D. West
0:30.0,,,26-32,1,Q. Cook makes free throw 1 of 1
0:13.0,A. Davis misses 2-pt shot from 9 ft,,26-32,,
0:12.0,,,26-32,,Defensive rebound by K. Durant
0:02.0,,,26-32,,K. Durant misses 2-pt shot from 11 ft
0:00.0,,,26-32,,Offensive rebound by K. Looney
0:00.0,,,26-32,,K. Looney misses 2-pt shot at rim
0:00.0,Defensive rebound by A. Davis,,26-32,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,26-32,,D. West misses 2-pt shot from 6 ft
11:42.0,Defensive rebound by N. Mirotic,,26-32,,
11:36.0,D. Miller misses 3-pt shot from 25 ft,,26-32,,
11:31.0,,,26-32,,Defensive rebound by D. West
11:25.0,,,26-32,,D. West misses 2-pt shot from 17 ft
11:21.0,,,26-32,,Offensive rebound by Q. Cook
11:08.0,,,26-32,,Turnover by S. Livingston (out of bounds lost ball)
10:55.0,I. Clark misses 3-pt shot from 26 ft,,26-32,,
10:51.0,,,26-32,,Defensive rebound by D. West
10:31.0,,,26-32,,K. Thompson misses 2-pt shot from 17 ft
10:28.0,Defensive rebound by J. Holiday,,26-32,,
10:18.0,N. Mirotic misses 2-pt shot from 17 ft,,26-32,,
10:14.0,,,26-32,,Defensive rebound by A. Iguodala
10:07.0,,,26-32,,D. West misses 2-pt shot from 3 ft (block by S. Hill)
10:05.0,Defensive rebound by N. Mirotic,,26-32,,
9:57.0,J. Holiday makes 2-pt shot from 1 ft (assist by S. Hill),2,28-32,,
9:42.0,,,28-34,2,K. Thompson makes 2-pt shot from 20 ft (assist by Q. Cook)
9:42.0,,,28-34,,Shooting foul by J. Holiday (drawn by K. Thompson)
9:42.0,,,28-34,,K. Looney enters the game for D. West
9:42.0,R. Rondo enters the game for J. Holiday,,28-34,,
9:42.0,A. Davis enters the game for S. Hill,,28-34,,
9:42.0,,,28-35,1,K. Thompson makes free throw 1 of 1
9:32.0,I. Clark makes 2-pt shot from 12 ft (assist by R. Rondo),2,30-35,,
9:20.0,,,30-35,,Q. Cook misses 3-pt shot from 25 ft
9:17.0,Defensive rebound by A. Davis,,30-35,,
9:05.0,,,30-35,,Personal foul by Q. Cook (drawn by N. Mirotic)
9:05.0,,,30-35,,D. Green enters the game for S. Livingston
9:03.0,,,30-35,,Personal foul by K. Looney (drawn by A. Davis)
8:53.0,R. Rondo misses 2-pt shot from 18 ft,,30-35,,
8:49.0,,,30-35,,Defensive rebound by K. Looney
8:40.0,,,30-35,,Turnover by A. Iguodala (out of bounds lost ball)
8:17.0,A. Davis misses 2-pt shot from 14 ft,,30-35,,
8:12.0,,,30-35,,Defensive rebound by K. Thompson
8:04.0,,,30-37,2,K. Thompson makes 2-pt shot from 20 ft (assist by D. Green)
7:50.0,Offensive charge foul by A. Davis (drawn by K. Looney),,30-37,,
7:50.0,Turnover by A. Davis (offensive foul),,30-37,,
7:50.0,,,30-37,,S. Curry enters the game for Q. Cook
7:50.0,,,30-37,,K. Durant enters the game for K. Looney
7:50.0,J. Holiday enters the game for D. Miller,,30-37,,
7:39.0,,,30-37,,K. Thompson misses 2-pt shot from 18 ft
7:38.0,Defensive rebound by J. Holiday,,30-37,,
7:32.0,N. Mirotic misses 3-pt shot from 24 ft,,30-37,,
7:30.0,,,30-37,,Defensive rebound by S. Curry
7:19.0,,,30-39,2,S. Curry makes 2-pt shot from 10 ft
7:06.0,E. Moore enters the game for I. Clark,,30-39,,
6:57.0,Shooting foul by K. Durant (drawn by J. Holiday),,30-39,,
6:57.0,,,30-39,,Golden State full timeout
6:57.0,,,30-39,,K. Looney enters the game for K. Thompson
6:57.0,J. Holiday makes free throw 1 of 2,1,31-39,,
6:57.0,J. Holiday makes free throw 2 of 2,1,32-39,,
6:41.0,,,32-41,2,K. Durant makes 2-pt shot from 13 ft (assist by A. Iguodala)
