time,LA Clippers,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. D. Jordan (B. Griffin gains possession),,,,Jump ball: A. Davis vs. D. Jordan (B. Griffin gains possession)
11:46.0,B. Griffin misses 2-pt shot from 14 ft,,0-0,,
11:39.0,,,0-0,,Defensive rebound by A. Davis
11:27.0,,,0-2,2,A. Davis makes 2-pt shot from 13 ft (assist by J. Holiday)
11:07.0,A. Rivers misses 2-pt shot from 4 ft,,0-2,,
11:03.0,,,0-2,,Defensive rebound by D. Cousins
10:55.0,Personal foul by A. Rivers (drawn by D. Cousins),,0-2,,
10:49.0,,,0-2,,J. Holiday misses 2-pt shot from 11 ft
10:44.0,Defensive rebound by D. Jordan,,0-2,,
10:27.0,B. Griffin misses 3-pt shot from 27 ft,,0-2,,
10:22.0,,,0-2,,Defensive rebound by J. Holiday
10:22.0,,,0-2,,Turnover by J. Holiday (bad pass)
10:13.0,S. Thornwell makes 3-pt shot from 26 ft (assist by B. Griffin),3,3-2,,
9:59.0,,,3-2,,Turnover by J. Holiday (lost ball; steal by S. Thornwell)
9:47.0,B. Griffin misses 2-pt shot from 12 ft,,3-2,,
9:39.0,Offensive rebound by B. Griffin,,3-2,,
9:38.0,B. Griffin makes 2-pt shot from 1 ft,2,5-2,,
9:31.0,,,5-4,2,E. Moore makes 2-pt shot from 12 ft (assist by J. Holiday)
9:22.0,W. Johnson misses 3-pt shot from 23 ft,,5-4,,
9:16.0,,,5-4,,Defensive rebound by J. Holiday
9:15.0,,,5-4,,E. Moore misses 3-pt shot from 23 ft
9:07.0,Defensive rebound by B. Griffin,,5-4,,
9:03.0,A. Rivers misses 3-pt shot from 27 ft,,5-4,,
8:55.0,,,5-4,,Defensive rebound by D. Cousins
8:46.0,,,5-6,2,E. Moore makes 2-pt shot from 3 ft (assist by A. Davis)
8:37.0,A. Rivers misses 3-pt shot from 27 ft,,5-6,,
8:31.0,,,5-6,,Defensive rebound by A. Davis
8:26.0,,,5-8,2,A. Davis makes 2-pt shot at rim (assist by J. Holiday)
8:04.0,B. Griffin misses 2-pt shot from 3 ft,,5-8,,
8:00.0,,,5-8,,Defensive rebound by D. Cunningham
7:57.0,,,5-8,,J. Holiday misses 3-pt shot from 27 ft
7:51.0,Defensive rebound by D. Jordan,,5-8,,
7:48.0,S. Thornwell misses 2-pt shot from 21 ft,,5-8,,
7:48.0,Offensive rebound by B. Griffin,,5-8,,
7:48.0,Shooting foul by D. Cunningham (drawn by B. Griffin),,5-8,,
7:48.0,B. Griffin makes free throw 1 of 2,1,6-8,,
7:48.0,B. Griffin makes free throw 2 of 2,1,7-8,,
7:39.0,,,7-10,2,A. Davis makes 2-pt shot from 17 ft (assist by J. Holiday)
7:26.0,Turnover by B. Griffin (bad pass),,7-10,,
7:05.0,,,7-10,,A. Davis misses 2-pt shot from 18 ft
6:59.0,Defensive rebound by D. Jordan,,7-10,,
6:44.0,,,7-10,,New Orleans full timeout
