time,Cleveland,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Towns vs. K. Love (J. Crowder gains possession),,,,Jump ball: K. Towns vs. K. Love (J. Crowder gains possession)
11:46.0,K. Love misses 3-pt shot from 24 ft,,0-0,,
11:42.0,,,0-0,,Defensive rebound by T. Gibson
11:28.0,,,0-0,,K. Towns misses 3-pt shot from 24 ft
11:24.0,Defensive rebound by L. James,,0-0,,
11:09.0,K. Love misses 2-pt shot from 1 ft,,0-0,,
11:07.0,,,0-0,,Defensive rebound by K. Towns
11:01.0,,,0-2,2,A. Wiggins makes 2-pt shot at rim (assist by T. Jones)
10:45.0,J. Crowder makes 2-pt shot from 1 ft (assist by L. James),2,2-2,,
10:25.0,,,2-4,2,J. Butler makes 2-pt shot from 12 ft
10:03.0,K. Love misses 3-pt shot from 22 ft,,2-4,,
9:59.0,,,2-4,,Defensive rebound by T. Gibson
9:52.0,,,2-4,,Turnover by K. Towns (bad pass)
9:42.0,,,2-4,,Violation by J. Butler (kicked ball)
9:34.0,J. Smith misses 2-pt shot from 19 ft,,2-4,,
9:31.0,,,2-4,,Defensive rebound by J. Butler
9:22.0,,,2-4,,J. Butler misses 2-pt shot from 11 ft
9:20.0,Defensive rebound by J. Crowder,,2-4,,
9:16.0,I. Thomas misses 3-pt shot from 25 ft,,2-4,,
9:13.0,Offensive rebound by J. Smith,,2-4,,
9:11.0,J. Smith misses 3-pt shot from 22 ft,,2-4,,
9:09.0,,,2-4,,Defensive rebound by T. Gibson
8:57.0,,,2-6,2,K. Towns makes 2-pt shot from 1 ft (assist by T. Jones)
8:33.0,J. Crowder misses 3-pt shot from 25 ft,,2-6,,
8:30.0,,,2-6,,Defensive rebound by T. Gibson
8:11.0,,,2-8,2,T. Gibson makes 2-pt shot from 1 ft
8:02.0,J. Crowder makes 2-pt shot from 1 ft (assist by I. Thomas),2,4-8,,
7:50.0,,,4-10,2,T. Jones makes 2-pt shot from 14 ft
7:39.0,Turnover by I. Thomas (lost ball; steal by J. Butler),,4-10,,
7:36.0,,,4-10,,Shooting foul by J. Crowder (drawn by A. Wiggins)
7:36.0,,,4-10,,A. Wiggins misses free throw 1 of 2
7:36.0,,,4-10,,Offensive rebound by Team
7:36.0,,,4-11,1,A. Wiggins makes free throw 2 of 2
7:19.0,I. Thomas misses 2-pt shot from 1 ft,,4-11,,
7:17.0,,,4-11,,Defensive rebound by A. Wiggins
7:08.0,,,4-13,2,T. Gibson makes 2-pt shot at rim (assist by K. Towns)
7:07.0,Cleveland full timeout,,4-13,,
6:54.0,J. Smith misses 3-pt shot from 23 ft,,4-13,,
6:51.0,,,4-13,,Defensive rebound by J. Butler
6:37.0,,,4-13,,A. Wiggins misses 3-pt shot from 24 ft
6:35.0,Defensive rebound by J. Crowder,,4-13,,
6:20.0,Turnover by L. James (bad pass),,4-13,,
5:57.0,,,4-15,2,K. Towns makes 2-pt shot from 4 ft (assist by T. Jones)
5:41.0,K. Love misses 2-pt shot from 18 ft,,4-15,,
5:39.0,,,4-15,,Defensive rebound by K. Towns
5:33.0,,,4-17,2,T. Gibson makes 2-pt shot from 1 ft (assist by T. Jones)
5:12.0,I. Thomas misses 3-pt shot from 25 ft,,4-17,,
5:10.0,,,4-17,,Defensive rebound by T. Jones
5:01.0,,,4-17,,T. Gibson misses 2-pt shot from 3 ft (block by J. Crowder)
5:01.0,Defensive rebound by J. Crowder,,4-17,,
4:54.0,Turnover by I. Thomas (out of bounds lost ball),,4-17,,
4:54.0,D. Wade enters the game for I. Thomas,,4-17,,
4:40.0,,,4-20,3,J. Butler makes 3-pt shot from 25 ft (assist by K. Towns)
4:39.0,Cleveland full timeout,,4-20,,
4:27.0,K. Love misses 3-pt shot from 26 ft,,4-20,,
4:25.0,,,4-20,,Defensive rebound by T. Gibson
4:08.0,,,4-20,,K. Towns misses 2-pt shot from 9 ft
4:05.0,Defensive rebound by L. James,,4-20,,
4:01.0,L. James makes 2-pt shot from 2 ft,2,6-20,,
4:01.0,Shooting foul by A. Wiggins (drawn by L. James),,6-20,,
4:01.0,,,6-20,,G. Dieng enters the game for K. Towns
4:01.0,T. Thompson enters the game for K. Love,,6-20,,
4:01.0,L. James makes free throw 1 of 1,1,7-20,,
3:45.0,,,7-20,,T. Jones misses 3-pt shot from 24 ft
3:44.0,Defensive rebound by J. Crowder,,7-20,,
3:38.0,J. Crowder misses 3-pt shot from 23 ft,,7-20,,
3:35.0,,,7-20,,Defensive rebound by A. Wiggins
3:20.0,,,7-23,3,A. Wiggins makes 3-pt shot from 24 ft (assist by J. Butler)
3:08.0,L. James misses 2-pt shot from 1 ft,,7-23,,
3:06.0,Offensive rebound by L. James,,7-23,,
3:05.0,L. James misses 2-pt shot from 4 ft,,7-23,,
3:05.0,,,7-23,,Defensive rebound by A. Wiggins
3:00.0,,,7-23,,J. Butler misses 3-pt shot from 24 ft
2:56.0,Defensive rebound by L. James,,7-23,,
2:52.0,L. James makes 2-pt shot from 2 ft,2,9-23,,
2:34.0,,,9-23,,Shooting foul by L. James (drawn by J. Butler)
2:34.0,,,9-23,,J. Butler misses free throw 1 of 2
2:34.0,,,9-23,,Offensive rebound by Team
2:34.0,,,9-23,,J. Crawford enters the game for T. Jones
2:34.0,J. Green enters the game for J. Crowder,,9-23,,
2:34.0,,,9-24,1,J. Butler makes free throw 2 of 2
2:27.0,D. Wade makes 2-pt shot from 2 ft,2,11-24,,
2:07.0,,,11-26,2,A. Wiggins makes 2-pt shot at rim (assist by J. Butler)
1:47.0,L. James makes 2-pt shot from 1 ft,2,13-26,,
1:38.0,,,13-26,,J. Butler misses 2-pt shot from 2 ft
1:38.0,,,13-26,,Offensive rebound by J. Butler
1:38.0,,,13-26,,Shooting foul by T. Thompson (drawn by J. Butler)
1:38.0,,,13-27,1,J. Butler makes free throw 1 of 2
1:38.0,,,13-28,1,J. Butler makes free throw 2 of 2
1:22.0,Turnover by L. James (turnover),,13-28,,
1:08.0,,,13-30,2,A. Wiggins makes 2-pt shot from 18 ft (assist by J. Butler)
0:55.0,J. Green makes 2-pt shot from 2 ft (assist by L. James),2,15-30,,
0:43.0,,,15-32,2,J. Butler makes 2-pt shot from 16 ft
0:20.0,J. Green makes 3-pt shot from 22 ft (assist by D. Wade),3,18-32,,
0:00.0,,,18-32,,A. Wiggins misses 3-pt shot from 25 ft
0:00.0,,,18-32,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,,,18-32,,Shooting foul by K. Korver (drawn by K. Towns)
11:49.0,,,18-33,1,K. Towns makes free throw 1 of 2
11:49.0,,,18-34,1,K. Towns makes free throw 2 of 2
11:33.0,I. Thomas misses 2-pt shot from 11 ft,,18-34,,
11:30.0,,,18-34,,Defensive rebound by K. Towns
11:26.0,,,18-34,,G. Dieng misses 3-pt shot from 22 ft
11:26.0,Defensive rebound by T. Thompson,,18-34,,
11:17.0,K. Korver misses 3-pt shot from 22 ft,,18-34,,
11:17.0,,,18-34,,Defensive rebound by G. Dieng
11:07.0,,,18-36,2,J. Crawford makes 2-pt shot from 18 ft
10:53.0,,,18-36,,Personal foul by A. Brooks (drawn by I. Thomas)
10:51.0,,,18-36,,Personal foul by N. Bjelica (drawn by K. Korver)
10:41.0,J. Green makes 2-pt shot from 3 ft (assist by K. Korver),2,20-36,,
10:41.0,Shooting foul by N. Bjelica (drawn by J. Green),,20-36,,
10:41.0,J. Green misses free throw 1 of 1,,20-36,,
10:36.0,,,20-36,,Defensive rebound by K. Towns
10:26.0,,,20-38,2,G. Dieng makes 2-pt shot from 20 ft (assist by J. Crawford)
10:15.0,D. Wade makes 2-pt shot at rim (assist by I. Thomas),2,22-38,,
9:57.0,,,22-38,,Shooting foul by D. Wade (drawn by G. Dieng)
9:57.0,,,22-38,,G. Dieng misses free throw 1 of 2
9:57.0,,,22-38,,Offensive rebound by Team
9:57.0,,,22-39,1,G. Dieng makes free throw 2 of 2
9:48.0,K. Korver misses 3-pt shot from 26 ft,,22-39,,
9:44.0,,,22-39,,Defensive rebound by G. Dieng
9:32.0,,,22-39,,N. Bjelica misses 3-pt shot from 22 ft
