time,Charlotte,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: Z. Pachulia vs. D. Howard (M. Williams gains possession),,,,Jump ball: Z. Pachulia vs. D. Howard (M. Williams gains possession)
11:48.0,N. Batum makes 2-pt shot from 17 ft (assist by K. Walker),2,2-0,,
11:31.0,,,2-0,,D. Green misses 3-pt shot from 25 ft
11:29.0,,,2-0,,Offensive rebound by Z. Pachulia
11:25.0,,,2-3,3,K. Thompson makes 3-pt shot from 25 ft (assist by K. Durant)
11:10.0,M. Kidd-Gilchrist makes 2-pt shot from 16 ft (assist by K. Walker),2,4-3,,
10:51.0,,,4-5,2,S. Livingston makes 2-pt shot from 11 ft
10:36.0,D. Howard misses 2-pt shot from 6 ft,,4-5,,
10:33.0,,,4-5,,Defensive rebound by K. Durant
10:30.0,,,4-7,2,D. Green makes 2-pt shot from 1 ft (assist by K. Durant)
10:18.0,K. Walker misses 2-pt shot from 10 ft,,4-7,,
10:15.0,,,4-7,,Defensive rebound by D. Green
10:10.0,,,4-10,3,K. Thompson makes 3-pt shot from 27 ft (assist by D. Green)
9:50.0,Shooting foul by S. Livingston (drawn by N. Batum),,4-10,,
9:50.0,N. Batum makes free throw 1 of 2,1,5-10,,
9:50.0,N. Batum misses free throw 2 of 2,,5-10,,
9:48.0,,,5-10,,Defensive rebound by Z. Pachulia
9:42.0,,,5-12,2,K. Thompson makes 2-pt shot from 21 ft (assist by D. Green)
9:23.0,N. Batum misses 2-pt shot from 14 ft,,5-12,,
9:17.0,,,5-12,,Defensive rebound by Z. Pachulia
9:14.0,,,5-12,,K. Thompson misses 3-pt shot from 26 ft
9:10.0,Defensive rebound by N. Batum,,5-12,,
9:06.0,Turnover by N. Batum (bad pass),,5-12,,
8:55.0,,,5-14,2,K. Thompson makes 2-pt shot from 19 ft (assist by S. Livingston)
8:41.0,K. Walker makes 3-pt shot from 25 ft,3,8-14,,
8:30.0,,,8-16,2,S. Livingston makes 2-pt shot from 12 ft
8:12.0,D. Howard makes 2-pt shot from 19 ft (assist by K. Walker),2,10-16,,
8:01.0,,,10-16,,Turnover by S. Livingston (bad pass; steal by M. Williams)
7:54.0,M. Kidd-Gilchrist makes 2-pt shot from 2 ft (assist by K. Walker),2,12-16,,
7:40.0,,,12-16,,D. Green misses 2-pt shot from 12 ft
7:37.0,,,12-16,,Offensive rebound by S. Livingston
7:36.0,,,12-16,,S. Livingston misses 2-pt shot at rim
7:35.0,Defensive rebound by D. Howard,,12-16,,
7:32.0,,,12-16,,Personal foul by K. Durant (drawn by M. Kidd-Gilchrist)
7:23.0,M. Kidd-Gilchrist misses 2-pt shot from 18 ft,,12-16,,
7:20.0,,,12-16,,Defensive rebound by K. Durant
7:13.0,,,12-16,,K. Thompson misses 2-pt shot from 15 ft
7:08.0,Defensive rebound by M. Williams,,12-16,,
7:03.0,K. Walker misses 3-pt shot from 25 ft,,12-16,,
6:58.0,,,12-16,,Defensive rebound by Z. Pachulia
6:55.0,,,12-16,,Turnover by D. Green (lost ball; steal by D. Howard)
6:49.0,D. Howard makes 2-pt shot from 1 ft (assist by N. Batum),2,14-16,,
6:29.0,,,14-19,3,K. Thompson makes 3-pt shot from 26 ft (assist by S. Livingston)
6:14.0,,,14-19,,Golden State full timeout
6:14.0,,,14-20,1,K. Durant makes technical free throw
6:03.0,M. Kidd-Gilchrist misses 2-pt shot from 2 ft (block by D. Green),,14-20,,
6:02.0,Offensive rebound by Team,,14-20,,
6:02.0,Turnover by Team (shot clock),,14-20,,
5:49.0,,,14-20,,D. Green misses 3-pt shot from 26 ft
5:45.0,Defensive rebound by D. Howard,,14-20,,
5:29.0,D. Howard makes 2-pt shot at rim (assist by N. Batum),2,16-20,,
5:15.0,,,16-22,2,K. Durant makes 2-pt shot from 18 ft (assist by D. Green)
4:56.0,D. Howard makes 2-pt shot from 1 ft,2,18-22,,
