time,LA Clippers,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Len vs. D. Jordan (T. Harris gains possession),,,,Jump ball: A. Len vs. D. Jordan (T. Harris gains possession)
11:43.0,T. Wallace misses 2-pt shot from 6 ft,,0-0,,
11:41.0,,,0-0,,Defensive rebound by A. Len
11:30.0,,,0-0,,Turnover by D. Bender (bad pass; steal by W. Johnson)
11:22.0,A. Rivers makes 3-pt shot from 25 ft (assist by T. Harris),3,3-0,,
11:03.0,,,3-0,,T. Warren misses 2-pt shot from 19 ft
11:00.0,Defensive rebound by D. Jordan,,3-0,,
10:58.0,Shooting foul by A. Len (drawn by T. Wallace),,3-0,,
10:58.0,T. Wallace misses free throw 1 of 2,,3-0,,
10:58.0,Offensive rebound by Team,,3-0,,
10:58.0,T. Wallace makes free throw 2 of 2,1,4-0,,
10:40.0,,,4-0,,A. Len misses 2-pt shot from 6 ft
10:38.0,Defensive rebound by D. Jordan,,4-0,,
10:29.0,T. Harris makes 3-pt shot from 25 ft (assist by A. Rivers),3,7-0,,
10:14.0,,,7-0,,T. Warren misses 2-pt shot from 1 ft
10:13.0,Defensive rebound by D. Jordan,,7-0,,
9:57.0,D. Jordan makes 2-pt shot at rim (assist by T. Harris),2,9-0,,
9:57.0,,,9-0,,Phoenix full timeout
9:47.0,,,9-0,,E. Payton misses 3-pt shot from 25 ft
9:46.0,Defensive rebound by Team,,9-0,,
9:31.0,Shooting foul by D. Booker (drawn by T. Harris),,9-0,,
9:31.0,T. Harris makes free throw 1 of 2,1,10-0,,
9:31.0,T. Harris makes free throw 2 of 2,1,11-0,,
9:20.0,,,11-0,,Turnover by D. Booker (bad pass; steal by D. Jordan)
9:05.0,Turnover by A. Rivers (lost ball; steal by D. Bender),,11-0,,
9:01.0,,,11-0,,T. Warren misses 2-pt shot at rim (block by T. Wallace)
9:01.0,Defensive rebound by Team,,11-0,,
8:51.0,T. Wallace makes 2-pt shot from 6 ft,2,13-0,,
8:38.0,,,13-0,,D. Booker misses 3-pt shot from 25 ft
8:35.0,Defensive rebound by T. Harris,,13-0,,
8:19.0,Shooting foul by E. Payton (drawn by T. Harris),,13-0,,
8:19.0,T. Harris makes free throw 1 of 2,1,14-0,,
8:19.0,T. Harris makes free throw 2 of 2,1,15-0,,
8:10.0,,,15-0,,Turnover by E. Payton (bad pass; steal by T. Harris)
8:05.0,A. Rivers misses 3-pt shot from 25 ft,,15-0,,
8:01.0,,,15-0,,Defensive rebound by A. Len
7:58.0,,,15-0,,D. Booker misses 3-pt shot from 26 ft
7:55.0,Defensive rebound by T. Wallace,,15-0,,
7:53.0,T. Harris makes 2-pt shot at rim (assist by T. Wallace),2,17-0,,
7:53.0,,,17-0,,Phoenix full timeout
7:53.0,,,17-0,,M. Chriss enters the game for T. Warren
7:53.0,,,17-0,,J. Jackson enters the game for A. Len
7:35.0,,,17-0,,D. Bender misses 3-pt shot from 26 ft
7:33.0,Defensive rebound by D. Jordan,,17-0,,
7:20.0,T. Wallace makes 2-pt shot at rim,2,19-0,,
7:09.0,,,19-2,2,J. Jackson makes 2-pt shot from 1 ft
6:43.0,,,19-2,,Personal foul by M. Chriss (drawn by D. Jordan)
6:37.0,T. Harris makes 2-pt shot from 16 ft,2,21-2,,
6:21.0,,,21-2,,M. Chriss misses 3-pt shot from 22 ft
6:18.0,Defensive rebound by T. Harris,,21-2,,
6:07.0,W. Johnson makes 3-pt shot from 22 ft (assist by A. Rivers),3,24-2,,
5:57.0,,,24-4,2,J. Jackson makes 2-pt shot at rim (assist by D. Bender)
5:57.0,,,24-4,,Shooting foul by D. Jordan (drawn by J. Jackson)
5:57.0,,,24-4,,T. Daniels enters the game for D. Booker
5:57.0,,,24-5,1,J. Jackson makes free throw 1 of 1
5:47.0,T. Wallace makes 3-pt shot from 25 ft (assist by A. Rivers),3,27-5,,
5:31.0,,,27-5,,D. Bender misses 3-pt shot from 24 ft
5:29.0,Defensive rebound by D. Jordan,,27-5,,
5:22.0,T. Wallace makes 2-pt shot from 2 ft,2,29-5,,
5:08.0,,,29-5,,M. Chriss misses 3-pt shot from 22 ft
5:05.0,Defensive rebound by T. Wallace,,29-5,,
4:58.0,D. Jordan misses 2-pt shot from 2 ft,,29-5,,
4:56.0,,,29-5,,Defensive rebound by T. Daniels
4:46.0,,,29-5,,J. Jackson misses 2-pt shot from 10 ft (block by T. Harris)
4:45.0,,,29-5,,Offensive rebound by J. Jackson
4:44.0,,,29-5,,J. Jackson misses 2-pt shot from 3 ft
4:43.0,,,29-5,,Offensive rebound by M. Chriss
