time,Phoenix,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. T. Chandler (B. Ingram gains possession),,,,Jump ball: B. Lopez vs. T. Chandler (B. Ingram gains possession)
11:47.0,,,0-0,,Turnover by J. Randle (bad pass)
11:25.0,J. Jackson misses 2-pt shot from 2 ft,,0-0,,
11:21.0,Offensive rebound by J. Jackson,,0-0,,
11:07.0,T. Warren misses 2-pt shot from 2 ft,,0-0,,
11:01.0,,,0-0,,Defensive rebound by K. Caldwell-Pope
10:56.0,,,0-0,,K. Caldwell-Pope misses 3-pt shot from 25 ft
10:53.0,Defensive rebound by T. Chandler,,0-0,,
10:45.0,T. Chandler makes 2-pt shot from 1 ft (assist by T. Warren),2,2-0,,
10:25.0,,,2-2,2,J. Randle makes 2-pt shot from 7 ft
10:06.0,Shooting foul by K. Caldwell-Pope (drawn by D. Bender),,2-2,,
10:06.0,D. Bender makes free throw 1 of 2,1,3-2,,
10:06.0,D. Bender makes free throw 2 of 2,1,4-2,,
9:51.0,,,4-4,2,J. Randle makes 2-pt shot from 9 ft
9:51.0,,,4-4,,Shooting foul by D. Bender (drawn by J. Randle)
9:51.0,,,4-4,,J. Randle misses free throw 1 of 1
9:48.0,,,4-4,,Offensive rebound by B. Lopez
9:43.0,,,4-6,2,J. Randle makes 2-pt shot from 1 ft (assist by J. Hart)
9:22.0,Turnover by D. Bender (bad pass; steal by J. Hart),,4-6,,
9:16.0,,,4-9,3,B. Ingram makes 3-pt shot from 22 ft (assist by J. Randle)
8:53.0,T. Warren makes 2-pt shot from 13 ft (assist by T. Chandler),2,6-9,,
8:43.0,Def 3 sec tech foul by T. Chandler,,6-9,,
8:43.0,,,6-10,1,K. Caldwell-Pope makes technical free throw
8:33.0,,,6-12,2,J. Randle makes 2-pt shot from 6 ft
8:18.0,T. Warren makes 2-pt shot from 17 ft (assist by T. Ulis),2,8-12,,
8:06.0,,,8-12,,Offensive charge foul by B. Lopez (drawn by T. Chandler)
8:06.0,,,8-12,,Turnover by B. Lopez (offensive foul)
7:52.0,J. Jackson makes 2-pt shot from 5 ft,2,10-12,,
7:41.0,,,10-12,,K. Caldwell-Pope misses 2-pt shot from 2 ft
7:38.0,Defensive rebound by J. Jackson,,10-12,,
7:29.0,T. Ulis misses 2-pt shot from 17 ft,,10-12,,
7:24.0,,,10-12,,Defensive rebound by B. Ingram
7:19.0,,,10-12,,J. Randle misses 2-pt shot at rim
7:14.0,Defensive rebound by T. Chandler,,10-12,,
7:10.0,J. Jackson makes 2-pt shot at rim (assist by D. Bender),2,12-12,,
