time,Golden State,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: W. Cauley-Stein vs. Z. Pachulia (J. Jackson gains possession),,,,Jump ball: W. Cauley-Stein vs. Z. Pachulia (J. Jackson gains possession)
11:38.0,,,0-0,,Z. Randolph misses 3-pt shot from 26 ft
11:33.0,Defensive rebound by D. Green,,0-0,,
11:28.0,K. Thompson makes 3-pt shot from 23 ft (assist by D. Green),3,3-0,,
11:17.0,,,3-0,,D. Fox misses 2-pt shot from 2 ft (block by Z. Pachulia)
11:17.0,Defensive rebound by D. Green,,3-0,,
11:09.0,S. Curry misses 3-pt shot from 23 ft,,3-0,,
11:09.0,,,3-0,,Defensive rebound by W. Cauley-Stein
10:53.0,Personal foul by Z. Pachulia (drawn by Z. Randolph),,3-0,,
10:44.0,,,3-3,3,B. Bogdanovic makes 3-pt shot from 25 ft (assist by D. Fox)
10:27.0,K. Durant misses 2-pt shot at rim,,3-3,,
10:23.0,,,3-3,,Defensive rebound by J. Jackson
10:20.0,,,3-6,3,J. Jackson makes 3-pt shot from 25 ft (assist by D. Fox)
10:12.0,K. Durant misses 3-pt shot from 23 ft,,3-6,,
10:08.0,,,3-6,,Defensive rebound by Z. Randolph
10:00.0,,,3-6,,Z. Randolph misses 3-pt shot from 25 ft
9:56.0,Defensive rebound by K. Thompson,,3-6,,
9:39.0,Z. Pachulia misses 2-pt shot from 19 ft,,3-6,,
9:35.0,,,3-6,,Defensive rebound by Z. Randolph
9:21.0,,,3-8,2,W. Cauley-Stein makes 2-pt shot from 1 ft (assist by B. Bogdanovic)
9:15.0,Turnover by D. Green (bad pass),,3-8,,
9:09.0,,,3-10,2,Z. Randolph makes 2-pt shot from 2 ft (assist by W. Cauley-Stein)
9:09.0,Golden State full timeout,,3-10,,
8:54.0,K. Durant makes 2-pt shot from 15 ft,2,5-10,,
8:37.0,,,5-13,3,B. Bogdanovic makes 3-pt shot from 25 ft (assist by J. Jackson)
8:24.0,Turnover by D. Green (bad pass; steal by Z. Randolph),,5-13,,
8:16.0,,,5-13,,D. Fox misses 2-pt shot from 9 ft
8:14.0,Defensive rebound by K. Thompson,,5-13,,
8:07.0,K. Thompson misses 3-pt shot from 25 ft,,5-13,,
8:03.0,,,5-13,,Defensive rebound by W. Cauley-Stein
7:56.0,,,5-13,,W. Cauley-Stein misses 2-pt shot from 1 ft
7:53.0,Defensive rebound by D. Green,,5-13,,
7:49.0,S. Curry misses 3-pt shot from 22 ft,,5-13,,
7:45.0,,,5-13,,Defensive rebound by J. Jackson
7:41.0,,,5-13,,J. Jackson misses 3-pt shot from 24 ft
7:38.0,Defensive rebound by K. Thompson,,5-13,,
7:33.0,S. Curry misses 3-pt shot from 25 ft,,5-13,,
7:29.0,,,5-13,,Defensive rebound by B. Bogdanovic
7:15.0,,,5-15,2,J. Jackson makes 2-pt shot from 9 ft (assist by Z. Randolph)
6:57.0,S. Curry misses 2-pt shot from 3 ft,,5-15,,
6:54.0,,,5-15,,Defensive rebound by B. Bogdanovic
6:44.0,,,5-18,3,J. Jackson makes 3-pt shot from 23 ft (assist by D. Fox)
6:25.0,D. Green makes 2-pt shot from 14 ft (assist by K. Durant),2,7-18,,
6:03.0,,,7-20,2,W. Cauley-Stein makes 2-pt shot from 1 ft (assist by B. Bogdanovic)
5:56.0,Golden State full timeout,,7-20,,
5:56.0,K. Looney enters the game for K. Durant,,7-20,,
5:56.0,P. McCaw enters the game for D. Green,,7-20,,
5:46.0,Z. Pachulia makes 2-pt shot from 5 ft,2,9-20,,
5:26.0,,,9-20,,Z. Randolph misses 2-pt shot from 1 ft
5:24.0,Defensive rebound by K. Looney,,9-20,,
5:14.0,S. Curry misses 3-pt shot from 22 ft,,9-20,,
5:10.0,Offensive rebound by Z. Pachulia,,9-20,,
5:08.0,Z. Pachulia misses 2-pt shot from 2 ft,,9-20,,
5:08.0,Offensive rebound by Z. Pachulia,,9-20,,
5:04.0,Z. Pachulia makes 2-pt shot at rim,2,11-20,,
5:04.0,,,11-20,,Turnover by D. Fox (bad pass; steal by S. Curry)
5:04.0,,,11-20,,Personal foul by D. Fox (drawn by S. Curry)
5:04.0,,,11-20,,G. Temple enters the game for J. Jackson
4:55.0,K. Thompson makes 3-pt shot from 24 ft (assist by P. McCaw),3,14-20,,
4:32.0,,,14-20,,G. Temple misses 2-pt shot from 20 ft
4:31.0,Defensive rebound by Team,,14-20,,
4:24.0,S. Curry makes 3-pt shot from 27 ft,3,17-20,,
4:16.0,,,17-20,,Sacramento full timeout
4:16.0,,,17-20,,V. Carter enters the game for D. Fox
4:16.0,,,17-20,,G. Hill enters the game for Z. Randolph
4:06.0,,,17-23,3,V. Carter makes 3-pt shot from 24 ft (assist by B. Bogdanovic)
3:49.0,K. Looney misses 2-pt shot from 6 ft,,17-23,,
3:47.0,Offensive rebound by K. Looney,,17-23,,
3:45.0,K. Looney misses 2-pt shot from 3 ft,,17-23,,
3:45.0,Offensive rebound by Z. Pachulia,,17-23,,
3:41.0,Z. Pachulia makes 2-pt shot at rim,2,19-23,,
3:27.0,N. Young enters the game for K. Thompson,,19-23,,
3:27.0,O. Casspi enters the game for Z. Pachulia,,19-23,,
3:23.0,,,19-23,,B. Bogdanovic misses 3-pt shot from 22 ft
3:21.0,Defensive rebound by K. Looney,,19-23,,
3:15.0,N. Young makes 3-pt shot from 22 ft (assist by S. Curry),3,22-23,,
2:56.0,,,22-23,,Turnover by W. Cauley-Stein (lost ball; steal by P. McCaw)
2:51.0,P. McCaw misses 2-pt shot from 2 ft,,22-23,,
2:49.0,,,22-23,,Defensive rebound by W. Cauley-Stein
2:45.0,,,22-23,,Turnover by B. Bogdanovic (step out of bounds)
2:45.0,,,22-23,,K. Koufos enters the game for W. Cauley-Stein
2:45.0,,,22-23,,B. Hield enters the game for B. Bogdanovic
2:45.0,J. McGee enters the game for K. Looney,,22-23,,
2:27.0,J. McGee makes 2-pt shot from 1 ft (assist by S. Curry),2,24-23,,
2:12.0,,,24-23,,K. Koufos misses 2-pt shot from 9 ft
