time,Detroit,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Dedmon vs. A. Drummond (B. Griffin gains possession),,,,Jump ball: D. Dedmon vs. A. Drummond (B. Griffin gains possession)
11:50.0,Shooting foul by T. Waller-Prince (drawn by R. Bullock),,0-0,,
11:50.0,R. Bullock makes free throw 1 of 2,1,1-0,,
11:50.0,R. Bullock makes free throw 2 of 2,1,2-0,,
11:38.0,,,2-3,3,E. Ilyasova makes 3-pt shot from 24 ft (assist by K. Bazemore)
11:21.0,Turnover by I. Smith (bad pass; steal by D. Dedmon),,2-3,,
11:18.0,,,2-3,,D. Dedmon misses 2-pt shot from 1 ft
11:17.0,Defensive rebound by A. Drummond,,2-3,,
11:03.0,A. Drummond makes 2-pt shot from 12 ft (assist by R. Bullock),2,4-3,,
10:46.0,,,4-3,,K. Bazemore misses 2-pt shot from 2 ft
10:44.0,Defensive rebound by S. Johnson,,4-3,,
10:41.0,S. Johnson misses 2-pt shot from 20 ft,,4-3,,
10:37.0,,,4-3,,Defensive rebound by E. Ilyasova
10:20.0,,,4-5,2,D. Schroder makes 2-pt shot from 1 ft
10:03.0,B. Griffin misses 2-pt shot from 8 ft,,4-5,,
9:57.0,Offensive rebound by B. Griffin,,4-5,,
9:57.0,B. Griffin makes 2-pt shot at rim,2,6-5,,
9:53.0,,,6-7,2,D. Dedmon makes 2-pt shot from 1 ft (assist by D. Schroder)
9:53.0,,,6-7,,Shooting foul by R. Bullock (drawn by D. Dedmon)
9:53.0,,,6-8,1,D. Dedmon makes free throw 1 of 1
9:43.0,Turnover by R. Bullock (traveling),,6-8,,
9:27.0,,,6-8,,E. Ilyasova misses 3-pt shot from 23 ft
9:23.0,Defensive rebound by A. Drummond,,6-8,,
9:13.0,R. Bullock misses 3-pt shot from 24 ft,,6-8,,
9:08.0,,,6-8,,Defensive rebound by D. Dedmon
9:01.0,Personal block foul by I. Smith (drawn by D. Schroder),,6-8,,
8:54.0,,,6-8,,T. Waller-Prince misses 3-pt shot from 22 ft
8:52.0,,,6-8,,Offensive rebound by Team
8:50.0,,,6-8,,D. Schroder misses 2-pt shot from 15 ft
8:45.0,Defensive rebound by R. Bullock,,6-8,,
8:38.0,A. Drummond misses 2-pt shot from 4 ft,,6-8,,
8:38.0,Offensive rebound by Team,,6-8,,
8:36.0,B. Griffin makes 3-pt shot from 25 ft (assist by I. Smith),3,9-8,,
8:14.0,,,9-10,2,E. Ilyasova makes 2-pt shot at rim (assist by T. Waller-Prince)
7:58.0,B. Griffin misses 3-pt shot from 25 ft,,9-10,,
7:56.0,,,9-10,,Defensive rebound by D. Dedmon
7:50.0,,,9-12,2,D. Schroder makes 2-pt shot from 11 ft
7:32.0,R. Bullock makes 2-pt shot from 22 ft (assist by B. Griffin),2,11-12,,
7:18.0,,,11-12,,Turnover by D. Schroder (bad pass; steal by A. Drummond)
7:14.0,Turnover by A. Drummond (lost ball; steal by D. Schroder),,11-12,,
7:06.0,,,11-12,,Turnover by D. Dedmon (lost ball; steal by B. Griffin)
7:00.0,Shooting foul by E. Ilyasova (drawn by A. Drummond),,11-12,,
7:00.0,A. Drummond makes free throw 1 of 2,1,12-12,,
7:00.0,,,12-12,,T. Dorsey enters the game for T. Waller-Prince
7:00.0,,,12-12,,Atlanta full timeout
7:00.0,A. Drummond misses free throw 2 of 2,,12-12,,
6:57.0,,,12-12,,Defensive rebound by D. Dedmon
6:38.0,,,12-12,,E. Ilyasova misses 2-pt shot from 3 ft
6:33.0,Defensive rebound by B. Griffin,,12-12,,
6:26.0,,,12-12,,Violation by D. Dedmon (kicked ball)
6:18.0,I. Smith misses 2-pt shot from 14 ft,,12-12,,
6:15.0,,,12-12,,Defensive rebound by D. Dedmon
6:09.0,,,12-12,,Shooting foul by S. Johnson (drawn by K. Bazemore)
6:09.0,,,12-13,1,K. Bazemore makes free throw 1 of 2
