time,Denver,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Powell vs. N. Jokic (J. Murray gains possession),,,,Jump ball: D. Powell vs. N. Jokic (J. Murray gains possession)
11:46.0,J. Murray makes 3-pt shot from 25 ft (assist by P. Millsap),3,3-0,,
11:29.0,,,3-3,3,Y. Ferrell makes 3-pt shot from 23 ft (assist by D. Smith)
11:11.0,P. Millsap misses 3-pt shot from 26 ft,,3-3,,
11:09.0,,,3-3,,Defensive rebound by Y. Ferrell
10:54.0,,,3-6,3,D. Nowitzki makes 3-pt shot from 25 ft (assist by D. Smith)
10:39.0,W. Chandler makes 2-pt shot from 3 ft,2,5-6,,
10:22.0,,,5-6,,Turnover by Y. Ferrell (bad pass; steal by N. Jokic)
10:12.0,P. Millsap misses 2-pt shot from 13 ft,,5-6,,
10:09.0,,,5-6,,Defensive rebound by D. Smith
10:03.0,,,5-9,3,D. Nowitzki makes 3-pt shot from 27 ft (assist by D. Smith)
9:41.0,J. Murray misses 2-pt shot from 13 ft,,5-9,,
9:38.0,,,5-9,,Defensive rebound by D. Nowitzki
9:22.0,,,5-9,,D. Nowitzki misses 2-pt shot from 12 ft
9:22.0,Defensive rebound by N. Jokic,,5-9,,
9:12.0,Turnover by G. Harris (lost ball; steal by D. Powell),,5-9,,
9:12.0,,,5-9,,Turnover by D. Powell (step out of bounds)
9:00.0,N. Jokic misses 2-pt shot from 7 ft,,5-9,,
8:57.0,,,5-9,,Defensive rebound by D. Nowitzki
8:50.0,,,5-11,2,D. Powell makes 2-pt shot at rim (assist by D. Smith)
8:36.0,Turnover by G. Harris (lost ball; steal by Y. Ferrell),,5-11,,
8:22.0,,,5-11,,D. Powell misses 2-pt shot from 15 ft
8:18.0,Defensive rebound by N. Jokic,,5-11,,
8:12.0,P. Millsap makes 2-pt shot from 4 ft (assist by N. Jokic),2,7-11,,
7:53.0,,,7-11,,Turnover by D. Smith (bad pass)
7:38.0,G. Harris makes 2-pt shot from 4 ft,2,9-11,,
7:20.0,,,9-14,3,D. Smith makes 3-pt shot from 24 ft
7:06.0,P. Millsap makes 2-pt shot at rim (assist by G. Harris),2,11-14,,
7:05.0,,,11-14,,Dallas full timeout
7:05.0,,,11-14,,N. Noel enters the game for D. Nowitzki
7:05.0,,,11-14,,D. McDermott enters the game for D. Powell
6:51.0,,,11-14,,Turnover by H. Barnes (lost ball; steal by P. Millsap)
6:47.0,,,11-14,,Personal foul by D. McDermott (drawn by W. Chandler)
6:40.0,G. Harris misses 2-pt shot from 8 ft,,11-14,,
6:38.0,,,11-14,,Defensive rebound by Y. Ferrell
6:16.0,,,11-14,,D. Smith misses 2-pt shot from 14 ft
6:13.0,Defensive rebound by P. Millsap,,11-14,,
6:03.0,J. Murray misses 3-pt shot from 22 ft,,11-14,,
6:00.0,,,11-14,,Defensive rebound by N. Noel
5:54.0,,,11-14,,Shooting foul by G. Harris (drawn by D. McDermott)
5:54.0,,,11-15,1,D. McDermott makes free throw 1 of 3
5:54.0,,,11-16,1,D. McDermott makes free throw 2 of 3
5:54.0,,,11-17,1,D. McDermott makes free throw 3 of 3
5:41.0,P. Millsap misses 2-pt shot from 11 ft,,11-17,,
5:38.0,,,11-17,,Defensive rebound by N. Noel
5:34.0,,,11-17,,Shooting foul by P. Millsap (drawn by H. Barnes)
5:34.0,,,11-17,,H. Barnes misses free throw 1 of 2
5:34.0,,,11-17,,Offensive rebound by Team
5:34.0,W. Barton enters the game for P. Millsap,,11-17,,
5:34.0,,,11-18,1,H. Barnes makes free throw 2 of 2
5:20.0,W. Barton makes 3-pt shot from 25 ft (assist by G. Harris),3,14-18,,
4:55.0,,,14-18,,D. Smith misses 3-pt shot from 25 ft
