time,Utah,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. D. Favors (W. Johnson gains possession),,,,Jump ball: D. Jordan vs. D. Favors (W. Johnson gains possession)
11:42.0,,,0-0,,Shooting foul by D. Mitchell (drawn by A. Rivers)
11:42.0,,,0-1,1,A. Rivers makes free throw 1 of 2
11:42.0,,,0-2,1,A. Rivers makes free throw 2 of 2
11:27.0,D. Mitchell misses 2-pt shot from 2 ft,,0-2,,
11:22.0,Offensive rebound by D. Favors,,0-2,,
11:22.0,D. Favors misses 2-pt shot at rim,,0-2,,
11:21.0,,,0-2,,Defensive rebound by D. Jordan
11:21.0,,,0-2,,Turnover by L. Williams (bad pass)
11:05.0,J. Ingles misses 3-pt shot from 24 ft,,0-2,,
11:01.0,,,0-2,,Defensive rebound by M. Harrell
10:48.0,,,0-5,3,A. Rivers makes 3-pt shot from 25 ft (assist by D. Jordan)
10:24.0,D. Mitchell makes 3-pt shot from 25 ft,3,3-5,,
10:06.0,,,3-5,,Shooting foul by J. Ingles (drawn by L. Williams)
10:06.0,,,3-5,,L. Williams misses free throw 1 of 2
10:06.0,,,3-5,,Offensive rebound by Team
10:06.0,,,3-6,1,L. Williams makes free throw 2 of 2
9:52.0,D. Mitchell misses 3-pt shot from 25 ft,,3-6,,
9:49.0,,,3-6,,Defensive rebound by D. Jordan
9:32.0,,,3-6,,W. Johnson misses 3-pt shot from 23 ft
9:29.0,,,3-6,,Offensive rebound by M. Harrell
9:27.0,,,3-9,3,A. Rivers makes 3-pt shot from 25 ft (assist by M. Harrell)
9:15.0,D. Favors makes 2-pt shot from 7 ft (assist by R. Rubio),2,5-9,,
8:52.0,,,5-9,,Turnover by M. Harrell (bad pass; steal by R. Rubio)
8:39.0,J. Jerebko makes 2-pt shot from 1 ft (assist by R. Rubio),2,7-9,,
8:24.0,Violation by J. Ingles (kicked ball),,7-9,,
8:15.0,,,7-9,,A. Rivers misses 2-pt shot from 2 ft
8:11.0,,,7-9,,Offensive rebound by D. Jordan
