time,Charlotte,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. D. Howard (T. Satoransky gains possession),,,,Jump ball: M. Gortat vs. D. Howard (T. Satoransky gains possession)
11:40.0,,,0-0,,M. Morris misses 2-pt shot from 18 ft
11:36.0,Defensive rebound by M. Kidd-Gilchrist,,0-0,,
11:28.0,M. Kidd-Gilchrist misses 2-pt shot from 19 ft,,0-0,,
11:25.0,,,0-0,,Defensive rebound by M. Gortat
11:18.0,,,0-0,,M. Gortat misses 2-pt shot at rim (block by D. Howard)
11:15.0,Defensive rebound by K. Walker,,0-0,,
11:13.0,M. Williams makes 3-pt shot from 25 ft (assist by N. Batum),3,3-0,,
10:59.0,,,3-0,,T. Satoransky misses 2-pt shot from 3 ft (block by D. Howard)
10:55.0,,,3-0,,Offensive rebound by M. Gortat
10:54.0,,,3-2,2,M. Gortat makes 2-pt shot from 1 ft
10:40.0,N. Batum misses 3-pt shot from 27 ft,,3-2,,
10:35.0,,,3-2,,Defensive rebound by M. Gortat
10:33.0,,,3-4,2,M. Morris makes 2-pt shot from 3 ft (assist by B. Beal)
10:18.0,M. Williams makes 3-pt shot from 23 ft (assist by K. Walker),3,6-4,,
10:03.0,,,6-6,2,O. Porter makes 2-pt shot from 8 ft (assist by M. Morris)
9:46.0,Turnover by M. Williams (lost ball; steal by T. Satoransky),,6-6,,
9:42.0,,,6-6,,O. Porter misses 3-pt shot from 25 ft
9:39.0,Defensive rebound by M. Williams,,6-6,,
9:33.0,M. Kidd-Gilchrist makes 2-pt shot from 2 ft,2,8-6,,
9:19.0,,,8-6,,B. Beal misses 3-pt shot from 24 ft
9:19.0,Defensive rebound by Team,,8-6,,
9:03.0,D. Howard makes 2-pt shot from 3 ft (assist by N. Batum),2,10-6,,
8:39.0,,,10-8,2,M. Morris makes 2-pt shot at rim
8:17.0,D. Howard misses 2-pt shot from 2 ft,,10-8,,
8:15.0,Offensive rebound by N. Batum,,10-8,,
8:15.0,N. Batum misses 2-pt shot from 2 ft,,10-8,,
8:12.0,,,10-8,,Defensive rebound by M. Morris
8:02.0,,,10-8,,B. Beal misses 2-pt shot from 10 ft
8:00.0,Defensive rebound by D. Howard,,10-8,,
7:52.0,N. Batum makes 2-pt shot from 20 ft (assist by D. Howard),2,12-8,,
7:36.0,,,12-10,2,M. Gortat makes 2-pt shot from 5 ft (assist by M. Morris)
7:16.0,M. Williams misses 2-pt shot from 2 ft,,12-10,,
